step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.659793248700663,0.10711871087551117,0.5792137384414673,0.3571302890777588,0.0919957384467125,0.35,3,0,0,0,0.4307304322719574,8.614608764648438,172.2921600341797,0.46603232622146606,1.0,0.2225286958962025,0,0,0,0,0.2225286958962025,0.0,filtered,0.05254247790461592,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2225286958962025,0.537912279|0.552912279|0.328996133|0.222528696|0.229198168|0.256298126,0.657912279|0.672912279|0.448996133|0.342528696|0.349198168|0.376298126,0.657912279|0.672912279|0.448996133|0.342528696|0.349198168|0.376298126,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00186959183|0.133564315|0.158021032|0.193975512,-0.0804895512|0|-0.121612592|-0.158411795|-0.158072141|-0.143396337,2.07115957|2.21164912|1.19250235|0.865267304|0.916741562|1.07577168,0.229462862|0.580025196|0.614103079,0.0726079196|-0.145154759|-0.00199129619,0.006228530779480934,0.0017085075378417969,0.0015727048739790916,0.0028294287621974945
1,0.1,-0.5401074867370451,0.09864415228366852,0.567647397518158,0.35808733105659485,0.08369094878435135,0.35,3,0,0,0,0.6837557554244995,7.218265056610107,162.013427734375,0.6859413385391235,1.0,0.21344458630232727,0,0,0,0,0.2225286958962025,0.0,filtered,0.03235311185916628,0,0,12,joint_1_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21344458630232727,0.540229811|0.555229811|0.327987551|0.213444586|0.218844423|0.248197756,0.660229811|0.675229811|0.447987551|0.333444586|0.338844423|0.368197756,0.660229811|0.675229811|0.447987551|0.333444586|0.338844423|0.368197756,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0416417463|0.178948569|0.197269651|0.231267963,-0.0768247097|0|-0.117563658|-0.157687221|-0.157789836|-0.142350343,2.08409453|2.22091924|1.23602829|0.875039693|0.914857507|1.08170864,0.253025234|0.572767496|0.614003658,0.0726079196|-0.145154759|-0.00199129619,0.005855883471667767,0.0017553837969899178,0.001724017783999443,0.002267751842737198
2,0.15000000000000002,-0.450187743468712,0.09708909690380096,0.5531463027000427,0.36027300357818604,0.08244998753070831,0.35,3,0,0,0,0.8976457118988037,4.665500164031982,57.002872467041016,0.8976445198059082,1.0,0.2144727860004918,0,0,0,0,0.2225286958962025,0.0,filtered,1.653345811560247e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2144727860004918,0.536420544|0.551420544|0.324192681|0.214472786|0.220844962|0.252674515,0.656420544|0.671420544|0.444192681|0.334472786|0.340844962|0.372674515,0.656420544|0.671420544|0.444192681|0.334472786|0.340844962|0.372674515,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0671060196|0.2043759|0.224070699|0.258363949,-0.0755461937|0|-0.116531744|-0.15720074|-0.157567709|-0.142133346,2.07013598|2.20568218|1.247345|0.905066304|0.949882837|1.12692866,0.256655514|0.565509796|0.613904238,0.0726079196|-0.145154759|-0.00199129619,0.005836663767695427,0.0016831178218126297,0.001783733256161213,0.0022677788510918617
3,0.2,-0.37647398266956345,0.09514585137367249,0.536719024181366,0.3630794286727905,0.08088936656713486,0.35,3,0,0,0,1.0285542011260986,2.974092721939087,42.081031799316406,1.0285531282424927,1.0,0.21672299444279025,0,0,0,0,0.2225286958962025,0.0,filtered,1.5191270492084715e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21672299444279025,0.532675658|0.547675658|0.321720274|0.216722994|0.224102119|0.258430223,0.652675658|0.667675658|0.441720274|0.336722994|0.344102119|0.378430223,0.652675658|0.667675658|0.441720274|0.336722994|0.344102119|0.378430223,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0801813096|0.216781612|0.238145592|0.272851237,-0.0742494726|0|-0.115128376|-0.156769623|-0.15760825|-0.142526548,2.05645316|2.19070263|1.25193403|0.926903966|0.976945817|1.16404558,0.260285795|0.558252096|0.613804817,0.0726079196|-0.145154759|-0.00199129619,0.00558246485888958,0.0016207443550229073,0.0016098003834486008,0.0022500911727547646
4,0.25,-0.3211330581055566,0.09357547014951706,0.5193341374397278,0.3654037117958069,0.07962420582771301,0.35,3,0,0,0,1.0957378149032593,3.2705607414245605,47.7612419128418,1.0957365036010742,1.0,0.21959559144206198,0,0,0,0,0.2225286958962025,0.0,filtered,1.7394937282271674e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21959559144206198,0.528996063|0.543996063|0.319953524|0.219595591|0.22803697|0.264887101,0.648996063|0.663996063|0.439953524|0.339595591|0.34803697|0.384887101,0.648996063|0.663996063|0.439953524|0.339595591|0.34803697|0.384887101,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0919315593|0.205893605|0.224163098|0.252782108,-0.0729345205|0|-0.113493631|-0.156336634|-0.157829158|-0.143355175,2.04304973|2.17598425|1.25825203|0.927939337|0.97848182|1.16897534,0.263916075|0.550994396|0.613705397,0.0726079196|-0.145154759|-0.00199129619,0.00426334235817194,0.001253499649465084,0.0012310473248362541,0.0017048586159944534
5,0.30000000000000004,-0.26902067552783393,0.09213731437921524,0.5011864304542542,0.3675701320171356,0.07846684008836746,0.35,3,0,0,0,1.122314214706421,3.4152755737304688,39.35680389404297,1.122314214706421,1.0,0.22196829603678025,0,0,0,0,0.2225286958962025,0.0,passthrough,6.712826815343143e-12,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.22196829603678025,0.525382671|0.540382671|0.318830995|0.221968296|0.231270794|0.270337612,0.645382671|0.660382671|0.438830995|0.341968296|0.351270794|0.390337612,0.645382671|0.660382671|0.438830995|0.341968296|0.351270794|0.390337612,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0913232599|0.202252507|0.221461115|0.248776545,-0.0716013261|0|-0.111518767|-0.156037537|-0.158343641|-0.144820336,2.02992936|2.16153069|1.25512847|0.934088155|0.988200648|1.18530666,0.267546356|0.543736696|0.613605976,0.0726079196|-0.145154759|-0.00199129619,0.004281887784600258,0.0012572426348924637,0.0012184185907244682,0.0017306478694081306
6,0.35000000000000003,-0.22506561821692805,0.09077899158000946,0.4827140271663666,0.3696380853652954,0.07738140225410461,0.35,3,0,0,0,1.1603068113327026,2.764456033706665,21.777921676635742,1.1603068113327026,1.0,0.224183176933541,0,0,0,0,0.2225286958962025,0.0,passthrough,6.05262506243574e-12,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.224183176933541,0.521836395|0.536836389|0.317774883|0.224183177|0.234352148|0.275536103,0.641836395|0.656836389|0.437774883|0.344183177|0.354352148|0.395536103,0.641836395|0.656836389|0.437774883|0.344183177|0.354352148|0.395536103,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0872483903|0.199987584|0.221489275|0.250290416,-0.0702498931|0|-0.109451712|-0.155747737|-0.15898431|-0.146669971,2.01709569|2.14734556|1.24889621|0.940972555|0.999913556|1.20576486,0.271176636|0.536478996|0.613506556,0.0726079196|-0.145154759|-0.00199129619,0.004271401092410088,0.00125189870595932,0.0011998461559414864,0.0017428901046514511
7,0.4,-0.1857209094590101,0.08928036689758301,0.4641192555427551,0.3719359338283539,0.07619702816009521,0.35,3,0,0,0,1.192878246307373,1.8250069618225098,32.286685943603516,1.192878246307373,1.0,0.22631333761266154,0,0,0,0,0.2225286958962025,0.0,passthrough,4.9027844336228106e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.22631333761266154,0.518358145|0.533358145|0.316617677|0.226313338|0.237421882|0.280748115,0.638358145|0.653358145|0.436617677|0.346313338|0.357421882|0.400748115,0.638358145|0.653358145|0.436617677|0.346313338|0.357421882|0.400748115,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.079400302|0.205001866|0.232248073|0.267579451,-0.068880241|0|-0.107355735|-0.155370526|-0.159637521|-0.148726732,2.00455234|2.13343258|1.23851528|0.954884691|1.02229808|1.24184518,0.274806917|0.529221296|0.613407135,0.0726079196|-0.145154759|-0.00199129619,0.0043313028290867805,0.0012588826939463615,0.0012460900470614433,0.0017489055171608925
8,0.45,-0.1451692316079835,0.08748754858970642,0.445277601480484,0.3747223913669586,0.07479090988636017,0.35,3,0,0,0,1.2035562992095947,1.6946130990982056,19.517656326293945,1.2035562992095947,1.0,0.22870822646671762,0,0,0,0,0.2225286958962025,0.0,passthrough,5.454450457463955e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.22870822646671762,0.514948831|0.529948831|0.315180832|0.228708226|0.241001195|0.286729762,0.634948831|0.649948831|0.435180832|0.348708226|0.361001195|0.406729762,0.634948831|0.649948831|0.435180832|0.348708226|0.361001195|0.406729762,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0684381643|0.215402208|0.252157129|0.297233759,-0.0674924057|0|-0.105344761|-0.154757932|-0.160164353|-0.15071009,1.99230292|2.11979533|1.22381673|0.975477182|1.05599756|1.29344272,0.278437197|0.521963596|0.613307714,0.0726079196|-0.145154759|-0.00199129619,0.0042966194450855255,0.0012596752494573593,0.0011937273666262627,0.0017651040107011795
9,0.5,-0.1077035571624652,0.08548986166715622,0.4263056814670563,0.37788671255111694,0.07323320209980011,0.35,3,0,0,0,1.1990020275115967,1.5335826873779297,15.43171501159668,1.1990020275115967,1.0,0.23163747121674433,0,0,0,0,0.2225286958962025,0.0,passthrough,6.602003825428589e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.23163747121674433,0.511609363|0.526609363|0.313317495|0.231637471|0.245549764|0.294090635,0.631609363|0.646609363|0.433317495|0.351637471|0.365549764|0.414090635,0.631609363|0.646609363|0.433317495|0.351637471|0.365549764|0.414090635,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0593505018|0.223145708|0.270010967|0.323992076,-0.0660864402|0|-0.103559992|-0.153833304|-0.160518747|-0.152449662,1.98035101|2.10643745|1.20906049|0.995862289|1.09169128|1.34790496,0.282067478|0.514705896|0.613208294,0.0726079196|-0.145154759|-0.00199129619,0.004297741688787937,0.0012460658326745033,0.0012095030397176743,0.0017660176381468773
