episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk
0,-10.288090062791838,23.641814079135656,103,1,0,0,0.049159251153469086,5.15,0.17729900777339935,0.20894636933520003,0.5416771769523621,0,0.0,0.7378640776699029,0.023714371724247396,0.0,0.0,0.0,0.0,0.9320388349514563,0.0,0.05729900243882616,0.005313658770354627,0.1671132594347,1.5409812927246094,39.93763732910156
1,-95.30780272731643,70.35642690770328,240,0,0,0,0.20997978746891022,12.0,0.11415069550275803,0.18974097818912317,0.8071070313453674,7,0.029166666666666667,0.8375,0.12534857023761084,0.0,0.0,0.0,0.0,0.9166666666666666,0.07083333333333333,-0.025752631349507282,0.0037600025767460465,0.13660651750008887,1.3292648792266846,25.463300704956055
2,-87.959266702804,49.62776009552181,240,0,0,0,0.14409637451171875,12.0,0.1256048083305359,0.19134439282740157,0.7339937090873718,0,0.0,0.7,0.07154101088251762,0.0,0.0,0.0,0.0,0.9625,0.0,0.005604797650337834,0.004017209855373949,0.07574318395539498,0.8249661922454834,16.742494583129883
3,-28.3847977547195,24.97727645933628,66,0,1,1,0.21902330219745636,3.3000000000000003,0.15218038856983185,0.22253268708785376,0.6539844274520874,0,0.0,0.6666666666666666,0.016907154969503735,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0075760527883242945,0.004265070808204738,0.12337526227488663,1.2156332731246948,20.50586700439453
4,-22.488436403201117,26.65520658157766,117,1,0,0,0.05212263762950897,5.8500000000000005,0.1392490416765213,0.19454293120174837,0.718338131904602,0,0.0,0.6153846153846154,0.04426768568679577,0.0,0.0,0.0,0.0,0.9829059829059829,0.05128205128205128,-0.02671943081149253,0.004253605054293433,0.15042853578288332,1.4008110761642456,27.55464744567871
5,-53.072611305495556,52.31823764927685,221,1,0,0,0.052249860018491745,11.05,0.15675146877765656,0.21388791604346818,0.5785700082778931,0,0.0,0.6425339366515838,0.03358397720439978,0.0,0.0,0.0,0.0,0.9773755656108597,0.0,0.02631195828016719,0.004058938469248929,0.1517582272866328,1.4697312116622925,33.61378860473633
6,-40.260389761369545,31.687299693003297,240,0,0,0,0.14429724216461182,12.0,0.20969660580158234,0.12569258365159233,0.4058931767940521,0,0.0,0.5291666666666667,0.0024392016901780547,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.08969661190009137,0.00406471435756733,0.11079404229919115,1.1157703399658203,19.638473510742188
7,15.04530957053013,5.504579052329063,38,1,0,0,0.04967149719595909,1.9000000000000001,0.31344738602638245,0.12637247556918546,0.20171502232551575,0,0.0,0.6052631578947368,0.009021548837041876,0.0,0.0,0.0,0.0,1.0,0.0,0.15740612584919378,0.004263126511911028,0.1582059335747832,1.543206810951233,24.012042999267578
8,-10.256159717618345,19.21293504163623,122,1,0,0,0.04911058396100998,6.1000000000000005,0.19359178841114044,0.1444811201272685,0.5343275666236877,0,0.0,0.7213114754098361,0.04438876068867528,0.0,0.0,0.0,0.0,0.9836065573770492,0.0,0.0735917836694252,0.003883648793533689,0.15124563558301965,1.3967288732528687,23.674579620361328
9,-242.50328508761797,202.48759268969297,240,0,0,0,0.4774934947490692,12.0,0.0736948698759079,0.3276761259883642,0.823103129863739,39,0.1625,0.9,0.2502681058023542,0.17083333333333334,0.0,0.17083333333333334,0.0,0.7875,0.18333333333333332,-0.0463133478322878,0.03504830408686151,0.06654324421348672,0.9611561298370361,21.35773468017578
10,-90.4234750028657,90.73845790140331,194,1,0,0,0.05263867974281311,9.700000000000001,0.11065394431352615,0.2989778932395209,0.8087790012359619,9,0.04639175257731959,0.8402061855670103,0.11833026789353729,0.0,0.0,0.0,0.0,0.9948453608247423,0.12371134020618557,-0.054050419037968644,0.00419496436190513,0.14506097529659567,1.3857940435409546,22.462413787841797
11,7.949077825307304,9.984388694167137,57,1,0,0,0.05172332003712654,2.85,0.27152806520462036,0.15076025980606414,0.24301952123641968,0,0.0,0.543859649122807,0.006608990235879911,0.0,0.0,0.0,0.0,0.9824561403508771,0.0,0.11843132813245572,0.003891273450694586,0.17828900680730217,1.6709717512130737,45.383094787597656
12,-15.567489836907981,23.1230711042881,72,1,0,0,0.046150803565979004,3.6,0.16272945702075958,0.29340675804350114,0.5371017456054688,0,0.0,0.6805555555555556,0.012270703076439642,0.0,0.0,0.0,0.0,0.9722222222222222,0.0,0.042729478053901426,0.0046872485480788685,0.18610188789251778,1.6112669706344604,36.42722702026367
13,4.380524604464053,16.56822068244219,72,1,0,0,0.05319150909781456,3.6,0.18326298892498016,0.2197755869064066,0.3697885572910309,0,0.0,0.4861111111111111,0.0008875878386163777,0.0,0.0,0.0,0.0,1.0,0.0,0.06326296800060927,0.004223396264327069,0.10624222529845105,1.0314726829528809,20.348127365112305
14,-74.53814482256341,44.968761870637536,240,0,0,0,0.22707532346248627,12.0,0.1449379175901413,0.17358786951129634,0.575395405292511,0,0.0,0.7125,0.08638302738325584,0.0,0.0,0.0,0.0,0.9875,0.0,0.014206132075632816,0.004104681580793112,0.09649050553950171,0.9629155993461609,17.56317138671875
15,-60.05844760209476,45.55875783227384,240,0,0,0,0.1675390899181366,12.0,0.1736675351858139,0.1740635584341362,0.5098623633384705,0,0.0,0.6541666666666667,0.010328385480402932,0.0,0.0,0.0,0.0,1.0,0.0,0.03544528862013657,0.003872351829583446,0.1862941849976778,1.6762527227401733,47.651756286621094
16,1.8156056649034298,11.787069149315357,113,1,0,0,0.0484820194542408,5.65,0.2708393931388855,0.10028052829469727,0.2794875204563141,0,0.0,0.831858407079646,0.080727334706352,0.0,0.0,0.0,0.0,0.9911504424778761,0.0,0.15083940897339576,0.003959157413481611,0.12220409075704823,1.2956345081329346,21.35817527770996
17,-44.396131474616375,49.34866483695805,232,1,0,0,0.05181561037898064,11.600000000000001,0.12511540949344635,0.1994273735306643,0.7472374439239502,0,0.0,0.5689655172413793,0.054926615822479756,0.0,0.0,0.0,0.0,0.9870689655172413,0.0,0.005115423740983893,0.0038549436200088984,0.10311516612800288,1.0339974164962769,22.49751853942871
