step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-1.1130009520847062,0.7504639029502869,0.3865540325641632,0.21034367382526398,0.5194864273071289,0.35,5,0,0,0,0.4431442618370056,8.862885475158691,177.25770568847656,0.4945540130138397,filtered,0.06402067744478411,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.02069884572999739,0.005953076295554638
1,0.1,-1.182455312389327,0.7246373891830444,0.394441694021225,0.20164187252521515,0.4814450740814209,0.35,5,0,0,0,0.7674088478088379,6.834849834442139,77.36992645263672,0.7674084901809692,filtered,8.653104173366163e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.00832579031002495,0.004673134535551071
2,0.15000000000000002,-1.226157306242211,0.6870639324188232,0.40589919686317444,0.19498129189014435,0.4547363519668579,0.35,5,0,0,0,0.9646516442298889,5.787924289703369,133.2453155517578,0.964651346206665,filtered,5.921902233559873e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0008641225125065044,0.006982867605984211
3,0.2,-1.2835378681546719,0.67221999168396,0.4200988709926605,0.18877460062503815,0.4541013538837433,0.35,5,0,0,0,1.1138075590133667,5.251303672790527,78.32408905029297,1.1138075590133667,passthrough,6.207723881438644e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,-0.0034024633849532304,0.004612477496266365
4,0.25,-1.2939666880554843,0.6079123020172119,0.43689751625061035,0.184078648686409,0.40104323625564575,0.35,5,0,0,0,1.231003999710083,4.381657123565674,28.640501022338867,1.2310024499893188,filtered,2.222000921166145e-06,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,-0.005474104739216196,0.005056729540228844
5,0.30000000000000004,-1.2800990748755878,0.49461227655410767,0.4572891891002655,0.18530826270580292,0.30507874488830566,0.35,5,0,0,0,1.292849063873291,1.4487308263778687,86.439208984375,1.292849063873291,passthrough,5.823334938723047e-12,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,-0.0039440382272890595,0.005033074878156185
6,0.35000000000000003,-1.3258869092072245,0.4348450005054474,0.4809548854827881,0.19288299977779388,0.28733018040657043,0.35,5,0,0,0,1.2098360061645508,4.923585891723633,102.90196228027344,1.1946704387664795,filtered,0.05161623955888783,0,0,12,joint_4_acceleration_upper,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.004979621209889651,0.005005601793527603
7,0.4,-1.3520527311861237,0.36773446202278137,0.5070022344589233,0.20500250160694122,0.2611631453037262,0.35,5,0,0,0,1.146586298942566,3.692500591278076,57.33120346069336,1.1465859413146973,filtered,8.837059576709361e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.02094842570674585,0.004908965900540352
8,0.45,-1.3735207038632395,0.3026781380176544,0.5346584916114807,0.22059868276119232,0.23115381598472595,0.35,5,0,0,0,1.1131280660629272,3.620126962661743,62.09449768066406,1.1131277084350586,filtered,7.520207904674665e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.04184537349856279,0.004769410006701946
9,0.5,-1.3994478967849344,0.24365326762199402,0.5635189414024353,0.23941899836063385,0.1997685730457306,0.35,5,0,0,0,1.1285710334777832,3.463146209716797,55.00990295410156,1.128570556640625,filtered,1.1404945840222653e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.06630525506141638,0.004579179920256138
10,0.55,-1.4170975631384182,0.19411656260490417,0.5924170017242432,0.26070791482925415,0.16972188651561737,0.35,5,0,0,0,1.1364314556121826,3.000178337097168,31.04578399658203,1.1540615558624268,filtered,0.027339544793866303,0,1,12,workspace_x_lower,workspace_x_lower,2,0,0,inaccurate_solution,,0.0,valid,0.09385463773881136,0.004884944297373295
11,0.6000000000000001,-1.3261439246731288,0.16134409606456757,0.6149656772613525,0.27821534872055054,0.14870944619178772,0.35,5,0,0,0,1.006689190864563,5.057766437530518,84.01405334472656,1.1286790370941162,filtered,0.20150755192580783,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,3.829725303550191e-08,valid,0.12314577096249824,0.005025784485042095
12,0.65,-1.2333380692082858,0.1403726488351822,0.631210207939148,0.2912972867488861,0.1348927915096283,0.35,5,0,0,0,0.9033856391906738,6.091974258422852,77.1419906616211,1.0034229755401611,filtered,0.18787816053633663,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,2.962120665417345e-08,valid,0.1473853320692171,0.0031878920271992683
13,0.7000000000000001,-1.1552358758855237,0.12762075662612915,0.6423594355583191,0.3007211983203888,0.1258326917886734,0.35,5,0,0,0,0.8558222055435181,4.096014499664307,62.948204040527344,0.9132012128829956,filtered,0.13199776073424108,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,1.7621003406409486e-08,valid,0.16593699306242804,0.0031302599236369133
14,0.75,-1.113245899622699,0.1188938245177269,0.650549054145813,0.3087153434753418,0.11868569999933243,0.35,5,0,0,0,0.822494626045227,2.2600812911987305,72.4854507446289,0.8629385232925415,filtered,0.11202629353488354,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,1.255810502809318e-08,valid,0.1788017991509785,0.004143907688558102
15,0.8,-1.0732384426025976,0.1131017729640007,0.6560348272323608,0.3153541684150696,0.11310179531574249,0.35,5,0,0,0,0.7995865345001221,2.5087146759033203,39.21684646606445,0.8053745031356812,filtered,0.02252337508672652,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,5.42226160138437e-07,valid,0.18847485391451801,0.004608978517353535
16,0.8500000000000001,-0.9807487002971541,0.1106259822845459,0.6564170718193054,0.318419486284256,0.1106259748339653,0.35,5,0,0,0,0.7837908864021301,3.8413164615631104,39.35348892211914,0.7837904095649719,filtered,7.110042919759199e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.19535419401628507,0.004640030674636364
17,0.9,-0.8309379019960806,0.12734834849834442,0.6486327648162842,0.31512126326560974,0.12734834849834442,0.35,5,0,0,0,0.8014044761657715,4.752002239227295,62.63245391845703,0.8014039397239685,filtered,8.171182301658207e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.1984194933175183,0.004909913055598736
18,0.9500000000000001,-0.7726515499930022,0.2541738450527191,0.6328255534172058,0.3057236969470978,0.2541738450527191,0.35,5,0,0,0,0.8665581345558167,4.5509867668151855,37.0123176574707,0.866557240486145,filtered,1.2953025442159153e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.19512126799089485,0.004713587462902069
19,1.0,-0.7470594021085389,0.1947639137506485,0.6204526424407959,0.29972344636917114,0.1947639435529709,0.35,5,0,0,0,0.6918485760688782,7.130864143371582,167.742431640625,0.6918479204177856,filtered,1.006063395477764e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.18572372779162621,0.008069505915045738
20,1.05,-0.6738814853362465,0.26375094056129456,0.6027805805206299,0.2909608781337738,0.26375094056129456,0.35,5,0,0,0,0.8305656313896179,3.922757625579834,179.9132537841797,0.8305650949478149,filtered,8.984544845655724e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.1797234677410729,0.004454616457223892
21,1.1,-0.592724513346632,0.2124171257019043,0.5856958031654358,0.28516432642936707,0.2124171257019043,0.35,5,0,0,0,0.7961581945419312,4.188355922698975,134.4912872314453,0.7961578965187073,filtered,5.128456260921615e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.17096087176797714,0.004793181084096432
22,1.1500000000000001,-0.5202555073458826,0.25471654534339905,0.5649027824401855,0.2778293192386627,0.25471651554107666,0.35,5,0,0,0,0.8133847117424011,3.9787282943725586,149.34268188476562,0.8133846521377563,filtered,3.157645282969883e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.1651643328028387,0.004320675507187843
23,1.2000000000000002,-0.4827146926320756,0.2086009681224823,0.5467922687530518,0.2744562327861786,0.2086009830236435,0.35,5,0,0,0,0.6506106853485107,4.625365257263184,128.45213317871094,0.6506106853485107,passthrough,8.512313497851185e-10,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.15782933845236236,0.004515795037150383
24,1.25,-0.40977650620582184,0.22503702342510223,0.526159942150116,0.27111750841140747,0.22503703832626343,0.35,5,0,0,0,0.7227306365966797,4.9323344230651855,158.28981018066406,0.7227304577827454,filtered,6.292956305459299e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.15445625421557674,0.00469195656478405
