episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk
0,-9.650250379377674,23.455518379807472,104,1,0,0,0.04439951479434967,5.2,0.1719300001859665,0.21307730194754326,0.5588697791099548,0,0.0,0.7403846153846154,0.023195497315421934,0.0,0.0,0.0,0.0,0.9423076923076923,0.0,0.05193001492003571,0.006019931295528435,0.1691010255868045,1.591307520866394,43.662837982177734
1,-111.3776285190641,89.02860949933529,240,0,0,0,0.18255671858787537,12.0,0.10840300470590591,0.198897370401149,0.8222182989120483,13,0.05416666666666667,0.8625,0.1305056145595387,0.0,0.0,0.0,0.0,0.9625,0.07083333333333333,-0.026345876566287507,0.004297514213249087,0.12837148679536767,1.250117540359497,23.541067123413086
2,-89.02218796416673,49.8934353441,240,0,0,0,0.15704447031021118,12.0,0.12100500613451004,0.1990628047302986,0.7678370475769043,0,0.0,0.7291666666666666,0.07902263093765179,0.0,0.0,0.0,0.0,0.975,0.0,0.0010050322154456226,0.0037409991025924684,0.07071096738412355,0.7394049167633057,13.716511726379395
3,-27.898731439816263,24.194672398269176,66,0,1,1,0.2285567820072174,3.3000000000000003,0.1500910371541977,0.22525336198282964,0.6621077060699463,0,0.0,0.6363636363636364,0.015870868195770046,0.0,0.0,0.0,0.0,0.9848484848484849,0.0,0.017620668228871816,0.00433180390885382,0.1206897898210269,1.1898881196975708,19.382278442382812
4,-128.6220598840061,73.08272960409522,240,0,0,0,0.47402599453926086,12.0,0.11379069834947586,0.235057536768727,0.8351908326148987,4,0.016666666666666666,0.8,0.09755236816369635,0.0,0.0,0.0,0.0,0.9333333333333333,0.041666666666666664,-0.03619143223877763,0.0034139451066342494,0.14403502114582806,1.3820784091949463,24.492778778076172
5,-74.52318943951514,52.99974893964827,240,0,0,0,0.1317426860332489,12.0,0.1512664407491684,0.20710175005563844,0.5913578271865845,0,0.0,0.6041666666666666,0.027955337609631654,0.0,0.0,0.0,0.0,0.9833333333333333,0.0,0.02537268718017538,0.0036223481486861906,0.14876566644525155,1.4545785188674927,34.60859680175781
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.08777872905434114,0.003682692802976817,0.11083583997872969,1.1217924356460571,20.07524299621582
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.17551845085158835,0.0037488108991008055,0.15483619223691916,1.5082629919052124,22.353239059448242
8,-9.208578698293529,18.54262898117304,121,1,0,0,0.051921140402555466,6.050000000000001,0.19174392521381378,0.145606771327001,0.5374684929847717,0,0.0,0.7272727272727273,0.05136947536228134,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.07174391825038212,0.003433697633753138,0.1523816725931877,1.423198938369751,24.725749969482422
9,-240.32138903952278,199.7561025507748,240,0,0,0,0.48559334874153137,12.0,0.07374989986419678,0.32836580456544956,0.8231076002120972,39,0.1625,0.9333333333333333,0.24440089552072572,0.1625,0.0,0.1625,0.0,0.7875,0.175,-0.046259121129286845,0.03155947799871986,0.06405488087718064,0.9390206933021545,21.051410675048828
10,-118.08080335271907,123.2877512127161,162,1,0,0,0.05416913330554962,8.1,0.08972475677728653,0.3535013091807932,0.8485468029975891,21,0.12962962962962962,0.6975308641975309,0.08839186564522955,0.0,0.0,0.0,0.0,0.9753086419753086,0.15432098765432098,-0.07184000858226201,0.0035706202924987414,0.16315553589712506,1.5204440355300903,26.169824600219727
11,8.48536767877459,9.59589870274067,57,1,0,0,0.053704164922237396,2.85,0.26984450221061707,0.15454161402426267,0.2507801353931427,0,0.0,0.5263157894736842,0.006779172360663458,0.0,0.0,0.0,0.0,1.0,0.0,0.1451091593705427,0.0043980878238615235,0.18681762387093745,1.7093874216079712,47.340248107910156
12,-14.769000107036671,23.150821432471275,72,1,0,0,0.05288627743721008,3.6,0.16309385001659393,0.30346669173902935,0.549300491809845,0,0.0,0.7361111111111112,0.011470066143164174,0.0,0.0,0.0,0.0,0.9861111111111112,0.0,0.043093850394403777,0.004457620076007313,0.20022352686565784,1.7407413721084595,43.502601623535156
13,2.100752015824611,18.598829470574856,78,1,0,0,0.05191381275653839,3.9000000000000004,0.18144144117832184,0.23232178122569352,0.39134037494659424,0,0.0,0.48717948717948717,0.0008058014114688014,0.0,0.0,0.0,0.0,1.0,0.0,0.0614414199403473,0.0043028444768144535,0.10199167142407252,1.0086997747421265,20.066686630249023
