step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.4108995751363819,0.07657089829444885,0.45937690138816833,0.44914764165878296,0.07222705334424973,0.35,5,0,0,0,0.3627084493637085,7.254168510437012,145.0833740234375,0.4028318524360657,filtered,0.04936884338443949,0,0,12,joint_3_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3108313353767355,0.010531522333621979
1,0.1,-0.2847159706050071,0.06995846331119537,0.44862881302833557,0.45436638593673706,0.06721403449773788,0.35,5,0,0,0,0.6729291081428528,7.541533946990967,123.06414031982422,0.6729279160499573,filtered,1.613371732193989e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3097006447934171,0.0034218579530715942
2,0.15000000000000002,-0.18684762499858784,0.07080765068531036,0.433991402387619,0.46238428354263306,0.06792920082807541,0.35,5,0,0,0,0.8936086893081665,5.3068742752075195,62.9001579284668,0.8936077952384949,filtered,1.3154350477870009e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.31492942230237614,0.0035680150613188744
3,0.2,-0.11526025460362241,0.07170066982507706,0.41697636246681213,0.47128826379776,0.06868281960487366,0.35,5,0,0,0,0.9697242379188538,4.573543071746826,105.70226287841797,0.969723641872406,filtered,9.758205701954619e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32287706541495836,0.0036367978900671005
4,0.25,-0.05979384764913398,0.07263918966054916,0.39858391880989075,0.4759317636489868,0.06947650015354156,0.35,3,0,0,0,1.0244600772857666,2.191718816757202,56.16720199584961,1.0244593620300293,filtered,9.231104400494307e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.32994273566081717,0.007107708603143692
5,0.30000000000000004,-0.019595440009118475,0.07362494617700577,0.37954849004745483,0.47983402013778687,0.07031185925006866,0.35,3,0,0,0,1.0567302703857422,2.2228336334228516,72.93268585205078,1.0567295551300049,filtered,1.3745961147920277e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33354595379389934,0.003781788982450962
6,0.35000000000000003,0.011950333404925004,0.07465969026088715,0.3602883815765381,0.4765545427799225,0.07119055837392807,0.35,2,0,0,0,1.0752394199371338,2.1365697383880615,16.95361328125,1.0752394199371338,passthrough,4.843477703467513e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33740057749150104,0.007858696393668652
7,0.4,0.037580412208473885,0.07574516534805298,0.3410492539405823,0.47291794419288635,0.07211428880691528,0.35,2,0,0,0,1.0641355514526367,1.8695791959762573,23.835254669189453,1.0641355514526367,passthrough,4.375705703525837e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3350368646366015,0.005418546497821808
8,0.45,0.05795439071880282,0.07688314467668533,0.32200008630752563,0.46908804774284363,0.073084756731987,0.35,2,0,0,0,1.0336153507232666,2.6064741611480713,20.799978256225586,1.0336153507232666,passthrough,4.45433390927232e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.33151476548870246,0.004171665757894516
9,0.5,0.07544169383034385,0.07840032130479813,0.3031744956970215,0.465102881193161,0.07442861050367355,0.35,2,0,0,0,1.0136628150939941,3.4482839107513428,18.25859832763672,1.0136628150939941,passthrough,4.512217097816775e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3277958845116266,0.003843446262180805
