step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.2980637460463197,0.25348955392837524,0.3241523504257202,0.3527558743953705,0.2207919955253601,0.35,5,0,0,0,0.47285574674606323,9.457114219665527,189.1422882080078,0.5393888354301453,filtered,0.07210902359574535,0,0,12,joint_4_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.19784555358164746,0.0035810470581054688
1,0.1,-0.08337839363599528,0.2189161777496338,0.3059431314468384,0.3451305329799652,0.18373927474021912,0.35,5,0,0,0,0.7009001970291138,7.089258193969727,182.08213806152344,0.7008998990058899,filtered,6.7198967123575e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.18776334616817297,0.003525085747241974
2,0.15000000000000002,0.06525249328303745,0.19926640391349792,0.2821800708770752,0.33870044350624084,0.1617288589477539,0.35,5,0,0,0,0.8993182182312012,6.2968316078186035,55.244049072265625,0.8993179798126221,filtered,6.523359893578359e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.17977870532606555,0.008157053962349892
3,0.2,0.15808892428271037,0.1908726692199707,0.2554977536201477,0.332865446805954,0.15107254683971405,0.35,5,0,0,0,0.9977768659591675,2.760277032852173,95.54531860351562,0.9977768063545227,filtered,1.9639978919084522e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.1729176283905181,0.00436912477016449
4,0.25,0.19233569493225533,0.2025873064994812,0.22772210836410522,0.326720654964447,0.16044016182422638,0.35,5,0,0,0,1.007977843284607,3.638537883758545,80.30107879638672,1.007977843284607,passthrough,9.60146262498399e-10,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.16670440147139587,0.004606522619724274
5,0.30000000000000004,0.19038013328070852,0.22223737835884094,0.20027127861976624,0.3199567496776581,0.17763009667396545,0.35,5,0,0,0,0.9841318726539612,3.5780632495880127,46.02833938598633,0.9841318130493164,filtered,1.361028083643455e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.16032573095515756,0.003546718508005142
6,0.35000000000000003,0.18641557225218747,0.2051757425069809,0.175043523311615,0.31418484449386597,0.15871155261993408,0.35,5,0,0,0,0.9820405840873718,3.5040128231048584,22.196043014526367,0.9820404648780823,filtered,3.5009902644838235e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.15354781547054092,0.002990987151861191
7,0.4,0.14242761325669434,0.1763254851102829,0.154610738158226,0.31060561537742615,0.12924206256866455,0.35,5,0,0,0,1.0093191862106323,3.5043883323669434,16.70410919189453,1.0093188285827637,filtered,8.075491054870509e-07,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.14805671678144916,0.004459671676158905
8,0.45,0.030706468773557205,0.1641128808259964,0.1414978802204132,0.3096136152744293,0.11791197210550308,0.35,5,0,0,0,1.0677217245101929,3.4187614917755127,46.96601104736328,1.0677212476730347,filtered,9.304175225279605e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.1451091674057694,0.0034327981993556023
9,0.5,-0.15112950589094254,0.15891198813915253,0.13889068365097046,0.3124864101409912,0.11547601222991943,0.35,5,0,0,0,1.1181615591049194,2.3786802291870117,29.46215057373047,1.1181610822677612,filtered,8.737903378410642e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.14513714634085206,0.004481877200305462
10,0.55,-0.35728187933341315,0.14849154651165009,0.14804445207118988,0.3198375105857849,0.10950187593698502,0.35,5,0,0,0,1.14055335521698,1.371793270111084,37.44426345825195,1.1405531167984009,filtered,4.82741236935659e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.14939549872659236,0.003292527049779892
11,0.6000000000000001,-0.5381241591172006,0.13485226035118103,0.16732457280158997,0.33090940117836,0.10116711258888245,0.35,5,0,0,0,1.1371644735336304,1.53199303150177,33.62455749511719,1.1371642351150513,filtered,5.198646591363943e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.15841101415391262,0.005775956436991692
12,0.65,-0.6707921809551365,0.12021925300359726,0.19373351335525513,0.344553142786026,0.09189965575933456,0.35,5,0,0,0,1.132900595664978,1.2109895944595337,15.609543800354004,1.132900357246399,filtered,7.342518312789711e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.17133785707861537,0.004513473249971867
13,0.7000000000000001,-0.7500032237910402,0.10662912577390671,0.22389839589595795,0.35906538367271423,0.08313284069299698,0.35,5,0,0,0,1.1117552518844604,1.2051095962524414,30.564472198486328,1.1117547750473022,filtered,9.633506306479751e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.1869546012391513,0.005457504652440548
14,0.75,-0.7554064899550588,0.09619750827550888,0.25332796573638916,0.37142956256866455,0.07645607739686966,0.35,5,0,0,0,1.0323669910430908,3.3564982414245605,49.44703674316406,1.040594458580017,filtered,0.00992450285138525,0,1,12,workspace_z_upper,workspace_z_upper,0,0,1,solved,osqp,1.3553613786854157e-10,valid,0.20353944442401334,0.0037419097498059273
15,0.8,-0.69642191968256,0.08995117247104645,0.2782704532146454,0.3788975477218628,0.07274419069290161,0.35,5,0,0,0,0.8964202404022217,5.135252952575684,45.99980926513672,0.8964201807975769,filtered,1.9532906571991153e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.21803244856980397,0.004727780818939209
16,0.8500000000000001,-0.5615720976717977,0.08890441060066223,0.29458940029144287,0.378591924905777,0.07289160788059235,0.35,5,0,0,0,0.642909049987793,7.321755409240723,78.74742889404297,0.639729917049408,filtered,0.006221741565610079,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.22763031618113722,0.005464976653456688
