step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.42290996548019455,0.25067436695098877,0.26599958539009094,0.3384378254413605,0.2117576003074646,0.35,3,0,0,0,0.4541866183280945,9.083732604980469,181.6746368408203,0.529319703578949,1.0,0.17982698809210984,0,0,0,0.0,filtered,0.08130052923397497,0,0,12,joint_2_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17982698809210984,0.2305605374276638
1,0.1,-0.41921398560690737,0.22113129496574402,0.26870375871658325,0.33577588200569153,0.21050886809825897,0.35,3,0,0,0,0.7832980751991272,7.074002265930176,88.7446517944336,0.7832972407341003,1.0,0.17134990244683812,0,0,0,0.0,filtered,1.2548954783574644e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17134990244683812,0.005261814221739769
2,0.15000000000000002,-0.47353364620825356,0.23003652691841125,0.2737496793270111,0.33485767245292664,0.21793708205223083,0.35,3,0,0,0,0.9205878973007202,5.284670829772949,115.57579803466797,0.924972653388977,1.0,0.16841474921500055,0,0,0,0.0,filtered,0.117046638672575,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16841474921500055,0.015424301847815514
3,0.2,-0.5155917269774843,0.2192227840423584,0.2812562584877014,0.3325903117656708,0.20565475523471832,0.35,3,0,0,0,1.0056862831115723,5.5139384269714355,82.31978607177734,1.0161175727844238,1.0,0.16724001415150086,0,0,0,0.0,filtered,0.052169337696363116,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16724001415150086,0.0025963429361581802
4,0.25,-0.5755171403519534,0.21450841426849365,0.2917506694793701,0.3302864134311676,0.1994403898715973,0.35,3,0,0,0,1.1241317987442017,4.327149391174316,54.7966194152832,1.1241317987442017,1.0,0.16480283885901642,0,0,0,0.0,passthrough,4.6539349135502635e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16480283885901642,0.003357783891260624
5,0.30000000000000004,-0.6506205427337783,0.22120672464370728,0.30519068241119385,0.3287334442138672,0.20448163151741028,0.35,3,0,0,0,1.2217639684677124,3.4797701835632324,54.81446075439453,1.2217639684677124,1.0,0.162386329706746,0,0,0,0.0,passthrough,5.142500829528643e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.162386329706746,0.0034098494797945023
6,0.35000000000000003,-0.7144381620565403,0.22790631651878357,0.3207656741142273,0.3270697295665741,0.20936943590641022,0.35,3,0,0,0,1.285136342048645,2.0018978118896484,32.455078125,1.2851357460021973,1.0,0.16075699337696298,0,0,0,0.0,filtered,1.00069478222957e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.16075699337696298,0.002397269941866398
7,0.4,-0.7321968320848493,0.23896726965904236,0.33562347292900085,0.3229914903640747,0.21845589578151703,0.35,3,0,0,0,1.280290126800537,2.2426605224609375,52.818031311035156,1.280290126800537,1.0,0.15905966248144937,0,0,0,0.0,passthrough,5.439937383820571e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.15905966248144937,0.003135186620056629
8,0.45,-0.7122281500112075,0.2859475612640381,0.3459033668041229,0.31485113501548767,0.24620361626148224,0.35,3,0,0,0,1.2611061334609985,4.409331798553467,55.06593704223633,1.253040075302124,1.0,0.15500317517265338,0,0,0,0.0,filtered,0.03570868831336425,0,0,12,joint_0_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.15500317517265338,0.0024369843304157257
9,0.5,-0.7808710117283368,0.2992078363895416,0.3583490550518036,0.30674782395362854,0.2475513368844986,0.35,3,0,0,0,1.2916172742843628,2.850782871246338,107.98602294921875,1.2916165590286255,1.0,0.14691559951257438,0,0,0,0.0,filtered,1.1046126734981177e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.14691559951257438,0.0027089305222034454
10,0.55,-0.8346530550248292,0.33098164200782776,0.37094271183013916,0.2978147864341736,0.27553945779800415,0.35,3,0,0,0,1.215085506439209,4.229184150695801,86.63639068603516,1.215085506439209,1.0,0.13891088773125682,0,0,0,0.0,passthrough,9.884148545523175e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.13891088773125682,0.002793986350297928
11,0.6000000000000001,-0.8825152562565793,0.32852381467819214,0.38517695665359497,0.28991809487342834,0.26955291628837585,0.35,3,0,0,0,1.1757744550704956,3.2441623210906982,58.29771041870117,1.1757744550704956,1.0,0.13012432651572386,0,0,0,0.0,passthrough,6.611420620883077e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.13012432651572386,0.012873332016170025
12,0.65,-0.8701381468925413,0.408921480178833,0.39344578981399536,0.2787541449069977,0.34442782402038574,0.35,3,0,0,0,1.1441055536270142,5.271138668060303,103.42706298828125,1.1377118825912476,1.0,0.12238883819089713,0,0,0,0.0,filtered,0.05307903476540302,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.12238883819089713,0.0025366125628352165
13,0.7000000000000001,-0.9538177901057326,0.3619086444377899,0.4077192544937134,0.27138686180114746,0.2980087995529175,0.35,3,0,0,0,1.2152063846588135,5.016772747039795,192.72645568847656,1.215205192565918,1.0,0.11136251838777927,0,0,0,0.0,filtered,1.4784382578385665e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.11136251838777927,0.0023635756224393845
14,0.75,-0.9541208006997351,0.4329519271850586,0.4171806871891022,0.26145198941230774,0.35884982347488403,0.35,3,0,0,0,1.2010841369628906,5.276014804840088,197.13938903808594,1.1999613046646118,1.0,0.10411643721544095,0,0,0,0.0,filtered,0.023773196406471117,0,0,12,joint_3_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.10411643721544095,0.01849475782364607
15,0.8,-1.0068814575201521,0.42968910932540894,0.4287899434566498,0.2530849277973175,0.3503204882144928,0.35,3,0,0,0,1.2529544830322266,2.2452263832092285,124.94608306884766,1.2529544830322266,1.0,0.09426777159691963,0,0,0,0.0,passthrough,1.0873445218071819e-11,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.09426777159691963,0.013575121760368347
16,0.8500000000000001,-1.0310395362295588,0.46817630529403687,0.43860867619514465,0.24402271211147308,0.38256537914276123,0.35,3,0,0,0,1.2814708948135376,3.702566623687744,88.28877258300781,1.2814692258834839,1.0,0.0859423009309519,0,0,0,0.0,filtered,2.0946183432059967e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.0859423009309519,0.002349003218114376
