step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-1.120175932542393,0.1400061994791031,0.7478249669075012,0.4681350886821747,0.1379934847354889,0.35,2,0,0,0,0.48692068457603455,9.738412857055664,194.7682647705078,0.5643681287765503,1.0,0.33494415578019315,0,0,0,0.0,filtered,0.08647937957678249,0,0,12,joint_4_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.33494415578019315,0.00435872096568346
1,0.1,-0.9895674983959373,0.2028619796037674,0.7317682504653931,0.4600142538547516,0.20111636817455292,0.35,2,0,0,0,0.8234484195709229,6.897006034851074,73.71257019042969,0.8234479427337646,1.0,0.32709070941513935,0,0,0,0.0,filtered,1.012474954579472e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.32709070941513935,0.004342404194176197
2,0.15000000000000002,-0.8634654281826377,0.23350176215171814,0.7104830145835876,0.45273634791374207,0.23139502108097076,0.35,2,0,0,0,0.8496106266975403,5.937746524810791,181.45388793945312,0.8425363898277283,1.0,0.31917469275965266,0,0,0,0.0,filtered,0.0805701941970206,0,0,12,joint_5_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.31917469275965266,0.009029977954924107
3,0.2,-0.7484004225171986,0.24883770942687988,0.6857806444168091,0.4465896785259247,0.2462756335735321,0.35,2,0,0,0,0.9120076894760132,6.012646198272705,38.45331573486328,0.9119014739990234,1.0,0.31216431773502035,0,0,0,0.0,filtered,0.00888625087642445,0,0,12,joint_3_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.31216431773502035,0.00926212314516306
4,0.25,-0.6436200558683802,0.2579613924026489,0.6589264273643494,0.43911808729171753,0.254842609167099,0.35,3,0,0,0,0.9978338479995728,2.581660270690918,102.85050201416016,0.9978337287902832,1.0,0.30622557182702026,0,0,0,0.0,filtered,2.1033199586475138e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.30622557182702026,0.0028111282736063004
5,0.30000000000000004,-0.5475910333122559,0.2532743513584137,0.6310169100761414,0.4305935502052307,0.2495190054178238,0.35,3,0,0,0,1.0278714895248413,1.7980865240097046,67.70282745361328,1.0278712511062622,1.0,0.29707545170118443,0,0,0,0.0,filtered,4.2638036268893014e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.29707545170118443,0.0023246463388204575
6,0.35000000000000003,-0.4582954956221511,0.24651393294334412,0.6024417877197266,0.42263251543045044,0.24205335974693298,0.35,3,0,0,0,1.0514582395553589,1.6172504425048828,10.583667755126953,1.0514580011367798,1.0,0.28843733949838923,0,0,0,0.0,filtered,4.3727690072526035e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.28843733949838923,0.006779536604881287
7,0.4,-0.3777154402651831,0.23588648438453674,0.5737414360046387,0.41545355319976807,0.2306785136461258,0.35,3,0,0,0,1.065664291381836,0.8764472007751465,21.50213623046875,1.0656641721725464,1.0,0.2804241689110799,0,0,0,0.0,filtered,2.323062397482785e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2804241689110799,0.0023683588951826096
8,0.45,-0.3039251514004744,0.2201957106590271,0.5453400015830994,0.4093164801597595,0.214239701628685,0.35,3,0,0,0,1.0698561668395996,1.2799439430236816,15.361353874206543,1.0698561668395996,1.0,0.27326929732829963,0,0,0,0.0,passthrough,2.916370808380205e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.27326929732829963,0.00989735871553421
9,0.5,-0.23811261359018432,0.1990540772676468,0.5177072286605835,0.4044804573059082,0.19239996373653412,0.35,3,0,0,0,1.074925184249878,2.0171756744384766,22.14002799987793,1.074925184249878,1.0,0.26724468134552004,0,0,0,0.0,filtered,6.340245771345431e-08,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.26724468134552004,0.0026001352816820145
