step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.2833977915563639,0.17878276109695435,0.2848764657974243,0.4768039286136627,0.1710057407617569,0.35,2,0,0,0,0.39858606457710266,7.971721172332764,159.43441772460938,0.4484015703201294,1.0,0.330266770010418,0,0,0,0.0,filtered,0.05830427267651984,0,0,12,joint_1_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.330266770010418,0.002455483190715313
1,0.1,-0.26077226507231016,0.20563198626041412,0.2790239453315735,0.46306344866752625,0.1968495398759842,0.35,2,0,0,0,0.6585645079612732,6.911528587341309,140.21734619140625,0.6585639715194702,1.0,0.3265785998700214,0,0,0,0.0,filtered,7.049847580683646e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3265785998700214,0.002421530894935131
2,0.15000000000000002,-0.2324973556712457,0.20901955664157867,0.27194496989250183,0.44943735003471375,0.1995355635881424,0.35,2,0,0,0,0.8034221529960632,5.469207763671875,108.34000396728516,0.803420901298523,1.0,0.31286449530210464,0,0,0,0.0,filtered,1.5660470168489527e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.31286449530210464,0.0018323343247175217
3,0.2,-0.2418727524565532,0.2125691920518875,0.2656310498714447,0.4362039268016815,0.20230485498905182,0.35,2,0,0,0,0.8422527313232422,4.283002853393555,134.3001251220703,0.8422521352767944,1.0,0.2992435869801291,0,0,0,0.0,filtered,7.716825143261784e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2992435869801291,0.0023799538612365723
4,0.25,-0.27508713814017055,0.2321150004863739,0.26040536165237427,0.42231735587120056,0.22055944800376892,0.35,2,0,0,0,0.8745262026786804,3.7584848403930664,79.6948471069336,0.8745256066322327,1.0,0.28599648416369894,0,0,0,0.0,filtered,1.0639171785138739e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.28599648416369894,0.002352309413254261
5,0.30000000000000004,-0.25979336283499216,0.2420276403427124,0.2540843188762665,0.40854671597480774,0.22906777262687683,0.35,2,0,0,0,0.874808132648468,4.926266193389893,162.3448028564453,0.874808132648468,1.0,0.2720359503727693,0,0,0,0.0,passthrough,4.726072036934283e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2720359503727693,0.0023395512253046036
6,0.35000000000000003,-0.2678738509604084,0.24761581420898438,0.24831916391849518,0.39524027705192566,0.23313122987747192,0.35,2,0,0,0,0.9021385312080383,2.657088041305542,103.08677673339844,0.9021379351615906,1.0,0.25826700407955294,0,0,0,0.0,filtered,8.385916792624005e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.25826700407955294,0.0023078126832842827
7,0.4,-0.28030727796840155,0.25546303391456604,0.24305634200572968,0.3822801411151886,0.2393099069595337,0.35,2,0,0,0,0.8573582172393799,3.771296501159668,96.01417541503906,0.8573578000068665,1.0,0.24495144331201507,0,0,0,0.0,filtered,7.118228003771725e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24495144331201507,0.0026438431814312935
8,0.45,-0.3011339814174822,0.2658877372741699,0.2386615127325058,0.369541734457016,0.2479351907968521,0.35,2,0,0,0,0.7837796211242676,2.084552049636841,100.45780181884766,0.7837788462638855,1.0,0.23196376206793384,0,0,0,0.0,filtered,1.2152459495160317e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.23196376206793384,0.0026896195486187935
9,0.5,-0.32780518972210193,0.2778397798538208,0.23523779213428497,0.3569835126399994,0.25792255997657776,0.35,2,0,0,0,0.7540375590324402,3.0310773849487305,47.429080963134766,0.7540374398231506,1.0,0.21923971862112845,0,0,0,0.0,filtered,3.9144417501354117e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21923971862112845,0.0027906782925128937
10,0.55,-0.318128024415233,0.2863703966140747,0.23101766407489777,0.3448801040649414,0.264385849237442,0.35,2,0,0,0,0.6802351474761963,3.1330666542053223,102.58711242675781,0.6802351474761963,1.0,0.2067028177794507,0,0,0,0.0,passthrough,1.0234955251443776e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2067028177794507,0.0028875302523374557
11,0.6000000000000001,-0.3390132150716443,0.283749520778656,0.22826071083545685,0.3339199721813202,0.25973784923553467,0.35,2,0,0,0,0.6448447704315186,2.613328218460083,56.57646179199219,0.6448447704315186,1.0,0.19465583476942966,0,0,0,0.0,passthrough,9.362624410991447e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.19465583476942966,0.002653609961271286
12,0.65,-0.32129803613892366,0.2965305745601654,0.22396516799926758,0.3231869637966156,0.2693744897842407,0.35,2,0,0,0,0.5771865844726562,4.2029032707214355,111.2719497680664,0.5771864652633667,1.0,0.1837792979756827,0,0,0,0.0,filtered,2.7635146428494244e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1837792979756827,0.0028445525094866753
13,0.7000000000000001,-0.3968967763042634,0.2991056442260742,0.22369566559791565,0.31320440769195557,0.27091485261917114,0.35,2,0,0,0,0.6024922132492065,5.062285423278809,176.8739013671875,0.603018045425415,1.0,0.17327433806328008,0,0,0,0.0,filtered,0.0013026823604123986,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17327433806328008,0.002915654331445694
14,0.75,-0.3346587044693648,0.3164714574813843,0.2191474288702011,0.30337780714035034,0.28425684571266174,0.35,2,0,0,0,0.4806356132030487,6.327966690063477,216.70323181152344,0.48036104440689087,1.0,0.16338668287492464,0,0,0,0.0,filtered,0.003848902143649155,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16338668287492464,0.0028992071747779846
15,0.8,-0.4694000916966992,0.31582823395729065,0.222006693482399,0.294301301240921,0.2834795415401459,0.35,2,0,0,0,0.5633660554885864,5.942348480224609,226.71604919433594,0.5653716921806335,1.0,0.1538938734338387,0,0,0,0.0,filtered,0.004159773886203755,0,0,12,joint_0_acceleration_upper,workspace_z_lower,1,0,0,inaccurate_solution,,0.0,valid,0.1538938734338387,0.0028527211397886276
16,0.8500000000000001,-0.4327423760893831,0.3181399703025818,0.22271649539470673,0.28591910004615784,0.2839454114437103,0.35,2,0,0,0,0.5279121398925781,5.119274139404297,196.57791137695312,0.5279120802879333,1.0,0.14500615536057576,0,0,0,0.0,filtered,1.6782160777438313e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.14500615536057576,0.0027839476242661476
17,0.9,-0.4727876463632778,0.32388919591903687,0.22530852258205414,0.2780517339706421,0.28789907693862915,0.35,2,0,0,0,0.5787321329116821,2.6722655296325684,121.2937240600586,0.5787318348884583,1.0,0.1369950771241481,0,0,0,0.0,filtered,5.299402416616505e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1369950771241481,0.0028160335496068
18,0.9500000000000001,-0.4719364893113087,0.3144635856151581,0.22819645702838898,0.2713050842285156,0.27696892619132996,0.35,2,0,0,0,0.6132422089576721,3.6644749641418457,95.45097351074219,0.6132422089576721,1.0,0.12949531239839962,0,0,0,0.0,passthrough,9.281521373726194e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.12949531239839962,0.0019295793026685715
19,1.0,-0.5359760893000228,0.3312002718448639,0.23346096277236938,0.2644997537136078,0.2920026183128357,0.35,2,0,0,0,0.6073256134986877,3.172808885574341,64.79798889160156,0.6073256134986877,1.0,0.1231343348736047,0,0,0,0.0,passthrough,8.117902376147382e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1231343348736047,0.0017950451001524925
20,1.05,-0.6004145921363443,0.3410147726535797,0.24131889641284943,0.2579216957092285,0.3002399504184723,0.35,2,0,0,0,0.5818554162979126,3.856675148010254,98.16876220703125,0.5818554162979126,1.0,0.11663616480298061,0,0,0,0.0,passthrough,9.953345306908042e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11663616480298061,0.001827029511332512
21,1.1,-0.6262578028925236,0.3287617564201355,0.25081968307495117,0.2523657977581024,0.2869563698768616,0.35,2,0,0,0,0.6083461046218872,2.570719003677368,60.276268005371094,0.6083461046218872,1.0,0.11043794101788124,0,0,0,0.0,passthrough,1.0440440471863632e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.11043794101788124,0.0018036840483546257
22,1.1500000000000001,-0.6224775672010776,0.3153596520423889,0.26028573513031006,0.2477002888917923,0.2729555666446686,0.35,2,0,0,0,0.6248607635498047,3.5094876289367676,99.4730453491211,0.6248607635498047,1.0,0.10540175961535497,0,0,0,0.0,passthrough,8.586534914225249e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10540175961535497,0.0017902161926031113
23,1.2000000000000002,-0.6535543992632304,0.3359817862510681,0.26976317167282104,0.24276547133922577,0.29273149371147156,0.35,2,0,0,0,0.6399210095405579,3.787370443344116,52.51661682128906,0.6399210095405579,1.0,0.10132590143872477,0,0,0,0.0,passthrough,6.83714764488256e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10132590143872477,0.0019443919882178307
24,1.25,-0.6664714062581886,0.3427300453186035,0.27901384234428406,0.23800550401210785,0.29885080456733704,0.35,2,0,0,0,0.6385067701339722,3.9138729572296143,117.35867309570312,0.6385067701339722,1.0,0.09689263133590653,0,0,0,0.0,passthrough,7.684303735944106e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09689263133590653,0.0017560739070177078
25,1.3,-0.6790848389231385,0.35692405700683594,0.2876514792442322,0.23314572870731354,0.3127249777317047,0.35,2,0,0,0,0.5270175337791443,3.4591481685638428,98.69371032714844,0.5270175337791443,1.0,0.09271389303268135,0,0,0,0.0,passthrough,7.557771703681438e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09271389303268135,0.0017216317355632782
26,1.35,-0.6593901567029491,0.3588837683200836,0.29464638233184814,0.22882883250713348,0.30940863490104675,0.35,2,0,0,0,0.5451148748397827,3.1066887378692627,83.92647552490234,0.5451148748397827,1.0,0.08860189344233482,0,0,0,0.0,passthrough,8.749962343751839e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.08860189344233482,0.00196054857224226
27,1.4000000000000001,-0.6531069042409468,0.34033507108688354,0.3017483651638031,0.22544698417186737,0.2904113531112671,0.35,2,0,0,0,0.6948351860046387,5.3216447830200195,96.91250610351562,0.6948350667953491,1.0,0.08524336313240177,0,0,0,0.0,filtered,5.230867368815012e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.08524336313240177,0.001835038885474205
28,1.4500000000000002,-0.7117473623513081,0.36700108647346497,0.31009066104888916,0.22127316892147064,0.32429248094558716,0.35,2,0,0,0,0.7191597819328308,4.767088890075684,107.16442108154297,0.7191597819328308,1.0,0.08289767750809107,0,0,0,0.0,filtered,4.033842753188542e-08,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.08289767750809107,0.001961211673915386
29,1.5,-0.7216940694125618,0.3929576873779297,0.3169928789138794,0.2171727567911148,0.3417501747608185,0.35,2,0,0,0,0.601595938205719,5.939267635345459,198.64842224121094,0.5988694429397583,0.9940769603433313,0.0795261568274665,0,0,0,0.0,filtered,0.06720774174280986,0,0,12,joint_3_acceleration_upper,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.0795261568274665,0.0019509484991431236
30,1.55,-0.7329688339949048,0.3407497704029083,0.3267998993396759,0.21489419043064117,0.2899192273616791,0.35,2,0,0,0,0.7223890423774719,4.578588485717773,144.42430114746094,0.7223889827728271,0.9417608725467708,0.07534086980374166,0,0,0,0.0,filtered,2.207985406699058e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.07534086980374166,0.002951732836663723
31,1.6,-0.7153252346156387,0.36713773012161255,0.3336566984653473,0.2127884477376938,0.31648144125938416,0.35,2,0,0,0,0.6812490820884705,4.595144271850586,136.4326629638672,0.6812490820884705,0.9130219898855859,0.07304175919084688,0,0,0,0.0,passthrough,8.120485469535426e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07304175919084688,0.002927386201918125
32,1.6500000000000001,-0.7414993771856769,0.30298563838005066,0.3447483479976654,0.21250630915164948,0.25387126207351685,0.35,2,0,0,0,0.7867746949195862,3.4076390266418457,131.04000854492188,0.7867745757102966,0.8782243984194082,0.07025795187355266,0,0,0,0.0,filtered,3.4911667707994213e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07025795187355266,0.0028370451182127
33,1.7000000000000002,-0.7587654804083344,0.3055872619152069,0.3557373583316803,0.2107454091310501,0.2581203281879425,0.35,3,0,0,0,0.736017644405365,4.772730827331543,131.0028076171875,0.736017644405365,0.8686643393324318,0.06949314714659455,0,0,0,0.0,filtered,2.4650513056051957e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.06949314714659455,0.0026486096903681755
34,1.75,-0.8064921496386797,0.2988169491291046,0.36882439255714417,0.20985619723796844,0.2538491487503052,0.35,3,0,0,0,0.7599436044692993,0.6761609315872192,102.25226593017578,0.7599436044692993,0.8580535417973122,0.06864428334378497,0,0,0,0.0,passthrough,9.309667034946029e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.06864428334378497,0.0018002241849899292
35,1.8,-0.8273863316395285,0.2944328188896179,0.3821603059768677,0.2093491107225418,0.25240397453308105,0.35,3,0,0,0,0.712812066078186,2.8531951904296875,59.70263671875,0.712812066078186,0.8620635518411878,0.06896508414729502,0,0,0,0.0,passthrough,6.134472282639302e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.06896508414729502,0.0017581572756171227
36,1.85,-0.8362901190439678,0.2917969822883606,0.39503759145736694,0.20903320610523224,0.2530299425125122,0.35,3,0,0,0,0.6894673705101013,2.4343392848968506,33.206031799316406,0.6894673705101013,0.8724263759485581,0.06979411007588465,0,0,0,0.0,passthrough,4.76553998698787e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.06979411007588465,0.0018242737278342247
37,1.9000000000000001,-0.8280233764242715,0.28879794478416443,0.40658169984817505,0.2087656408548355,0.253561407327652,0.35,3,0,0,0,0.7008708715438843,2.8532845973968506,38.752662658691406,0.7008708715438843,0.8866394134197791,0.07093115307358233,0,0,0,0.0,passthrough,6.045531030121447e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07093115307358233,0.001829291693866253
38,1.9500000000000002,-0.8224505642438517,0.28458431363105774,0.41709235310554504,0.2088821679353714,0.2533297836780548,0.35,3,0,0,0,0.7166487574577332,2.7247567176818848,56.99674987792969,0.7166487574577332,0.9029764782016385,0.07223811825613108,0,0,0,0.0,passthrough,5.240132646820871e-10,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07223811825613108,0.0017555253580212593
39,2.0,-0.8869093374520123,0.2755734920501709,0.43045446276664734,0.21093647181987762,0.24928341805934906,0.35,3,0,0,0,0.7477746605873108,1.5355210304260254,50.3493537902832,0.7477746605873108,0.9262349582663344,0.07409879666130675,0,0,0,0.0,passthrough,4.244385725211081e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.07409879666130675,0.002016991376876831
40,2.0500000000000003,-0.9126713670117824,0.26376044750213623,0.4444141089916229,0.21422193944454193,0.242954283952713,0.35,3,0,0,0,0.8469725847244263,5.127851963043213,124.40897369384766,0.8469724059104919,0.9772169893505419,0.07817735914804336,0,0,0,0.0,filtered,4.4283686538590416e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.07817735914804336,0.0019187508150935173
41,2.1,-0.9464863877409254,0.24868611991405487,0.4596148729324341,0.21919821202754974,0.2336919903755188,0.35,3,0,0,0,0.943596363067627,4.116860389709473,86.53645324707031,0.943596363067627,1.0,0.08374331353539888,0,0,0,0.0,filtered,1.0084327982458691e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.08374331353539888,0.0017643347382545471
42,2.15,-0.9790652161378333,0.23191052675247192,0.4758893847465515,0.22554142773151398,0.2224288433790207,0.35,3,0,0,0,0.9965105056762695,3.5666000843048096,46.11027908325195,0.9965100884437561,1.0,0.09124270924249317,0,0,0,0.0,filtered,1.134684536381841e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.09124270924249317,0.0018132971599698067
43,2.2,-0.9568816628177504,0.21744881570339203,0.4901807904243469,0.23145921528339386,0.21244457364082336,0.35,3,0,0,0,0.9454754590988159,4.041200637817383,64.42759704589844,0.9454754590988159,1.0,0.10017943581477706,0,0,0,0.0,passthrough,4.323941313057743e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.10017943581477706,0.0019062589854001999
44,2.25,-0.8672319887916639,0.20804628729820251,0.49902114272117615,0.2352079600095749,0.20636987686157227,0.35,3,0,0,0,0.8882197141647339,4.489051818847656,37.30682373046875,0.8882197141647339,1.0,0.1084566587637838,0,0,0,0.0,passthrough,4.422254049065272e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.1084566587637838,0.0017912723124027252
45,2.3000000000000003,-0.8007475006994358,0.20334717631340027,0.5039169192314148,0.2372073084115982,0.20320677757263184,0.35,3,0,0,0,0.9643518328666687,3.757424831390381,78.067138671875,0.9643518328666687,1.0,0.1141616612853335,0,0,0,0.0,passthrough,5.0629146932998295e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.1141616612853335,0.001937156543135643
46,2.35,-0.7016070871935793,0.2096129059791565,0.503025233745575,0.2360183447599411,0.2096129059791565,0.35,3,0,0,0,0.9947713613510132,4.444939136505127,53.756187438964844,0.9947713613510132,1.0,0.11711784719003265,0,0,0,0.0,passthrough,6.189504294938563e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.11711784719003265,0.0017752954736351967
47,2.4000000000000004,-0.6920429797074874,0.29198911786079407,0.4975866675376892,0.23172394931316376,0.29198911786079407,0.35,3,0,0,0,1.0687347650527954,5.256491184234619,49.87810134887695,1.0687347650527954,1.0,0.11601832489965941,0,0,0,0.0,passthrough,4.64412911792218e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.11601832489965941,0.001820550300180912
48,2.45,-0.7227847864262185,0.3413575291633606,0.4916224479675293,0.2263287454843521,0.34135758876800537,0.35,3,0,0,0,0.9166638255119324,7.347072124481201,147.14935302734375,0.8723612427711487,1.0,0.11172394158255017,0,0,0,0.0,filtered,0.17551519607281307,0,0,12,joint_3_acceleration_lower|joint_0_acceleration_upper|joint_5_acceleration_upper,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.11172394158255017,0.0018831286579370499
49,2.5,-0.7130585552712552,0.41745930910110474,0.48197248578071594,0.21863730251789093,0.41745930910110474,0.35,3,0,0,0,0.8884700536727905,6.858287811279297,66.7237777709961,0.8586404323577881,1.0,0.10632876469774244,0,0,0,0.0,filtered,0.1494364534265919,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.10632876469774244,0.002847938798367977
50,2.5500000000000003,-0.6634118604261335,0.4461083710193634,0.469384104013443,0.21067656576633453,0.446108341217041,0.35,3,0,0,0,0.9254096746444702,5.702181339263916,112.08033752441406,0.9245935678482056,1.0,0.09863730310760432,0,0,0,0.0,filtered,0.01908909754728484,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.09863730310760432,0.0025636786594986916
51,2.6,-0.6378754846455024,0.45450782775878906,0.45637261867523193,0.20340634882450104,0.4545077681541443,0.35,3,0,0,0,0.9928640723228455,3.1975910663604736,112.37203216552734,0.9928625822067261,1.0,0.09067655560446486,0,0,0,0.0,filtered,1.7197576190966337e-06,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.09067655560446486,0.0024481648579239845
