episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk
0,-9.750861003461996,23.42427583783865,104,1,0,0,0.046609602868556976,5.2,0.174421027302742,0.21274873352824494,0.5385671257972717,0,0.0,0.7596153846153846,0.017655479234134172,0.0,0.0,0.0,0.0,0.9423076923076923,0.0,0.05442103687777314,0.004400724222740302,0.16139819369149896,1.5361011028289795,42.338897705078125
1,-73.35755683065571,63.308776795864105,48,0,1,1,0.3473164439201355,2.4000000000000004,0.1078014001250267,0.49048599041998386,0.8309161067008972,10,0.20833333333333334,0.875,0.087913593549881,0.0,0.0,0.0,0.0,0.9375,0.2708333333333333,-0.03286530371218732,0.002854019209432105,0.14348149130819365,1.3817170858383179,29.79593276977539
2,-99.19760231788358,55.346318267285824,240,0,0,0,0.15708467364311218,12.0,0.12466893345117569,0.22109364882732432,0.6787233948707581,0,0.0,0.5875,0.045329128185244816,0.0,0.0,0.0,0.0,0.9625,0.0,0.004668954732646391,0.0028955124706650775,0.05874755272816401,0.6318914890289307,11.903117179870605
3,-26.764344110750915,23.559604816138744,65,0,1,1,0.20860356092453003,3.25,0.15439017117023468,0.2199305574481304,0.6396222710609436,0,0.0,0.6307692307692307,0.011268567265955258,0.0,0.0,0.0,0.0,1.0,0.0,0.021942764800757575,0.0028814766412744155,0.1257080429735092,1.2119157314300537,19.501436233520508
4,-177.4922466094172,180.91914673522115,154,1,0,0,0.04874886944890022,7.7,0.09828285872936249,0.4002601069023276,0.8411677479743958,39,0.2532467532467532,0.6363636363636364,0.04201890122367146,0.0,0.0,0.0,0.0,0.9805194805194806,0.3051948051948052,-0.04985397345627904,0.0030894593952538133,0.1073914450750529,1.1019525527954102,22.598928451538086
5,-79.74510537704874,56.9084161426872,240,0,0,0,0.16349588334560394,12.0,0.12477900832891464,0.22380154899631938,0.7277957201004028,0,0.0,0.5791666666666667,0.026828817125405566,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.002670654723989363,0.0028568020284486313,0.1272271315625403,1.2823883295059204,28.910865783691406
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.08777872905434114,0.002844439904826383,0.11083583997872969,1.1217924356460571,20.07524299621582
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.17551845085158835,0.0027836346508640993,0.15483619223691916,1.5082629919052124,22.353239059448242
8,-9.220728395191536,18.539956383407116,121,1,0,0,0.051932692527770996,6.050000000000001,0.1919189840555191,0.145584303131404,0.5374684929847717,0,0.0,0.7520661157024794,0.051719127389078474,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.07191897101669187,0.002830778802783529,0.15289492178554379,1.4268296957015991,25.01502227783203
9,-259.72474578737047,210.8155398108065,240,0,0,0,0.33123207092285156,12.0,0.10961522907018661,0.31737536742972833,0.8158604502677917,44,0.18333333333333332,0.8166666666666667,0.11506496867755552,0.0,0.0,0.0,0.0,0.9583333333333334,0.2,-0.025215630239483644,0.002540058894859006,0.06189662467125648,0.6560676693916321,11.303886413574219
10,-128.14828265034748,127.99591537564993,193,1,0,0,0.05334741622209549,9.65,0.09890391677618027,0.3057380503458526,0.8374412059783936,22,0.11398963730569948,0.8031088082901554,0.06753486710885304,0.0,0.0,0.0,0.0,0.9844559585492227,0.13471502590673576,-0.05199930776014633,0.0026661192737712763,0.1221938042230711,1.2429119348526,22.12318992614746
