episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk
0,-9.369682731595287,22.961596984416246,104,1,0,0,0.04549242928624153,5.2,0.17962299287319183,0.2082863917860847,0.527340292930603,0,0.0,0.7019230769230769,0.01857720114694367,0.0,0.0,0.0,0.0,0.9519230769230769,0.0,0.059623005810921365,0.0036479646447472847,0.16273646302019748,1.546427845954895,43.291717529296875
1,-140.51423077828582,113.50653621181846,240,0,0,0,0.10970073938369751,12.0,0.10775361210107803,0.23620526078157128,0.8235738277435303,18,0.075,0.8625,0.11013261888407773,0.0,0.0,0.0,0.0,0.9666666666666667,0.09166666666666666,-0.028844752048385325,0.002477789014422645,0.12095458095815653,1.1808332204818726,28.91676139831543
2,-615.5904933179087,525.4613252803683,240,0,0,0,0.19780656695365906,12.0,0.10815834999084473,0.6036545631165305,0.8156120777130127,126,0.525,0.8208333333333333,0.08291221167471825,0.0,0.0,0.0,0.0,1.0,0.5541666666666667,-0.02927289565943683,0.0027191415584335724,0.03267790385483143,0.4878557026386261,11.169692993164062
3,-26.355298444111664,23.59660806506872,65,0,1,1,0.1872963160276413,3.25,0.15441147983074188,0.2205227974515695,0.625352144241333,0,0.0,0.6307692307692307,0.011791079448652932,0.0,0.0,0.0,0.0,1.0,0.0,0.021464206267721775,0.0025384496324337446,0.1314611407999809,1.24184250831604,19.704641342163086
4,-181.41043334491712,184.228586146608,154,1,0,0,0.054624076932668686,7.7,0.09562134742736816,0.40247855392320975,0.8449267148971558,40,0.2597402597402597,0.6753246753246753,0.08212079155799534,0.0,0.0,0.0,0.0,0.9805194805194806,0.3116883116883117,-0.05547695304208597,0.0026396778593589733,0.10136831035329537,1.0534603595733643,19.143129348754883
5,-91.26906148464238,67.74552663601935,240,0,0,0,0.16951735317707062,12.0,0.11910199373960495,0.2315509996532152,0.8050429224967957,3,0.0125,0.6125,0.026738685948888827,0.0,0.0,0.0,0.0,0.9958333333333333,0.025,-0.001843454953443846,0.0027753027388826013,0.1261002391470053,1.2774497270584106,28.57142448425293
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.08777872905434114,0.002646559550582121,0.11083583997872969,1.1217924356460571,20.07524299621582
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.17551845085158835,0.002556658864609505,0.15483619223691916,1.5082629919052124,22.353239059448242
8,-9.329922400598036,18.55834025144577,121,1,0,0,0.053349193185567856,6.050000000000001,0.1921791285276413,0.14574352965867224,0.5374684929847717,0,0.0,0.7024793388429752,0.05160756066123268,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.07217912840259089,0.0026949573585317156,0.15279531541996258,1.4235174655914307,25.1689510345459
9,-260.69014217287213,211.46182220056653,240,0,0,0,0.31648895144462585,12.0,0.10984175652265549,0.3203936645295471,0.8164187669754028,44,0.18333333333333332,0.8,0.13057293626737623,0.0,0.0,0.0,0.0,0.9541666666666667,0.20416666666666666,-0.02451296917935325,0.0025811215513385833,0.05826710189479248,0.6472143530845642,11.179923057556152
10,-122.87388119743207,122.93370258808136,191,1,0,0,0.054823946207761765,9.55,0.09876202791929245,0.29865505405901616,0.8343015313148499,21,0.1099476439790576,0.743455497382199,0.08803379366107097,0.0,0.0,0.0,0.0,0.9842931937172775,0.13612565445026178,-0.05160449835398995,0.0026793624932697304,0.12921575658237902,1.3200029134750366,23.786043167114258
