step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.0771799497657712,0.12869611382484436,0.14935781061649323,0.43848612904548645,0.1188938319683075,0.35,2,0,0,0,0.3666330873966217,7.332662105560303,146.6532440185547,0.40392449498176575,1.0,0.2965228116481846,filtered,0.040247783668279205,0,0,12,joint_0_acceleration_upper|joint_2_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2965228116481846,0.0028943009674549103
1,0.1,0.01536750761342659,0.11556223779916763,0.13976125419139862,0.43159183859825134,0.10538031160831451,0.35,2,0,0,0,0.573470950126648,5.236271381378174,111.04119873046875,0.573470950126648,1.0,0.2889933390623928,passthrough,5.345015544004925e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2889933390623928,0.005731145851314068
2,0.15000000000000002,0.00479441328186081,0.12820816040039062,0.13034217059612274,0.424306720495224,0.12529240548610687,0.35,2,0,0,0,0.5457415580749512,5.062378883361816,157.35382080078125,0.540074348449707,1.0,0.28260383730488614,filtered,0.028941932382700365,0,0,12,joint_2_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.28260383730488614,0.00286821648478508
3,0.2,-0.008778142275679107,0.12300173193216324,0.122275710105896,0.41744986176490784,0.11565607041120529,0.35,2,0,0,0,0.5121461153030396,3.2710864543914795,139.8105926513672,0.5121461153030396,1.0,0.2759172219810483,passthrough,6.868864518391848e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2759172219810483,0.002842188812792301
4,0.25,-0.005476751223714035,0.12300269305706024,0.11427383124828339,0.41085413098335266,0.11203575134277344,0.35,2,0,0,0,0.4941291809082031,1.9770194292068481,86.11589813232422,0.4941291809082031,1.0,0.2696755524520934,passthrough,5.564169340383174e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2696755524520934,0.0026150327175855637
5,0.30000000000000004,-0.03795087768795087,0.13160935044288635,0.10774089395999908,0.40405622124671936,0.12001483142375946,0.35,2,0,0,0,0.42043447494506836,2.6799216270446777,46.23293685913086,0.42043447494506836,1.0,0.26371826176978796,passthrough,5.155514378195523e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.26371826176978796,0.002887980081140995
6,0.35000000000000003,-0.047566496055937435,0.12978848814964294,0.10200169682502747,0.3976234495639801,0.11788830906152725,0.35,2,0,0,0,0.401578813791275,1.6579023599624634,69.23709106445312,0.401578813791275,1.0,0.2575334366033953,passthrough,5.172328821177052e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2575334366033953,0.0029029687866568565
7,0.4,-0.07730817135489987,0.13489589095115662,0.09769539535045624,0.39119961857795715,0.12267304211854935,0.35,2,0,0,0,0.4031212031841278,2.892967939376831,67.06463623046875,0.4031212031841278,1.0,0.2517498737900381,passthrough,6.184821445130396e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2517498737900381,0.0028610769659280777
8,0.45,-0.0766105157304578,0.1379258781671524,0.09330033510923386,0.3848651349544525,0.12541760504245758,0.35,2,0,0,0,0.44773781299591064,1.9642220735549927,60.54071044921875,0.44773781299591064,1.0,0.24594259659870943,passthrough,8.003962738951938e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24594259659870943,0.0029237354174256325
9,0.5,-0.11866875677035141,0.14628338813781738,0.0907837301492691,0.37840571999549866,0.1334327757358551,0.35,2,0,0,0,0.4699987769126892,3.465381145477295,72.09788513183594,0.4699987769126892,1.0,0.24027657574495676,passthrough,8.857089625849487e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24027657574495676,0.0029730815440416336
