step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.6792164002422487,0.3885870575904846,0.44449272751808167,0.31221285462379456,0.32888391613960266,0.35,2,0,0,0,0,,,nan,0,0.44050323963165283,8.810065269470215,176.2012939453125,0.5107278823852539,1.0,nan,0,0,0,0,0.12012440983329378,0.0,filtered,0.07701760418512739,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.12012440983329378,0.383229718|0.176881425|0.12012441|0.163461089|0.186818259|0.228598214,0.533229718|0.326881425|0.27012441|0.313461089|0.336818259|0.378598214,0.503229718|0.296881425|0.24012441|0.283461089|0.306818259|0.348598214,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0832468299|0.101321687|0.0956452697|0.0789138901|0,-0.187416915|-0.290600837|-0.372629624|-0.363968722|-0.335825375|0,1.34550196|0.500171693|0.209189702|0.385520903|0.490361551|0.914392856,0.425875217|-0.458849132|0.419959456,0.0303970911|0.375220239|0.0323408581,0.005174940451979637,0.001047557219862938,0.0011219270527362823,0.002968449145555496
1,0.1,-0.5647666914563434,0.3378254175186157,0.43577995896339417,0.30283844470977783,0.27348294854164124,0.35,2,0,0,0,0,,,nan,0,0.6783991456031799,6.295047760009766,141.98533630371094,0.6783986687660217,1.0,nan,0,0,0,0,0.12012440983329378,0.0,filtered,8.568137320546971e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.10637826129942538,0.374060029|0.166568681|0.106378261|0.149803158|0.17375074|0.215673851,0.524060029|0.316568681|0.256378261|0.299803158|0.32375074|0.365673851,0.494060029|0.286568681|0.226378261|0.269803158|0.29375074|0.335673851,0.15|0.15|0.15|0.15|0.15|0.15,0|0.154375799|0.189396854|0.177472147|0.141005415|0,-0.179316724|-0.283136912|-0.372124018|-0.364262828|-0.335348677|0,1.31692339|0.537513613|0.242785881|0.412421952|0.500659696|0.862695402,0.427395135|-0.440087974|0.421576649,0.0303970911|0.375220239|0.0323408581,0.006142496131360531,0.0017957314848899841,0.001767910085618496,0.0025414377450942993
2,0.15000000000000002,-0.443198405818784,0.2914075255393982,0.42407652735710144,0.29639139771461487,0.2238798588514328,0.35,2,0,0,0,0,,,nan,0,0.8559938669204712,5.263883590698242,89.1576156616211,0.8559938669204712,1.0,nan,0,0,0,0,0.12012440983329378,0.0,passthrough,4.616175429855173e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09715034727011643,0.365303649|0.160179354|0.0971503473|0.140329194|0.163915377|0.20611312,0.515303649|0.310179354|0.247150347|0.290329194|0.313915377|0.35611312,0.485303649|0.280179354|0.217150347|0.260329194|0.283915377|0.32611312,0.15|0.15|0.15|0.15|0.15|0.15,0|0.198925827|0.246448214|0.230330134|0.187889088|0,-0.170884386|-0.274371952|-0.37118569|-0.366044844|-0.337835986|0,1.29033021|0.56527129|0.263863913|0.425602065|0.505714612|0.82445248,0.428915054|-0.421326816|0.423193842,0.0303970911|0.375220239|0.0323408581,0.0036825621500611305,0.0010155504569411278,0.0010201772674918175,0.0016229571774601936
3,0.2,-0.3467391751081187,0.25588494539260864,0.41029223799705505,0.29176875948905945,0.18623705208301544,0.35,2,0,0,0,0,,,nan,0,0.9784514307975769,4.78748083114624,116.46420288085938,0.9784514307975769,1.0,nan,0,0,0,0,0.12012440983329378,0.0,passthrough,4.574254965918863e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09094384007649745,0.356977229|0.156628851|0.0909438401|0.133452173|0.156289596|0.199207416,0.506977229|0.306628851|0.24094384|0.283452173|0.306289596|0.349207416,0.476977229|0.276628851|0.21094384|0.253452173|0.276289596|0.319207416,0.15|0.15|0.15|0.15|0.15|0.15,0|0.22724745|0.283152825|0.263947671|0.213984004|0,-0.162118415|-0.264345775|-0.36961646|-0.368519147|-0.341925336|0,1.2657905|0.589417078|0.277311725|0.429237217|0.497217052|0.796829662,0.430434972|-0.402565658|0.424811035,0.0303970911|0.375220239|0.0323408581,0.005572821944952011,0.0016459552571177483,0.001474476419389248,0.0024153869599103928
4,0.25,-0.29128502038310333,0.23306939005851746,0.39599597454071045,0.2882845103740692,0.16208860278129578,0.35,2,0,0,0,0,,,nan,0,1.0777888298034668,4.384915828704834,97.96802520751953,1.0777888298034668,1.0,nan,0,0,0,0,0.12012440983329378,0.0,passthrough,5.533873332742153e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.0866581487787986,0.349097445|0.155006575|0.0866581488|0.128133953|0.14975018|0.193574169,0.499097445|0.305006575|0.236658149|0.278133953|0.29975018|0.343574169,0.469097445|0.275006575|0.206658149|0.248133953|0.26975018|0.313574169,0.15|0.15|0.15|0.15|0.15|0.15,0|0.23946162|0.30537051|0.287501707|0.231192436|0,-0.153019465|-0.253146314|-0.367395762|-0.371192464|-0.347045881|0,1.24337032|0.606341605|0.284607343|0.428845055|0.483147273|0.774296678,0.43195489|-0.3838045|0.426428229,0.0303970911|0.375220239|0.0323408581,0.003686266951262951,0.0010701213032007217,0.0009759170934557915,0.001613100990653038
5,0.30000000000000004,-0.29728631452926946,0.22631289064884186,0.3835575580596924,0.285504013299942,0.1546057164669037,0.35,2,0,0,0,0,,,nan,0,1.0992848873138428,2.5141992568969727,98.31550598144531,1.099284291267395,1.0,nan,0,0,0,0,0.12012440983329378,0.0,filtered,1.0669509175707264e-06,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.08361786978714456,0.341680881|0.154564488|0.0836178698|0.12388988|0.143826118|0.188585501,0.491680881|0.304564488|0.23361787|0.27388988|0.293826118|0.338585501,0.461680881|0.274564488|0.20361787|0.24388988|0.263826118|0.308585501,0.15|0.15|0.15|0.15|0.15|0.15,0|0.239720747|0.318117897|0.305410236|0.246136999|0,-0.143590581|-0.240939812|-0.364443636|-0.373608667|-0.35264717|0,1.22313294|0.617038885|0.288145739|0.427361089|0.468794299|0.754342004,0.433474809|-0.365043342|0.428045422,0.0303970911|0.375220239|0.0323408581,0.0056333644315600395,0.001801731064915657,0.0015154313296079636,0.002275855280458927
6,0.35000000000000003,-0.30775088878776413,0.22633126378059387,0.3726418614387512,0.2831629812717438,0.1543797105550766,0.35,2,0,0,0,0,,,nan,0,1.0996601581573486,1.3351044654846191,37.72826385498047,1.0996595621109009,1.0,nan,0,0,0,0,0.12012440983329378,0.0,filtered,9.291960785365506e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.0814053448020545,0.334743902|0.154756374|0.0814053448|0.120476794|0.138422033|0.184031592,0.484743902|0.304756374|0.231405345|0.270476794|0.288422033|0.334031592,0.454743902|0.274756374|0.201405345|0.240476794|0.258422033|0.304031592,0.15|0.15|0.15|0.15|0.15|0.15,0|0.236900453|0.325239253|0.317021649|0.25916886|0,-0.133837436|-0.227883552|-0.360630426|-0.375376246|-0.358224554|0,1.20513817|0.628042398|0.290230206|0.42355258|0.454632439|0.736126368,0.434994727|-0.346282184|0.429662615,0.0303970911|0.375220239|0.0323408581,0.0037496034055948257,0.0010449495166540146,0.0010378845036029816,0.0016402257606387138
7,0.4,-0.3202024326525913,0.22559362649917603,0.363233357667923,0.2812316417694092,0.1538931429386139,0.35,2,0,0,0,0,,,nan,0,1.1147973537445068,0.9215735197067261,35.7695426940918,1.1147968769073486,1.0,nan,0,0,0,0,0.12012440983329378,0.0,filtered,8.170842207460568e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.07976211291136467,0.328302521|0.155475175|0.0797621129|0.117581449|0.133417298|0.17989665,0.478302521|0.305475175|0.229762113|0.267581449|0.283417298|0.32989665,0.448302521|0.275475175|0.199762113|0.237581449|0.253417298|0.29989665,0.15|0.15|0.15|0.15|0.15|0.15,0|0.234022498|0.330926435|0.32647309|0.268767729|0,-0.123768536|-0.213983082|-0.355905021|-0.376265321|-0.363346039|0,1.18944155|0.641940114|0.294069865|0.420533564|0.439090881|0.719586602,0.436514646|-0.327521026|0.431279808,0.0303970911|0.375220239|0.0323408581,0.005879259668290615,0.0018144380301237106,0.0017170505598187447,0.002307935617864132
8,0.45,-0.34272998293673285,0.22314944863319397,0.3557891249656677,0.27980002760887146,0.15229472517967224,0.35,2,0,0,0,0,,,nan,0,1.1437642574310303,2.0122625827789307,23.208873748779297,1.1437636613845825,1.0,nan,0,0,0,0,0.12012440983329378,0.0,filtered,8.979543560731669e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.0786698508936701,0.322372251|0.156763266|0.0786698509|0.115150462|0.128665665|0.176021151,0.472372251|0.306763266|0.228669851|0.265150462|0.278665665|0.326021151,0.442372251|0.276763266|0.198669851|0.235150462|0.248665665|0.296021151,0.15|0.15|0.15|0.15|0.15|0.15,0|0.231998927|0.33754202|0.336426595|0.27675233|0,-0.113395397|-0.199219947|-0.350180911|-0.376104898|-0.367865661|0,1.17609361|0.659832044|0.302040513|0.420923544|0.423549328|0.704084605,0.438034564|-0.308759868|0.432897002,0.0303970911|0.375220239|0.0323408581,0.006236901506781578,0.0018635457381606102,0.001817663200199604,0.002512063831090927
9,0.5,-0.36152891612175153,0.22023281455039978,0.35001564025878906,0.278787225484848,0.15076236426830292,0.35,2,0,0,0,0,,,nan,0,1.156104564666748,1.403315544128418,29.42045021057129,1.156104564666748,1.0,nan,0,0,0,0,0.12012440983329378,0.0,passthrough,4.892041841265015e-12,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.07824328880200196,0.316967951|0.158708767|0.0782432888|0.113120898|0.124137534|0.172310865,0.466967951|0.308708767|0.228243289|0.263120898|0.274137534|0.322310865,0.436967951|0.278708767|0.198243289|0.233120898|0.244137534|0.292310865,0.15|0.15|0.15|0.15|0.15|0.15,0|0.229146678|0.341612418|0.337237227|0.283496017|0,-0.102732672|-0.183580126|-0.343272523|-0.375466866|-0.371616713|0,1.16513913|0.680401621|0.31131305|0.414253953|0.408429439|0.68924346,0.439554483|-0.28999871|0.434514195,0.0303970911|0.375220239|0.0323408581,0.004341873340308666,0.000986921600997448,0.0010491404682397842,0.0022805342450737953
