episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-123.86899160374949,38.16735015437007,240,0,0,0,0,,,nan,0,0.34551364183425903,12.0,0.15273506939411163,0.1462043231120333,0.4991517961025238,0,0.0,0.6625,0.03628603890405943,0.004166666666666667,0.0,0.0,0.0,0.9666666666666667,0.0,0.004166666666666667,0.0,0.0011799460741848955,0.0048322671946759025,0.14239151775836945,0.0012589907040819527,0.001200754827974985,0.0023431684744233887,0.08241409897260989,0.8247227072715759,18.66722869873047,0,0,0,0.0,0,0.2846331528559626
1,-125.97927396218014,30.691785166040063,240,0,0,0,0,,,nan,0,0.4523314833641052,12.0,0.17274317145347595,0.12224997708108276,0.5318722128868103,0,0.0,0.7458333333333333,0.0295333019292749,0.0,0.0,0.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.02274317862776601,0.0038314996287226676,0.008035346865653992,0.0011294152936898172,0.0010839475396399697,0.0015922253408158819,0.1083398707715484,1.0866966247558594,19.46921157836914,0,0,0,0.0,0,0.2967030260233481
2,-182.9880522330514,85.3433219268918,240,0,0,0,0,,,nan,0,0.33879438042640686,12.0,0.15193484723567963,0.3353583145576219,0.6542866230010986,0,0.0,0.8125,0.07998993746931922,0.004166666666666667,0.004166666666666667,0.0,0.0,0.975,0.0,0.0,0.075,-0.016925247892015743,0.004847226078466823,0.02979291044175625,0.0013941740345520279,0.0014763221610337497,0.0019445855752564967,0.13662875311759612,1.3885743618011475,37.00473403930664,0,0,0,0.0,0,0.23838409873694077
3,-327.4610174779386,297.256664596498,240,0,0,0,0,,,nan,0,0.40590590238571167,12.0,0.028487885370850563,0.43895978427802523,0.8332180380821228,62,0.25833333333333336,0.8958333333333334,0.20547227309879823,0.31666666666666665,0.31666666666666665,0.0,0.0,0.625,0.0,0.0,0.4041666666666667,-0.12151815808543848,0.003749031301898261,0.006104235537350178,0.0011836745776236056,0.0011444087722338736,0.0013937752965527276,0.04474831711850129,0.7066413164138794,16.107351303100586,0,0,0,0.0,0,0.2778313040334618
4,-54.31717616522833,47.88462233543396,15,0,1,1,1,6|7,wrist_2_link|wrist_3_link,-0.004538047639208621,1,0.3845520317554474,0.75,-0.008663663640618324,0.816537074247996,0.8914419412612915,9,0.6,1.0,0.39350518393108747,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,-0.17873576491468363,0.0021818188950419428,0.00430590845644474,0.0008709731822212537,0.0008614535753925641,0.00042933734754721324,0.0,0.0,0.0,0,0,0,0.0,0,0.020472516192373752
5,-159.97221081423314,46.21127339825034,240,0,0,0,0,,,nan,0,0.6912468671798706,12.0,0.1542036533355713,0.1797011648459981,0.5334833264350891,0,0.0,0.6416666666666667,0.03027726804473315,0.0,0.0,0.0,0.0,0.9958333333333333,0.0,0.0,0.0,0.00420364783116059,0.00488368917334204,0.005529998801648617,0.0015125342295505106,0.0014193482735815148,0.0019186677721639474,0.13441178552263106,1.344853401184082,34.25294876098633,0,0,0,0.0,0,0.13491859240227
6,-80.17845654372145,40.48529745824635,240,0,0,0,0,,,nan,0,0.3831007182598114,12.0,0.15310630202293396,0.16468596757234386,0.5256797671318054,0,0.0,0.775,0.08362700025669273,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.003106304774066787,0.004963884615184118,0.005952769890427589,0.0015272548849073549,0.0014429071607689062,0.0019595943197297555,0.06356238419539295,0.7573627829551697,14.692151069641113,0,0,0,0.0,0,0.33798702341413855
7,-39.88728167994989,37.30551417544484,171,1,0,0,0,,,nan,0,0.0536184124648571,8.55,0.18068329989910126,0.2002226990151998,0.4732591211795807,0,0.0,0.7076023391812866,0.04550289318440553,0.0,0.0,0.0,0.0,0.9941520467836257,0.0,0.0,0.0,0.014672975498957769,0.003746155306304756,0.006410821340978146,0.0010980662906117608,0.0010643410959351829,0.00155834818792622,0.13065855546543995,1.2713549137115479,24.613248825073242,0,0,0,0.0,0,0.2165993961145235
8,-115.43532688999221,35.77524081431329,240,0,0,0,0,,,nan,0,0.28343465924263,12.0,0.22904399037361145,0.1415716690554594,0.32843196392059326,0,0.0,0.85,0.10481649162113744,0.0,0.0,0.0,0.0,0.9458333333333333,0.0,0.0,0.0,0.07904399520161179,0.0037532243023936946,0.00676178652793169,0.0010717701089257995,0.0010557643913974364,0.0016004998081674178,0.11835780908198407,1.1628445386886597,19.981895446777344,0,0,0,0.0,0,0.2806768869986992
9,-183.6163504380892,158.9066278487444,152,0,1,1,0,,,nan,1,0.1565946489572525,7.6000000000000005,-0.0032424391247332096,0.39344738918895783,0.8356443047523499,29,0.19078947368421054,0.8289473684210527,0.17822764922385342,0.25,0.24342105263157895,0.0,0.006578947368421052,0.7302631578947368,0.0,0.006578947368421052,0.24342105263157895,-0.1599869947882564,0.004670033163979258,0.19315077643841505,0.001061945663470971,0.00103956364144228,0.0025439035135174266,0.05948435409472471,0.8988447189331055,19.220722198486328,0,0,0,0.0,0,0.07861910235296296
