step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.723626146689808,0.12082374840974808,0.5817292332649231,0.34876903891563416,0.104609414935112,0.35,2,0,0,0,0,,,nan,0,0.40091797709465027,8.018359184265137,160.3671875,0.42307761311531067,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,0.036400050861089814,0,0,12,joint_5_acceleration_lower|joint_3_acceleration_upper,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.18552869589620247,0.507912279|0.290996133|0.185528696|0.197198168|0.223298113|0.226298113,0.657912279|0.440996133|0.335528696|0.347198168|0.373298113|0.376298113,0.627912279|0.410996133|0.305528696|0.317198168|0.343298113|0.346298113,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.00310899504|0.104167748|0.123632953|0.139852183|0,-0.0804895512|-0.121612592|-0.158411795|-0.158072141|-0.143396341|0,1.95115957|1.03926295|0.687870737|0.754353482|0.889648293|0.905192451,0.229462862|0.580025196|0.614103079,0.0726079196|-0.145154759|-0.00199129619,0.0052487775683403015,0.0015508616343140602,0.0014877431094646454,0.002175656147301197
1,0.1,-0.5828840735883569,0.10290168225765228,0.5717678070068359,0.35202568769454956,0.08841799199581146,0.35,2,0,0,0,0,,,nan,0,0.6934284567832947,7.383233547210693,134.57376098632812,0.6934278607368469,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,1.1064182928628424e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1750832627797504,0.510229811|0.289922251|0.175083263|0.185296934|0.212752093|0.215752093,0.660229811|0.439922251|0.325083263|0.335296934|0.362752093|0.365752093,0.630229811|0.409922251|0.295083263|0.305296934|0.332752093|0.335752093,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0120971113|0.230333796|0.265762323|0.314265577|0,-0.0768247097|-0.117438992|-0.157685505|-0.157763839|-0.142179881|0,1.96409453|1.0301529|0.772981342|0.84918622|1.02309407|0.863008372,0.253025234|0.572767496|0.614003658,0.0726079196|-0.145154759|-0.00199129619,0.005016133189201355,0.0015560351312160492,0.0014421073719859123,0.0019825976341962814
2,0.15000000000000002,-0.5060333215131347,0.0977812185883522,0.5595374703407288,0.35896989703178406,0.08831442147493362,0.35,2,0,0,0,0,,,nan,0,0.8648958802223206,4.726310729980469,113.38038635253906,0.8648958802223206,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,4.7630233208217745e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17851953475043225,0.506420544|0.283660187|0.178519535|0.190684311|0.221115622|0.224115622,0.656420544|0.433660187|0.328519535|0.340684311|0.371115622|0.374115622,0.626420544|0.403660187|0.298519535|0.310684311|0.341115622|0.344115622,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.0102734409|0.303281675|0.3629682|0.407217771|0,-0.0755461937|-0.117455453|-0.156436542|-0.156557193|-0.140245351|0,1.95013598|1.00691186|0.860923272|0.96914825|1.15143491|0.89646249,0.256655514|0.565509796|0.613904238,0.0726079196|-0.145154759|-0.00199129619,0.004929013550281525,0.0014876984059810638,0.0014263922348618507,0.00198187492787838
3,0.2,-0.4831197659873422,0.09222660213708878,0.5478443503379822,0.36699584126472473,0.08534123748540878,0.35,2,0,0,0,0,,,nan,0,0.9687830209732056,3.3203303813934326,52.440250396728516,0.9687830209732056,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,4.557021430009156e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.18571623483395083,0.502675658|0.277507538|0.185716235|0.201262024|0.23444921|0.23744921,0.652675658|0.427507538|0.335716235|0.351262024|0.38444921|0.38744921,0.622675658|0.397507538|0.305716235|0.321262024|0.35444921|0.35744921,0.15|0.15|0.15|0.15|0.15|0.15,0|-0.00373625681|0.324946959|0.409293468|0.437811483|0,-0.0742494726|-0.117918142|-0.154686908|-0.154882935|-0.137889554|0,1.93645316|0.988375753|0.91312499|1.05945863|1.23771877|0.949796842,0.260285795|0.558252096|0.613804817,0.0726079196|-0.145154759|-0.00199129619,0.004921184852719307,0.0014865081757307053,0.001474069431424141,0.0019286833703517914
4,0.25,-0.47499111037997893,0.08725884556770325,0.5372974276542664,0.37464964389801025,0.08067021518945694,0.35,2,0,0,0,0,,,nan,0,1.0011329650878906,1.413582682609558,50.00880813598633,1.0011329650878906,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.711875421289396e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.19404448585146716,0.498996063|0.271690677|0.194044486|0.214293873|0.249459175|0.252459158,0.648996063|0.421690677|0.344044486|0.364293873|0.399459175|0.402459158,0.618996063|0.391690677|0.314044486|0.334293873|0.369459175|0.372459158,0.15|0.15|0.15|0.15|0.15|0.15,0|0.00757879464|0.316728538|0.42140971|0.433596173|0,-0.0729345205|-0.118577961|-0.152597132|-0.152885868|-0.135284863|0,1.92304973|0.975763541|0.94030935|1.12569933|1.29614801|1.00983663,0.263916075|0.550994396|0.613705397,0.0726079196|-0.145154759|-0.00199129619,0.005048638209700584,0.0015962421894073486,0.001430705189704895,0.0019882405176758766
5,0.30000000000000004,-0.46102826810335074,0.08437278866767883,0.5273087620735168,0.38146981596946716,0.07818470895290375,0.35,2,0,0,0,0,,,nan,0,0.9847560524940491,1.8504021167755127,31.35331153869629,0.9847553968429565,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,1.0351900030513187e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.20201636235664766,0.495382671|0.266414245|0.202016362|0.227961575|0.264337401|0.267337391,0.645382671|0.416414245|0.352016362|0.377961575|0.414337401|0.417337391,0.615382671|0.386414245|0.322016362|0.347961575|0.384337401|0.387337391,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0222989025|0.297902514|0.416790866|0.411449553|0,-0.0716013261|-0.119249202|-0.150403038|-0.150819198|-0.132752637|0,1.90992936|0.968706682|0.955564925|1.17781797|1.33604652|1.06934956,0.267546356|0.543736696|0.613605976,0.0726079196|-0.145154759|-0.00199129619,0.00494980625808239,0.001536303199827671,0.0014561470597982407,0.0019238488748669624
6,0.35000000000000003,-0.4339800983489522,0.08190365135669708,0.5171091556549072,0.38703903555870056,0.07549165189266205,0.35,2,0,0,0,0,,,nan,0,0.9326426386833191,2.9421157836914062,29.690410614013672,0.9326421618461609,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,7.288244557074992e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2091405891349547,0.491836395|0.261830148|0.209140589|0.241415118|0.278202559|0.281202559,0.641836395|0.411830148|0.359140589|0.391415118|0.428202559|0.431202559,0.611836395|0.381830148|0.329140589|0.361415118|0.398202559|0.401202559,0.15|0.15|0.15|0.15|0.15|0.15,0|0.037778284|0.269340119|0.392524421|0.37251859|0,-0.0702498931|-0.119843849|-0.148312451|-0.148953798|-0.13059921|0,1.89709569|0.965255027|0.957590025|1.2092311|1.35472962|1.12481024,0.271176636|0.536478996|0.613506556,0.0726079196|-0.145154759|-0.00199129619,0.004913126118481159,0.0015337616205215454,0.0014489535242319107,0.0018972046673297882
7,0.4,-0.39948586866334407,0.07976633310317993,0.5063281655311584,0.39122143387794495,0.07316859811544418,0.35,2,0,0,0,0,,,nan,0,0.8800949454307556,3.226353168487549,18.60486602783203,0.8800944089889526,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,7.415712574871112e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.21497506617517725,0.488358145|0.25796109|0.214975066|0.253677567|0.290235848|0.29323583,0.638358145|0.40796109|0.364975066|0.403677567|0.440235848|0.44323583,0.608358145|0.37796109|0.334975066|0.373677567|0.410235848|0.41323583,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0518073439|0.237721341|0.355551979|0.325308291|0,-0.068880241|-0.12028082|-0.146497736|-0.147534263|-0.129065393|0,1.88455234|0.963370883|0.95112387|1.22272798|1.35718629|1.17294332,0.274806917|0.529221296|0.613407135,0.0726079196|-0.145154759|-0.00199129619,0.004985245876014233,0.0015224572271108627,0.001500772312283516,0.0019250502809882164
8,0.45,-0.3707579004576173,0.07885593175888062,0.49526116251945496,0.3941427767276764,0.07210033386945724,0.35,2,0,0,0,0,,,nan,0,0.8384891152381897,2.3254778385162354,22.52984619140625,0.8384882807731628,1.0,nan,0,0,0,0,0.18552869589620247,0.0,filtered,1.14619365579793e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2193784832208071,0.484948832|0.254726283|0.219378483|0.264119664|0.300016278|0.303016278,0.634948832|0.404726283|0.369378483|0.414119664|0.450016278|0.453016278,0.604948832|0.374726283|0.339378483|0.384119664|0.420016278|0.423016278,0.15|0.15|0.15|0.15|0.15|0.15,0|0.060735633|0.209433603|0.31836455|0.28466871|0,-0.0674924057|-0.120489348|-0.144994508|-0.146643444|-0.128183524|0,1.87230292|0.959151416|0.941953029|1.22819976|1.3565503|1.21206511,0.278437197|0.521963596|0.613307714,0.0726079196|-0.145154759|-0.00199129619,0.004982362501323223,0.0015556514263153076,0.0014256741851568222,0.0019673695787787437
9,0.5,-0.3563769403281779,0.07892779260873795,0.48457401990890503,0.39603766798973083,0.07203284651041031,0.35,2,0,0,0,0,,,nan,0,0.8007797002792358,1.3919525146484375,39.27643966674805,0.8007797002792358,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.39124300800844e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2224914605828856,0.481609363|0.251884932|0.222491461|0.272723481|0.30782846|0.31082846,0.631609363|0.401884932|0.372491461|0.422723481|0.45782846|0.46082846,0.601609363|0.371884932|0.342491461|0.392723481|0.42782846|0.43082846,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0655530666|0.186799755|0.287094085|0.250718278|0,-0.0660864402|-0.120476079|-0.143698383|-0.146138639|-0.127743952|0,1.86035101|0.952616714|0.933067214|1.23184937|1.35428816|1.24331384,0.282067478|0.514705896|0.613208294,0.0726079196|-0.145154759|-0.00199129619,0.005027062259614468,0.0015546390786767006,0.001461884006857872,0.0019758371636271477
10,0.55,-0.34949939759156173,0.07928790897130966,0.4745583236217499,0.39739611744880676,0.0722646415233612,0.35,2,0,0,0,0,,,nan,0,0.7820946574211121,0.910037100315094,21.405378341674805,0.7820946574211121,1.0,nan,0,0,0,0,0.18552869589620247,0.0,passthrough,5.913491919448623e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22456705408399602,0.478340644|0.24924933|0.224567054|0.279773565|0.313961333|0.316961333,0.628340644|0.39924933|0.374567054|0.429773565|0.463961333|0.466961333,0.598340644|0.36924933|0.344567054|0.399773565|0.433961333|0.436961333,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0683525364|0.174798214|0.273039372|0.234908528|0,-0.0646624147|-0.120257115|-0.142480432|-0.145831698|-0.127501826|0,1.84870016|0.945092741|0.930585999|1.24630193|1.36325203|1.26784533,0.285697758|0.507448196|0.613108873,0.0726079196|-0.145154759|-0.00199129619,0.00498710572719574,0.001542629674077034,0.0014014048501849174,0.0020080963149666786
