episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,19.38534893096371,4.975335821509361,16,1,0,0,0,0,0.04634983837604523,0.8,0.23709408938884735,0.23777931928634644,0.3872945010662079,0,0.0,0.8125,0.04789124739696886,0.0625,0.0,0.0,0.0,1.0,0.0,0.0625,0.0,0.04066129507888447,0.01169816346373409,0.13055457919836044,0.0011130665661767125,0.0010227832826785743,0.009533956996165216,0.19287638063542545,1.8325811624526978,31.2098388671875,0,0,0,0.0,0,0.10143905129639821
1,-64.31728872143978,26.602378875017166,49,0,1,0,1,1,0.7820155620574951,2.45,0.13635139167308807,0.32722609398924574,0.7547881007194519,0,0.0,0.9795918367346939,0.28408285915329157,0.10204081632653061,0.10204081632653061,0.0,0.0,0.8571428571428571,0.0,0.0,0.08163265306122448,-0.030760372392822977,0.004196610738884429,0.005782163701951504,0.0012330402981261819,0.0012022647246414302,0.0017335080750742738,0.16353989080811032,2.0754778385162354,50.20644760131836,0,0,0,0.0,0,0.14071146228507836
2,21.224956038191042,3.288261294364929,14,1,0,0,0,0,0.044513095170259476,0.7000000000000001,0.2580484449863434,0.20706664770841599,0.2633821666240692,0,0.0,0.7142857142857143,0.006653954092286014,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09342560738055852,0.004187411695186581,0.007023517042398453,0.001155166288039514,0.0012886498256453446,0.0017163178085216454,0.24532400178057806,2.126004695892334,40.451454162597656,0,0,0,0.0,0,0.16612204921191964
3,-10.107220163877152,19.611051311716437,111,1,0,0,0,0,0.050335273146629333,5.550000000000001,0.16573990881443024,0.17407951040847883,0.5081068277359009,0,0.0,0.7387387387387387,0.030052407635891495,0.0,0.0,0.0,0.0,0.990990990990991,0.0,0.0,0.0,0.015739903812233863,0.003924430574516993,0.005082068033516407,0.0011538665003336228,0.0011021992997140497,0.0016410885932477744,0.11810710027746789,1.1559605598449707,16.963451385498047,0,0,0,0.0,0,0.43034178423570546
4,21.488846562695688,1.3545858785510063,18,1,0,0,0,0,0.045286234468221664,0.9,0.4509490132331848,0.07144858336283101,0.07806194573640823,0,0.0,0.7222222222222222,0.0012533427848304324,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2825757344426052,0.004001519435809718,0.0042347172275185585,0.001169190535114871,0.0011513797669774955,0.0016533706544174089,0.09095409067554606,1.0232899188995361,21.520477294921875,0,0,0,0.0,0,0.36610757761180157
5,7.677827825678849,12.7212473154068,91,1,0,0,0,0,0.05413644760847092,4.55,0.2738366425037384,0.12488879648211239,0.2360876202583313,0,0.0,0.7802197802197802,0.06172947670822501,0.0,0.0,0.0,0.0,0.989010989010989,0.0,0.0,0.0,0.10609428185338174,0.003973609041217919,0.0053113903850317,0.0011538200203206513,0.0011099327130468337,0.0016821173152753285,0.09484503191005397,1.0072546005249023,21.87559700012207,0,0,0,0.0,0,0.19252869589620247
6,-78.86444695104417,47.73406574875116,240,0,0,0,0,0,0.3419349789619446,12.0,0.15525557100772858,0.18870568698427329,0.5255342721939087,0,0.0,0.8291666666666667,0.12761289104802817,0.0,0.0,0.0,0.0,0.9833333333333333,0.0,0.0,0.0,0.005255577677895806,0.0037645390528875094,0.007014095783233643,0.001088466017972678,0.0010472582459139328,0.0016034303815104067,0.10434147475752979,1.0374356508255005,21.76112174987793,0,0,0,0.0,0,0.4129506960307866
7,-69.64721386278629,62.901307582855225,19,0,1,1,0,1,0.3534010052680969,0.9500000000000001,-0.006415320560336113,0.8123925610592491,0.8587344288825989,13,0.6842105263157895,1.0,0.4221584824078417,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,-0.17456047563385285,0.003350925435753245,0.004935543984174728,0.0008757137448379868,0.000903455442503879,0.0015503727389793646,0.0,0.0,0.0,0,0,0,0.0,0,0.004560998684529666
8,-58.126110052857776,72.79650566726923,105,1,0,0,0,0,0.052992336452007294,5.25,0.08047427237033844,0.3397964133393197,0.8567807078361511,12,0.11428571428571428,0.7714285714285715,0.10623717657467013,0.1523809523809524,0.1523809523809524,0.0,0.0,0.8476190476190476,0.0,0.0,0.19047619047619047,-0.06962748785826914,0.004560712982146513,0.007976117543876171,0.0013604430570488884,0.0013037734620627902,0.0018659822997592744,0.11632513166183517,1.1836936473846436,21.01627540588379,0,0,0,0.0,0,0.013157300323719312
9,-5.985846824938349,24.814231142401695,130,1,0,0,0,0,0.05492967739701271,6.5,0.18582651019096375,0.16540643436690936,0.4287990629673004,0,0.0,0.9076923076923077,0.1436971479387795,0.0,0.0,0.0,0.0,0.8384615384615385,0.0,0.0,0.0,0.008164853925169552,0.004928383166686846,0.010223346762359142,0.001449414027424959,0.0013757157211120312,0.0020702636872346586,0.09869457517678921,1.016966462135315,15.691685676574707,0,0,0,0.0,0,0.1271244098332938
