episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-83.27247944595034,67.71034971624613,70,0,1,1,1,5|7,wrist_1_link|wrist_3_link,0.00034198634071297364,1,0.3873015344142914,3.5,-0.010784692130982876,0.3431844541004726,0.8780298233032227,11,0.15714285714285714,0.9142857142857143,0.21523241712235291,0.2857142857142857,0.2571428571428571,0.0,0.014285714285714285,0.6571428571428571,0.0,0.02857142857142857,0.22857142857142856,-0.18131904536446286,0.008422439159559352,0.19286748860031366,0.0011812605362917696,0.0011335612540798528,0.006078265993190664,0.1570027261440243,1.846574306488037,61.504112243652344,0,0,0,0.0,0,0.2846331528559626
1,-51.27816546477007,40.93713882751763,183,1,0,0,0,,,nan,0,0.04395173117518425,9.15,0.153794527053833,0.2098703330148602,0.5614082217216492,0,0.0,0.8306010928961749,0.07874990866387682,0.0,0.0,0.0,0.0,0.9672131147540983,0.0,0.0,0.0,0.0037945255937251454,0.00669939215982058,0.04814616311341524,0.0018107048617523225,0.0024656488310769607,0.002376432179427538,0.17427935123525032,1.558861255645752,30.955440521240234,0,0,0,0.0,0,0.2967030260233481
2,-152.99991173257155,141.07166005671024,86,0,1,0,1,4,forearm_link,0.0010348796063581773,1,0.26420068740844727,4.3,0.0029587759636342525,0.5127988156191138,0.83110111951828,29,0.3372093023255814,0.8953488372093024,0.2337072869316471,0.43023255813953487,0.43023255813953487,0.0,0.0,0.5697674418604651,0.0,0.0,0.4186046511627907,-0.15285177659492918,0.004673293867516656,0.020639128051698208,0.0013121434942234395,0.0013629711059810117,0.0019686295932462047,0.08474463757214158,1.1789295673370361,26.90839195251465,0,0,0,0.0,0,0.23838409873694077
3,-28.6106832949341,25.558846585452557,69,0,1,0,1,3,upper_arm_link,-0.0007635327013998202,1,0.18177226185798645,3.45,0.14552679657936096,0.23421962256880774,0.670250654220581,0,0.0,0.7681159420289855,0.07240102328382451,0.08695652173913043,0.07246376811594203,0.0,0.0,0.855072463768116,0.0,0.014492753623188406,0.043478260869565216,-0.015272474222696147,0.00559685036432052,0.12222363706678152,0.0011313110455006793,0.001049391871345216,0.0033892163115998974,0.10532581549731718,1.2968099117279053,33.21689987182617,0,0,0,0.0,0,0.2778313040334618
4,-54.31717616522833,47.88462233543396,15,0,1,1,1,6|7,wrist_2_link|wrist_3_link,-0.004538047639208621,1,0.3845520317554474,0.75,-0.008663663640618324,0.816537074247996,0.8914419412612915,9,0.6,1.0,0.539431929523609,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,-0.17873576491468363,0.003005872666835785,0.003540273755788803,0.0012234597156445186,0.0012261213113864263,0.0005276764432589214,0.0,0.0,0.0,0,0,0,0.0,0,0.020472516192373752
5,-92.39558688723015,56.19393711350858,240,0,0,0,0,,,nan,0,0.20001435279846191,12.0,0.1517758071422577,0.21811379972690095,0.529533326625824,0,0.0,0.7125,0.05760492647884304,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.0017757791608391804,0.00399884821769471,0.007024667225778103,0.0011484200251288712,0.0011027333831104139,0.0017210528758975366,0.13404405248196175,1.3171570301055908,33.10661315917969,0,0,0,0.0,0,0.13491859240227
6,0.6826162628803587,18.63028211146593,64,1,0,0,0,,,nan,0,0.04911869764328003,3.2,0.2026851326227188,0.27995823533274233,0.47582677006721497,0,0.0,0.8125,0.008584474235053558,0.0,0.0,0.0,0.0,0.984375,0.0,0.0,0.0,0.044951384624721674,0.0036185858043609187,0.007357676513493061,0.0010173523041885346,0.0009741597023094073,0.0016025268705561757,0.18460320943268016,1.6459684371948242,30.89306640625,0,0,0,0.0,0,0.33798702341413855
7,-29.68917566756057,37.672386556863785,203,1,0,0,0,,,nan,0,0.05399203300476074,10.15,0.16196969151496887,0.17490849667802233,0.4703172743320465,0,0.0,0.9605911330049262,0.18931334973312183,0.0,0.0,0.0,0.0,0.9802955665024631,0.0,0.0,0.0,0.011969700560820334,0.0036469010654561623,0.007355634123086929,0.0010291958099295352,0.0010159809206580293,0.0015775706215298234,0.10772890144766405,1.0986225605010986,17.493513107299805,0,0,0,0.0,0,0.2165993961145235
8,-2.7938230487720936,11.500301042571664,71,1,0,0,0,,,nan,0,0.04622269049286842,3.5500000000000003,0.22748911380767822,0.15278101610150976,0.3693271577358246,0,0.0,0.7746478873239436,0.029712268037940016,0.0,0.0,0.0,0.0,0.971830985915493,0.0,0.0,0.0,0.07748910969567621,0.003973685742788752,0.006832728162407875,0.0011335078915449934,0.0010998219802555904,0.001713795207021102,0.1804609012225984,1.5852299928665161,33.05080032348633,0,0,0,0.0,0,0.2806768869986992
9,-215.1098433046909,188.33637103810906,240,0,0,0,0,,,nan,0,0.47700756788253784,12.0,0.08425534516572952,0.3063556544948369,0.8204147219657898,37,0.15416666666666667,0.8958333333333334,0.21200326329785404,0.22916666666666666,0.22916666666666666,0.0,0.0,0.7666666666666667,0.0,0.0,0.225,-0.0657471694063064,0.0033850651467218994,0.0060617923736572266,0.0010459429623248676,0.0010103776080844303,0.0013044973641323546,0.06955449334733808,0.9473326206207275,20.436317443847656,0,0,0,0.0,0,0.07861910235296296
