step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.46688966088912087,0.24778297543525696,0.39422985911369324,0.3439357876777649,0.2184000164270401,0.35,4,0,0,0,0,,,nan,0,0.45212170481681824,9.042433738708496,180.8486785888672,0.5276605486869812,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,0.08017499264750139,0,0,12,joint_5_acceleration_upper,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.16312204921191964,0.382747345|0.282988671|0.172454981|0.183264407|0.163122049|0.166122049,0.532747345|0.432988671|0.322454981|0.333264407|0.313122049|0.316122049,0.502747345|0.402988671|0.292454981|0.303264407|0.283122049|0.286122049,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0468004143|0.082830686|0.0847889485|0.0879255341|0,-0.249965503|-0.263855414|-0.276945801|-0.26608114|-0.260551153|0,1.28102388|0.914899684|0.495704809|0.551765437|0.479862578|0.664488197,0.300207704|0.564570844|0.410686135,0.012975988|-0.297914743|-0.0590172932,0.0035193338990211487,0.0011059483513236046,0.0009289924055337906,0.001457521691918373
1,0.1,-0.24369931943304918,0.1762237846851349,0.3815132975578308,0.3391166031360626,0.14569249749183655,0.35,4,0,0,0,0,,,nan,0,0.7900158166885376,7.2586846351623535,87.7684326171875,0.7965859174728394,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,0.018892410401994963,0,0,12,joint_2_acceleration_lower,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1545800904449829,0.370305162|0.272101156|0.162754131|0.174242372|0.15458009|0.15758009,0.520305162|0.422101156|0.312754131|0.324242372|0.30458009|0.30758009,0.490305162|0.392101156|0.282754131|0.294242372|0.27458009|0.27758009,0.15|0.15|0.15|0.15|0.15|0.15,0|0.085621399|0.163377885|0.168707663|0.163009228|0,-0.247695625|-0.261610854|-0.275284291|-0.263446241|-0.258138967|0,1.23352503|0.912415169|0.539110117|0.602230908|0.523190623|0.630320362,0.300856441|0.549674928|0.407735348,0.012975988|-0.297914743|-0.0590172932,0.005072132684290409,0.0014808373525738716,0.0014212168753147125,0.0021366337314248085
2,0.15000000000000002,-0.09173865302339898,0.15079019963741302,0.36334744095802307,0.3360205292701721,0.145003080368042,0.35,4,0,0,0,0,,,nan,0,0.9200524091720581,6.237905025482178,145.72048950195312,0.9181820154190063,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,0.01736160673720452,0,0,12,joint_3_acceleration_upper,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1501324523517764,0.357979699|0.263194609|0.15726235|0.16968674|0.150132452|0.153132431,0.507979699|0.413194609|0.30726235|0.31968674|0.300132452|0.303132431,0.477979699|0.383194609|0.27726235|0.28968674|0.270132452|0.273132431,0.15|0.15|0.15|0.15|0.15|0.15,0|0.106072892|0.214794645|0.223566312|0.194335957|0,-0.245295374|-0.25877413|-0.272495973|-0.25970094|-0.255381363|0,1.18662342|0.900077199|0.571348073|0.642612332|0.539484403|0.612529724,0.301505178|0.534779012|0.40478456,0.012975988|-0.297914743|-0.0590172932,0.0035086432471871376,0.0007734121754765511,0.0012268824502825737,0.0014878790825605392
3,0.2,-0.0037330964275111844,0.15450721979141235,0.3418808877468109,0.3336196839809418,0.14816254377365112,0.35,4,0,0,0,0,,,nan,0,0.9500426650047302,4.311324119567871,101.38938903808594,0.9500426650047302,1.0,nan,0,0,0,0,0.16312204921191964,0.0,passthrough,8.210421039620576e-10,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1474592511866416,0.34577769|0.255460567|0.154541526|0.168140223|0.147459251|0.150459251,0.49577769|0.405460567|0.304541526|0.318140223|0.297459251|0.300459251,0.46577769|0.375460567|0.274541526|0.288140223|0.267459251|0.270459251,0.15|0.15|0.15|0.15|0.15|0.15,0|0.112732455|0.237150956|0.248349277|0.206507591|0,-0.242755987|-0.255352797|-0.268424355|-0.254728952|-0.252266504|0,1.14035477|0.879221924|0.586892707|0.666181215|0.544078092|0.601837005,0.302153915|0.519883096|0.401833773,0.012975988|-0.297914743|-0.0590172932,0.0033187903463840485,0.0009055435657501221,0.001056392677128315,0.0013279188424348831
4,0.25,0.05587261856089462,0.15843302011489868,0.3186657726764679,0.33149078488349915,0.15148934721946716,0.35,4,0,0,0,0,,,nan,0,0.9824421405792236,2.1695234775543213,79.40672302246094,0.9824421405792236,1.0,nan,0,0,0,0,0.16312204921191964,0.0,passthrough,7.510952319894266e-10,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.14560184118454755,0.333706323|0.248249872|0.153185358|0.168134153|0.145601841|0.148601841,0.483706323|0.398249872|0.303185358|0.318134153|0.295601841|0.298601841,0.453706323|0.368249872|0.273185358|0.288134153|0.265601841|0.268601841,0.15|0.15|0.15|0.15|0.15|0.15,0|0.111744536|0.238481587|0.250446052|0.209748929|0,-0.240068116|-0.251379262|-0.263051708|-0.248546274|-0.248282256|0,1.09475718|0.853364764|0.588171309|0.674436389|0.543874038|0.594407365,0.302802652|0.50498718|0.398882985,0.012975988|-0.297914743|-0.0590172932,0.0029449621215462685,0.0007945140823721886,0.0008011534810066223,0.001320715993642807
5,0.30000000000000004,0.11522125492809371,0.16257451474666595,0.2936207950115204,0.3282959461212158,0.15498964488506317,0.35,4,0,0,0,0,,,nan,0,1.0006940364837646,2.4238104820251465,43.09339141845703,1.0006940364837646,1.0,nan,0,0,0,0,0.16312204921191964,0.0,passthrough,9.118024261085412e-10,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1441635412339578,0.32177327|0.241208487|0.152222064|0.168606517|0.144163541|0.147163541,0.47177327|0.391208487|0.302222064|0.318606517|0.294163541|0.297163541,0.44177327|0.361208487|0.272222064|0.288606517|0.264163541|0.267163541,0.15|0.15|0.15|0.15|0.15|0.15,0|0.105741266|0.217850576|0.227078707|0.185562315|0,-0.237221798|-0.246888994|-0.2563327|-0.241106381|-0.243233937|0,1.04987128|0.823686219|0.570406131|0.660398395|0.518982543|0.588654165,0.303451389|0.490091264|0.395932198,0.012975988|-0.297914743|-0.0590172932,0.0034337807446718216,0.0007856376469135284,0.0012585371732711792,0.0013691261410713196
6,0.35000000000000003,0.17098011129436363,0.1763324737548828,0.2663678228855133,0.3226088881492615,0.15866900980472565,0.35,4,0,0,0,0,,,nan,0,1.0020827054977417,3.6568825244903564,36.14897918701172,1.0020825862884521,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,3.4602494520047244e-07,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.14188944114744528,0.309986715|0.234151492|0.150708804|0.168429084|0.141889441|0.144889441,0.459986715|0.384151492|0.300708804|0.318429084|0.291889441|0.294889441,0.429986715|0.354151492|0.270708804|0.288429084|0.261889441|0.264889441,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0988554663|0.181198093|0.182994651|0.130894791|0,-0.234206441|-0.241906853|-0.247899778|-0.231955873|-0.236505351|0,1.00574042|0.793554582|0.53613353|0.624755115|0.461947205|0.579557765,0.304100126|0.475195348|0.39298141,0.012975988|-0.297914743|-0.0590172932,0.002981130965054035,0.0007884753867983818,0.0008852127939462662,0.0012800786644220352
7,0.4,0.1897016683971281,0.23166784644126892,0.23664209246635437,0.31462210416793823,0.19979098439216614,0.35,4,0,0,0,0,,,nan,0,1.0022629499435425,4.116640567779541,37.71437072753906,1.0022627115249634,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,5.666191823028949e-07,0,0,12,,predictive_link_4,0,0,1,solved,osqp,0.0,valid,0.1374256332076219,0.298355388|0.227090941|0.148033966|0.166760985|0.137425633|0.140425633,0.448355388|0.377090941|0.298033966|0.316760985|0.287425633|0.290425633,0.418355388|0.347090941|0.268033966|0.286760985|0.257425633|0.260425633,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0953787506|0.149441602|0.142410164|0.0777327437|0,-0.231010807|-0.236482679|-0.237359287|-0.220580812|-0.227552137|0,0.962410744|0.767259837|0.504218178|0.588873292|0.399883139|0.561702533,0.304748863|0.460299432|0.390030622,0.012975988|-0.297914743|-0.0590172932,0.005010203458368778,0.001479998230934143,0.001430407166481018,0.0020648781210184097
8,0.45,0.27933961762903875,0.17634335160255432,0.2065178006887436,0.3097292482852936,0.16658252477645874,0.35,4,0,0,0,0,,,nan,0,1.0413137674331665,3.5427091121673584,93.32636260986328,1.0413132905960083,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,9.845213297613795e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.13105655850042008,0.286888597|0.220217702|0.144601182|0.163962971|0.131056559|0.134056545,0.436888597|0.370217702|0.294601182|0.313962971|0.281056559|0.284056545,0.406888597|0.340217702|0.264601182|0.283962971|0.251056559|0.254056545,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0985893165|0.182979918|0.182182894|0.131436691|0,-0.227623|-0.230708815|-0.224469673|-0.206614747|-0.215713464|0,0.919931389|0.748751307|0.536914972|0.631420031|0.43994946|0.536226178,0.3053976|0.445403516|0.387079835,0.012975988|-0.297914743|-0.0590172932,0.005082042887806892,0.0014659576117992401,0.0014986218884587288,0.0020845867693424225
9,0.5,0.30652726139457376,0.20635873079299927,0.17447906732559204,0.3030984699726105,0.1762855499982834,0.35,4,0,0,0,0,,,nan,0,1.0662145614624023,5.408621311187744,136.57664489746094,1.0662140846252441,1.0,nan,0,0,0,0,0.16312204921191964,0.0,filtered,9.81457167645614e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.12808969496131553,0.275596264|0.213781985|0.14351872|0.163904075|0.128089695|0.131089695,0.425596264|0.363781985|0.29351872|0.313904075|0.278089695|0.281089695,0.395596264|0.333781985|0.26351872|0.283904075|0.248089695|0.251089695,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0990068153|0.167933738|0.160316072|0.0841071602|0,-0.224030471|-0.224684874|-0.210306876|-0.191098665|-0.201741996|0,0.878354584|0.729449882|0.531701744|0.624833705|0.394723944|0.52435878,0.306046337|0.4305076|0.384129047,0.012975988|-0.297914743|-0.0590172932,0.0047830333933234215,0.0014466112479567528,0.0013704560697078705,0.0019319159910082817
