step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.5630756875748659,0.14838962256908417,0.5348750352859497,0.4838717579841614,0.13949592411518097,0.35,1,0,0,0,0,,,nan,0,0.485103964805603,9.702078819274902,194.0415802001953,0.5269041061401367,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,0.05362343131212346,0,0,12,joint_1_acceleration_lower|joint_3_acceleration_lower|joint_5_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3066689396179114,0.477546051|0.30666894|0.31466894|0.49819076|0.541513739|0.556539809,0.627546051|0.45666894|0.46466894|0.64819076|0.691513739|0.706539809,0.597546051|0.42666894|0.43466894|0.61819076|0.661513739|0.676539809,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0420574856|0.0420574856|0.0395242691|0.035744113|0,-0.176013645|-0.251287608|-0.251287608|-0.269041899|-0.260847793|0,1.73417056|1.01744564|1.04944564|1.76324541|1.94095128|2.22615924,0.334626734|-0.57487607|0.532865524,0.0349684916|0.273589045|-0.00408786954,0.00545735377818346,0.0014553014189004898,0.0016190940514206886,0.0023429617285728455
1,0.1,-0.3877375732608573,0.1280287504196167,0.5191761255264282,0.4748190641403198,0.11852952092885971,0.35,1,0,0,0,0,,,nan,0,0.7480844855308533,5.658179759979248,106.65550994873047,0.7480840086936951,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,8.960964034925595e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.29618346487255076,0.468819231|0.296183465|0.304183465|0.486858921|0.530440585|0.544910854,0.618819231|0.446183465|0.454183465|0.636858921|0.680440585|0.694910854,0.588819231|0.416183465|0.424183465|0.606858921|0.650440585|0.664910854,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0747707351|0.0747707351|0.0921340392|0.0873202295|0,-0.173043787|-0.249567987|-0.249567987|-0.269624485|-0.261587902|0,1.70223314|1.00993661|1.04193661|1.76994524|1.94749467|2.17964341,0.336375177|-0.561196804|0.532660961,0.0349684916|0.273589045|-0.00408786954,0.00462663359940052,0.0014831861481070518,0.0013263346627354622,0.0017837276682257652
2,0.15000000000000002,-0.3399253790213015,0.12303891777992249,0.5029151439666748,0.466428279876709,0.11293572932481766,0.35,1,0,0,0,0,,,nan,0,0.7337790727615356,6.112973690032959,165.62794494628906,0.736839234828949,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,0.07499414987197521,0,0,12,joint_5_acceleration_lower,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.28743919798692397,0.460243455|0.287439198|0.295439198|0.477961735|0.521715088|0.535090919,0.610243455|0.437439198|0.445439198|0.627961735|0.671715088|0.685090919,0.580243455|0.407439198|0.415439198|0.597961735|0.641715088|0.655090919,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0848358503|0.0848358503|0.161213802|0.162100259|0,-0.169971282|-0.247350223|-0.247350223|-0.270737541|-0.263195288|0,1.67100254|0.987242419|1.01924242|1.8023232|1.98576532|2.14036368,0.33812362|-0.547517538|0.532456398,0.0349684916|0.273589045|-0.00408786954,0.004693552851676941,0.0014046011492609978,0.0012751305475831032,0.00198208075016737
3,0.2,-0.27620437582922475,0.12369617819786072,0.4850962162017822,0.4582730531692505,0.11298414319753647,0.35,1,0,0,0,0,,,nan,0,0.7989223003387451,5.110987663269043,84.68856048583984,0.7989221811294556,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,3.0929031007411993e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.27931367549118014,0.451823928|0.279313675|0.287313675|0.472431552|0.516620033|0.528859261,0.601823928|0.429313675|0.437313675|0.622431552|0.666620033|0.678859261,0.571823928|0.399313675|0.407313675|0.592431552|0.636620033|0.648859261,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0884021299|0.0884021299|0.164608859|0.162617073|0,-0.166793296|-0.245437339|-0.245437339|-0.271733241|-0.264748257|0,1.64050242|0.960219493|0.992219493|1.78260182|1.96434895|2.11543705,0.339872062|-0.533838272|0.532251835,0.0349684916|0.273589045|-0.00408786954,0.004281231202185154,0.0011921003460884094,0.001149587333202362,0.0019111540168523788
4,0.25,-0.2227816075880517,0.12949666380882263,0.46606963872909546,0.4500126242637634,0.11815661191940308,0.35,1,0,0,0,0,,,nan,0,0.8680264353752136,3.6352741718292236,75.94180297851562,0.8680261373519897,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,4.246550701062063e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2714589107349056,0.443565991|0.271458911|0.279458911|0.467020252|0.511468746|0.522354568,0.593565991|0.421458911|0.429458911|0.617020252|0.661468746|0.672354568,0.563565991|0.391458911|0.399458911|0.587020252|0.631468746|0.642354568,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0854803328|0.0854803328|0.135408761|0.127611825|0,-0.163507055|-0.2432711|-0.2432711|-0.272768261|-0.26644448|0,1.61075691|0.928044876|0.960044876|1.73072151|1.90704233|2.08941827,0.341620505|-0.520159006|0.532047272,0.0349684916|0.273589045|-0.00408786954,0.004803011193871498,0.001592986285686493,0.0013277558609843254,0.0018443455919623375
5,0.30000000000000004,-0.20930524997435102,0.13725873827934265,0.4477638006210327,0.44157373905181885,0.12525135278701782,0.35,1,0,0,0,0,,,nan,0,0.8938364386558533,2.380662441253662,60.763145446777344,0.893835723400116,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,1.1208954330395683e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2635729333332796,0.435475127|0.263572933|0.271572933|0.460110291|0.50448565|0.513667023,0.585475127|0.413572933|0.421572933|0.610110291|0.65448565|0.663667023,0.555475127|0.383572933|0.391572933|0.580110291|0.62448565|0.633667023,0.15|0.15|0.15|0.15|0.15|0.15,0|0.079682985|0.079682985|0.123184716|0.114487436|0,-0.160109869|-0.240575407|-0.240575407|-0.273800497|-0.268244703|0,1.58179064|0.893399311|0.925399311|1.68982538|1.86418533|2.05466809,0.343368948|-0.50647974|0.531842709,0.0349684916|0.273589045|-0.00408786954,0.0047395238652825356,0.0013974839821457863,0.0011794008314609528,0.0021298788487911224
6,0.35000000000000003,-0.24575278664422967,0.1463399976491928,0.43245434761047363,0.43296104669570923,0.13358420133590698,0.35,1,0,0,0,0,,,nan,0,0.8837032914161682,3.0812621116638184,60.8350944519043,0.8837025165557861,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,1.1055451185410764e-06,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2555450954292098,0.427556816|0.255545095|0.263545095|0.452546287|0.496753658|0.503891662,0.577556816|0.405545095|0.413545095|0.602546287|0.646753658|0.653891662,0.547556816|0.375545095|0.383545095|0.572546287|0.616753658|0.623891662,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0717696016|0.0717696016|0.149986796|0.146619719|0,-0.156599098|-0.2376144|-0.2376144|-0.274645635|-0.269891908|0,1.55362817|0.856335583|0.888335583|1.68552631|1.86374244|2.01556665,0.34511739|-0.492800266|0.531638145,0.0349684916|0.273589045|-0.00408786954,0.004995642229914665,0.0013346029445528984,0.0013467483222484589,0.0022822441533207893
7,0.4,-0.28589250806232286,0.1588548868894577,0.419883668422699,0.42399775981903076,0.14523491263389587,0.35,1,0,0,0,0,,,nan,0,0.8657640814781189,2.6556665897369385,30.53974151611328,0.8657634258270264,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,7.188383151871097e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.24728289394506575,0.419816841|0.247282894|0.255282894|0.446243841|0.490198897|0.495404901,0.569816841|0.397282894|0.405282894|0.596243841|0.640198897|0.645404901,0.539816841|0.367282894|0.375282894|0.566243841|0.610198897|0.615404901,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0604484707|0.0604484707|0.160637734|0.149274477|0,-0.152972297|-0.235078479|-0.235078479|-0.275175319|-0.270991546|0,1.52629507|0.814501567|0.846501567|1.67043778|1.83907852|1.9816196,0.346865833|-0.479120642|0.531433582,0.0349684916|0.273589045|-0.00408786954,0.004873530939221382,0.0014528976753354073,0.00138168316334486,0.002008446492254734
8,0.45,-0.3179094031751276,0.1716788113117218,0.40936219692230225,0.4147005081176758,0.1570710986852646,0.35,1,0,0,0,0,,,nan,0,0.8376309275627136,2.150028705596924,20.363540649414062,0.8376304507255554,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,6.041653583412093e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.23860082549221995,0.412261156|0.238600825|0.246600825|0.440457913|0.483728238|0.487584267,0.562261156|0.388600825|0.396600825|0.590457913|0.633728238|0.637584267,0.532261156|0.358600825|0.366600825|0.560457913|0.603728238|0.607584267,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0504258826|0.0504258826|0.159416299|0.138954436|0,-0.1492272|-0.233028475|-0.233028475|-0.275471833|-0.271517523|0,1.49981742|0.771800709|0.803800709|1.64577612|1.80234986|1.95033707,0.348614275|-0.465441018|0.531229019,0.0349684916|0.273589045|-0.00408786954,0.004761483520269394,0.0011914148926734924,0.001454424113035202,0.0020857881754636765
9,0.5,-0.33852209235994857,0.1820579618215561,0.4002270996570587,0.4052535891532898,0.16635560989379883,0.35,1,0,0,0,0,,,nan,0,0.8161025643348694,2.307420015335083,30.517072677612305,0.8161020874977112,1.0,nan,0,0,0,0,0.3066689396179114,0.0,filtered,5.852761415669603e-07,0,0,12,,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.2295317316681622,0.404895729|0.229531732|0.237531732|0.434630782|0.476789206|0.479940496,0.554895729|0.379531732|0.387531732|0.584630782|0.626789206|0.629940496,0.524895729|0.349531732|0.357531732|0.554630782|0.596789206|0.599940496,0.15|0.15|0.15|0.15|0.15|0.15,0|0.0449416393|0.0449416393|0.158435058|0.129981712|0,-0.145361696|-0.231349829|-0.231349829|-0.275624797|-0.27160743|0,1.47422122|0.731718737|0.763718737|1.62133339|1.76553111|1.91976199,0.350362718|-0.451761395|0.531024456,0.0349684916|0.273589045|-0.00408786954,0.004888353869318962,0.0014883121475577354,0.0013755811378359795,0.001989607699215412
