step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.1351903762136073,0.08463594317436218,0.28235694766044617,0.52638840675354,0.08066676557064056,0.35,4,0,0,0,0,,,nan,0,0.36987823247909546,7.397564888000488,147.9512939453125,0.3907186686992645,1.0,nan,0,0,0,0,0.3477589656862665,0.0,filtered,0.026803749171669843,0,0,12,joint_1_acceleration_lower|joint_2_acceleration_lower,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.3477589656862665,0.527436567|0.542436567|0.45749576|0.37329196|0.347758966|0.350758966,0.677436567|0.692436567|0.60749576|0.52329196|0.497758966|0.500758966,0.647436567|0.662436567|0.57749576|0.49329196|0.467758966|0.470758966,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0620142294|0.107073852|0.0956584364|0.0956584364,-0.202379338|0|-0.224700284|-0.244289403|-0.240060564|-0.240060564,1.90736693|2.16974627|1.66729698|1.35595229|1.24663373|1.25863373,0.626148105|-0.557139814|0.248352617,-0.0704073235|0.244673222|0.0259681251,0.00525215920060873,0.001750401221215725,0.0015262505039572716,0.0019352156668901443
1,0.1,-0.025859513084967672,0.10065758228302002,0.2699679434299469,0.5176821351051331,0.09434289485216141,0.35,4,0,0,0,0,,,nan,0,0.5582123398780823,4.938244342803955,115.89661407470703,0.5582123398780823,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,1.3431500895119986e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.34038506867806817,0.517355215|0.532355215|0.449040879|0.366162651|0.340385069|0.343385069,0.667355215|0.682355215|0.599040879|0.516162651|0.490385069|0.493385069,0.637355215|0.652355215|0.569040879|0.486162651|0.460385069|0.463385069,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0895502657|0.10310802|0.0639317371|0.0639317371,-0.200859566|0|-0.223368224|-0.243294691|-0.239041707|-0.239041707,1.86856129|2.12942086|1.66234556|1.32446393|1.18643031|1.19843031,0.622627616|-0.54490608|0.249650985,-0.0704073235|0.244673222|0.0259681251,0.005073335021734238,0.0014990614727139473,0.0014607924968004227,0.0020795436576008797
2,0.15000000000000002,0.056657494446635315,0.10842043161392212,0.2535551190376282,0.5084888935089111,0.10167203843593597,0.35,4,0,0,0,0,,,nan,0,0.7074368000030518,4.210125923156738,66.63407135009766,0.707436740398407,1.0,nan,0,0,0,0,0.3477589656862665,0.0,filtered,1.511591512144128e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.331914310150627,0.507351301|0.522351295|0.442313991|0.359364424|0.33191431|0.33491431,0.657351301|0.672351295|0.592313991|0.509364424|0.48191431|0.48491431,0.627351301|0.642351295|0.562313991|0.479364424|0.45191431|0.45491431,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.108990762|0.10701805|0.0483695762|0.0483695762,-0.199282361|0|-0.221556487|-0.241384823|-0.237363055|-0.237363055,1.83012284|2.08940518|1.65669024|1.30309093|1.13866376|1.15066376,0.619107127|-0.532672346|0.250949472,-0.0704073235|0.244673222|0.0259681251,0.005118196830153465,0.001541673205792904,0.0015928726643323898,0.0019492246210575104
3,0.2,0.11798296053652049,0.10877867043018341,0.2347596138715744,0.49940016865730286,0.1015927791595459,0.35,4,0,0,0,0,,,nan,0,0.8177387714385986,3.6514508724212646,32.77238464355469,0.8177385330200195,1.0,nan,0,0,0,0,0.3477589656862665,0.0,filtered,3.8108515968625545e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3230348775391112,0.497427747|0.512427747|0.436748668|0.353131872|0.323034878|0.326034878,0.647427747|0.662427747|0.586748668|0.503131872|0.473034878|0.476034878,0.617427747|0.632427747|0.556748668|0.473131872|0.443034878|0.446034878,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.120662744|0.116436087|0.0461778466|0.0461778466,-0.197645282|0|-0.21940777|-0.238741688|-0.235127165|-0.235127165,1.7920657|2.04971099|1.64824964|1.29022189|1.10319019|1.11519019,0.615586638|-0.520438612|0.252248019,-0.0704073235|0.244673222|0.0259681251,0.004983407445251942,0.0016438188031315804,0.0013488046824932098,0.001957479864358902
4,0.25,0.16308274129827594,0.09714171290397644,0.21514588594436646,0.4912826716899872,0.08957472443580627,0.35,4,0,0,0,0,,,nan,0,0.874413788318634,1.5720815658569336,43.17052459716797,0.874413788318634,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,1.0448589207512928e-09,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3143410188166198,0.487587596|0.502587591|0.431891829|0.34766012|0.314341019|0.317341019,0.637587596|0.652587591|0.581891829|0.49766012|0.464341019|0.467341019,0.607587596|0.622587591|0.551891829|0.46766012|0.434341019|0.437341019,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.125405799|0.134515377|0.0620946384|0.0620946384,-0.195945796|0|-0.21703522|-0.235468445|-0.23231579|-0.23231579,1.75440459|2.01035037|1.63593789|1.28968741|1.08714292|1.09914292,0.61206615|-0.508204877|0.253546566,-0.0704073235|0.244673222|0.0259681251,0.004676779732108116,0.0015840260311961174,0.0012530693784356117,0.001802767626941204
5,0.30000000000000004,0.19172743081795374,0.08514678478240967,0.19550669193267822,0.48428699374198914,0.0834437906742096,0.35,4,0,0,0,0,,,nan,0,0.8846845030784607,1.3621432781219482,41.871986389160156,0.8846845030784607,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,9.6436637839873e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3067061763423171,0.477834035|0.492834035|0.427387103|0.343352333|0.306706176|0.309706176,0.627834035|0.642834035|0.577387103|0.493352333|0.456706176|0.459706176,0.597834035|0.612834035|0.547387103|0.463352333|0.426706176|0.429706176,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.127810303|0.152157319|0.0807066186|0.0807066186,-0.194181268|0|-0.214537959|-0.231688705|-0.228882399|-0.228882399,1.71715487|1.97133614|1.62282076|1.29387794|1.07864893|1.09064893,0.608545661|-0.495971143|0.254845113,-0.0704073235|0.244673222|0.0259681251,0.003566175699234009,0.0013004662469029427,0.0008741701021790504,0.001360149122774601
6,0.35000000000000003,0.19277757148761276,0.08588563650846481,0.17653921246528625,0.47828933596611023,0.0840562954545021,0.35,4,0,0,0,0,,,nan,0,0.8754650354385376,2.0475237369537354,18.683881759643555,0.8754650354385376,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,8.233526087821983e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3002953493765399,0.468170384|0.483170384|0.423121636|0.340198968|0.300295349|0.303295349,0.618170384|0.633170384|0.573121636|0.490198968|0.450295349|0.453295349,0.588170384|0.603170384|0.543121636|0.460198968|0.420295349|0.423295349,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.128687746|0.165374408|0.0964998381|0.0964998381,-0.19234897|0|-0.2119375|-0.227418965|-0.224727955|-0.224727955,1.68033256|1.93268153|1.60923679|1.29875131|1.07295328|1.08495328,0.605025172|-0.483737409|0.256143659,-0.0704073235|0.244673222|0.0259681251,0.0038379356265068054,0.0009673107415437698,0.0010051922872662544,0.0018444135785102844
7,0.4,0.16350627523561267,0.09621579945087433,0.15927062928676605,0.4730813205242157,0.08764343708753586,0.35,4,0,0,0,0,,,nan,0,0.8592069745063782,1.9446228742599487,17.64529037475586,0.8592069745063782,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,7.736074857836349e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29498825400991324,0.458600101|0.473600101|0.419022669|0.337982494|0.294988254|0.297491189,0.608600101|0.623600101|0.569022669|0.487982494|0.444988254|0.447491189,0.578600101|0.593600101|0.539022669|0.457982494|0.414988254|0.417491189,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.123996828|0.171963537|0.108676038|0.0849896521,-0.190446074|0|-0.209247197|-0.222700074|-0.219828426|-0.225139985,1.64395433|1.8944004|1.59084031|1.30119344|1.06880063|1.04981442,0.601504683|-0.471503675|0.257442206,-0.0704073235|0.244673222|0.0259681251,0.004282824695110321,0.0016355710104107857,0.0010632611811161041,0.0015279874205589294
8,0.45,0.09543886297479301,0.12443007528781891,0.144719198346138,0.46649956703186035,0.11516416817903519,0.35,5,0,0,0,0,,,nan,0,0.8244765400886536,1.3020212650299072,27.186086654663086,0.8244765400886536,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,7.680129292540135e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2905082870303005,0.449126789|0.464126789|0.41481469|0.336325969|0.290554879|0.290508287,0.599126789|0.614126789|0.56481469|0.486325969|0.440554879|0.440508287,0.569126789|0.584126789|0.53481469|0.456325969|0.410554879|0.410508287,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.110365992|0.168439294|0.113691818|0.0573883526,-0.188469662|0|-0.206520654|-0.217707052|-0.214339888|-0.227785919,1.60803749|1.85650716|1.5631041|1.29603612|1.06157145|0.991635582,0.597984195|-0.459269941|0.258740753,-0.0704073235|0.244673222|0.0259681251,0.0034135673195123672,0.0011905161663889885,0.0008981013670563698,0.001300751231610775
9,0.5,0.03661488494413148,0.13111348450183868,0.13341058790683746,0.45737361907958984,0.12131546437740326,0.35,5,0,0,0,0,,,nan,0,0.7708825469017029,1.5160754919052124,24.706571578979492,0.7708825469017029,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,7.166002404427254e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.28204242119763134,0.439754199|0.454754199|0.410058031|0.334660772|0.286561531|0.282042421,0.589754199|0.604754199|0.560058031|0.484660772|0.436561531|0.432042421,0.559754199|0.574754199|0.530058031|0.454660772|0.406561531|0.402042421,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0927415243|0.161593699|0.118183314|0.0407629635,-0.186416721|0|-0.203830069|-0.212664057|-0.208491583|-0.228351639,1.57260008|1.8190168|1.52914358|1.28757273|1.05593786|0.940581009,0.594463706|-0.447036207|0.2600393,-0.0704073235|0.244673222|0.0259681251,0.005091969855129719,0.0016299597918987274,0.0014823544770479202,0.001940712332725525
10,0.55,-0.01856334559315663,0.12717899680137634,0.1256050169467926,0.4488379955291748,0.11690282821655273,0.35,5,0,0,0,0,,,nan,0,0.701450765132904,1.8203997611999512,13.364007949829102,0.701450765132904,1.0,nan,0,0,0,0,0.3477589656862665,0.0,passthrough,6.756858497609111e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2735172522556306,0.430486235|0.445486235|0.404555742|0.332788481|0.282955941|0.273517252,0.580486235|0.595486235|0.554555742|0.482788481|0.432955941|0.423517252,0.550486235|0.565486235|0.524555742|0.452788481|0.402955941|0.393517252,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0742348184|0.154774996|0.125465761|0.0522495376,-0.184284147|0|-0.201207293|-0.207731495|-0.202429368|-0.223663544,1.53766079|1.78194494|1.4912505|1.27819742|1.05486016|0.922655003,0.590943217|-0.434802473|0.261337847,-0.0704073235|0.244673222|0.0259681251,0.004579582251608372,0.0013587027788162231,0.0012841150164604187,0.001904320903122425
