step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.0543606196457813,0.2985173761844635,0.6429154872894287,0.24913309514522552,0.2705436646938324,0.35,3,0,0,0,0.3912721276283264,7.825442790985107,156.50885009765625,0.45784792304039,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.07377406186264895,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.08561910235296297,0.624429482|0.639429482|0.346197892|0.0856191024|0.0876191024|0.126731096,0.774429482|0.789429482|0.496197892|0.235619102|0.237619102|0.276731096,0.744429482|0.759429482|0.466197892|0.205619102|0.207619102|0.246731096,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.065314587|0.0255129624|0.0255129624|-0.0103384943,-0.10702513|0|-0.120111441|-0.120145506|-0.120145506|-0.105173193,2.3906928|2.55771793|1.32999471|0.247843866|0.255843866|0.391412696,0.598231435|0.488934726|0.616742909,-0.0356687307|-0.125761181|-0.0347223654,0.004229066893458366,0.0010235775262117386,0.0012463266029953957,0.0019345572218298912
1,0.1,-0.9716725539915049,0.28479287028312683,0.6359325051307678,0.24519051611423492,0.2554984986782074,0.35,3,0,0,0,0.6593815684318542,6.126222610473633,97.20638275146484,0.6593811511993408,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,6.283692478941264e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.08089851989139854,0.619087828|0.634087828|0.343415989|0.0808985199|0.0828985199|0.120990564,0.769087828|0.784087828|0.493415989|0.23089852|0.23289852|0.270990564,0.739087828|0.754087828|0.463415989|0.20089852|0.20289852|0.240990564,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0928887377|0.0347863592|0.0347863592|-0.0259753191,-0.106649899|0|-0.119724226|-0.1208016|-0.1208016|-0.105770301,2.36970141|2.53635131|1.34682847|0.237578839|0.245578839|0.352216635,0.596448302|0.482646555|0.615006983,-0.0356687307|-0.125761181|-0.0347223654,0.004467572085559368,0.0011159330606460571,0.001283237710595131,0.002033720724284649
2,0.15000000000000002,-0.8662671854205576,0.22569027543067932,0.6275569200515747,0.24436981976032257,0.19585540890693665,0.35,3,0,0,0,0.7297645211219788,6.068002223968506,147.99034118652344,0.7259389162063599,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,0.031157742468952726,0,0,12,joint_5_acceleration_lower,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07673008072767593,0.613765101|0.628765088|0.342068243|0.0767300807|0.0787300807|0.114562211,0.763765101|0.778765088|0.492068243|0.226730081|0.228730081|0.264562211,0.733765101|0.748765088|0.462068243|0.196730081|0.198730081|0.234562211,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0701323711|0.0963687424|0.0963687424|0.0509574854,-0.106268043|0|-0.119388474|-0.122378636|-0.122378636|-0.107481011,2.34879236|2.51506035|1.31901687|0.280910429|0.288910429|0.401725319,0.59466517|0.476358384|0.613271058,-0.0356687307|-0.125761181|-0.0347223654,0.003549112007021904,0.0010035671293735504,0.000979679636657238,0.0015435190871357918
3,0.2,-0.7853271474997408,0.2186373621225357,0.6166786551475525,0.24659810960292816,0.1890350878238678,0.35,3,0,0,0,0.8101781606674194,4.37427282333374,112.44979095458984,0.8101776838302612,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,7.703068420353845e-07,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.0757126332415127,0.608461638|0.623461638|0.339629676|0.0757126332|0.0777126332|0.112100594,0.758461638|0.773461638|0.489629676|0.225712633|0.227712633|0.262100594,0.728461638|0.743461638|0.459629676|0.195712633|0.197712633|0.232100594,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0904252878|0.15905188|0.15905188|0.118230152,-0.10587943|0|-0.119279785|-0.12375988|-0.12375988|-0.109038665,2.32796712|2.49384655|1.32966421|0.338142533|0.346142533|0.457593865,0.592882037|0.470070213|0.611535132,-0.0356687307|-0.125761181|-0.0347223654,0.003717035986483097,0.0010226378217339516,0.001055384986102581,0.0016133617609739304
4,0.25,-0.7136128551415462,0.20887674391269684,0.6040924191474915,0.2526029050350189,0.18053753674030304,0.35,3,0,0,0,0.8804740905761719,3.785574436187744,78.38290405273438,0.8804740905761719,1.0,nan,0,0,0,0,0.08561910235296297,0.0,passthrough,4.634650625536142e-12,0,0,12,,predictive_link_3,0,0,1,solved,osqp,0.0,valid,0.07775444920836325,0.603177778|0.618177778|0.338209317|0.0777544492|0.0797544492|0.112933401,0.753177778|0.768177778|0.488209317|0.227754449|0.229754449|0.262933401,0.723177778|0.738177778|0.458209317|0.197754449|0.199754449|0.232933401,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0859905379|0.238728815|0.238728815|0.221087765,-0.105483926|0|-0.119139472|-0.125074566|-0.125074566|-0.110743162,2.30722718|2.47271111|1.31968833|0.424672046|0.432672046|0.562078209,0.591098905|0.463782042|0.609799206,-0.0356687307|-0.125761181|-0.0347223654,0.0037284623831510544,0.0010769329965114594,0.0010466203093528748,0.0015790211036801338
5,0.30000000000000004,-0.6613353053483915,0.19588635861873627,0.5910739302635193,0.26098203659057617,0.169368714094162,0.35,3,0,0,0,0.9324821829795837,3.232591152191162,68.68124389648438,0.9324814677238464,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,1.0563080932509367e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.08364671964749212,0.597913869|0.612913869|0.33658521|0.0836467196|0.0856467196|0.118729582,0.747913869|0.762913869|0.48658521|0.23364672|0.23564672|0.268729582,0.717913869|0.732913869|0.45658521|0.20364672|0.20564672|0.238729582,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0754949482|0.288432114|0.288432114|0.288169011,-0.105081393|0|-0.119062507|-0.125874926|-0.125874926|-0.112007382,2.28657408|2.45165548|1.30277328|0.497144066|0.505144066|0.651079957,0.589315772|0.457493871|0.608063281,-0.0356687307|-0.125761181|-0.0347223654,0.003966945223510265,0.0011709639802575111,0.001270068809390068,0.0015007657930254936
6,0.35000000000000003,-0.6066747308515485,0.183761864900589,0.5775037407875061,0.26938340067863464,0.15892648696899414,0.35,3,0,0,0,0.9618663191795349,1.2455331087112427,64.73306274414062,0.9618655443191528,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,1.0954464391446064e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.09196632485789272,0.592670267|0.607670257|0.334460528|0.0919663249|0.0939663249|0.127764876,0.742670267|0.757670257|0.484460528|0.241966325|0.243966325|0.277764876,0.712670267|0.727670257|0.454460528|0.211966325|0.213966325|0.247764876,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0880115699|0.289095374|0.289095374|0.283049898,-0.104671691|0|-0.119072853|-0.126304343|-0.126304343|-0.112900571,2.26600938|2.43068103|1.30678083|0.53065633|0.53865633|0.68120883,0.58753264|0.451205701|0.606327355,-0.0356687307|-0.125761181|-0.0347223654,0.0036390507593750954,0.0010418351739645004,0.0010095024481415749,0.001555086113512516
7,0.4,-0.556960618248636,0.17263148725032806,0.5635578632354736,0.2776605188846588,0.14932939410209656,0.35,3,0,0,0,0.9722990989685059,1.2648972272872925,26.29200553894043,0.9722986221313477,1.0,nan,0,0,0,0,0.08561910235296297,0.0,filtered,7.72389587767553e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10028892450226565,0.587447334|0.602447326|0.332949529|0.100288925|0.102288925|0.136513524,0.737447334|0.752447326|0.482949529|0.250288925|0.252288925|0.286513524,0.707447334|0.722447326|0.452949529|0.220288925|0.222288925|0.256513524,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.098238629|0.287013563|0.287013563|0.276952081,-0.104254678|0|-0.119025777|-0.126867816|-0.126867816|-0.11399185,2.24553466|2.40978931|1.31101097|0.561301446|0.569301446|0.709014328,0.585749507|0.44491753|0.604591429,-0.0356687307|-0.125761181|-0.0347223654,0.003630775958299637,0.0010170461609959602,0.0010529393330216408,0.001537431962788105
8,0.45,-0.5178977016339195,0.16134564578533173,0.5497722625732422,0.2866418957710266,0.13963794708251953,0.35,3,0,0,0,0.9814954996109009,1.3920717239379883,36.375755310058594,0.9814954996109009,1.0,nan,0,0,0,0,0.08561910235296297,0.0,passthrough,5.593695097728297e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.10847315930188198,0.582245438|0.597245438|0.331939756|0.108473159|0.110473159|0.144914534,0.732245438|0.747245438|0.481939756|0.258473159|0.260473159|0.294914534,0.702245438|0.717245438|0.451939756|0.228473159|0.230473159|0.264914534,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0906807643|0.302306117|0.302306117|0.300175853,-0.103830209|0|-0.118915199|-0.127527848|-0.127527848|-0.115220616,2.22515154|2.38898175|1.29952459|0.608670906|0.616670906|0.764613375,0.583966374|0.438629359|0.602855504,-0.0356687307|-0.125761181|-0.0347223654,0.003916972316801548,0.0010142121464014053,0.0010830778628587723,0.0017955675721168518
9,0.5,-0.4777609084711776,0.1499791294336319,0.5360476970672607,0.2963881492614746,0.1299102008342743,0.35,3,0,0,0,0.9921388626098633,1.138819932937622,15.289932250976562,0.9921388626098633,1.0,nan,0,0,0,0,0.08561910235296297,0.0,passthrough,5.0368709358003755e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1173840396625894,0.577064957|0.592064948|0.330569911|0.11738404|0.11938404|0.15439819,0.727064957|0.742064948|0.480569911|0.26738404|0.26938404|0.30439819,0.697064957|0.712064948|0.450569911|0.23738404|0.23938404|0.27439819,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0831256623|0.318706296|0.318706296|0.324620663,-0.103398137|0|-0.118852608|-0.12803066|-0.12803066|-0.116258496,2.20486169|2.36825979|1.2865527|0.660211795|0.668211795|0.825954927,0.582183242|0.432341188|0.601119578,-0.0356687307|-0.125761181|-0.0347223654,0.0041447849944233894,0.0010188501328229904,0.0010300492867827415,0.0020715435966849327
