episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-8.773123320378893,22.145360499620438,103,1,0,0,0.04961344599723816,5.15,0.17962299287319183,0.20250745671032702,0.527340292930603,0,0.0,0.7961165048543689,0.026851447319522336,0.0,0.0,0.0,0.0,0.970873786407767,0.0,0.0,0.059623005810921365,0.004283052335665064,0.17922799896846697,1.6718029975891113,45.33548355102539,1,1,2,0.1,0,0.32163315285596256
1,-79.51234947369308,51.416148414835334,240,0,0,0,0.09279412776231766,12.0,0.1321781575679779,0.1993545771886905,0.6637306809425354,0,0.0,0.8583333333333333,0.1408722895897365,0.0,0.0,0.0,0.020833333333333332,0.9416666666666667,0.0,0.0,0.003949210883481824,0.00700544841432323,0.12377494318643585,1.2367793321609497,27.818227767944336,1,1,31,1.55,0,0.33470302314506145
2,-116.57544319459521,51.80163621343672,240,0,0,0,0.17275799810886383,12.0,0.17228247225284576,0.20539329532378664,0.5485481023788452,0,0.0,0.6875,0.10553726175520321,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.051348844208636696,0.0026684211334213614,0.09784842934119903,1.1644909381866455,32.84593963623047,1,1,71,3.5500000000000003,0,0.2753840987369408
3,-28.48239093318268,26.02731477469206,71,0,1,1,0.15916238725185394,3.5500000000000003,0.15592096745967865,0.23238420182130706,0.5496493577957153,0,0.0,0.6619718309859155,0.02343244735642531,0.0,0.0,0.0,0.0,0.9436619718309859,0.0,0.0,0.022836484774183097,0.002847441498347571,0.12374997789755096,1.2958247661590576,21.477588653564453,1,0,13,0.65,0,0.3108313353767355
4,-115.52427517231226,57.01762976497412,240,0,0,0,0.46869584918022156,12.0,0.14942453801631927,0.21042334468414386,0.5425189733505249,0,0.0,0.725,0.09026049928323084,0.0,0.0,0.0,0.004166666666666667,0.9541666666666667,0.0,0.0,0.003143126991372147,0.0037100582228352624,0.12124303149757906,1.2873731851577759,23.808399200439453,1,1,51,2.5500000000000003,0,0.053472516192373726
5,-80.85182825288798,49.16499390825629,240,0,0,0,0.2511230707168579,12.0,0.16449402272701263,0.19250854479614646,0.5176817774772644,0,0.0,0.6791666666666667,0.07418754117719277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.038218465468060236,0.0030758178210817276,0.12122618140856503,1.3304437398910522,30.339344024658203,1,1,45,2.25,0,0.16791857544348443
6,-39.47956177480951,31.296602902933955,240,0,0,0,0.1382041573524475,12.0,0.20777873694896698,0.12656334990945955,0.4180130958557129,0,0.0,0.5416666666666666,0.002731692956667638,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.08777872905434114,0.003184443456120789,0.11083583997872969,1.1217924356460571,20.07524299621582,0,0,0,0.0,0,0.3699870234141385
7,15.699890804729751,5.1805959939956665,38,1,0,0,0.047767169773578644,1.9000000000000001,0.31474342942237854,0.1260746756666585,0.19220532476902008,0,0.0,0.5263157894736842,0.009226309980016388,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.17551845085158835,0.0036448377282603792,0.15483619223691916,1.5082629919052124,22.353239059448242,0,0,0,0.0,0,0.24959940270069508
8,-9.329922400598036,18.55834025144577,121,1,0,0,0.053349193185567856,6.050000000000001,0.1921791285276413,0.14574352965867224,0.5374684929847717,0,0.0,0.7024793388429752,0.05160756066123268,0.0,0.0,0.0,0.0,0.9752066115702479,0.0,0.0,0.07217912840259089,0.0028366102213578776,0.15279531541996258,1.4235174655914307,25.1689510345459,0,0,0,0.0,0,0.31767688699869917
9,-111.18293066505518,56.37185126915574,240,0,0,0,0.3425998389720917,12.0,0.1376865655183792,0.21945726131089033,0.595050573348999,0,0.0,0.8458333333333333,0.14457572874919117,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,0.0,0.0037127165840065146,0.0031128359764503936,0.07297435798294222,0.8827434778213501,14.690701484680176,1,1,58,2.9000000000000004,0,0.11561910235296297
10,-56.80957380345469,53.671627352014184,198,1,0,0,0.05255125090479851,9.9,0.1252172738313675,0.2495656909157682,0.7377763986587524,0,0.0,0.8737373737373737,0.11404044997426717,0.0,0.0,0.0,0.0,0.9848484848484849,0.0,0.0,0.0034153176225332205,0.0028528693094473294,0.14213466714489076,1.4590027332305908,26.050811767578125,1,1,51,2.5500000000000003,0,0.23369317730438677
11,8.48536767877459,9.59589870274067,57,1,0,0,0.053704164922237396,2.85,0.26984450221061707,0.15454161402426267,0.2507801353931427,0,0.0,0.5263157894736842,0.006779172360663458,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1451091593705427,0.003422830694992291,0.18681762387093745,1.7093874216079712,47.340248107910156,0,0,0,0.0,0,0.19784555358164746
12,-20.56576259065208,26.419397493824363,123,1,0,0,0.05333986133337021,6.15,0.17688794434070587,0.20368623685061446,0.47864338755607605,0,0.0,0.5609756097560976,0.019691167173535164,0.0,0.0,0.0,0.0,0.975609756097561,0.0,0.0,0.056887923989729194,0.0031839631028412804,0.15041837932133093,1.514604091644287,36.03604507446289,1,1,3,0.15000000000000002,0,0.330266770010418
13,-5.000382230798195,24.93814467638731,105,1,0,0,0.05173962935805321,5.25,0.1796363741159439,0.2329586914607457,0.3770414888858795,0,0.0,0.41904761904761906,0.01120643764925561,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.059636379064567036,0.0029292498227386247,0.10906208386378628,1.1117790937423706,21.62986183166504,1,1,6,0.30000000000000004,0,0.15732721899058416
14,-72.31357888133158,41.93229318968952,240,0,0,0,0.22393770515918732,12.0,0.15010897815227509,0.16702093491330744,0.5509175658226013,0,0.0,0.7166666666666667,0.08533896796846142,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.02470033386629361,0.0026568668661639096,0.09982506712743391,1.019136905670166,18.382308959960938,1,1,20,1.0,0,0.23548465793348466
15,-60.53040648228835,46.550732308998704,240,0,0,0,0.12242875248193741,12.0,0.17263229191303253,0.18482962666700284,0.6399184465408325,0,0.0,0.6208333333333333,0.021952292478911475,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.04758182641696823,0.0025480812105039756,0.19323854941564303,1.8371902704238892,49.561668395996094,1,1,22,1.1,0,0.059018166766859864
16,2.085803153360896,11.621023843064904,113,1,0,0,0.04783140867948532,5.65,0.269578218460083,0.10049154655595796,0.2801842987537384,0,0.0,0.8407079646017699,0.08113250665990733,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1495782332402975,0.002487830125388846,0.1221157314041547,1.2940245866775513,21.296451568603516,0,0,0,0.0,0,0.28450318340892067
17,-60.913938821074375,45.02567706257105,240,0,0,0,0.07094208896160126,12.0,0.16810837388038635,0.1803931545233354,0.491219699382782,0,0.0,0.6666666666666666,0.07372815050680896,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.0,0.04397293459126611,0.002533409666890899,0.10117207873990992,1.036967396736145,26.286890029907227,1,1,21,1.05,0,0.2965228116481846
18,18.20083685334602,4.504540823400021,28,1,0,0,0.04899313300848007,1.4000000000000001,0.29284167289733887,0.149904410221747,0.20893460512161255,0,0.0,0.7142857142857143,0.014111247954155777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16592716548099623,0.00236392709692674,0.19778480247727462,1.8001359701156616,28.215396881103516,0,0,0,0.0,0,0.27000800205624675
