step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.478095775949015,0.3606318533420563,0.2987431287765503,0.19774790108203888,0.31161952018737793,0.35,5,0,0,0,0.2112305909395218,4.224611759185791,84.49223327636719,0.3499999940395355,0.7377270845857483,0.059018166766859864,1,1,0,0,0.059018166766859864,0.3499999940395355,filtered,0.14333871676318322,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.059018166766859864,0.531229851|0.546229851|0.429409297|0.0996733395|0.0688706633|0.0590181668,0.651229851|0.666229851|0.549409297|0.219673339|0.188870663|0.179018167,0.651229851|0.666229851|0.549409297|0.219673339|0.188870663|0.179018167,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0271347821|0.0875408965|0.112307172|0.0996186222,-0.0647542415|0|-0.0950989652|-0.138380528|-0.148310517|-0.136635206,2.06016516|2.1849194|1.649673|0.347853726|0.239479308|0.199056083,0.584796011|0.474985868|0.376146764,0.0108345859|-0.147166207|0.0299853403,0.0022914716973900795
1,0.1,-0.3894125226758686,0.32165807485580444,0.29292720556259155,0.19926799833774567,0.2732153832912445,0.35,5,0,0,0,0.3499999940395355,2.8781421184539795,36.12253189086914,0.3499999940395355,0.7142296356772156,0.05713837085417725,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,1.5825514386546166e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.05713837085417725,0.528021095|0.543021095|0.426028247|0.0971073793|0.0670290789|0.0571383709,0.648021095|0.663021095|0.546028247|0.217107379|0.187029079|0.177138371,0.648021095|0.663021095|0.546028247|0.217107379|0.187029079|0.177138371,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0347955803|0.143381249|0.190014451|0.165765372,-0.0635866603|0|-0.0941092959|-0.138238021|-0.148274528|-0.1364053,2.04849772|2.17208438|1.64479927|0.393572745|0.309856239|0.257913555,0.58533746|0.467627674|0.37764594,0.0108345859|-0.147166207|0.0299853403,0.0020271334797143936
2,0.15000000000000002,-0.3849199366812531,0.31762468814849854,0.28748276829719543,0.20086787641048431,0.2697947919368744,0.35,5,0,0,0,0.3499999940395355,0.15605045855045319,57.36420440673828,0.3499999940395355,0.7329994802957877,0.05863995842366301,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,1.5601419338565427e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.05863995842366301,0.524871069|0.539871069|0.423085133|0.0973987646|0.0691367817|0.0586399584,0.644871069|0.659871069|0.543085133|0.217398765|0.189136782|0.178639958,0.644871069|0.659871069|0.543085133|0.217398765|0.189136782|0.178639958,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0322703329|0.143059525|0.190231913|0.16764813,-0.0624049516|0|-0.0932004831|-0.138482242|-0.148322972|-0.136542641,2.03707932|2.15948428|1.63141038|0.394172342|0.318456068|0.265665322,0.585878909|0.460269481|0.379145116,0.0108345859|-0.147166207|0.0299853403,0.0019504381343722343
3,0.2,-0.38255650790268303,0.31342172622680664,0.28245866298675537,0.20254935324192047,0.26624852418899536,0.35,5,0,0,0,0.3499999940395355,0.16984319686889648,0.38989195227622986,0.3499999940395355,0.7528554440185193,0.06022843552148155,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,1.6205813250810508e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06022843552148155,0.521780479|0.536780457|0.420062961|0.0976642033|0.0712546462|0.0602284355,0.641780479|0.656780457|0.540062961|0.217664203|0.191254646|0.180228436,0.641780479|0.656780457|0.540062961|0.217664203|0.191254646|0.180228436,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0296175127|0.142585604|0.190334828|0.169517155,-0.0612091557|0|-0.0922879428|-0.138726851|-0.148352181|-0.136629316,2.02591276|2.14712183|1.61758141|0.394515566|0.327001231|0.273801581,0.586420357|0.452911288|0.380644292,0.0108345859|-0.147166207|0.0299853403,0.0019598128274083138
4,0.25,-0.38171333064275387,0.30905061960220337,0.27791351079940796,0.20431439578533173,0.2625791132450104,0.35,5,0,0,0,0.3499999940395355,0.19003798067569733,0.5292676687240601,0.3499999940395355,0.7738295588368596,0.06190636470694877,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,1.816192829748397e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06190636470694877,0.518750028|0.533750028|0.416954779|0.0978959118|0.0733779042|0.0619063647,0.638750028|0.653750028|0.536954779|0.217895912|0.193377904|0.181906365,0.638750028|0.653750028|0.536954779|0.217895912|0.193377904|0.181906365,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.026739315|0.141890117|0.190277793|0.171379215,-0.0599993239|0|-0.0913414321|-0.138972376|-0.148359921|-0.136660208,2.01500079|2.13500011|1.603217|0.394501388|0.335429488|0.282344466,0.586961806|0.445553094|0.382143468,0.0108345859|-0.147166207|0.0299853403,0.0019405009225010872
5,0.30000000000000004,-0.38274356164956436,0.30451369285583496,0.27392229437828064,0.2061644345521927,0.2587904632091522,0.35,5,0,0,0,0.3500000238418579,0.2217579483985901,0.7750958204269409,0.3500000238418579,0.7959583541346057,0.06367666833076846,1,1,0,0,0.059018166766859864,0.3500000238418579,passthrough,2.2198034193968675e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06367666833076846,0.515780415|0.530780415|0.413751547|0.0980832067|0.0755001627|0.0636766683,0.635780415|0.650780415|0.533751547|0.218083207|0.195500163|0.183676668,0.635780415|0.650780415|0.533751547|0.218083207|0.195500163|0.183676668,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0235997196|0.140838222|0.189967046|0.173238309,-0.0587755196|0|-0.09040249|-0.139219269|-0.14834301|-0.136628449,2.00434614|2.12312166|1.58820342|0.39395178|0.343624687|0.291316533,0.587503254|0.438194901|0.383642644,0.0108345859|-0.147166207|0.0299853403,0.0019572172313928604
6,0.35000000000000003,-0.38637967439603194,0.2998100817203522,0.270595520734787,0.20810140669345856,0.2548859119415283,0.35,5,0,0,0,0.3499999940395355,0.2765243947505951,1.255416989326477,0.3499999940395355,0.8192772300564776,0.0655421784045182,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,2.949300930354103e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.0655421784045182,0.512872339|0.527872339|0.410440267|0.0982094855|0.0776114302|0.0655421784,0.632872339|0.647872339|0.530440267|0.218209486|0.19761143|0.185542178,0.632872339|0.647872339|0.530440267|0.218209486|0.19761143|0.185542178,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0200043592|0.139142229|0.189190893|0.175081874,-0.0575378186|0|-0.0894798315|-0.139468001|-0.148296673|-0.136524017,1.99395154|2.11148936|1.5722856|0.39251217|0.351339941|0.300726571,0.588044703|0.430836707|0.38514182,0.0108345859|-0.147166207|0.0299853403,0.002003926783800125
7,0.4,-0.3940741241992749,0.2949485778808594,0.2681144177913666,0.2101214975118637,0.2508803904056549,0.35,5,0,0,0,0.3499999940395355,0.3836306035518646,2.3253257274627686,0.3499999940395355,0.8438418997151698,0.06750735197721358,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,4.255862117112129e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06750735197721358,0.510026491|0.525026491|0.406997154|0.098243308|0.0796908572|0.067507352,0.630026491|0.645026491|0.526997154|0.218243308|0.199690857|0.187507352,0.630026491|0.645026491|0.526997154|0.218243308|0.199690857|0.187507352,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0155054171|0.136099267|0.187398797|0.176812506,-0.0562863089|0|-0.0885807162|-0.139719173|-0.148212919|-0.136329421,1.98381965|2.10010596|1.55491332|0.389353327|0.357949307|0.310512493,0.588586152|0.423478514|0.386640996,0.0108345859|-0.147166207|0.0299853403,0.0020003998652100563
8,0.45,-0.39756213466967105,0.28995850682258606,0.26621755957603455,0.21222425997257233,0.24678194522857666,0.35,5,0,0,0,0.3499999940395355,0.18702057003974915,4.6474175453186035,0.3499999940395355,0.8696610150658791,0.06957288120527033,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,4.5053800475623384e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.06957288120527033,0.507243559|0.522243559|0.403376019|0.0981195416|0.0816923197|0.0695728812,0.627243559|0.642243559|0.523376019|0.218119542|0.20169232|0.189572881,0.627243559|0.642243559|0.523376019|0.218119542|0.20169232|0.189572881,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0129866159|0.136087255|0.187728408|0.178305099,-0.0550210913|0|-0.0877172614|-0.139973619|-0.148077308|-0.136012356,1.97395315|2.08897424|1.53877343|0.388591802|0.366420378|0.320584267,0.5891276|0.416120321|0.388140172,0.0108345859|-0.147166207|0.0299853403,0.00237206369638443
9,0.5,-0.4005238309468703,0.2848449945449829,0.26485008001327515,0.2144136279821396,0.24259033799171448,0.35,5,0,0,0,0.3499999940395355,0.15293022990226746,1.1590477228164673,0.3499999940395355,0.8966334867624006,0.07173067894099205,1,1,0,0,0.059018166766859864,0.3499999940395355,passthrough,4.4702331761925006e-11,0,0,12,,predictive_link_5,0,0,1,solved,osqp,0.0,valid,0.07173067894099205,0.504524226|0.519524226|0.399673513|0.0979862583|0.0837203935|0.0717306789,0.624524226|0.639524226|0.519673513|0.217986258|0.203720393|0.191730679,0.624524226|0.639524226|0.519673513|0.217986258|0.203720393|0.191730679,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0110329443|0.136952121|0.188667643|0.179784929,-0.0537422798|0|-0.0868723309|-0.140215663|-0.147901153|-0.135627511,1.96435463|2.07809691|1.52285466|0.388681492|0.375648063|0.331080134,0.589669049|0.408762127|0.389639348,0.0108345859|-0.147166207|0.0299853403,0.0019804295152425766
