episode,reward,cost,length,success,collision,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s
0,-37.142201769916,20.968380704522133,28,0,1,1,0.525248110294342,1.4000000000000001,0.12430182844400406,0.3975237352507455,0.8248419165611267,0,0.0,0.5,0.01767648167758683,0.0,0.0,0.0,0.0,1.0,0.10714285714285714,-0.033392306962574336,0.007377542488809142,0.19637996068091265,1.7525564432144165,37.52705764770508,1,0,3,0.15000000000000002
1,8.20233237123919,11.855445444583893,79,1,0,0,0.05405959114432335,3.95,0.24073287844657898,0.14413781690446636,0.3604673743247986,0,0.0,0.6708860759493671,0.0033125801363788647,0.0,0.0,0.0,0.0,1.0,0.0,0.12073289739375676,0.0027215347236281707,0.15826769026963017,1.4514464139938354,36.549495697021484,0,0,0,0.0
2,-56.303699215253516,38.66964962147176,110,0,1,1,0.13155066967010498,5.5,0.15594197809696198,0.2602923203429038,0.6267778277397156,0,0.0,0.7545454545454545,0.04367702201820412,0.0,0.0,0.0,0.0,1.0,0.0,0.023402813370082043,0.002632126838646152,0.14419201510873708,1.3419787883758545,23.730871200561523,0,0,0,0.0
3,-89.08393095993827,49.82154382765293,234,1,0,0,0.053667452186346054,11.700000000000001,0.1610596626996994,0.2032578931404994,0.44142985343933105,0,0.0,0.5341880341880342,0.030663272835818493,0.0,0.0,0.0,0.0,0.9829059829059829,0.0,0.0410596687055203,0.0025651903751377878,0.08815401162092502,0.8494449257850647,17.215986251831055,0,0,0,0.0
4,-8.038437794557701,23.03665054216981,124,1,0,0,0.0434361957013607,6.2,0.20769797265529633,0.1777376790320681,0.3657366931438446,0,0.0,0.5967741935483871,0.03815880398143185,0.0,0.0,0.0,0.0,1.0,0.0,0.08769796448533801,0.002541934883582496,0.12442296551870963,1.245059609413147,29.28987693786621,0,0,0,0.0
5,3.6528948683047346,17.375291913747787,78,1,0,0,0.05001828819513321,3.9000000000000004,0.18239323794841766,0.2193531436033738,0.49000582098960876,0,0.0,0.7307692307692307,0.02675252742429478,0.0,0.0,0.0,0.0,0.9102564102564102,0.0,0.06414159498139005,0.0026737249766786895,0.1648088336850588,1.5477657318115234,43.256649017333984,0,0,0,0.0
6,-55.92540232181306,41.65431739203632,240,0,0,0,0.22255189716815948,12.0,0.1701882779598236,0.16523114799832303,0.537740170955658,0,0.0,0.4875,0.0057902505068071165,0.0,0.0,0.0,0.0,1.0,0.0,0.05018826941844684,0.002436059790973862,0.16695543034778287,1.5173884630203247,40.06186294555664,0,0,0,0.0
7,-25.897887194328064,21.596915202215314,240,0,0,0,0.0914040058851242,12.0,0.2649856507778168,0.08682382005111625,0.23115459084510803,0,0.0,0.36666666666666664,0.0013431791100108636,0.0,0.0,0.0,0.0,1.0,0.0,0.12261504769370729,0.0024465274919445315,0.059574138807753724,0.6611564755439758,12.080914497375488,0,0,0,0.0
8,-78.14696808982896,58.666116803884506,42,0,1,1,0.6075600981712341,2.1,0.10084833949804306,0.514017040176051,0.8350270986557007,9,0.21428571428571427,0.9761904761904762,0.16533235920956502,0.0,0.0,0.0,0.0,0.9523809523809523,0.30952380952380953,-0.05529601153939134,0.002351209632165375,0.1470978153880597,1.4447048902511597,23.418405532836914,1,0,13,0.65
9,18.499054439524635,3.949770849198103,58,1,0,0,0.0513780377805233,2.9000000000000004,0.3900003433227539,0.06546221570721988,0.12926369905471802,0,0.0,0.7758620689655172,0.0005231637236157052,0.0,0.0,0.0,0.0,1.0,0.0,0.2574601620543315,0.0024575339951391877,0.0626169787559273,0.750855565071106,20.775774002075195,0,0,0,0.0
10,-163.2487509991269,137.93231671117246,240,0,0,0,0.20885296165943146,12.0,0.11602575331926346,0.2434914918228363,0.8087062239646912,26,0.10833333333333334,0.7958333333333333,0.09603739240110679,0.0,0.0,0.0,0.0,0.95,0.125,-0.011606518922445241,0.002474524414477249,0.10720377299197328,1.1288379430770874,17.561132431030273,1,1,41,2.0500000000000003
11,-47.62644824536143,61.737415727227926,81,1,0,0,0.05428474396467209,4.05,0.11139680445194244,0.36863387113919965,0.8117637038230896,10,0.12345679012345678,0.32098765432098764,0.0032275961600885354,0.0,0.0,0.0,0.0,1.0,0.2716049382716049,-0.03266013305614229,0.0023519658242110854,0.12097942115692997,1.2652230262756348,19.825674057006836,1,1,24,1.2000000000000002
12,-114.37537453451769,74.57362521998584,240,0,0,0,0.25964462757110596,12.0,0.11449117213487625,0.1975459474682187,0.8151600956916809,8,0.03333333333333333,0.7083333333333334,0.05193785921197469,0.0,0.0,0.0,0.0125,0.9791666666666666,0.05,-0.012331574181090488,0.00416886656312272,0.1494749688426964,1.3841643333435059,25.290319442749023,1,1,16,0.8
13,6.789618948202454,10.513163410127163,52,1,0,0,0.054902754724025726,2.6,0.23684538900852203,0.19486023843861544,0.2560180425643921,0,0.0,0.8846153846153846,0.10716742836078871,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.1168454020125681,0.0024840274216750492,0.12468691678861013,1.212541937828064,19.927968978881836,0,0,0,0.0
14,6.998801050143333,14.882657803595066,45,1,0,0,0.05400960147380829,2.25,0.1433534175157547,0.3162531109319793,0.6148765683174133,0,0.0,0.35555555555555557,0.0014250457273240838,0.0,0.0,0.0,0.0,1.0,0.0,0.024335644538196033,0.0025902242710193,0.1297688310345014,1.2595312595367432,20.820402145385742,0,0,0,0.0
15,-74.48970208208073,52.131792245432734,240,0,0,0,0.3008784353733063,12.0,0.13938458263874054,0.20949859678124388,0.5613628029823303,0,0.0,0.5041666666666667,0.013889357148351385,0.0,0.0,0.0,0.0,0.9916666666666667,0.0,0.019384571216931268,0.0027185062373367447,0.10575171048209692,1.112336277961731,16.37139320373535,0,0,0,0.0
