step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.24555824224011757,0.16104882955551147,0.3439614772796631,0.3259844481945038,0.14631959795951843,0.35,3,0,0,0,0.44749999046325684,8.94999885559082,178.99998474121094,0.5050277709960938,1.0,0.19237470326807188,0,0,0,0.0,filtered,0.06325246610410053,0,0,12,joint_5_acceleration_upper,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.19237470326807188,0.0022026849910616875
1,0.1,-0.04701940942631409,0.13967490196228027,0.3266405463218689,0.3228659927845001,0.12441211938858032,0.35,3,0,0,0,0.8055796027183533,7.571770668029785,78.19210815429688,0.8055784702301025,1.0,0.18776685498983614,0,0,0,0.0,filtered,1.6084138439152433e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.18776685498983614,0.0028097787871956825
2,0.15000000000000002,0.060714181535594214,0.12950894236564636,0.30562007427215576,0.3217070996761322,0.11390377581119537,0.35,3,0,0,0,0.9754118323326111,3.6580233573913574,92.05276489257812,0.9754108786582947,1.0,0.18448556854977255,0,0,0,0.0,filtered,1.3856854209085523e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.18448556854977255,0.0018283426761627197
3,0.2,0.13981636622305804,0.12510104477405548,0.2819686830043793,0.32137277722358704,0.10923236608505249,0.35,3,0,0,0,1.0332685708999634,4.236691474914551,94.83995056152344,1.0332677364349365,1.0,0.18311198815629337,0,0,0,0.0,filtered,1.3643838895170756e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.18311198815629337,0.0027387896552681923
4,0.25,0.18722636196186498,0.12400583922863007,0.25730812549591064,0.3217976987361908,0.10796970129013062,0.35,3,0,0,0,1.0758519172668457,1.558496356010437,78.22769927978516,1.0758519172668457,1.0,0.18253577597597131,0,0,0,0.0,passthrough,4.182347173843435e-12,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.18253577597597131,0.0018925350159406662
5,0.30000000000000004,0.2111731697694577,0.12324468046426773,0.2326626032590866,0.3228739798069,0.10713901370763779,0.35,3,0,0,0,1.1001802682876587,3.0623130798339844,49.08067321777344,1.1001795530319214,1.0,0.1827144974684733,0,0,0,0.0,filtered,1.2982078057262344e-06,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.1827144974684733,0.0028552887961268425
6,0.35000000000000003,0.20408432470418703,0.12158216536045074,0.20961500704288483,0.32494544982910156,0.10556104779243469,0.35,3,0,0,0,1.0875071287155151,3.624002456665039,36.40997314453125,1.0875067710876465,1.0,0.18355486222703826,0,0,0,0.0,filtered,6.174591224686708e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.18355486222703826,0.003000602126121521
7,0.4,0.18895392022603907,0.11935599148273468,0.18849053978919983,0.32766851782798767,0.10352771729230881,0.35,3,0,0,0,1.0720868110656738,2.9548799991607666,22.636615753173828,1.0720865726470947,1.0,0.18541113307660756,0,0,0,0.0,filtered,4.3405006219578734e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.18541113307660756,0.0018643718212842941
8,0.45,0.14713974968733934,0.11637265235185623,0.17055052518844604,0.3313089907169342,0.1008804515004158,0.35,3,0,0,0,1.0613425970077515,3.5112640857696533,28.494140625,1.0613423585891724,1.0,0.1879425731342545,0,0,0,0.0,filtered,5.174660520992525e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.1879425731342545,0.002892913296818733
9,0.5,0.08435823117435645,0.11264494806528091,0.15679503977298737,0.335929811000824,0.09763391315937042,0.35,3,0,0,0,1.0526849031448364,3.776492118835449,26.525144577026367,1.0526846647262573,1.0,0.1914209710382297,0,0,0,0.0,filtered,5.628168656602278e-07,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.1914209710382297,0.002094949595630169
