step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-0.7128225088186911,0.21131688356399536,0.5499981641769409,0.4699338972568512,0.20340965688228607,0.35,2,0,0,0,0.4516441524028778,9.032882690429688,180.65765380859375,0.5015283823013306,1.0,0.33174981301787704,0,0,0,0,0.33174981301787704,0.0,filtered,0.060923231427478595,0,0,12,joint_5_acceleration_upper,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.33174981301787704,0.347262882|0.362262882|0.331749813|0.341754606|0.375174018|0.378806478,0.467262882|0.482262882|0.451749813|0.461754606|0.495174018|0.498806478,0.467262882|0.482262882|0.451749813|0.461754606|0.495174018|0.498806478,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0238475159|0.0171807535|-0.0207102311|-0.0241589935,-0.142212405|0|-0.164812526|-0.245869549|-0.309711376|-0.313788072,1.24683912|1.44905153|1.18603424|1.13832963|1.17027447|1.17727885,0.405116558|-0.459141731|0.258084685,0.0946203694|0.317379653|0.0224396233,0.0029943864792585373
1,0.1,-0.6051056034712383,0.21636033058166504,0.539036750793457,0.46324339509010315,0.20741605758666992,0.35,2,0,0,0,0.8018353581428528,7.021023273468018,42.892822265625,0.8018347024917603,1.0,0.3248488307747281,0,0,0,0,0.33174981301787704,0.0,filtered,1.2054790929435182e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.3248488307747281,0.340338032|0.355338032|0.324848831|0.330280788|0.358735415|0.36205539,0.460338032|0.475338032|0.444848831|0.450280788|0.478735415|0.48205539,0.460338032|0.475338032|0.444848831|0.450280788|0.478735415|0.48205539,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0444593605|0.0355038535|-0.0272310483|-0.031374795,-0.134738013|0|-0.156505324|-0.243968963|-0.307632539|-0.310610238,1.22661411|1.42135213|1.18734936|1.11265804|1.10007807|1.10623653,0.409847617|-0.44327271|0.259206563,0.0946203694|0.317379653|0.0224396233,0.00290880911052227
2,0.15000000000000002,-0.5191631038430762,0.204264834523201,0.5256849527359009,0.4578494131565094,0.1943603754043579,0.35,2,0,0,0,1.044878363609314,5.041126251220703,52.14875411987305,1.0448777675628662,1.0,0.3195017043672284,0,0,0,0,0.33174981301787704,0.0,filtered,1.0624216671537332e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3195017043672284,0.333793256|0.348793256|0.319501704|0.320111449|0.342486844|0.345556361,0.453793256|0.468793256|0.439501704|0.440111449|0.462486844|0.465556361,0.453793256|0.468793256|0.439501704|0.440111449|0.462486844|0.465556361,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0620855982|0.0604227272|-0.0127267968|-0.0150202597,-0.127009964|0|-0.14703731|-0.240472735|-0.303322483|-0.304741843,1.20816306|1.39517303|1.19305511|1.10039579|1.0538981|1.06246334,0.414578676|-0.427403688|0.260328442,0.0946203694|0.317379653|0.0224396233,0.0025167223066091537
3,0.2,-0.4508740619399589,0.1771564483642578,0.5117334127426147,0.4535452425479889,0.1662663072347641,0.35,2,0,0,0,1.2029367685317993,3.321388006210327,35.59690475463867,1.2029362916946411,1.0,0.3116934716414434,0,0,0,0,0.33174981301787704,0.0,filtered,8.293331028676961e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3116934716414434,0.327641147|0.342641147|0.315574847|0.311693472|0.327668147|0.330668147,0.447641147|0.462641147|0.435574847|0.431693472|0.447668147|0.450668147,0.447641147|0.462641147|0.435574847|0.431693472|0.447668147|0.450668147,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0746956004|0.0903922937|0.021770751|0.021770751,-0.119032194|0|-0.136750752|-0.234900784|-0.295896496|-0.295896496,1.1915324|1.37056459|1.20024424|1.1022654|1.03654684|1.04854684,0.419309735|-0.411534667|0.26145032,0.0946203694|0.317379653|0.0224396233,0.002811616286635399
4,0.25,-0.38942572551624843,0.1337534785270691,0.49832382798194885,0.45011451840400696,0.12252826988697052,0.35,2,0,0,0,1.2364004850387573,1.9786298274993896,68.79827117919922,1.2364002466201782,1.0,0.3053743535124809,0,0,0,0,0.33174981301787704,0.0,filtered,2.1009472750062346e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3053743535124809,0.321894054|0.336894046|0.31280999|0.305374354|0.315534417|0.318534417,0.441894054|0.456894046|0.43280999|0.425374354|0.435534417|0.438534417,0.441894054|0.456894046|0.43280999|0.425374354|0.435534417|0.438534417,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0827263974|0.12625707|0.073212666|0.073212666,-0.110810533|0|-0.126011184|-0.226940561|-0.283889774|-0.283889774,1.17676568|1.34757618|1.20795517|1.12081392|1.05146056|1.06346056,0.424040794|-0.395665646|0.262572199,0.0946203694|0.317379653|0.0224396233,0.003890485502779484
5,0.30000000000000004,-0.3456929659907704,0.0903802216053009,0.4860960841178894,0.44740983843803406,0.08573733270168304,0.35,2,0,0,0,1.1758222579956055,5.322901248931885,81.595458984375,1.1755235195159912,1.0,0.3014949466738437,0,0,0,0,0.33174981301787704,0.0,filtered,0.00397222506715051,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3014949466738437,0.316563983|0.331563982|0.310951296|0.301494947|0.3069269|0.3099269,0.436563983|0.451563982|0.430951296|0.421494947|0.4269269|0.4299269,0.436563983|0.451563982|0.430951296|0.421494947|0.4269269|0.4299269,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0875248252|0.167995985|0.132502398|0.132502398,-0.102352812|0|-0.11509419|-0.216479348|-0.268816928|-0.268816928,1.16390312|1.32625593|1.21623582|1.15749642|1.09139307|1.10339307,0.428771853|-0.379796624|0.263694078,0.0946203694|0.317379653|0.0224396233,0.004105312749743462
6,0.35000000000000003,-0.3628245153508854,0.09625767916440964,0.47558003664016724,0.44189396500587463,0.08488789945840836,0.35,0,0,0,0,1.074131965637207,5.9185709953308105,73.61186981201172,1.0737420320510864,1.0,0.3004168322990134,0,0,0,0,0.33174981301787704,0.0,filtered,0.009538660951777703,0,0,12,joint_5_acceleration_lower,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3004168322990134,0.311662497|0.326662497|0.309829604|0.300416832|0.302270586|0.304993359,0.431662497|0.446662497|0.429829604|0.420416832|0.422270586|0.424993359,0.431662497|0.446662497|0.429829604|0.420416832|0.422270586|0.424993359,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0888780678|0.18373991|0.152144296|0.131349249,-0.0936689582|0|-0.104151004|-0.203601761|-0.251025168|-0.25734688,1.15298103|1.30664999|1.22404548|1.18180548|1.11020147|1.09397581,0.433502913|-0.363927603|0.264815956,0.0946203694|0.317379653|0.0224396233,0.0037828264757990837
7,0.4,-0.4087976703024032,0.12001786381006241,0.4673214256763458,0.4365638792514801,0.10807758569717407,0.35,0,0,0,0,1.0357568264007568,2.561589479446411,102.51427459716797,1.0357567071914673,1.0,0.29896378039278027,0,0,0,0,0.33174981301787704,0.0,filtered,8.447417327530576e-08,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29896378039278027,0.307200612|0.322200612|0.309265911|0.300708756|0.299372704|0.29896378,0.427200612|0.442200612|0.429265911|0.420708756|0.419372704|0.41896378,0.427200612|0.442200612|0.429265911|0.420708756|0.419372704|0.41896378,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.084120481|0.193637249|0.174581229|0.105520473,-0.0847710413|0|-0.0932817383|-0.190088181|-0.232233662|-0.256085294,1.14403141|1.28880245|1.22790239|1.20638409|1.13983838|1.0452903,0.438233972|-0.348058581|0.265937835,0.0946203694|0.317379653|0.0224396233,0.003596775233745575
8,0.45,-0.42319632703711824,0.11105353385210037,0.46101537346839905,0.4316624104976654,0.09916796535253525,0.35,0,0,0,0,1.0034607648849487,2.4111902713775635,59.49534225463867,1.0034611225128174,1.0,0.29196166201186324,0,0,0,0,0.33174981301787704,0.0,filtered,3.321129877686884e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29196166201186324,0.303188684|0.318188674|0.308961804|0.302085171|0.298395641|0.291961662,0.423188684|0.438188674|0.428961804|0.422085171|0.418395641|0.411961662,0.423188684|0.438188674|0.428961804|0.422085171|0.418395641|0.411961662,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0741993134|0.1945228|0.190026405|0.102722039,-0.075673292|0|-0.0825896589|-0.176161805|-0.212847528|-0.248228869,1.13708144|1.2727547|1.22745687|1.22670168|1.17076144|1.02233982,0.442965031|-0.33218956|0.267059714,0.0946203694|0.317379653|0.0224396233,0.0035611875355243683
9,0.5,-0.4237700955955723,0.09264817833900452,0.4562284052371979,0.4272005259990692,0.08107108622789383,0.35,0,0,0,0,0.9726396799087524,3.1601107120513916,36.62839889526367,0.9726395010948181,1.0,0.28634303854698884,0,0,0,0,0.33174981301787704,0.0,filtered,2.627163074539894e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.28634303854698884,0.299636303|0.314636303|0.308672971|0.304099301|0.298986101|0.286343039,0.419636303|0.434636303|0.428672971|0.424099301|0.418986101|0.406343039,0.419636303|0.434636303|0.428672971|0.424099301|0.418986101|0.406343039,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0581971149|0.184187408|0.197653486|0.120718806,-0.0663920728|0|-0.0721150335|-0.162064626|-0.193337779|-0.231505457,1.13215314|1.25854521|1.22077396|1.23851998|1.20026011|1.0345855,0.44769609|-0.316320539|0.268181592,0.0946203694|0.317379653|0.0224396233,0.003919924609363079
