step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s
0,0.05,-1.008583681919073,0.10757364332675934,0.7126578092575073,0.6309505105018616,0.1061227023601532,0.35,3,0,0,0,0.4112056493759155,8.224112510681152,164.4822540283203,0.4689996540546417,1.0,0.4970279583433067,0,0,0,0,0.4970279583433067,0.0,filtered,0.06416871039141049,0,0,12,joint_4_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.4970279583433067,0.553380259|0.568380256|0.523197463|0.497027958|0.504086961|0.507086961,0.673380259|0.688380256|0.643197463|0.617027958|0.624086961|0.627086961,0.673380259|0.688380256|0.643197463|0.617027958|0.624086961|0.627086961,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.022120389|-0.0241389807|-0.0819755485|-0.0819755485,-0.103190403|0|-0.126038435|-0.151622638|-0.154208514|-0.154208514,2.11033063|2.27352102|1.98887181|1.81235021|1.78016378|1.79216378,0.618762136|-0.536752641|0.246182829,-0.0248139966|0.14783062|0.0421379581,0.0032371003180742264
1,0.1,-0.9022233255132122,0.1457735002040863,0.6999644637107849,0.6207367777824402,0.14412765204906464,0.35,4,0,0,0,0.7466812133789062,7.091928005218506,71.69324493408203,0.7466809749603271,1.0,0.488172043180075,0,0,0,0,0.4970279583433067,0.0,filtered,6.179402438532295e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.488172043180075,0.548241498|0.563241498|0.517949617|0.488172043|0.492346091|0.495346091,0.668241498|0.683241498|0.637949617|0.608172043|0.612346091|0.615346091,0.668241498|0.683241498|0.637949617|0.608172043|0.612346091|0.615346091,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0411526661|-0.046658451|-0.147313706|-0.147313706,-0.102351798|0|-0.125166143|-0.151852158|-0.154445913|-0.154445913,2.09061419|2.25296599|1.98778499|1.75417756|1.66762474|1.67962474,0.617521167|-0.529361188|0.248289794,-0.0248139966|0.14783062|0.0421379581,0.003220229409635067
2,0.15000000000000002,-0.7971537917742728,0.16314050555229187,0.6832338571548462,0.6046656966209412,0.1612536609172821,0.35,4,0,0,0,0.9290061593055725,3.9334425926208496,77.44949340820312,0.9290061593055725,1.0,0.47750368786779707,0,0,0,0,0.4970279583433067,0.0,passthrough,9.626839897246808e-10,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.47750368786779707,0.543145058|0.558145056|0.51381564|0.478277243|0.477503688|0.480503688,0.663145058|0.678145056|0.63381564|0.598277243|0.597503688|0.600503688,0.663145058|0.678145056|0.63381564|0.598277243|0.597503688|0.600503688,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0560966151|-0.0575857155|-0.178186078|-0.178186078,-0.101497213|0|-0.123872803|-0.152231507|-0.154860264|-0.154860264,2.07108302|2.23258022|1.98748637|1.70329175|1.57696841|1.58896841,0.616280198|-0.521969736|0.250396729,-0.0248139966|0.14783062|0.0421379581,0.003821277990937233
3,0.2,-0.6938326736333923,0.16538184881210327,0.6635697484016418,0.5886224508285522,0.16322192549705505,0.35,4,0,0,0,1.0002610683441162,4.189463138580322,78.70968627929688,1.0002610683441162,1.0,0.4613749768519325,0,0,0,0,0.4970279583433067,0.0,passthrough,8.218820496463316e-10,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.4613749768519325,0.53809172|0.55309172|0.510599745|0.468004925|0.461374977|0.464374977,0.65809172|0.67309172|0.630599745|0.588004925|0.581374977|0.584374977,0.65809172|0.67309172|0.630599745|0.588004925|0.581374977|0.584374977,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0699865367|-0.0558098392|-0.182010149|-0.182010149,-0.100626387|0|-0.122285225|-0.152586921|-0.155256868|-0.155256868,2.05174049|2.21236688|1.99010029|1.66362294|1.50823289|1.52023289,0.615039229|-0.514578283|0.252503514,-0.0248139966|0.14783062|0.0421379581,0.004171445965766907
4,0.25,-0.5934843761055234,0.153453528881073,0.6421242356300354,0.5737531185150146,0.1510104537010193,0.35,4,0,0,0,1.055919885635376,3.745676279067993,37.23652648925781,1.055919885635376,1.0,0.44530056659673123,0,0,0,0,0.4970279583433067,0.0,passthrough,6.935994458481209e-10,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.44530056659673123,0.533082334|0.548082334|0.50818645|0.457990544|0.445300567|0.448300567,0.653082334|0.668082334|0.62818645|0.577990544|0.565300567|0.568300567,0.653082334|0.668082334|0.62818645|0.577990544|0.565300567|0.568300567,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0826678845|-0.0419273071|-0.16274603|-0.16274603,-0.0997390408|0|-0.120484018|-0.152763396|-0.155471147|-0.155471147,2.03259029|2.19232933|1.99492967|1.63727147|1.46298509|1.47498509,0.613798261|-0.50718683|0.2546103,-0.0248139966|0.14783062|0.0421379581,0.0040932102128863335
5,0.30000000000000004,-0.49590342322320907,0.12871971726417542,0.6197799444198608,0.5609789490699768,0.1260124146938324,0.35,4,0,0,0,1.123636245727539,3.3564693927764893,22.84820556640625,1.12363600730896,1.0,0.4304465504593441,0,0,0,0,0.4970279583433067,0.0,filtered,4.51295690893593e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.4304465504593441,0.528117732|0.543117732|0.506491255|0.448875854|0.43044655|0.43344655,0.648117732|0.663117732|0.626491255|0.568875854|0.55044655|0.55344655,0.648117732|0.663117732|0.626491255|0.568875854|0.55044655|0.55344655,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0943871809|-0.0158641283|-0.124959707|-0.124959707,-0.0988349034|0|-0.118519831|-0.152626384|-0.155365061|-0.155365061,2.01363602|2.17247093|2.00183237|1.6270129|1.44146143|1.45346143,0.612557292|-0.499795377|0.256717086,-0.0248139966|0.14783062|0.0421379581,0.0036000413820147514
6,0.35000000000000003,-0.41035304774130055,0.09682405740022659,0.5974798202514648,0.5507785081863403,0.09389816969633102,0.35,4,0,0,0,1.1929868459701538,3.109588623046875,41.96385955810547,1.1929864883422852,1.0,0.41775186483179605,0,0,0,0,0.4970279583433067,0.0,filtered,8.822686746774626e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.41775186483179605,0.52319876|0.53819876|0.505452417|0.44130416|0.417751865|0.420751865,0.64319876|0.65819876|0.625452417|0.56130416|0.537751865|0.540751865,0.64319876|0.65819876|0.625452417|0.56130416|0.537751865|0.540751865,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.103580568|0.0172935248|-0.0765772043|-0.0765772043,-0.0979137068|0|-0.116419475|-0.152065964|-0.154816234|-0.154816234,1.99488133|2.15279504|2.00897076|1.6304442|1.43961402|1.45161402,0.611316323|-0.492403924|0.258823872,-0.0248139966|0.14783062|0.0421379581,0.004086541943252087
7,0.4,-0.35384457707965794,0.07439529150724411,0.5760776996612549,0.5425660610198975,0.07129524648189545,0.35,4,0,0,0,1.2089401483535767,3.0926108360290527,40.55302429199219,1.208939552307129,1.0,0.4077063386081178,0,0,0,0,0.4970279583433067,0.0,filtered,9.852998490939464e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.4077063386081178,0.518326278|0.533326268|0.504932978|0.435610572|0.407706339|0.410706339,0.638326278|0.653326268|0.624932978|0.555610572|0.527706339|0.530706339,0.638326278|0.653326268|0.624932978|0.555610572|0.527706339|0.530706339,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.109422383|0.0425786653|-0.0370122182|-0.0370122182,-0.0969751843|0|-0.114215154|-0.15103686|-0.153746119|-0.153746119,1.97632993|2.13330507|2.01493914|1.6339841|1.44006702|1.45206702,0.610075355|-0.485012472|0.260930657,-0.0248139966|0.14783062|0.0421379581,0.0038740765303373337
8,0.45,-0.3258103529766231,0.06866604089736938,0.5559473037719727,0.535538911819458,0.06542148441076279,0.35,4,0,0,0,1.1883974075317383,3.655993700027466,51.957393646240234,1.1883970499038696,1.0,0.3997158080517732,0,0,0,0,0.4970279583433067,0.0,filtered,6.776960707941511e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3997158080517732,0.51350116|0.52850116|0.504759509|0.431271785|0.399715808|0.402715808,0.63350116|0.64850116|0.624759509|0.551271785|0.519715808|0.522715808,0.63350116|0.64850116|0.624759509|0.551271785|0.519715808|0.522715808,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.111824842|0.0588657304|-0.0117876116|-0.0117876116,-0.0960190709|0|-0.111936137|-0.149642168|-0.152211795|-0.152211795,1.95798557|2.11400464|2.01892674|1.6343107|1.43486383|1.44686383,0.608834386|-0.477621019|0.263037443,-0.0248139966|0.14783062|0.0421379581,0.0038740374147892
9,0.5,-0.3023704842286691,0.06279820948839188,0.537126898765564,0.5297850370407104,0.059445079416036606,0.35,4,0,0,0,1.186964750289917,3.6454825401306152,32.67862319946289,1.186964750289917,1.0,0.39295759838444344,0,0,0,0,0.4970279583433067,0.0,filtered,7.603930730222626e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.39295759838444344,0.508724291|0.523724285|0.504758675|0.427766279|0.392957598|0.395957598,0.628724291|0.643724285|0.624758675|0.547766279|0.512957598|0.515957598,0.628724291|0.643724285|0.624758675|0.547766279|0.512957598|0.515957598,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.110798656|0.080003582|0.0144019795|0.0144019795,-0.0950451045|0|-0.109602001|-0.147926521|-0.150352513|-0.150352513,1.93985206|2.09489714|2.02023135|1.64314218|1.43587986|1.44787986,0.607593417|-0.470229566|0.265144229,-0.0248139966|0.14783062|0.0421379581,0.004160786978900433
