episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,8.83494285116754,14.032452046871185,59,1,0,0,0,,,nan,0,0.05412471294403076,2.95,0.22656959295272827,0.21338462728565022,0.3304096758365631,0,0.0,0.1694915254237288,0.005255781816078728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09645889862215923,0.0035354204128606845,0.0053275953978300095,0.0015168138385071592,0.0014462246228072603,0.0005384808311523017,0.17875679778092998,1.5934826135635376,39.50938415527344,0,0,0,0.0,0,0.242922843905229
1,-151.07465405454565,46.120206421241164,240,0,0,0,0,,,nan,0,0.5137203335762024,12.0,0.12653782963752747,0.18100431258014094,0.7514289021492004,0,0.0,0.6166666666666667,0.10046467039420569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006537818148495328,0.0034585646353662014,0.031200204975903034,0.0015183291863650084,0.0013630730022365849,0.0005454336681092779,0.08419796829111874,0.9013038277626038,16.147905349731445,0,0,0,0.0,0,0.5238211712236268
2,-173.65457617435092,139.466800596565,240,0,0,0,0,,,nan,0,0.28873389959335327,12.0,0.05783689394593239,0.3132443440845236,0.8638291954994202,19,0.07916666666666666,0.3958333333333333,0.08555946924908218,0.09583333333333334,0.0875,0.008333333333333333,0.0125,0.0,0.0,0.0,0.09166666666666666,-0.06226715231276392,0.00624299489815409,0.19382969662547112,0.001251802744809538,0.0012162562149266403,0.0037464540995036564,0.1102610346628353,1.2785663604736328,29.567718505859375,0,0,0,0.0,0,0.1880524497448351
3,-127.85296102130668,71.92511366307735,240,0,0,0,0,,,nan,0,0.5055737495422363,12.0,0.12160327285528183,0.2879477287021776,0.7341613173484802,0,0.0,0.1,0.0029214899129786807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016032858737410338,0.003366157575510442,0.00951469223946333,0.0014418544868628183,0.0013788545737043023,0.0005136882265408834,0.09887645640216457,1.1268903017044067,23.91339111328125,0,0,0,0.0,0,0.07158709488135578
4,-20.49692873700199,15.880100905895233,13,0,1,0,1,3,upper_arm_link,0.000677071532087362,1,0.37454140186309814,0.65,0.1412062793970108,0.5025038214830252,0.7865658402442932,0,0.0,0.5384615384615384,0.1580359012008964,0.3076923076923077,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.07692307692307693,-0.008931094400555367,0.057660504745749325,0.1919522685930133,0.0016331740726645177,0.001564169517503335,0.05442620426989519,0.18609682470560074,2.333472967147827,59.562782287597656,0,0,0,0.0,0,0.08519591072756744
5,-66.68962104699705,53.58669686317444,206,1,0,0,0,,,nan,0,0.05045735463500023,10.3,0.14613628387451172,0.2370844321976443,0.5391547083854675,0,0.0,0.1262135922330097,0.012844651093562193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064212885204331105,0.0033643983069409447,0.004939388483762741,0.0014380433198824091,0.0013819130598703056,0.0005122369462714612,0.12437038095577539,1.2812505960464478,28.680871963500977,0,0,0,0.0,0,0.11271181035294309
6,-102.61052537506417,50.2873743288219,240,0,0,0,0,,,nan,0,0.3046419024467468,12.0,0.15127524733543396,0.19165820381604134,0.6084216833114624,0,0.0,0.23333333333333334,0.04473091065457461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03102360872532922,0.003306633998484661,0.005826699547469616,0.0013952665807058413,0.0013598233771820864,0.0005204774245309333,0.12436508070677518,1.2097480297088623,25.78102684020996,0,0,0,0.0,0,0.17365511666427436
7,-81.01871429306081,41.12425167299807,240,0,0,0,0,,,nan,0,0.20812787115573883,12.0,0.15465086698532104,0.16213493092606465,0.5464457273483276,0,0.0,0.16666666666666666,0.01701832276054876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034650880694586106,0.003372035101832201,0.004476600326597691,0.0014328567078337074,0.0013799809928362568,0.0005275467643514276,0.10139474199386314,1.1031461954116821,27.42292594909668,0,0,0,0.0,0,0.2566882135378404
8,-226.71754089070123,231.20397143810987,197,1,0,0,0,,,nan,0,0.05383704602718353,9.850000000000001,0.03334108367562294,0.4103763746617712,0.8324090242385864,49,0.24873096446700507,0.45685279187817257,0.17365086538548724,0.2639593908629442,0.25888324873096447,0.005076142131979695,0.01015228426395939,0.0,0.0,0.0,0.2639593908629442,-0.08668268311033746,0.006366429533714873,0.2178011266514659,0.001419437122602148,0.0013542696502683732,0.0035606207902812714,0.06307452747853577,0.8877679705619812,20.5694637298584,0,0,0,0.0,0,0.32800173698907237
9,-55.69356480426128,47.01563566736877,240,0,0,0,0,,,nan,0,0.22589997947216034,12.0,0.1552804708480835,0.19160795360803604,0.5457900166511536,0,0.0,0.020833333333333332,0.001070601840248649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035280473174137794,0.003320151156124969,0.012058115564286709,0.0013919643708504737,0.001392420392949134,0.0005050370275663833,0.07820593907381408,0.8675050735473633,21.214941024780273,0,0,0,0.0,0,0.2713616967514958
