step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,safety_filter_solve_time_s,lambda,alpha,replay_size
100,20000,1,43,-1.1268561098169907,0.6069578528404236,-30.508970054995487,10.133847370743752,0.5515473484992981,0.19333888590335846,0,0,filtered,0.06249095245856837,False,0.0,0.06226001890306504,0.001941039226949215,0.0,0.20000000298023224,100
200,20000,1,143,-0.46768693476232814,0.1924179345369339,-122.78439139380757,61.24719697237015,0.1924179196357727,0.24428880214691162,0,0,filtered,0.015503439307212818,False,0.0,0.11776444184925666,0.00226640235632658,0.0,0.20000000298023224,200
300,20000,2,3,-0.4102415101978397,0.1994556486606598,-1.3255671912587141,0.5559438169002533,0.19041089713573456,0.4240647256374359,0,0,filtered,0.021199657768011082,False,0.0,0.2767030361401902,0.002421240322291851,0.0,0.20000000298023224,300
400,20000,3,54,-0.7226300683453696,0.46156665682792664,-44.05774756362176,17.308469884097576,0.3852181136608124,0.1560411900281906,0,0,filtered,0.10141546155393659,False,0.0,0.012729198609129744,0.002976696938276291,0.0,0.20000000298023224,400
500,20000,3,154,-0.37665241289763207,0.2220917046070099,-85.69160929891495,54.04943048208952,0.21517521142959595,0.33478179574012756,0,0,filtered,0.15192608847656028,False,1.0526302052227265e-14,0.21338399859180834,0.003904360346496105,0.0,0.20000000298023224,500
600,20000,4,14,-0.19251745489515087,0.11376635730266571,-1.31848431888685,1.3377878852188587,0.11121740937232971,0.4833613634109497,0,0,filtered,0.12773963876531258,False,0.0,0.3551842894280492,0.00445177499204874,0.0,0.20000000298023224,600
700,20000,4,114,-0.6431820489241276,0.290704607963562,-55.620379649599855,42.504703897982836,0.290704607963562,0.19140556454658508,0,0,filtered,0.04066811054944991,False,0.0,0.06131433224551175,0.0023379065096378326,0.0,0.20000000298023224,700
800,20000,4,214,-0.35839448697511844,0.2263006865978241,-87.48393451522361,62.125224351882935,0.21799153089523315,0.3254116475582123,0,0,filtered,0.05822371747962516,False,0.0,0.20043501798704572,0.003093661740422249,0.0,0.20000000298023224,800
900,20000,6,23,-0.760027582019168,0.49947166442871094,-12.577232972721443,5.773907914757729,0.44390439987182617,0.22401617467403412,0,0,filtered,0.12176848683982242,False,0.0,0.08586861861983425,0.009530264884233475,0.0,0.20000000298023224,900
1000,20000,6,123,-0.5195871761892193,0.27131783962249756,-91.43257131040006,60.662208542227745,0.2713177800178528,0.2001529037952423,0,0,filtered,0.02329092025756835,False,0.0,0.07420037847022276,0.007733833976089954,0.0,0.19993998110294342,1000
1100,20000,6,223,-0.3804155456903766,0.15061332285404205,-130.05333547210768,80.07715047895908,0.15061332285404205,0.2765195369720459,0,0,filtered,0.061350458023719814,False,0.0,0.14663152204278607,0.0034377994015812874,0.0,0.19403289258480072,1100
1200,20000,7,83,-2.043402607004068,0.4948771595954895,-153.34598470814362,37.834098771214485,0.4530709981918335,0.24666821956634521,0,0,passthrough,0.0,False,0.0,0.11839181642231905,0.003547399304807186,0.0,0.18834154307842255,1200
1300,20000,7,183,-1.2566293107154574,0.01719708926975727,-300.55109953695955,56.04856930486858,0.01719708926975727,0.7678577899932861,0,0,filtered,0.0704542726278305,False,0.0,0.6402356671844277,0.0035856282338500023,0.0,0.18286319077014923,1300
1400,20000,8,43,-0.7718405145386613,0.5850374698638916,-30.09066873252049,18.49228797852993,0.5054320693016052,0.1459161788225174,0,0,filtered,0.23828439857920447,False,6.762740645260834e-10,0.0052607557998020915,0.00419292226433754,0.0,0.1775820106267929,1400
1500,20000,8,143,-0.42038823141426296,0.38684335350990295,-92.28744137061474,73.65508265793324,0.38684332370758057,0.1555156409740448,0,0,passthrough,0.0,False,0.0,0.03442520555427481,0.003115663304924965,0.0,0.17246194183826447,1500
1600,20000,9,3,-0.3724303420167737,0.29012417793273926,-1.2364666835772637,0.7652558386325836,0.26693853735923767,0.3369378447532654,0,0,filtered,0.01753335278481244,False,0.0,0.19870139020462257,0.003454877994954586,0.0,0.1675291657447815,1600
1700,20000,9,103,-0.5433611674566922,0.06834497302770615,-72.91525005444812,31.445549972355366,0.06834498792886734,0.388395756483078,0,0,passthrough,0.0,False,0.0,0.25932739265839827,0.0036480044946074486,0.0,0.1627545952796936,1700
1800,20000,9,203,-0.2930457032025632,0.028988085687160492,-128.76638109479123,39.725680500268936,0.02898809127509594,0.5486214756965637,0,0,passthrough,0.0,False,0.0,0.42382191589962026,0.003929893486201763,0.0,0.15813282132148743,1800
1900,20000,10,63,-1.8439094083604781,0.21076112985610962,-115.47336441840945,30.38692808151245,0.21076111495494843,0.23248639702796936,0,0,filtered,0.057981407984516065,False,0.0,0.1004648139798,0.004079768434166908,0.0,0.15365949273109436,1900
2000,20000,10,163,-1.6058421448592097,0.016316013410687447,-288.8319533774951,37.24983458593488,0.016316015273332596,0.8271121978759766,0,0,filtered,0.017691250145435322,False,0.0,0.6990544489378513,0.0035718968138098717,0.0,0.14934119582176208,2000
2100,20000,11,23,-0.5473020259061326,0.5007964372634888,-12.4820373885651,8.262786373496056,0.42034322023391724,0.19625194370746613,0,0,filtered,0.10447389185428618,False,0.0,0.04546261097828064,0.0034277597442269325,0.0,0.1451597362756729,2100
2200,20000,11,123,-0.6805767853225146,0.3596779704093933,-72.4836422527417,43.878014881163836,0.32574179768562317,0.2782827615737915,0,0,filtered,0.15012956416410833,False,0.0,0.14059992810732636,0.0034765033051371574,0.0,0.1411156803369522,2200
2300,20000,11,223,-0.2833835535179526,0.1146373599767685,-119.9521997153095,67.76440779864788,0.11384228616952896,0.7475838661193848,0,0,filtered,0.062181003907398294,False,0.0,0.61017924811497,0.003308560699224472,0.0,0.13720400631427765,2300
2400,20000,12,83,-0.49868406380630925,0.29246971011161804,-49.284699831981385,34.53103741630912,0.27099427580833435,0.3168179392814636,0,0,filtered,0.1438141494989395,False,0.0,0.18145446886620392,0.0033774422481656075,0.0,0.13343480229377747,2400
2500,20000,12,183,-0.3035797544165309,0.24714478850364685,-82.56134856566757,46.79707392118871,0.24265405535697937,0.47334444522857666,0,0,filtered,0.1307419413117663,False,0.0,0.31992723628878966,0.0020217783749103546,0.0,0.12978579103946686,2500
2600,20000,13,69,-1.2324306611075109,0.4024759531021118,-72.40874178693463,36.200241297483444,0.37174341082572937,0.16048946976661682,0,0,filtered,0.12339665293693541,False,0.0,0.02456500779818166,0.003380686044692993,0.0,0.12626084685325623,2600
2700,20000,14,72,-1.45174286962789,0.7297229766845703,-68.74376968614528,32.86249624192715,0.7280519008636475,0.13137774169445038,0,0,filtered,0.1925043057020448,False,1.857104602043247e-09,0.013616198633709997,0.004072338342666626,0.0,0.12288704514503479,2700
2800,20000,14,172,-0.5669314278978175,0.02867550030350685,-151.53720677349415,56.0271856226027,0.028675502166152,0.5513210296630859,0,0,filtered,0.09338039457798003,False,0.0,0.42754668234936155,0.0031415103003382683,0.0,0.1196368858218193,2800
2900,20000,15,32,-1.24658445559513,0.587777853012085,-31.769396904047824,18.042759358882904,0.4912363588809967,0.14741411805152893,0,0,filtered,0.2221529003521474,False,0.0,0.001481282768713732,0.003614680841565132,0.0,0.11652255803346634,2900
3000,20000,15,132,-1.275294194708323,0.7006998658180237,-135.53088581881326,54.549449518322945,0.618648111820221,0.15188196301460266,0,0,safe_stop_infeasible,0.3623329854205259,True,0.05032381866680741,0.029840958509223192,0.004060626029968262,0.0,0.11353889107704163,3000
3100,20000,15,232,-1.9802105764585576,0.09807804226875305,-285.28112523636884,70.49463936127722,0.09652053564786911,0.5372920632362366,0,0,filtered,0.14731504613718793,False,1.5974057592307855e-08,0.4066701627302459,0.008328923024237156,0.0,0.1106560230255127,3100
3200,20000,16,92,-0.6948692217356467,0.1028519719839096,-66.09058381865076,21.122893385589123,0.1028519719839096,0.3285873532295227,0,0,filtered,0.052998799085617054,False,0.0,0.19322084219795033,0.003699132241308689,0.0,0.10787937790155411,3200
3300,20000,16,192,-0.8091558671163309,0.055225394666194916,-149.94692937410994,25.083085158839822,0.05496380478143692,0.6545605659484863,0,0,filtered,0.1776611121007803,False,2.586729441755864e-12,0.5228378390935501,0.004455452784895897,0.0,0.10522409528493881,3300
3400,20000,18,36,-0.37975194860727357,0.07989826053380966,-9.834364687035288,4.587707549333572,0.0715101957321167,0.3814868628978729,0,0,filtered,0.02339072823524474,False,0.0,0.24400183786081814,0.0029223356395959854,0.0,0.10265793651342392,3400
3500,20000,18,136,-0.6321826943842836,0.2370689958333969,-78.90923337942947,31.977418072521687,0.2370690107345581,0.21735987067222595,0,0,filtered,0.054426548552512596,False,0.0,0.08987266074881811,0.003421984612941742,0.0,0.1002020463347435,3500
3600,20000,18,236,-0.32382481224231763,0.030937664210796356,-117.86289646278921,38.787405617535114,0.030937666073441505,0.5330307483673096,0,0,filtered,0.15193898066807354,False,0.0,0.41188784567220005,0.0035738833248615265,0.0,0.09783254563808441,3600
3700,20000,19,96,-0.6064716963592085,0.21009589731693268,-29.706785889388943,15.583458065986633,0.20521116256713867,0.2359365075826645,0,0,filtered,0.05121706281411968,False,0.0,0.10520817852126302,0.001996038481593132,0.0,0.09549815952777863,3700
3800,20000,19,196,-0.334210856809138,0.05873436480760574,-67.00656570125841,26.061415921896696,0.05873436480760574,0.5491881966590881,0,0,filtered,0.2004260209701696,False,0.0,0.4345457645513907,0.0029078368097543716,0.0,0.09324482828378677,3800
3900,20000,20,56,-0.4001487332216597,0.07805293798446655,-11.136627867382394,9.941635996103287,0.07805293798446655,0.3683544993400574,0,0,filtered,0.07689277856850132,False,2.7755575615628914e-17,0.23912587595245016,0.0029112882912158966,0.0,0.09102387726306915,3900
4000,20000,20,156,-0.13483929320814356,0.1401119977235794,-37.560928272769296,17.13979451544583,0.13540643453598022,0.43452322483062744,0,0,passthrough,0.0,False,0.0,0.30770681920796594,0.009035942144691944,0.0,0.08882689476013184,4000
4100,20000,21,16,-0.4825736342715147,0.1695449948310852,-6.10262648417156,2.560217782855034,0.14965008199214935,0.31021904945373535,0,0,filtered,0.01878013014793395,False,0.0,0.17242160204131773,0.00314900279045105,0.0,0.08668074011802673,4100
4200,20000,21,116,-0.022523358773980318,0.06741359084844589,-57.57173527319542,34.270991776138544,0.06384243071079254,0.5226224660873413,0,0,filtered,0.0013410925865173229,False,0.0,0.3856173535505426,0.00291637796908617,0.0,0.08457040041685104,4200
4300,20000,21,216,-0.39581897870040855,0.06693537533283234,-105.33964224822847,65.23160733655095,0.06693538278341293,0.3916054368019104,0,0,passthrough,0.0,False,0.0,0.2663294778527291,0.009569942951202393,0.0,0.08245577663183212,4300
4400,20000,22,76,-1.0002232588501647,0.2565935552120209,-53.388867990167505,13.810301795601845,0.24556565284729004,0.21623146533966064,0,0,filtered,0.07921301192400299,False,0.0,0.09128210882261872,0.0036017149686813354,0.0,0.08038511872291565,4400
4500,20000,22,176,-0.07164301634142065,0.03008035197854042,-99.46102029509363,28.054905332624912,0.03008035570383072,0.5396385788917542,0,0,filtered,0.02964566946029662,False,0.0,0.41277002090876713,0.002881580963730812,0.0,0.07833275943994522,4500
4600,20000,23,36,-0.4856062982694539,0.344135582447052,-22.401799865711176,8.717385947704315,0.32048001885414124,0.2393658459186554,0,0,passthrough,0.0,False,0.0,0.10833708526731994,0.0034431247040629387,0.0,0.07628033310174942,4600
4700,20000,23,136,-0.273800266900148,0.1295926719903946,-38.78017808113549,20.25148776732385,0.12156715244054794,0.40404245257377625,0,0,filtered,0.17400759840060395,False,0.0,0.2735542912769895,0.0030861087143421173,0.0,0.07427345961332321,4700
4800,20000,23,236,-1.1458087518810534,0.4658719003200531,-94.27330449919727,51.85045016370714,0.4340585768222809,0.14117339253425598,0,0,passthrough,0.0,False,0.0,0.007476674718856324,0.003585503436625004,0.0,0.07229215651750565,4800
4900,20000,24,96,-0.5457703238908369,0.29761314392089844,-32.845522788268866,18.872234873473644,0.2976132035255432,0.18892477452754974,0,0,passthrough,0.0,False,0.0,0.06962483656046964,0.00247242022305727,0.0,0.07037302851676941,4900
5000,20000,24,196,-0.8757936295823836,0.1028432697057724,-96.87316707747897,27.25349867157638,0.09653792530298233,0.4520518481731415,0,0,passthrough,0.0,False,0.0,0.3165832011768112,0.003985247574746609,0.0,0.06847599148750305,5000
5100,20000,25,56,-0.3095847891006658,0.23964054882526398,-18.41202965834903,9.147219382226467,0.22333645820617676,0.23140496015548706,0,0,filtered,0.03528167884796857,False,0.0,0.10330850887785886,0.002569308504462242,0.0,0.06661979109048843,5100
5200,20000,26,62,-0.6271481666022418,0.04437434673309326,-53.07415252145597,13.60723078623414,0.04437435790896416,0.4598776400089264,0,0,filtered,0.14405761664815533,False,1.1100631525096105e-10,0.3283773862657025,0.003835206851363182,0.0,0.06480930000543594,5200
5300,20000,26,162,-1.1015348895696415,0.5954951643943787,-125.49083749438753,31.725228678435087,0.5264684557914734,0.16854120790958405,0,0,filtered,0.24826713007850648,False,0.0,0.030024134340376762,0.003820544108748436,0.0,0.06304467469453812,5300
5400,20000,27,44,-0.8459270100894771,0.47676801681518555,-23.51940101928474,10.927361264824867,0.4364631474018097,0.21399235725402832,0,0,passthrough,0.0,False,0.0,0.08206671545394678,0.0038369325920939445,0.0,0.06132401525974274,5400
5500,20000,27,144,-0.3163518329641085,0.0254499614238739,-96.40412575680796,43.22608160972595,0.0254499614238739,0.5834298729896545,0,0,filtered,0.021031714230775822,False,0.0,0.45577094818901076,0.0026143016293644905,0.0,0.05965324491262436,5500
5600,20000,28,4,-0.43686516055707847,0.09705023467540741,-2.0386415306572747,0.4631972461938858,0.07998742163181305,0.3647318184375763,0,0,filtered,0.07168896794319152,False,0.0,0.21492964410444343,0.0022953003644943237,0.0,0.058079447597265244,5600
5700,20000,28,104,-0.030707855702365307,0.03187677636742592,-29.76528264482262,16.983265958726406,0.03187677264213562,0.5261870622634888,0,0,filtered,0.11437273547432338,False,0.0,0.4038971053361421,0.0024397671222686768,0.0,0.056577470153570175,5700
5800,20000,28,204,-0.26385795337415885,0.23459793627262115,-47.543564654037,27.076036861166358,0.21789376437664032,0.3181944787502289,0,0,passthrough,0.0,False,0.0,0.18411185548825532,0.002571072429418564,0.0,0.055127158761024475,5800
5900,20000,30,63,-1.1187459963337836,0.5656716823577881,-40.799261502528566,17.45646920055151,0.5165198445320129,0.1693895012140274,0,0,filtered,0.11958049664959454,False,0.0,0.036744795079369175,0.008148528635501862,0.0,0.053715307265520096,5900
6000,20000,30,163,-0.4849348249621289,0.07567314803600311,-181.92395174485918,67.45035462081432,0.07567314058542252,0.37296655774116516,0,0,passthrough,0.0,False,0.0,0.23529972715757425,0.003907446749508381,0.0,0.05240156129002571,6000
6100,20000,31,23,-0.005329548416535462,0.20816335082054138,-2.704887523364121,5.047838389873505,0.16487379372119904,0.2825588583946228,0,0,passthrough,0.0,False,0.0,0.12978602195273276,0.003467600792646408,0.0,0.05114947259426117,6100
6200,20000,31,123,-0.8832823445684659,0.6862631440162659,-49.19830998543539,36.46946571394801,0.6136986613273621,0.14354375004768372,0,0,filtered,0.30326437615633595,False,7.487177822174118e-09,0.003710924893103984,0.006769548170268536,0.0,0.049940288066864014,6200
6300,20000,31,223,-0.3261984141463939,0.026420556008815765,-95.12025783327327,54.97718479670584,0.026420559734106064,0.5728338360786438,0,0,filtered,0.057842334357515054,False,0.0,0.43556036171139356,0.0032036127522587776,0.0,0.048762839287519455,6300
