episode,step,episode_reward,episode_cost,episode_length,success,collision,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,240,-328.1135364422703,90.83688414469361,240,0,0,0.0,0.12421495467424393,0.3571591367013752,0.8041666666666667,0.07097391213228373,0.0,0.0,0.0,0.0,0.0012581959580451607,0.0038662368276466924,0.0,0.20000000298023224
2,480,-116.72115091212225,64.29811673425138,240,0,0,0.0,0.12901824712753296,0.25558712183653065,0.7708333333333334,0.07185721737387983,0.0,0.0,0.0,0.0,0.0007918886774140876,0.004077051517864068,0.0,0.20000000298023224
3,720,-270.1204761061014,44.73331939056516,240,0,0,0.0,0.13805291056632996,0.17693786787179608,0.8541666666666666,0.0723846871315129,0.0,0.0,0.0,0.0,0.003179778693021773,0.0036662524798884988,0.0,0.20000000298023224
4,933,-123.85323663004797,106.06351370364428,213,0,1,0.028169014084507043,0.05722156912088394,0.3455706590987707,0.8732394366197183,0.0982091007043469,0.046948356807511735,0.0,0.046948356807511735,0.03755868544600939,-0.0853627412812919,0.011969526136565097,0.0,0.20000000298023224
5,1173,-292.84189206249334,163.9438042845577,240,0,0,0.09166666666666666,0.061525020748376846,0.3716999884384374,0.8708333333333333,0.14429845055610283,0.10833333333333334,0.10416666666666667,0.004166666666666667,0.10416666666666667,-0.05851981466224998,0.010210218408610671,0.0,0.1898476779460907
6,1186,-58.8777747247755,55.23129153251648,13,0,1,0.9230769230769231,-0.0037713185884058475,0.8600243605100192,1.0,0.3474682383964765,1.0,1.0,0.0,1.0,-0.14190558866885503,0.004964699825415244,0.0,0.18911094963550568
7,1198,-57.95962182661319,54.135276556015015,12,0,1,1.0,-0.0002973505761474371,0.8446063747008642,1.0,0.34450690885907,1.0,1.0,0.0,1.0,-0.13382880309447698,0.005664147359008591,0.0,0.18843300640583038
8,1438,-122.72416423388196,67.1861383151263,240,0,0,0.0,0.13908588886260986,0.26233397990775603,0.7625,0.05853494524565804,0.0,0.0,0.0,0.0,0.00394097709156721,0.003782443170590947,0.0,0.17544928193092346
9,1678,-92.21513188496822,54.89953136444092,240,0,0,0.0,0.12278381735086441,0.21196681795797,0.7916666666666666,0.06790081312483034,0.0,0.0,0.0,0.0,0.0027838132594255605,0.0039061536119940382,0.0,0.16341839730739594
10,1918,-200.49805259559633,71.70045149326324,240,0,0,0.0,0.12730208039283752,0.27123797353512297,0.8166666666666667,0.07998359342156348,0.0,0.0,0.0,0.0,0.0035708916551248637,0.007290865387767553,0.0,0.15225835144519806
