step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.251092572353162,0.17154335975646973,0.1843130886554718,0.4895194172859192,0.1629263311624527,0.35,1,0,0,0,0,,,nan,0,0.33714762330055237,6.742952346801758,134.85903930664062,0.3548974394798279,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,0.021111453814466264,0,0,12,joint_2_acceleration_lower|joint_3_acceleration_lower,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3302386136648504,0.45787789|0.330238614|0.346250128|0.340553145|0.335097599|0.332376287,0.60787789|0.480238614|0.496250128|0.490553145|0.485097599|0.482376287,0.57787789|0.450238614|0.466250128|0.460553145|0.455097599|0.452376287,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0278691045|0.0320842411|0.045363763|0.0460656153,-0.197997451|-0.0922741983|-0.174466322|-0.30685289|-0.31219964|-0.31429001,1.63351411|1.22868026|1.18266508|1.08744393|1.07355452|1.06128075,0.504437983|-0.58123666|0.346224487,0.00833507162|0.307195276|0.0739108399,0.005243966355919838,0.0016062846407294273,0.0015984149649739265,0.002006880007684231
1,0.1,-0.31876937721656873,0.1671607941389084,0.18863952159881592,0.48467910289764404,0.15761320292949677,0.35,1,0,0,0,0,,,nan,0,0.509257435798645,5.06265926361084,124.02997589111328,0.5092571377754211,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,5.762600880111361e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.31957216507405084,0.4480989|0.325158538|0.335765009|0.327107895|0.321698077|0.319572165,0.5980989|0.475158538|0.485765009|0.477107895|0.471698077|0.469572165,0.5680989|0.445158538|0.455765009|0.447107895|0.441698077|0.439572165,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00304576353|0.0573510912|0.0670107864|0.0425606161,-0.193942299|-0.0852442541|-0.169310948|-0.306173836|-0.311772676|-0.313937473,1.5984533|1.2153899|1.17679485|1.05960884|1.04203042|1.0069118,0.504854977|-0.565876544|0.349919856,0.00833507162|0.307195276|0.0739108399,0.005097396671772003,0.0015610121190547943,0.0016146833077073097,0.0018881456926465034
2,0.15000000000000002,-0.451534422103718,0.16178500652313232,0.20010516047477722,0.4812048673629761,0.1510312855243683,0.35,1,0,0,0,0,,,nan,0,0.5916810631752014,5.730414390563965,104.72234344482422,0.5959883332252502,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,0.011911560450380998,0,0,12,joint_1_acceleration_lower,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.3070497830373805,0.438495007|0.321370384|0.327473416|0.315135477|0.309100063|0.307049783,0.588495007|0.471370384|0.477473416|0.465135477|0.459100063|0.457049783,0.558495007|0.441370384|0.447473416|0.435135477|0.429100063|0.427049783,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0813224824|0.110448791|0.111294356|0.0535329803,-0.189733867|-0.0780176745|-0.163531278|-0.304713045|-0.310764412|-0.313223962,1.56424616|1.20746386|1.22768487|1.06627765|1.0369302|0.968508151,0.505271971|-0.550516427|0.353615224,0.00833507162|0.307195276|0.0739108399,0.005177692510187626,0.001570078544318676,0.0015790564939379692,0.0019920216873288155
3,0.2,-0.5464779302232321,0.2184194028377533,0.21312206983566284,0.47640547156333923,0.2062438577413559,0.35,5,0,0,0,0,,,nan,0,0.6682423949241638,5.396411418914795,118.40385437011719,0.6682419180870056,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,8.715546117063131e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.29520006185000636,0.429077318|0.318975875|0.323565859|0.306057452|0.29844853|0.295200062,0.579077318|0.468975875|0.473565859|0.456057452|0.44844853|0.445200062,0.549077318|0.438975875|0.443565859|0.426057452|0.41844853|0.415200062,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.120877574|0.0593428753|0.0461391089|-0.0173161531,-0.185366566|-0.0706359056|-0.156813612|-0.302102082|-0.308906786|-0.312041334,1.5309427|1.20526759|1.2583274|0.981470602|0.931026442|0.851442761,0.505688965|-0.53515631|0.357310593,0.00833507162|0.307195276|0.0739108399,0.0052037835121154785,0.0016208570450544357,0.0015729907900094986,0.0019758474081754684
4,0.25,-0.5929196163899008,0.26620903611183167,0.22549116611480713,0.4578377306461334,0.25211217999458313,0.35,5,0,0,0,0,,,nan,0,0.7620325684547424,4.872694969177246,46.78068542480469,0.7620317339897156,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,1.2947941296640292e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.27979330156950855,0.419792225|0.319374508|0.323927631|0.294817513|0.285026367|0.279793302,0.569792225|0.469374508|0.473927631|0.444817513|0.435026367|0.429793302,0.539792225|0.439374508|0.443927631|0.414817513|0.405026367|0.399793302,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.13618828|0.0136962554|-0.00555096967|-0.0682634934,-0.180846303|-0.0631245987|-0.149329118|-0.29865853|-0.306354615|-0.310291195,1.4983226|1.21437343|1.28256969|0.894307778|0.828199882|0.740618517,0.506105959|-0.519796193|0.361005962,0.00833507162|0.307195276|0.0739108399,0.005090090446174145,0.0015796869993209839,0.0016063982620835304,0.0018698284402489662
5,0.30000000000000004,-0.6175862364034681,0.2814561724662781,0.23784957826137543,0.4390721023082733,0.26515549421310425,0.35,5,0,0,0,0,,,nan,0,0.8280977010726929,2.3104145526885986,89.02745819091797,0.8280966877937317,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,1.4633100209188022e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2615416774478828,0.41067374|0.321730945|0.32666114|0.281459156|0.269265064|0.261541677,0.56067374|0.471730945|0.47666114|0.431459156|0.419265064|0.411541677,0.53067374|0.441730945|0.44666114|0.401459156|0.389265064|0.381541677,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.120967814|0.00769063501|-0.00647755984|-0.0734887214,-0.176161962|-0.0556251299|-0.141600967|-0.294691239|-0.303280078|-0.307983171,1.466533|1.23129865|1.28601141|0.83883602|0.767302616|0.664694817,0.506522954|-0.504436076|0.364701331,0.00833507162|0.307195276|0.0739108399,0.0052221594378352165,0.0016092052683234215,0.001684446819126606,0.0018941955640912056
6,0.35000000000000003,-0.6041311702813553,0.2774541974067688,0.2490723878145218,0.4218249022960663,0.2588818371295929,0.35,5,0,0,0,0,,,nan,0,0.8011916279792786,2.4337053298950195,69.34174346923828,0.8011906147003174,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,1.406762994647072e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.24320181773716032,0.4017702|0.324890119|0.329377718|0.268106914|0.253504729|0.243201818,0.5517702|0.474890119|0.479377718|0.418106914|0.403504729|0.393201818,0.5217702|0.444890119|0.449377718|0.388106914|0.373504729|0.363201818,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0935810193|0.0118964059|0.010224897|-0.0505870434,-0.171301147|-0.0482182047|-0.134038412|-0.290151276|-0.299534693|-0.304865623,1.43577965|1.25134227|1.27705348|0.794172787|0.72470912|0.617354605,0.506939948|-0.489076227|0.368396699,0.00833507162|0.307195276|0.0739108399,0.005214103497564793,0.0015687765553593636,0.001646222546696663,0.001966646872460842
7,0.4,-0.5988995343537438,0.2850663363933563,0.25902870297431946,0.4052039682865143,0.26404353976249695,0.35,5,0,0,0,0,,,nan,0,0.7963517904281616,2.0683016777038574,54.494815826416016,0.7963512539863586,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,6.441838610722092e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.22645780807118665,0.393132553|0.32777522|0.33073248|0.255227747|0.238648651|0.226457808,0.543132553|0.47777522|0.48073248|0.405227747|0.388648651|0.376457808,0.513132553|0.44777522|0.45073248|0.375227747|0.358648651|0.346457808,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0887943949|0.0097497453|0.0159449039|-0.0431205094,-0.166253204|-0.0408899643|-0.126744409|-0.285459677|-0.295453898|-0.301170058,1.40627701|1.27021092|1.28497991|0.745201056|0.675085611|0.561540665,0.507356942|-0.473716468|0.372092068,0.00833507162|0.307195276|0.0739108399,0.005343928001821041,0.001641557551920414,0.0016322825103998184,0.002035314217209816
8,0.45,-0.5820737406750394,0.28876322507858276,0.2673407196998596,0.38956692814826965,0.2651708126068115,0.35,5,0,0,0,0,,,nan,0,0.7833946943283081,2.7424328327178955,41.40559387207031,0.7833942174911499,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,5.912179636825589e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.21038474434427556,0.38477026|0.33037915|0.331911177|0.242456185|0.224133827|0.210384744,0.53477026|0.48037915|0.481911177|0.392456185|0.374133827|0.360384744,0.50477026|0.45037915|0.451911177|0.362456185|0.344133827|0.330384744,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.081416131|0.0144919543|0.0299986349|-0.0254119638,-0.161015234|-0.0392828705|-0.11954638|-0.280735602|-0.291205021|-0.297130505,1.3780658|1.28223373|1.28951446|0.703581092|0.635328923|0.518996509,0.507773936|-0.458356708|0.375787437,0.00833507162|0.307195276|0.0739108399,0.005249004811048508,0.001620875671505928,0.0016449736431241035,0.0019468897953629494
9,0.5,-0.575653621711739,0.303558886051178,0.27409443259239197,0.37409815192222595,0.2771506905555725,0.35,5,0,0,0,0,,,nan,0,0.744296133518219,1.6504170894622803,55.81858825683594,0.7442954778671265,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,7.979654824814052e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.19530541979305938,0.376716123|0.331596696|0.332395681|0.230116945|0.210381073|0.19530542,0.526716123|0.481596696|0.482395681|0.380116945|0.360381073|0.34530542,0.496716123|0.451596696|0.452395681|0.350116945|0.330381073|0.31530542,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0627248246|0.00149349282|0.0214684214|-0.0231242219,-0.155582298|-0.0422410437|-0.112421686|-0.276223021|-0.287040778|-0.293001116,1.35128219|1.28414574|1.27988586|0.645738252|0.575951934|0.465096341,0.50819093|-0.442996949|0.379482806,0.00833507162|0.307195276|0.0739108399,0.005332235246896744,0.0016175787895917892,0.0017398493364453316,0.0019398210570216179
10,0.55,-0.5760388596512309,0.2867041528224945,0.28134557604789734,0.3609943687915802,0.25777947902679443,0.35,5,0,0,0,0,,,nan,0,0.7159750461578369,2.2437877655029297,29.442262649536133,0.7159744501113892,1.0,nan,0,0,0,0,0.3302386136648504,0.0,filtered,6.685636706344054e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.18043141908444227,0.368949705|0.332088455|0.331898505|0.217310626|0.196482203|0.180431419,0.518949705|0.482088455|0.481898505|0.367310626|0.346482203|0.330431419,0.488949705|0.452088455|0.451898505|0.337310626|0.316482203|0.300431419,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0598875685|0.0264911913|0.0554235316|0.0197941058,-0.149956374|-0.0448046304|-0.113317655|-0.271698365|-0.282770253|-0.288579125,1.32584245|1.28354919|1.27416393|0.624035331|0.558582091|0.452940658,0.508607924|-0.42763719|0.383178174,0.00833507162|0.307195276|0.0739108399,0.00532850157469511,0.0016527166590094566,0.0017361417412757874,0.0019055511802434921
