step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.45358424229579336,0.15605570375919342,0.39983877539634705,0.3644661009311676,0.14429371058940887,0.35,2,0,0,0,0,,,nan,0,0.3103501796722412,6.207003593444824,124.14007568359375,0.3406207859516144,1.0,nan,0,0,0,0,0.2005164405736941,0.0,filtered,0.03583580792197017,0,0,12,joint_4_acceleration_lower|joint_3_acceleration_upper,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2005164405736941,0.521041344|0.369682148|0.200516441|0.383606785|0.387758196|0.478251344,0.671041344|0.519682148|0.350516441|0.533606785|0.537758196|0.628251344,0.641041344|0.489682148|0.320516441|0.503606785|0.507758196|0.598251344,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0131261666|0.00395220059|-0.00455220707|-0.0148411512,-0.125206353|-0.0630857026|-0.131478372|-0.207399463|-0.196380337|-0.197303385,1.95895902|1.41564289|0.683713557|1.33097988|1.35010024|1.70086084,0.481244355|-0.582113922|0.54603231,0.0273729339|0.210065708|0.00404023705,0.006033989600837231,0.0016899248585104942,0.0018459456041455269,0.0024583954364061356
1,0.1,-0.43583060367690346,0.16870924830436707,0.3970220983028412,0.35778287053108215,0.15654851496219635,0.35,2,0,0,0,0,,,nan,0,0.5314416885375977,5.06798791885376,78.61471557617188,0.531440794467926,1.0,nan,0,0,0,0,0.2005164405736941,0.0,filtered,1.0034231397281938e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.19456257373236263,0.514832423|0.366453991|0.194562574|0.373364791|0.378471776|0.467486882,0.664832423|0.516453991|0.344562574|0.523364791|0.528471776|0.617486882,0.634832423|0.486453991|0.314562574|0.493364791|0.498471776|0.587486882,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00592118851|0.0162028398|0.016119401|-0.000482600553,-0.123418286|-0.0601379459|-0.128551845|-0.207385275|-0.196133331|-0.197024598,1.93591141|1.40567802|0.655619639|1.30227673|1.33387318|1.67244033,0.482612997|-0.571610391|0.546234012,0.0273729339|0.210065708|0.00404023705,0.006097875535488129,0.0018309978768229485,0.001874593086540699,0.002351498231291771
2,0.15000000000000002,-0.4438304031311049,0.17820283770561218,0.3944401443004608,0.35098621249198914,0.16560401022434235,0.35,2,0,0,0,0,,,nan,0,0.6126914620399475,3.0605268478393555,77.62307739257812,0.612691342830658,1.0,nan,0,0,0,0,0.2005164405736941,0.0,filtered,3.013062355855034e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1882854683691667,0.508715337|0.363316442|0.188285468|0.363660642|0.370972334|0.457257767,0.658715337|0.513316442|0.338285468|0.513660642|0.520972334|0.607257767,0.628715337|0.483316442|0.308285468|0.483660642|0.490972334|0.577257767,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0107991448|0.0548860086|0.058383944|0.0436218121,-0.121589166|-0.0571594154|-0.125682106|-0.207240593|-0.195444425|-0.196385016,1.91327218|1.39610635|0.638258912|1.30228798|1.34682885|1.67626787,0.483981639|-0.561106861|0.546435714,0.0273729339|0.210065708|0.00404023705,0.005496703088283539,0.001578018069267273,0.0016451561823487282,0.0022384952753782272
3,0.2,-0.4402412490199984,0.17682799696922302,0.39197832345962524,0.3446092903614044,0.16383501887321472,0.35,2,0,0,0,0,,,nan,0,0.5770694613456726,2.0784971714019775,77.67401123046875,0.5770694613456726,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,9.748275241379761e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.18186776362289192,0.502712596|0.35977961|0.181867764|0.355760765|0.365930476|0.449073508,0.652712596|0.50977961|0.331867764|0.505760765|0.515930476|0.599073508,0.622712596|0.47977961|0.301867764|0.475760765|0.485930476|0.569073508,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0224717104|0.0731172974|0.0725637685|0.0598233595,-0.119714044|-0.0542288469|-0.122997313|-0.206982344|-0.194529513|-0.195545746,1.89113634|1.38488959|0.626945452|1.28917801|1.34175616|1.66057165,0.485350281|-0.55060333|0.546637416,0.0273729339|0.210065708|0.00404023705,0.006175748072564602,0.001812492497265339,0.0021255426108837128,0.0021979920566082
4,0.25,-0.4263835636324081,0.17085641622543335,0.38930055499076843,0.33883076906204224,0.15756286680698395,0.35,2,0,0,0,0,,,nan,0,0.5366209149360657,2.4842214584350586,40.205230712890625,0.5366209149360657,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,8.443300666627876e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17588182753942783,0.496817766|0.35608881|0.175881828|0.348738933|0.361733642|0.441802739,0.646817766|0.50608881|0.325881828|0.498738933|0.511733642|0.591802739,0.616817766|0.47608881|0.295881828|0.468738933|0.481733642|0.561802739,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0308571207|0.0637505479|0.0559615842|0.0430751625,-0.11779412|-0.0513054002|-0.120230982|-0.206690808|-0.193672205|-0.194700324,1.86947694|1.37304984|0.614153449|1.25201547|1.30922395|1.6155858,0.486718923|-0.5400998|0.546839118,0.0273729339|0.210065708|0.00404023705,0.005936826579272747,0.0017594210803508759,0.0018878737464547157,0.0022547850385308266
5,0.30000000000000004,-0.42367123221019604,0.18193469941616058,0.38613542914390564,0.33284273743629456,0.16833828389644623,0.35,2,0,0,0,0,,,nan,0,0.5433947443962097,2.2531282901763916,90.22406005859375,0.5433947443962097,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,8.520703787933753e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.17053699630604813,0.491018148|0.352619051|0.170536996|0.341303854|0.356716764|0.433891249,0.641018148|0.502619051|0.320536996|0.491303854|0.506716764|0.583891249,0.611018148|0.472619051|0.290536996|0.461303854|0.476716764|0.553891249,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0170703499|0.043689728|0.0438274454|0.0330314184,-0.115831984|-0.0483301066|-0.117173561|-0.206468287|-0.193021607|-0.193991101,1.84824061|1.3621461|0.582044775|1.20243686|1.27767289|1.57460531,0.488087565|-0.529596269|0.54704082,0.0273729339|0.210065708|0.00404023705,0.005598691292107105,0.0016994122415781021,0.0016862880438566208,0.0021767616271972656
6,0.35000000000000003,-0.4475331641634491,0.19932717084884644,0.38354772329330444,0.32640787959098816,0.18536071479320526,0.35,2,0,0,0,0,,,nan,0,0.5673975944519043,2.381147861480713,31.744577407836914,0.5673975944519043,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,8.935963654291912e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.16500801672143273,0.485299187|0.349736181|0.165008017|0.332972952|0.351019359|0.425468527,0.635299187|0.499736181|0.315008017|0.482972952|0.501019359|0.575468527,0.605299187|0.469736181|0.285008017|0.452972952|0.471019359|0.545468527,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00795563274|0.0587024924|0.0661340422|0.0576458882,-0.113830727|-0.0452484323|-0.113937474|-0.206122103|-0.191957697|-0.193016131,1.82736602|1.35369629|0.554050226|1.1844722|1.27825378|1.56650386,0.489456207|-0.519092739|0.547242522,0.0273729339|0.210065708|0.00404023705,0.005897674709558487,0.0019424818456172943,0.0017073042690753937,0.002207249402999878
7,0.4,-0.47497501174444123,0.21126389503479004,0.38193732500076294,0.31982421875,0.19688469171524048,0.35,2,0,0,0,0,,,nan,0,0.5375624895095825,3.0757851600646973,90.05758666992188,0.5375624895095825,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,7.405283537337628e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.15901175460533712,0.479686737|0.346846815|0.159011755|0.325396946|0.346485556|0.418233199,0.629686737|0.496846815|0.309011755|0.475396946|0.496485556|0.568233199,0.599686737|0.466846815|0.279011755|0.445396946|0.466485556|0.538233199,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00974006811|0.0851957157|0.0904619841|0.0790532113,-0.111784766|-0.0421554448|-0.110836559|-0.205645158|-0.19053623|-0.191825299,1.80696218|1.34523182|0.534950527|1.18113834|1.28586798|1.56016071,0.490824848|-0.508589208|0.547444224,0.0273729339|0.210065708|0.00404023705,0.00544400978833437,0.0016853250563144684,0.001532096415758133,0.00219081062823534
8,0.45,-0.4825482229318186,0.2189042717218399,0.38047170639038086,0.31330475211143494,0.20412465929985046,0.35,2,0,0,0,0,,,nan,0,0.5491161346435547,2.253103256225586,31.18520736694336,0.5491161346435547,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,7.869067275187459e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.1528403242766848,0.474197618|0.34361415|0.152840324|0.319111969|0.343405751|0.412240606,0.624197618|0.49361415|0.302840324|0.469111969|0.493405751|0.562240606,0.594197618|0.46361415|0.272840324|0.439111969|0.463405751|0.532240606,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.00913325605|0.0865133948|0.0891474575|0.0734842009,-0.109690516|-0.0391020196|-0.107913972|-0.205189197|-0.189201003|-0.190722972,1.78709995|1.33535458|0.512580581|1.15777207|1.27356946|1.53172365,0.49219349|-0.498085767|0.547645926,0.0273729339|0.210065708|0.00404023705,0.0059196604415774345,0.001859668642282486,0.0019766800105571747,0.002044868655502796
9,0.5,-0.4745875513019544,0.22771146893501282,0.37826448678970337,0.3068040609359741,0.21257151663303375,0.35,2,0,0,0,0,,,nan,0,0.5692654252052307,2.0928239822387695,81.52420806884766,0.5692654252052307,1.0,nan,0,0,0,0,0.2005164405736941,0.0,passthrough,7.742550983533009e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.14674129486351828,0.468817541|0.340458767|0.146741295|0.31294027|0.340477903|0.406136829,0.618817541|0.490458767|0.296741295|0.46294027|0.490477903|0.556136829,0.588817541|0.460458767|0.266741295|0.43294027|0.460477903|0.526136829,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.000134632899|0.06687998|0.0756686663|0.0619951516,-0.107551162|-0.0360252147|-0.104933229|-0.204773002|-0.187938418|-0.189690322,1.767719|1.32580985|0.482166583|1.11386806|1.24964186|1.49685215,0.493562132|-0.487582594|0.547847629,0.0273729339|0.210065708|0.00404023705,0.004903052933514118,0.0017885155975818634,0.0015335213392972946,0.0015436634421348572
