episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-98.12290988640314,46.2766338288784,240,0,0,0,0,0,0,,,nan,0,0.30184653401374817,12.0,0.16535663604736328,0.1828041265097757,0.5050992965698242,0,0.0,0.8833333333333333,0.19218430410567694,0.004166666666666667,0.0,0.0,0.0375,0.9791666666666666,0.0,0.004166666666666667,0.0,0.010391079504272371,0.0077202466782182455,0.16220226977020502,0.0014813010852473478,0.0014999331867632767,0.0027273308330525953,0.11010215433586078,1.149484395980835,20.95045280456543,1,1,80,4.0,0,0.04901064256705376
1,-243.13165594176144,237.430603697896,240,0,0,0,0,0,0,,,nan,0,0.1444098800420761,12.0,0.06406288594007492,0.33222113144584,0.8228093981742859,52,0.21666666666666667,0.6833333333333333,0.10112114411644327,0.0,0.0,0.0,0.2875,0.9958333333333333,0.0,0.0,0.2875,-0.08593712288788805,0.007569956934700409,0.013405043631792068,0.0015149200063509247,0.0014732107675323883,0.0023135266189152994,0.05600646538781196,0.7319082021713257,16.581634521484375,1,1,115,5.75,0,0.24182902927723926
2,-57.56328037317197,39.09582173265517,240,0,0,0,0,0,0,,,nan,0,0.12164054811000824,12.0,0.16680119931697845,0.14910831214704862,0.6228736042976379,0,0.0,0.6666666666666666,0.04422968221222057,0.0,0.0,0.0,0.008333333333333333,0.9916666666666667,0.0,0.0,0.0375,-0.0381222848885264,0.006699891889002174,0.011569762602448463,0.001406184397637844,0.0014181073832636077,0.0019915137051915127,0.14583121325510243,1.48932945728302,29.31177520751953,1,1,54,2.7,1,-0.027558889885793386
3,-677.437362373014,482.16646960377693,163,0,1,1,0,0,1,,,nan,1,0.5337955355644226,8.15,-0.001694185077212751,0.7214745332492641,0.8500154614448547,118,0.7239263803680982,1.0,0.5410317967499277,0.006134969325153374,0.0,0.0,0.7914110429447853,0.9938650306748467,0.0,0.006134969325153374,0.8159509202453987,-0.15320157731992573,0.010045722675469755,0.2040858594700694,0.0013744213669760828,0.0013492610934047612,0.004695521479049709,0.18105813296671752,1.85769522190094,61.236167907714844,1,0,163,8.15,0,0.05907301246316818
4,-57.86481370176563,41.0040662959218,172,1,0,0,0,0,0,,,nan,0,0.053579870611429214,8.6,0.17170019447803497,0.2313739938098331,0.43502891063690186,0,0.0,0.3313953488372093,0.03890070978127255,0.0,0.0,0.0,0.0,0.9767441860465116,0.0,0.0,0.0,0.021699172971425484,0.0070086377131384475,0.011083086021244526,0.0014194547967595417,0.001394011897879631,0.0019211276098652634,0.1030035612219403,1.324782133102417,27.34056282043457,1,1,103,5.15,0,0.31755170694706947
5,-109.10639691280716,65.9366706777364,240,0,0,0,0,0,0,,,nan,0,0.26665419340133667,12.0,0.15233488380908966,0.2540647502445305,0.5959283113479614,0,0.0,0.8708333333333333,0.3963288051310191,0.008333333333333333,0.0,0.0,0.05,0.975,0.0,0.008333333333333333,0.0,0.001256739174784971,0.008549876561543594,0.2209933577105403,0.001350361438623319,0.001335486676543951,0.0037312062612424295,0.09546844763293241,1.1547192335128784,24.316421508789062,1,1,144,7.2,0,0.034292362703229745
6,-44.122234201473034,34.53168077208102,240,0,0,0,0,0,0,,,nan,0,0.15281225740909576,12.0,0.24617017805576324,0.1374662319974353,0.3431399464607239,0,0.0,0.475,0.03394456518785354,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.09592358090700356,0.006745077374701699,0.01720346510410309,0.0014723937454012533,0.0014659662769796948,0.00197928991013517,0.16291411109268666,1.6127296686172485,43.21686935424805,1,1,42,2.1,0,0.16196656040115542
7,-219.57136543366752,194.00229189172387,240,0,0,0,0,0,0,,,nan,0,0.113946333527565,12.0,0.08473176509141922,0.3137606865726411,0.8179622888565063,39,0.1625,0.5875,0.04482330114608793,0.0,0.0,0.0,0.24166666666666667,0.9708333333333333,0.0,0.0,0.24166666666666667,-0.06553191038031042,0.006966521808256705,0.011991736479103565,0.0013817693921737372,0.0013917871712086102,0.0021431270559939247,0.07998255998133269,1.1104501485824585,21.60347557067871,1,1,107,5.3500000000000005,0,0.2681191437971996
8,-83.69254395890414,68.60283643007278,43,0,1,1,0,0,1,,,nan,1,0.4145452380180359,2.15,-0.0009380256524309516,0.5266675405031027,0.8682581782341003,12,0.27906976744186046,0.9534883720930233,0.2822418419194428,0.0,0.0,0.0,0.5813953488372093,1.0,0.0,0.0,0.3953488372093023,-0.1682575935878362,0.008094512034467486,0.012460957281291485,0.0013345262728804766,0.0014099061359153238,0.003017873546585094,0.15224512761761977,1.5482865571975708,38.516544342041016,1,0,28,1.4000000000000001,0,0.29708666936775296
9,-139.95926984478447,101.55146872997284,57,0,1,1,0,0,1,,,nan,1,0.6246635317802429,2.85,-0.004149494227021933,0.5559204194629401,0.8399434089660645,20,0.3508771929824561,0.8947368421052632,0.4477936667590445,0.0,0.0,0.0,0.5614035087719298,0.9824561403508771,0.0,0.0,0.49122807017543857,-0.1686890024659129,0.008404791159065146,0.011977816931903362,0.0014839190826342818,0.0014603059869586375,0.002850004128719631,0.12003818016270534,1.4085999727249146,30.935239791870117,1,0,48,2.4000000000000004,0,0.19545943639154406
10,-253.57506760594725,111.17847509682178,80,0,1,1,0,0,1,,,nan,1,1.0026826858520508,4.0,-0.002626625122502446,0.47123674359172585,0.8360421061515808,21,0.2625,0.9125,0.5693521663787411,0.0,0.0,0.0,0.4625,0.975,0.0,0.0,0.3875,-0.1661691339934166,0.007462175842374563,0.011840549297630787,0.0012540208641439675,0.0012712521711364388,0.0025516817346215247,0.09625347856926965,1.2622456550598145,25.35597801208496,1,1,74,3.7,0,0.0971407946858375
11,-136.82148593210363,43.398775381967425,240,0,0,0,0,0,0,,,nan,0,0.403557687997818,12.0,0.15971003472805023,0.1699052571784705,0.5295330286026001,0,0.0,0.6375,0.0917924599061059,0.0,0.0,0.0,0.020833333333333332,0.9916666666666667,0.0,0.0,0.0,0.00846904966869505,0.006418573918441931,0.011950799264013767,0.0013613857367696862,0.0013610000217643876,0.0019161221299630901,0.10866973896627315,1.188106656074524,24.309600830078125,1,1,60,3.0,0,0.23999080727642652
12,-124.05704489473446,41.242041220888495,240,0,0,0,0,0,0,,,nan,0,0.4222508668899536,12.0,0.19344408810138702,0.15939587365525465,0.39987483620643616,0,0.0,0.7708333333333334,0.1622061149161853,0.0,0.0,0.0,0.0,0.9875,0.0,0.0,0.0,0.03576563847391864,0.006393275359490265,0.010064748115837574,0.0013628658566934367,0.0013704282115213572,0.0018725569321153064,0.12483386588622428,1.2455722093582153,24.008670806884766,1,1,51,2.5500000000000003,0,0.23567029338966117
