step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.4525031557591939,0.15343746542930603,0.4698202908039093,0.40151047706604004,0.14580349624156952,0.35,2,0,0,0,0,0,0,,,,nan,0,0.436692476272583,8.73384952545166,174.67698669433594,0.4997308552265167,1.0,0.24182902927723926,0,0,0,0,0.24182902927723926,0.0,filtered,0.06919848569965495,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.24182902927723926,0.42929312|0.438196792|0.241829029|0.356663934|0.353683643|0.40123066,0.57929312|0.588196792|0.391829029|0.506663934|0.503683643|0.55123066,0.54929312|0.558196792|0.361829029|0.476663934|0.473683643|0.52123066,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0262732582|-0.0668857186|-0.0715636769|-0.105790139,-0.109949454|-0.130439109|-0.118718254|-0.115279727|-0.108182753|-0.117643461,1.60722303|1.62234806|0.822324605|1.24449029|1.23498814|1.38148904,0.414364398|-0.606856525|0.257443696,-0.0215406232|0.125462279|0.0340803899,0.01050819456577301,0.0018378114327788353,0.001564396545290947,0.004907935857772827
1,0.1,-0.32861217871417925,0.1861572563648224,0.45444926619529724,0.39169931411743164,0.17793186008930206,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7702836990356445,7.800701141357422,121.53572082519531,0.7760271430015564,1.0,0.23375787472761878,0,0,0,0,0.24182902927723926,0.0,filtered,0.03407433184156526,0,0,12,joint_5_acceleration_lower,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.23375787472761878,0.42370831|0.43146254|0.233757875|0.347422827|0.345140927|0.390645577,0.57370831|0.58146254|0.383757875|0.497422827|0.495140927|0.540645577,0.54370831|0.55146254|0.353757875|0.467422827|0.465140927|0.510645577,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0459404463|-0.123634929|-0.133521182|-0.19472896,-0.109592908|-0.13035947|-0.118323277|-0.115099569|-0.10780615|-0.117624209,1.58524033|1.59549069|0.770767776|1.15095681|1.13923638|1.25022914,0.413287222|-0.600583732|0.259147793,-0.0215406232|0.125462279|0.0340803899,0.007447344250977039,0.0016364427283406258,0.0017413794994354248,0.00226626917719841
2,0.15000000000000002,-0.18911712432351926,0.17709314823150635,0.43404754996299744,0.38381439447402954,0.17443536221981049,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9479048252105713,4.960158348083496,88.5403060913086,0.9479048252105713,1.0,0.2240642301108241,0,0,0,0,0.24182902927723926,0.0,filtered,5.462876605789171e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.2240642301108241,0.418050876|0.424776574|0.22406423|0.335277568|0.33392064|0.375637192,0.568050876|0.574776574|0.37406423|0.485277568|0.48392064|0.525637192,0.538050876|0.544776574|0.34406423|0.455277568|0.45392064|0.495637192,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0400215009|-0.105200486|-0.110697744|-0.190163118,-0.109233767|-0.130200789|-0.117530035|-0.115040571|-0.107488483|-0.117829339,1.56296974|1.56890551|0.738705385|1.12086921|1.11749633|1.19455631,0.412210047|-0.594310939|0.26085189,-0.0215406232|0.125462279|0.0340803899,0.007671885192394257,0.0018662167713046074,0.0014984915032982826,0.0023939423263072968
3,0.2,0.016159056171001968,0.08615816384553909,0.4096059203147888,0.38358211517333984,0.08329957723617554,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9500983953475952,4.5586113929748535,128.10440063476562,0.9289482831954956,1.0,0.21630557161182773,0,0,0,0,0.24182902927723926,0.0,filtered,0.1456957965740327,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.21630557161182773,0.412386722|0.419131435|0.216305572|0.324301258|0.324162436|0.360604337,0.562386722|0.569131435|0.366305572|0.474301258|0.474162436|0.510604337,0.532386722|0.539131435|0.336305572|0.444301258|0.444162436|0.480604337,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0025795103|0.036111579|0.0461057062|-0.0435603573,-0.108867257|-0.129948973|-0.116673377|-0.115083902|-0.107286719|-0.118204642,1.54067963|1.54657677|0.75112842|1.21823271|1.23546873|1.28065235,0.411132872|-0.588038146|0.262555987,-0.0215406232|0.125462279|0.0340803899,0.007805008441209793,0.0017216214910149574,0.0018080053851008415,0.00234272051602602
4,0.25,0.07439148427667419,0.07654847204685211,0.3845714330673218,0.38876914978027344,0.06817906349897385,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9153375029563904,6.237339019775391,105.42522430419922,0.9131807088851929,1.0,0.21610595740128025,0,0,0,0,0.24182902927723926,0.0,filtered,0.11814850681488567,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.21610595740128025,0.406839664|0.416379368|0.216105957|0.320861607|0.322565371|0.352419968,0.556839664|0.566379368|0.366105957|0.470861607|0.472565371|0.502419968,0.526839664|0.536379368|0.336105957|0.440861607|0.442565371|0.472419968,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0411296479|0.147177907|0.159627374|0.0786712631,-0.108485822|-0.129559725|-0.11643778|-0.115352115|-0.107464276|-0.118809848,1.51887284|1.53595775|0.789115698|1.31527222|1.34242458|1.36954129,0.410055697|-0.581765354|0.264260083,-0.0215406232|0.125462279|0.0340803899,0.007919598370790482,0.0018032640218734741,0.001764514483511448,0.002407020889222622
5,0.30000000000000004,0.1422276103321871,0.07168667018413544,0.3582518994808197,0.3987451195716858,0.06393180787563324,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9660270810127258,5.611128807067871,44.42546844482422,0.9707602262496948,1.0,0.2212494872653803,0,0,0,0,0.24182902927723926,0.0,filtered,0.03745573314710357,0,0,12,joint_5_acceleration_upper,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.2212494872653803,0.401417397|0.416038884|0.221249487|0.323146155|0.326851897|0.350292664,0.551417397|0.566038884|0.371249487|0.473146155|0.476851897|0.500292664,0.521417397|0.536038884|0.341249487|0.443146155|0.446851897|0.470292664,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0702415448|0.24700586|0.263384546|0.193406828,-0.108089197|-0.129031892|-0.116710214|-0.115857704|-0.108023824|-0.119619011,1.49758039|1.53512364|0.83852928|1.42373278|1.46276831|1.47495847,0.408978522|-0.575492561|0.26596418,-0.0215406232|0.125462279|0.0340803899,0.004912750795483589,0.0009715156629681587,0.001051425002515316,0.0016971342265605927
6,0.35000000000000003,0.18513211871273483,0.0670158639550209,0.3318742513656616,0.40915435552597046,0.05986085906624794,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9740506410598755,4.866873741149902,89.68059539794922,0.9740496873855591,1.0,0.23111313793244948,0,0,0,0,0.24182902927723926,0.0,filtered,1.5075630166145184e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.23111313793244948,0.396111209|0.417409823|0.231113138|0.330611692|0.336110586|0.353890746,0.546111209|0.567409823|0.381113138|0.480611692|0.486110586|0.503890746,0.516111209|0.537409823|0.351113138|0.450611692|0.456110586|0.473890746,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0764878359|0.258677818|0.266539|0.217631569,-0.107677667|-0.128367153|-0.117442285|-0.116526673|-0.11036811|-0.120262475,1.47676717|1.54127214|0.883498103|1.46459791|1.50061323|1.51293208,0.407901347|-0.569219768|0.267668277,-0.0215406232|0.125462279|0.0340803899,0.006020142696797848,0.0015502609312534332,0.0010357527062296867,0.0020438628271222115
7,0.4,0.22919159336150613,0.06317958235740662,0.3052294850349426,0.4183921813964844,0.05922609195113182,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9639391899108887,3.007559061050415,93.50453186035156,0.9639391899108887,1.0,0.24141983536659584,0,0,0,0,0.24182902927723926,0.0,passthrough,4.566054809726175e-12,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.24141983536659584,0.390835435|0.418794777|0.241419835|0.338600699|0.344463436|0.358786634,0.540835435|0.568794777|0.391419835|0.488600699|0.494463436|0.508786634,0.510835435|0.538794777|0.361419835|0.458600699|0.464463436|0.478786634,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.071227741|0.232837817|0.229574803|0.181201834,-0.107255944|-0.127614965|-0.118108562|-0.117172356|-0.113128356|-0.119903679,1.45608579|1.54756414|0.91879852|1.47006826|1.49430019|1.49644469,0.406824172|-0.562946975|0.269372374,-0.0215406232|0.125462279|0.0340803899,0.0057150619104504585,0.0009819315746426582,0.0010761506855487823,0.0016639744862914085
8,0.45,0.26316304124450873,0.061912424862384796,0.2785206735134125,0.42748719453811646,0.05986129119992256,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9660969376564026,2.3143253326416016,49.457374572753906,0.9660962820053101,1.0,0.25060172768965416,0,0,0,0,0.24182902927723926,0.0,filtered,1.0440960446615682e-06,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.25060172768965416,0.385534642|0.419225225|0.250601728|0.345154149|0.350447629|0.361938249,0.535534642|0.569225225|0.400601728|0.495154149|0.500447629|0.511938249,0.505534642|0.539225225|0.370601728|0.465154149|0.470447629|0.481938249,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0701738261|0.230504583|0.220167388|0.163125033,-0.106827235|-0.12682946|-0.118461239|-0.117622684|-0.115346887|-0.119304072,1.43531133|1.55007144|0.954119498|1.49349849|1.50661102|1.49157396,0.405746996|-0.556674182|0.271076471,-0.0215406232|0.125462279|0.0340803899,0.006545237265527248,0.0014949562028050423,0.001355113461613655,0.0019043739885091782
9,0.5,0.28291361661463726,0.0626373216509819,0.2522451877593994,0.4363417625427246,0.06050168350338936,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9735327363014221,1.2350538969039917,26.408601760864258,0.9735321402549744,1.0,0.2596647190159713,0,0,0,0,0.24182902927723926,0.0,filtered,9.251537082127477e-07,0,0,12,,workspace_z_upper,0,0,1,solved,osqp,0.0,valid,0.2596647190159713,0.380233389|0.418957061|0.259664719|0.351532034|0.355645932|0.364292075,0.530233389|0.568957061|0.409664719|0.501532034|0.505645932|0.514292075,0.500233389|0.538957061|0.379664719|0.471532034|0.475645932|0.484292075,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0714350291|0.227705176|0.210057699|0.145231728,-0.106389886|-0.126025176|-0.118652756|-0.117892103|-0.117347526|-0.118747009,1.41454367|1.54980307|0.991441149|1.51594121|1.5152939|1.48365302,0.404669821|-0.55040139|0.272780567,-0.0215406232|0.125462279|0.0340803899,0.007312607020139694,0.0015907390043139458,0.0016707945615053177,0.002266744151711464
