step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-1.1108952710868223,0.25538140535354614,0.6841493248939514,0.4336022734642029,0.24071280658245087,0.35,2,0,0,0,0,0,0,,,,nan,0,0.3318639099597931,6.6372785568237305,132.74557495117188,0.3341272473335266,1.0,0.2591973992179759,0,0,0,0,0.2591973992179759,0.0,filtered,0.003733545816873886,0,0,12,joint_0_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2591973992179759,0.398577321|0.391031246|0.259197399|0.397065026|0.425737324|0.474046071,0.548577321|0.541031246|0.409197399|0.547065026|0.575737324|0.624046071,0.518577321|0.511031246|0.379197399|0.517065026|0.545737324|0.594046071,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00901802323|-0.0762476487|-0.0758774616|-0.082599877,-0.192702282|-0.256413509|-0.269421031|-0.267528445|-0.249012878|-0.257179233,1.401607|1.30771147|0.758350543|1.24448401|1.37805895|1.55640518,0.248579115|-0.569942951|0.526230037,0.0135201812|0.270990789|0.0220482107,0.004130584187805653,0.0008151642978191376,0.0008393554016947746,0.0014457516372203827
1,0.1,-1.122858838934353,0.27293166518211365,0.6798996925354004,0.4172760248184204,0.25615036487579346,0.35,2,0,0,0,0,0,0,,,,nan,0,0.33574485778808594,4.351289749145508,179.8716583251953,0.33574485778808594,1.0,0.2432000581098528,0,0,0,0,0.2591973992179759,0.0,passthrough,2.3843641266087474e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2432000581098528,0.389440689|0.377502438|0.243200058|0.380175426|0.409336381|0.457134204,0.539440689|0.527502438|0.393200058|0.530175426|0.559336381|0.607134204,0.509440689|0.497502438|0.363200058|0.500175426|0.529336381|0.577134204,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0125403226|-0.0894203006|-0.0917461901|-0.0831855247,-0.189887745|-0.256007457|-0.269133465|-0.267092568|-0.247439478|-0.256115036,1.36787501|1.2540023|0.691126445|1.16418884|1.29815986|1.48923625,0.250563264|-0.556393147|0.527332246,0.0135201812|0.270990789|0.0220482107,0.006525550037622452,0.0015833955258131027,0.0014390135183930397,0.001962963491678238
2,0.15000000000000002,-1.111865342280671,0.29055139422416687,0.6748251914978027,0.4007027745246887,0.27133023738861084,0.35,2,0,0,0,0,0,0,,,,nan,0,0.4305080771446228,4.332306861877441,66.4837875366211,0.4305080771446228,1.0,0.22692510370969776,0,0,0,0,0.2591973992179759,0.0,filtered,8.407849311905515e-08,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.22692510370969776,0.379965882|0.363911851|0.226925104|0.36292237|0.392305304|0.440596949,0.529965882|0.513911851|0.376925104|0.51292237|0.542305304|0.590596949,0.499965882|0.483911851|0.346925104|0.48292237|0.512305304|0.560596949,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0111239065|-0.0938422162|-0.0851313645|-0.0677331465,-0.187116133|-0.255532823|-0.268759377|-0.266597229|-0.245683936|-0.254916219,1.3327474|1.20011458|0.627817131|1.09125004|1.23840591|1.43973843,0.251239181|-0.542843342|0.528434455,0.0135201812|0.270990789|0.0220482107,0.006518946029245853,0.0014691771939396858,0.0014694435521960258,0.001977665349841118
3,0.2,-1.0774840501796306,0.3331541419029236,0.6667266488075256,0.3821411728858948,0.31078392267227173,0.35,2,0,0,0,0,0,0,,,,nan,0,0.48781687021255493,3.247812032699585,125.9789810180664,0.48781687021255493,1.0,0.21043284658218908,0,0,0,0,0.2591973992179759,0.0,passthrough,4.667880225619498e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.21043284658218908,0.370621943|0.34968375|0.210432847|0.345545982|0.375287417|0.425014099,0.520621943|0.49968375|0.360432847|0.495545982|0.525287417|0.575014099,0.490621943|0.46968375|0.330432847|0.465545982|0.495287417|0.545014099,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0201254962|-0.150561934|-0.146076079|-0.130799664,-0.184231578|-0.255322841|-0.26817389|-0.265795943|-0.243263481|-0.253232156,1.29825619|1.14341216|0.553432|0.965826051|1.11181011|1.31602457,0.251915097|-0.529293537|0.529536664,0.0135201812|0.270990789|0.0220482107,0.006125863641500473,0.0012385249137878418,0.00139666348695755,0.00191524438560009
4,0.25,-1.058185068421815,0.3758634030818939,0.6566086411476135,0.361821711063385,0.3494557738304138,0.35,2,0,0,0,0,0,0,,,,nan,0,0.5347513556480408,4.664748668670654,75.99819946289062,0.534751296043396,1.0,0.1919724131713213,0,0,0,0,0.2591973992179759,0.0,filtered,2.2447184700645272e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.1919724131713213,0.361389089|0.3351186|0.191972413|0.325600281|0.355188902|0.406446741,0.511389089|0.4851186|0.341972413|0.475600281|0.505188902|0.556446741,0.481389089|0.4551186|0.311972413|0.445600281|0.475188902|0.526446741,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0278441415|-0.196836029|-0.200689338|-0.182710239,-0.181238379|-0.255050097|-0.26744819|-0.264934533|-0.240502624|-0.251353516,1.26431798|1.0854243|0.472597321|0.84063056|0.979563648|1.19172321,0.252591014|-0.515743732|0.530638874,0.0135201812|0.270990789|0.0220482107,0.006255339831113815,0.001398792490363121,0.0013291388750076294,0.0019242987036705017
5,0.30000000000000004,-1.0429595447652154,0.4121646583080292,0.6452513337135315,0.34058624505996704,0.380764901638031,0.35,2,0,0,0,0,0,0,,,,nan,0,0.6084538102149963,5.027775764465332,61.33608627319336,0.6084533333778381,1.0,0.17176907143465225,0,0,0,0,0.2591973992179759,0.0,filtered,9.369588148030208e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.17176907143465225,0.352277743|0.320616371|0.171769071|0.303524719|0.332095934|0.385225993,0.502277743|0.470616371|0.321769071|0.453524719|0.482095934|0.535225993,0.472277743|0.440616371|0.291769071|0.423524719|0.452095934|0.505225993,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0287039682|-0.212881877|-0.217676962|-0.197362583,-0.178127881|-0.254571548|-0.266624223|-0.26419542|-0.237687173|-0.249555877,1.23098309|1.02789394|0.391748095|0.737021578|0.873019602|1.09398551,0.253266931|-0.502193928|0.531741083,0.0135201812|0.270990789|0.0220482107,0.006135184317827225,0.0012532025575637817,0.0014232508838176727,0.0018833810463547707
6,0.35000000000000003,-1.0538141580527565,0.44498562812805176,0.6342359781265259,0.31918516755104065,0.40756481885910034,0.35,2,0,0,0,0,0,0,,,,nan,0,0.6501600742340088,5.093504428863525,117.24091339111328,0.6501596570014954,1.0,0.1506633449751662,0,0,0,0,0.2591973992179759,0.0,filtered,7.861423178576741e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.1506633449751662,0.343306357|0.305916778|0.150663345|0.280714399|0.307784362|0.363170384,0.493306357|0.455916778|0.300663345|0.430714399|0.457784362|0.513170384,0.463306357|0.425916778|0.270663345|0.400714399|0.427784362|0.483170384,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0302132586|-0.211489582|-0.230120421|-0.215293062,-0.174889536|-0.254104456|-0.265713699|-0.263490402|-0.234665738|-0.247784984,1.19833589|0.969562657|0.306726422|0.647877613|0.76635129|0.989603492,0.253942847|-0.488644451|0.532843292,0.0135201812|0.270990789|0.0220482107,0.006424929015338421,0.0014241831377148628,0.0014209244400262833,0.0018739113584160805
7,0.4,-1.1259241144846284,0.45481252670288086,0.6275708675384521,0.29993075132369995,0.41089653968811035,0.35,2,0,0,0,0,0,0,,,,nan,0,0.6065930724143982,5.825109958648682,86.33283233642578,0.6065930724143982,1.0,0.1293612319466537,0,0,0,0,0.2591973992179759,0.0,filtered,1.3196238797090843e-08,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.1293612319466537,0.33450391|0.2924668|0.129361232|0.257886245|0.282899412|0.340170938,0.48450391|0.4424668|0.279361232|0.407886245|0.432899412|0.490170938,0.45450391|0.4124668|0.249361232|0.377886245|0.402899412|0.460170938,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0250756511|-0.151206528|-0.190106463|-0.184651866,-0.17151114|-0.253115148|-0.265029397|-0.263342799|-0.232542006|-0.246642857,1.1665045|0.916752052|0.22733988|0.616995654|0.708949178|0.92938903,0.254618764|-0.475095004|0.533945501,0.0135201812|0.270990789|0.0220482107,0.006577272899448872,0.0014725616201758385,0.0015235813334584236,0.0018448997288942337
8,0.45,-1.1715866474008407,0.48603659868240356,0.6225440502166748,0.28110426664352417,0.43463245034217834,0.35,2,0,0,0,0,0,0,,,,nan,0,0.5755007266998291,3.0175678730010986,89.24649810791016,0.5755007266998291,1.0,0.11012040081503163,0,0,0,0,0.2591973992179759,0.0,passthrough,7.745757969522558e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.11012040081503163,0.325925164|0.281369399|0.110120401|0.237725699|0.260610601|0.318645326,0.475925164|0.431369399|0.260120401|0.387725699|0.410610601|0.468645326,0.445925164|0.401369399|0.230120401|0.357725699|0.380610601|0.438645326,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.0235042827|-0.133962026|-0.182722492|-0.182884012,-0.167976233|-0.251335192|-0.264948032|-0.263978526|-0.232079934|-0.246614844,1.13572442|0.874142404|0.152029289|0.552962243|0.627639977|0.845082447,0.255294681|-0.461545557|0.53504771,0.0135201812|0.270990789|0.0220482107,0.005955871194601059,0.001520100049674511,0.001340324990451336,0.0014831172302365303
9,0.5,-1.2580645848576846,0.4714154005050659,0.6227208971977234,0.26645341515541077,0.4133489429950714,0.35,2,0,0,0,0,0,0,,,,nan,0,0.178696408867836,8.890054702758789,177.78025817871094,0.699999988079071,1.0,0.09127516945614048,1,1,0,0,0.2591973992179759,0.699999988079071,filtered,0.865462881964673,0,0,12,joint_0_acceleration_upper|joint_1_acceleration_upper|joint_2_acceleration_upper|joint_5_acceleration_upper,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.09127516945614048,0.317537855|0.271362383|0.0912751695|0.218332116|0.238894621|0.297288378,0.467537855|0.421362383|0.241275169|0.368332116|0.388894621|0.447288378,0.437537855|0.391362383|0.211275169|0.338332116|0.358894621|0.417288378,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00798432566|-0.0311479926|-0.0551794102|-0.0498070809,-0.164292511|-0.249141252|-0.265100581|-0.264895427|-0.232191162|-0.247036386,1.10585891|0.836308279|0.0920157709|0.577285045|0.66820791|0.892310043,0.255970597|-0.44799611|0.536149919,0.0135201812|0.270990789|0.0220482107,0.0045175692066550255,0.0008256807923316956,0.0008451128378510475,0.0013032341375946999
