episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-83.23111374081934,72.242380797863,24,0,1,1,0,0,1,,,nan,1,0.4306582808494568,1.2000000000000002,-0.0032846389804035425,0.7730404809117317,0.8677477836608887,15,0.625,1.0,0.6141357162707375,0.08333333333333333,0.0,0.0,1.0,0.9583333333333334,0.0,0.08333333333333333,0.7916666666666666,-0.1474939184810186,0.035122437635436654,0.5824181977659464,0.0012948185903951526,0.002194124118735393,0.02846747376800825,0.2973127058551957,2.6335809230804443,77.35881042480469,1,0,23,1.1500000000000001,0,0.04901064256705376
1,-305.9057340538603,279.8464703708887,240,0,0,0,0,0,0,,,nan,0,0.14286848902702332,12.0,0.041930247098207474,0.3837326553960641,0.8177262544631958,62,0.25833333333333336,0.9125,0.37844007376754524,0.0125,0.0,0.0,0.3,0.9875,0.0,0.0125,0.36666666666666664,-0.10806974090902853,0.013505517415857564,0.409162312746048,0.0013961317211699982,0.001791368133854121,0.0075822854104141395,0.08160653022350743,1.0324426889419556,26.245891571044922,1,1,114,5.7,0,0.24182902927723926
2,-65.84709850514271,40.56287665851414,240,0,0,0,0,0,0,,,nan,0,0.24392876029014587,12.0,0.16908304393291473,0.1524500943875561,0.6045473217964172,0,0.0,0.8125,0.11070802165747776,0.0,0.0,0.0,0.008333333333333333,0.9833333333333333,0.0,0.0,0.0375,-0.03602812457709434,0.007317206224737068,0.01322273537516594,0.0014148267645699283,0.001799943499887983,0.001957566966302693,0.14165130821832767,1.427672028541565,32.33537673950195,1,1,22,1.1,1,-0.027558889885793386
3,-110.06585955847216,92.53824213147163,32,0,1,1,0,0,1,,,nan,1,0.4953032433986664,1.6,-0.00029343957430683076,0.7474097181111574,0.859804630279541,20,0.625,1.0,0.5776631074402596,0.0,0.0,0.0,0.71875,1.0,0.0,0.0,0.71875,-0.1494572181529209,0.009055317786987871,0.012445091269910336,0.0012287404970265925,0.001494027383159846,0.0034612019371706992,0.3309722114354372,2.762824058532715,96.37897491455078,1,0,28,1.4000000000000001,0,0.05907301246316818
4,-268.83504391739666,77.38059955090284,240,0,0,0,0,0,0,,,nan,0,0.7060754299163818,12.0,0.16605110466480255,0.31025001356999077,0.6423244476318359,0,0.0,0.775,0.2780430976820426,0.004166666666666667,0.0,0.0,0.004166666666666667,0.9583333333333334,0.0,0.004166666666666667,0.0,0.016051091619762037,0.006600727478507906,0.03379686176776886,0.0011198214604519307,0.0014467033130737643,0.0017361097736284137,0.18752470808794897,2.0617265701293945,39.51949691772461,1,1,137,6.8500000000000005,0,0.31755170694706947
5,-331.06451656095265,281.9833824336529,240,0,0,0,0,0,0,,,nan,0,0.27389955520629883,12.0,0.021159963682293892,0.425341549445875,0.8532848954200745,58,0.24166666666666667,0.9833333333333333,0.49890569075383456,0.008333333333333333,0.0,0.0,0.37083333333333335,0.975,0.0,0.008333333333333333,0.3458333333333333,-0.12884003614311623,0.011169896752107888,0.3638282110914588,0.0013411023110772172,0.0017203577716524401,0.005298851189824442,0.16048972905264236,1.7293444871902466,47.4377555847168,1,1,147,7.3500000000000005,0,0.034292362703229745
6,-50.269543108032,39.70111788250506,240,0,0,0,0,0,0,,,nan,0,0.1951102763414383,12.0,0.2066441923379898,0.15738557354391863,0.4417836368083954,0,0.0,0.5625,0.017384425384915043,0.0,0.0,0.0,0.0,0.9791666666666666,0.0,0.0,0.0,0.03337725626622587,0.0065823534697604675,0.009936589747667313,0.0012844204242962102,0.0016369111641931038,0.0017838967187951008,0.14751504154798264,1.4579564332962036,44.19499206542969,1,1,6,0.30000000000000004,0,0.16196656040115542
7,-275.6462450837374,118.53610482811928,240,0,0,0,0,0,0,,,nan,0,0.08857724070549011,12.0,0.0908733382821083,0.31940223205213747,0.8556442260742188,13,0.05416666666666667,0.6541666666666667,0.13909417066444194,0.004166666666666667,0.0,0.0,0.07916666666666666,0.9666666666666667,0.0,0.004166666666666667,0.10833333333333334,-0.07452732910071597,0.009139622868193935,0.2881614789366722,0.0014007508987560868,0.0017649208583558598,0.0033048104223174354,0.16437249503554388,1.7720422744750977,34.6066780090332,1,1,95,4.75,0,0.2681191437971996
8,-77.64828257331531,65.18909423053265,41,0,1,1,0,0,1,,,nan,1,0.35629525780677795,2.0500000000000003,-0.005287883337587118,0.541423326221908,0.9131965637207031,11,0.2682926829268293,0.9512195121951219,0.41423137217055483,0.04878048780487805,0.04878048780487805,0.0,0.5365853658536586,0.9512195121951219,0.0,0.0,0.4634146341463415,-0.16497231354674097,0.00985021700673714,0.015185548923909664,0.0014961012525529396,0.002047097855588285,0.003320335115237934,0.21606093036328874,2.0445659160614014,47.87839126586914,1,0,22,1.1,0,0.29708666936775296
9,-135.65093170989138,102.46284514665604,56,0,1,1,0,0,1,,,nan,1,0.615854024887085,2.8000000000000003,-0.002747920574620366,0.5777770605470453,0.8407459855079651,20,0.35714285714285715,0.9821428571428571,0.5423545878079417,0.017857142857142856,0.017857142857142856,0.0,0.7142857142857143,0.9821428571428571,0.0,0.0,0.5178571428571429,-0.16995012366166362,0.011164750355029745,0.01570580154657364,0.0015643360924773983,0.0019827099916126046,0.004194963008298406,0.19192889357093787,1.9738141298294067,39.3324089050293,1,0,40,2.0,0,0.19545943639154406
