step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.5659758343900376,0.17551928758621216,0.4834934175014496,0.4743150472640991,0.17096179723739624,0.35,2,0,0,0,0,0,0,,,,nan,0,0.3975602388381958,7.951204299926758,159.0240936279297,0.4522535502910614,1.0,0.31755170694706947,0,0,0,0,0.31755170694706947,0.0,filtered,0.06282394789375004,0,0,12,joint_0_acceleration_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.31755170694706947,0.483362488|0.546966309|0.317551707|0.434804465|0.42198661|0.48365299,0.633362488|0.696966309|0.467551707|0.584804465|0.57198661|0.63365299,0.603362488|0.666966309|0.437551707|0.554804465|0.54198661|0.60365299,0.15|0.15|0.15|0.15|0.15|0.15,-0.00173585926|-0.0155598816|-0.0144257086|-0.121733818|-0.126288163|-0.118645689,-0.117679862|-0.125100572|-0.12837649|-0.132434458|-0.128755864|-0.136838878,1.81403423|2.04720478|1.12740463|1.48504958|1.43290241|1.67912739,0.503806829|-0.600746214|0.294447064,-0.0153045869|0.140174195|-0.0143491207,0.006875505670905113,0.0012310575693845749,0.0016960669308900833,0.0020538605749607086
1,0.1,-0.49797648634494296,0.2059551328420639,0.47447073459625244,0.4601057171821594,0.2008500099182129,0.35,2,0,0,0,0,0,0,,,,nan,0,0.6407397985458374,6.468917369842529,135.52578735351562,0.6407390832901001,1.0,0.3050029455182607,0,0,0,0,0.31755170694706947,0.0,filtered,1.0079281861822746e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3050029455182607,0.477401145|0.538851708|0.305002946|0.42215649|0.409296879|0.470918236,0.627401145|0.688851708|0.455002946|0.57215649|0.559296879|0.620918236,0.597401145|0.658851708|0.425002946|0.54215649|0.529296879|0.590918236,0.15|0.15|0.15|0.15|0.15|0.15,-0.00291884304|-0.0349528336|-0.0229772146|-0.162500968|-0.161926264|-0.175213694,-0.117291488|-0.124963288|-0.128311688|-0.13246233|-0.128711907|-0.136941513,1.78939425|1.99549071|1.06872288|1.39366266|1.34654935|1.57151774,0.503041506|-0.593737423|0.293729663,-0.0153045869|0.140174195|-0.0143491207,0.0070084379985928535,0.0015557259321212769,0.0015985891222953796,0.00187759380787611
2,0.15000000000000002,-0.502835516479754,0.2661281228065491,0.4636526107788086,0.44203823804855347,0.2602112293243408,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7437597513198853,3.8550424575805664,145.5077667236328,0.7437594532966614,1.0,0.29088141816683577,0,0,0,0,0.31755170694706947,0.0,filtered,5.668877269073674e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.29088141816683577,0.471398251|0.530150748|0.290881418|0.407396689|0.394751113|0.455130934,0.621398251|0.680150748|0.440881418|0.557396689|0.544751113|0.605130934,0.591398251|0.650150748|0.410881418|0.527396689|0.514751113|0.575130934,0.15|0.15|0.15|0.15|0.15|0.15,-0.0039280499|-0.0391178868|-0.0364411519|-0.235784075|-0.241773752|-0.248138642,-0.11690171|-0.124844218|-0.127696658|-0.132118246|-0.128202583|-0.136814839,1.76476324|1.95664089|0.999387862|1.26168443|1.20902812|1.43557025,0.502276182|-0.586728632|0.293012261,-0.0153045869|0.140174195|-0.0143491207,0.00715890247374773,0.0015499619767069817,0.0018654270097613335,0.0018454557284712791
3,0.2,-0.46719104672675826,0.2804884910583496,0.4512063264846802,0.42383408546447754,0.27364057302474976,0.35,2,0,0,0,0,0,0,,,,nan,0,0.6256714463233948,5.9677252769470215,152.74871826171875,0.6258267760276794,1.0,0.27286701903702626,0,0,0,0,0.31755170694706947,0.0,filtered,0.0020768573390757272,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.27286701903702626,0.465363291|0.519809662|0.272867019|0.388965519|0.376209493|0.43572367,0.615363291|0.669809662|0.422867019|0.538965519|0.526209493|0.58572367,0.585363291|0.639809662|0.392867019|0.508965519|0.496209493|0.55572367,0.15|0.15|0.15|0.15|0.15|0.15,-0.00449557312|-0.0589845964|-0.0412459897|-0.243139514|-0.252247589|-0.265571879,-0.116508559|-0.124796063|-0.127316507|-0.131962307|-0.127873362|-0.136787817,1.74044903|1.89545799|0.92290558|1.18076025|1.12471702|1.34053499,0.501510859|-0.579719841|0.29229486,-0.0153045869|0.140174195|-0.0143491207,0.007054631598293781,0.0014181844890117645,0.0017888527363538742,0.0019413279369473457
4,0.25,-0.443613987076815,0.2673848569393158,0.4394151568412781,0.4077188968658447,0.259615957736969,0.35,2,0,0,0,0,0,0,,,,nan,0,0.488765686750412,4.794605255126953,122.44007873535156,0.488765686750412,1.0,0.25476147501128243,0,0,0,0,0.31755170694706947,0.0,passthrough,3.9763347306817854e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.25476147501128243,0.45931922|0.510039962|0.254761475|0.370181626|0.357170891|0.415509092,0.60931922|0.660039962|0.404761475|0.520181626|0.507170891|0.565509092,0.57931922|0.630039962|0.374761475|0.490181626|0.477170891|0.535509092,0.15|0.15|0.15|0.15|0.15|0.15,-0.00424965908|-0.062790428|-0.0394196554|-0.206790502|-0.215937887|-0.232632978,-0.116108525|-0.124692867|-0.126620539|-0.131569284|-0.127244449|-0.136575371,1.7169187|1.85267655|0.853005706|1.14236672|1.08550123|1.29282802,0.500745535|-0.572711051|0.291577458,-0.0153045869|0.140174195|-0.0143491207,0.00434653926640749,0.0008091749623417854,0.0011020470410585403,0.0012597916647791862
5,0.30000000000000004,-0.4321329896065265,0.24408425390720367,0.42933976650238037,0.39422398805618286,0.23547418415546417,0.35,2,0,0,0,0,0,0,,,,nan,0,0.4506731927394867,2.7211976051330566,94.62649536132812,0.4506731927394867,1.0,0.23878871354114972,0,0,0,0,0.31755170694706947,0.0,passthrough,5.319804512829013e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.23878871354114972,0.453308365|0.501067765|0.238788714|0.353289671|0.340048505|0.396945401,0.603308365|0.651067765|0.388788714|0.503289671|0.490048505|0.546945401,0.573308365|0.621067765|0.358788714|0.473289671|0.460048505|0.516945401,0.15|0.15|0.15|0.15|0.15|0.15,-0.00354184974|-0.0525123127|-0.0348371609|-0.157824389|-0.160247442|-0.190941072,-0.115696372|-0.124540818|-0.125621907|-0.130942857|-0.126326178|-0.136125017,1.69399524|1.82721793|0.794695786|1.12439144|1.0736204|1.26071551,0.499980211|-0.56570226|0.290860057,-0.0153045869|0.140174195|-0.0143491207,0.004422714933753014,0.0007866015657782555,0.001120755448937416,0.0012608272954821587
6,0.35000000000000003,-0.4262227294459743,0.27514761686325073,0.41820961236953735,0.3794581890106201,0.26550811529159546,0.35,2,0,0,0,0,0,0,,,,nan,0,0.5868611931800842,4.0240864753723145,97.25547790527344,0.5868608951568604,1.0,0.22546217169178717,0,0,0,0,0.31755170694706947,0.0,filtered,4.550683628658936e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.22546217169178717,0.447354889|0.492536167|0.225462172|0.338893571|0.32577784|0.380506531,0.597354889|0.642536167|0.375462172|0.488893571|0.47577784|0.530506531,0.567354889|0.612536167|0.345462172|0.458893571|0.44577784|0.500506531,0.15|0.15|0.15|0.15|0.15|0.15,-0.0040490228|-0.0567941277|-0.043908704|-0.185791855|-0.188195495|-0.227694291,-0.115269528|-0.124364646|-0.124444011|-0.130195534|-0.125270141|-0.135539973,1.670101|1.78898589|0.733495971|1.0395869|0.989645724|1.15879186,0.499214888|-0.558693469|0.290142655,-0.0153045869|0.140174195|-0.0143491207,0.004890105687081814,0.0008121682330965996,0.0011917892843484879,0.0013253828510642052
7,0.4,-0.365035798513568,0.26064515113830566,0.40561237931251526,0.3665805459022522,0.25008153915405273,0.35,2,0,0,0,0,0,0,,,,nan,0,0.6582826972007751,4.580434322357178,115.57798767089844,0.6582826972007751,1.0,0.21087128421056645,0,0,0,0,0.31755170694706947,0.0,passthrough,9.713616435070126e-10,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.21087128421056645,0.441397188|0.483328148|0.210871284|0.323117776|0.310134089|0.36223152,0.591397188|0.633328148|0.360871284|0.473117776|0.460134089|0.51223152,0.561397188|0.603328148|0.330871284|0.443117776|0.430134089|0.48223152,0.15|0.15|0.15|0.15|0.15|0.15,-0.00435681527|-0.0754177406|-0.0395678109|-0.16353385|-0.162815909|-0.226866741,-0.114834601|-0.12420356|-0.12321765|-0.129464176|-0.124230805|-0.134949761,1.64639734|1.73369129|0.680699676|0.999473077|0.953489642|1.08710958,0.498449564|-0.551684678|0.289425254,-0.0153045869|0.140174195|-0.0143491207,0.004376956261694431,0.0008085379377007484,0.0010624993592500687,0.0012571001425385475
8,0.45,-0.2864195887022192,0.22600054740905762,0.39182808995246887,0.3564606308937073,0.2194346934556961,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7453509569168091,3.8441457748413086,70.91590118408203,0.7453505992889404,1.0,0.19826328235025525,0,0,0,0,0.31755170694706947,0.0,filtered,5.157247106862456e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.19826328235025525,0.435445929|0.475189012|0.198263282|0.308580752|0.295908283|0.344186882,0.585445929|0.625189012|0.348263282|0.458580752|0.445908283|0.494186882,0.555445929|0.595189012|0.318263282|0.428580752|0.415908283|0.464186882,0.15|0.15|0.15|0.15|0.15|0.15,-0.00451266853|-0.0867557792|-0.0349202694|-0.127234198|-0.114690556|-0.213339112,-0.114390041|-0.124000018|-0.121336054|-0.128313724|-0.122723503|-0.134327923,1.62288101|1.69000025|0.636796806|0.978775087|0.946219074|1.02908049,0.49768424|-0.544675887|0.288707852,-0.0153045869|0.140174195|-0.0143491207,0.00559320580214262,0.0007883859798312187,0.0016702227294445038,0.0018954696133732796
9,0.5,-0.2697105949116139,0.16746145486831665,0.381259948015213,0.35213738679885864,0.16314251720905304,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7748170495033264,4.192134380340576,79.33915710449219,0.7748163342475891,1.0,0.1885301406730261,0,0,0,0,0.31755170694706947,0.0,filtered,1.086037142874835e-06,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.1885301406730261,0.429509388|0.467832459|0.188530141|0.296107816|0.284386575|0.327001553,0.579509388|0.617832459|0.338530141|0.446107816|0.434386575|0.477001553,0.549509388|0.587832459|0.308530141|0.416107816|0.404386575|0.447001553,0.15|0.15|0.15|0.15|0.15|0.15,-0.00301882921|-0.0693172108|-0.0124617506|-0.0216173014|0.00891422486|-0.121810633,-0.113934672|-0.123777083|-0.11864588|-0.126597414|-0.120536687|-0.133336616,1.60108405|1.67823554|0.623012932|1.03621655|1.02592384|1.05285897,0.496918917|-0.537667096|0.287990451,-0.0153045869|0.140174195|-0.0143491207,0.007492729462683201,0.0014609666541218758,0.001917712390422821,0.0019685672596096992
