episode,reward,cost,length,success,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,-52.20608219776602,48.39048022031784,16,0,1,1,0,1,0,,,nan,0,0.2381964772939682,0.8,-0.0015833912184461951,0.7856270968914032,0.891787052154541,9,0.5625,1.0,0.6803189570621727,1.0,0.9375,0.0,0.0625,0.0,0.0,0.0625,0.8125,-0.17401461833812404,0.03404448792571202,0.41727840062230825,0.0013851411058567464,0.0017247372888959944,0.02765610214555636,0.0,0.0,0.0,1,0,15,0.75,0,0.04901064256705376
1,-227.8414780621733,215.53384075313807,240,0,0,0,0,0,0,,,nan,0,0.17396415770053864,12.0,0.06119482219219208,0.32799473074264823,0.8242146968841553,45,0.1875,0.7583333333333333,0.2971284095151095,0.225,0.225,0.0,0.0,0.775,0.0,0.0,0.2833333333333333,-0.08880665319225006,0.0075413869577459994,0.012065974064171314,0.001334155409131199,0.001776996076417466,0.0019343415546851854,0.08162457359333833,1.1381075382232666,26.114171981811523,1,1,90,4.5,0,0.24182902927723926
2,-44.74295228867204,38.00138771533966,10,0,1,1,0,1,0,,,nan,0,0.4869067966938019,0.5,-0.006198646035045385,0.8772230327129364,0.9050741195678711,7,0.7,1.0,0.7000000030084426,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.19284523382307928,0.00919413212686777,0.010678548365831375,0.0014695697464048862,0.001917522307485342,0.0020985469222068787,0.0,0.0,0.0,1,0,10,0.5,1,-0.027558889885793386
3,-106.1864196249225,90.19151374697685,33,0,1,1,0,1,0,,,nan,1,0.45512208342552185,1.6500000000000001,-0.001092945458367467,0.7406271714152712,0.8564143180847168,19,0.5757575757575758,1.0,0.5886711179506938,0.7272727272727273,0.7272727272727273,0.0,0.0,0.2727272727272727,0.0,0.0,0.7272727272727273,-0.1600453279544578,0.008825869497024652,0.009597172960639,0.0014730083163488996,0.001895381956163681,0.0019951505642948728,0.10266451221523863,1.7139041423797607,42.19329071044922,1,0,29,1.4500000000000002,0,0.05907301246316818
4,-268.83504391739666,77.38059955090284,240,0,0,0,0,0,0,,,nan,0,0.7060754299163818,12.0,0.16605110466480255,0.31025001356999077,0.6423244476318359,0,0.0,0.775,0.2780430976820426,0.004166666666666667,0.0,0.0,0.004166666666666667,0.9583333333333334,0.0,0.004166666666666667,0.0,0.016051091619762037,0.006777862067489575,0.03358855377882719,0.0011611195591588815,0.0014880290798222025,0.0017966962574670713,0.18752470808794897,2.0617265701293945,39.51949691772461,1,1,137,6.8500000000000005,0,0.31755170694706947
5,-54.554115004372065,47.78445512056351,15,0,1,1,0,1,0,,,nan,1,0.39873382449150085,0.75,-0.011956912465393543,0.8036709666252136,0.8935227394104004,9,0.6,1.0,0.7000000012264828,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,-0.19451834861518957,0.005898015201091766,0.008301288820803165,0.0008788007001082102,0.00121562530597051,0.0013887622704108556,0.0,0.0,0.0,1,0,15,0.75,0,0.034292362703229745
6,-55.5760485699517,41.99471362121403,240,0,0,0,0,0,0,,,nan,0,0.3257448971271515,12.0,0.18785007297992706,0.16641483351122588,0.5096820592880249,0,0.0,0.5875,0.030949395892313047,0.004166666666666667,0.0,0.0,0.0,0.9791666666666666,0.0,0.004166666666666667,0.0,0.03302909389133421,0.007010004727635533,0.021405404433608055,0.0013453029367762306,0.00182201552670449,0.0018534740200266242,0.16802700965975723,1.6351425647735596,49.861942291259766,1,1,14,0.7000000000000001,0,0.16196656040115542
7,-372.4607360881789,308.50324034690857,240,0,0,0,0,0,0,,,nan,0,0.08041316270828247,12.0,0.019140133634209633,0.44089004152143996,0.8286229968070984,67,0.2791666666666667,0.6333333333333333,0.25263382232521264,0.2916666666666667,0.2875,0.0,0.0,0.7,0.0,0.004166666666666667,0.4708333333333333,-0.13086393582444522,0.008010376248663912,0.23748365603387356,0.0012349566910415887,0.0016272504425918063,0.0026733322107853987,0.07762238606592291,1.0545052289962769,21.044979095458984,1,1,127,6.3500000000000005,0,0.2681191437971996
8,-58.325865429507964,51.04841820895672,34,0,1,1,0,1,0,,,nan,1,0.2721705436706543,1.7000000000000002,-0.003634524764493108,0.5158428825876292,0.889907956123352,8,0.23529411764705882,0.9411764705882353,0.3396032007306401,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.35294117647058826,-0.18508054931633483,0.00629372346927138,0.009451927617192268,0.0010893554152811274,0.001489210462964633,0.0015397682676420493,0.09451178406529567,1.4327826499938965,37.35386657714844,1,0,15,0.75,0,0.29708666936775296
9,-86.23987503889262,74.48240607976913,39,0,1,1,0,1,0,,,nan,1,0.35008352994918823,1.9500000000000002,-0.004290295299142599,0.594518882341874,0.8551860451698303,14,0.358974358974359,0.9743589743589743,0.4315757392014527,0.6153846153846154,0.6153846153846154,0.0,0.0,0.38461538461538464,0.0,0.0,0.48717948717948717,-0.1690907837683936,0.007044417449297049,0.011478029191493988,0.0012391752396256495,0.0015865613539249469,0.0016145441108025038,0.09287725923917232,1.3457865715026855,32.2103157043457,1,0,23,1.1500000000000001,0,0.19545943639154406
