step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.5219924569718979,0.26896023750305176,0.3943326473236084,0.41961097717285156,0.2502109110355377,0.35,2,0,0,0,0,0,0,,,,nan,0,0.4292454421520233,8.584908485412598,171.6981658935547,0.47446519136428833,1.0,0.23999080727642652,0,0,0,0,0.23999080727642652,0.0,filtered,0.056129056598075724,0,0,12,joint_1_acceleration_lower,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.23999080727642652,0.467206844|0.496340156|0.239990807|0.354497371|0.352320023|0.38061176,0.617206844|0.646340156|0.389990807|0.504497371|0.502320023|0.53061176,0.587206844|0.616340156|0.359990807|0.474497371|0.472320023|0.50061176,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00284096368|-0.0311768528|-0.0379060377|-0.0809635107,-0.319615513|-0.327914976|-0.300995458|-0.316906161|-0.300031019|-0.33199845,1.54921187|1.65744565|0.656126807|1.06990647|1.07134304|1.10948508,0.644399285|-0.450055808|0.359184325,-0.166408643|0.312796146|-0.0684105605,0.0069554876536130905,0.0016251644119620323,0.0014907028526067734,0.002090897411108017
1,0.1,-0.46926605284657885,0.2721269428730011,0.3882858157157898,0.40403515100479126,0.2642929255962372,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7596654891967773,6.671079158782959,47.20686721801758,0.7596650123596191,1.0,0.22458151462430997,0,0,0,0,0.23999080727642652,0.0,filtered,7.838529386798039e-07,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.22458151462430997,0.451191354|0.480717135|0.224581515|0.337044762|0.33585696|0.360315442,0.601191354|0.630717135|0.374581515|0.487044762|0.48585696|0.510315442,0.571191354|0.600717135|0.344581515|0.457044762|0.45585696|0.480315442,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.00291633935|-0.044958934|-0.0540302223|-0.136853194,-0.317762176|-0.327022382|-0.294463727|-0.312580249|-0.294574152|-0.329207882,1.48700324|1.59584616|0.600945993|0.990639866|0.994823465|0.97520069,0.636078715|-0.434416026|0.355763972,-0.166408643|0.312796146|-0.0684105605,0.0045099928975105286,0.00119701586663723,0.0008644377812743187,0.0013493634760379791
2,0.15000000000000002,-0.36697751714334637,0.20080474019050598,0.3811681568622589,0.39641886949539185,0.1919964998960495,0.35,2,0,0,0,0,0,0,,,,nan,0,0.8726755976676941,6.09287166595459,156.33615112304688,0.8726745843887329,1.0,0.2103239943579931,0,0,0,0,0.23999080727642652,0.0,filtered,1.5052352633855918e-06,0,0,12,,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.2103239943579931,0.435205782|0.465816907|0.210323994|0.319424914|0.319596576|0.337885802,0.585205782|0.615816907|0.360323994|0.469424914|0.469596576|0.487885802,0.555205782|0.585816907|0.330323994|0.439424914|0.439596576|0.457885802,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0192896267|0.086167439|0.096562365|-0.0245761397,-0.31580299|-0.326180124|-0.284750904|-0.306047039|-0.28658633|-0.324844562,1.42502014|1.53708751|0.5758347|1.05782005|1.08836234|1.00212251,0.627758145|-0.418776244|0.352343619,-0.166408643|0.312796146|-0.0684105605,0.004449092783033848,0.0009333109483122826,0.0009638369083404541,0.001390913501381874
3,0.2,-0.3749414785752117,0.16963985562324524,0.376606822013855,0.39588379859924316,0.16526447236537933,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9583368897438049,6.115760803222656,140.88534545898438,0.9601455330848694,1.0,0.20424902672823309,0,0,0,0,0.23999080727642652,0.0,filtered,0.015173471442388826,0,0,12,joint_0_acceleration_upper,predictive_link_2,0,0,1,solved,osqp,0.0,valid,0.20424902672823309,0.419420121|0.45320555|0.204249027|0.309411355|0.312018097|0.322293901,0.569420121|0.60320555|0.354249027|0.459411355|0.462018097|0.472293901,0.539420121|0.57320555|0.324249027|0.429411355|0.432018097|0.442293901,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0370007609|0.207383369|0.222142026|0.087500083,-0.313690412|-0.325314794|-0.273520317|-0.298293488|-0.283304296|-0.319245679,1.36399007|1.4875074|0.580476551|1.1467353|1.18691012|1.05743001,0.619437575|-0.403136462|0.348923266,-0.166408643|0.312796146|-0.0684105605,0.004319784231483936,0.0009657014161348343,0.0008816877380013466,0.0013940753415226936
4,0.25,-0.46392578511203086,0.17276497185230255,0.37679094076156616,0.39891839027404785,0.16781985759735107,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9914277195930481,6.248079776763916,72.3477783203125,0.9815464615821838,1.0,0.20533623681827473,0,0,0,0,0.23999080727642652,0.0,filtered,0.08245896108456535,0,0,12,joint_5_acceleration_upper,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.20533623681827473,0.403846577|0.442483196|0.205336237|0.306204529|0.309620552|0.312958482,0.553846577|0.592483196|0.355336237|0.456204529|0.459620552|0.462958482,0.523846577|0.562483196|0.325336237|0.426204529|0.429620552|0.432958482,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0446214225|0.271053895|0.278918056|0.156054103,-0.311411713|-0.324335669|-0.261835802|-0.290201076|-0.290220231|-0.313416827,1.30397459|1.44559712|0.604130568|1.20567094|1.22718004|1.0944712,0.611117005|-0.38749668|0.345502913,-0.166408643|0.312796146|-0.0684105605,0.004564301110804081,0.0009391233325004578,0.0009555146098136902,0.0014404170215129852
5,0.30000000000000004,-0.5596632252178659,0.17757710814476013,0.38164135813713074,0.3980724811553955,0.17199410498142242,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9225957989692688,5.8977556228637695,111.97103881835938,0.9169408082962036,1.0,0.20989464058393004,0,0,0,0,0.23999080727642652,0.0,filtered,0.029327246750419006,0,0,12,joint_2_acceleration_upper,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.20989464058393004,0.388461841|0.432693362|0.209894641|0.306569106|0.308149117|0.307071197,0.538461841|0.582693362|0.359894641|0.456569106|0.458149117|0.457071197,0.508461841|0.552693362|0.329894641|0.426569106|0.428149117|0.427071197,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0356612398|0.198421355|0.190914248|0.095456399,-0.308960597|-0.323164667|-0.250960325|-0.282684254|-0.297545296|-0.308143485,1.24488677|1.40760878|0.624279477|1.14201353|1.12596542|1.0155977,0.602796435|-0.371856898|0.34208256,-0.166408643|0.312796146|-0.0684105605,0.004695749841630459,0.0011158278211951256,0.0009436532855033875,0.0014578606933355331
6,0.35000000000000003,-0.5988704551085178,0.1834430992603302,0.38782578706741333,0.39567500352859497,0.1771441102027893,0.35,2,0,0,0,0,0,0,,,,nan,0,0.9360955953598022,5.735811233520508,182.3477020263672,0.9438092112541199,1.0,0.21043362399264187,0,0,0,0,0.23999080727642652,0.0,filtered,0.08028955985397178,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.21043362399264187,0.373156296|0.42168562|0.210433624|0.303171942|0.301230468|0.297587356,0.523156296|0.57168562|0.360433624|0.453171942|0.451230468|0.447587356,0.493156296|0.54168562|0.330433624|0.423171942|0.421230468|0.417587356,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0331478274|0.148447086|0.120156026|0.0324201529,-0.306352385|-0.321890405|-0.241044533|-0.275995156|-0.297175781|-0.303748593,1.1862728|1.36485207|0.63383779|1.0851397|1.02790212|0.919020983,0.594475865|-0.356217116|0.338662207,-0.166408643|0.312796146|-0.0684105605,0.00416162796318531,0.0010020602494478226,0.0007891599088907242,0.0013344762846827507
7,0.4,-0.6391618850552698,0.20178604125976562,0.3946949541568756,0.3937605619430542,0.18933384120464325,0.35,2,0,0,0,0,0,0,,,,nan,0,1.0087639093399048,4.650400638580322,50.66360855102539,1.0087635517120361,1.0,0.20972167777501904,0,0,0,0,0.23999080727642652,0.0,filtered,7.230424455244818e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.20972167777501904,0.357880465|0.409750775|0.209721678|0.297509165|0.29159406|0.285373414,0.507880465|0.559750775|0.359721678|0.447509165|0.44159406|0.435373414,0.477880465|0.529750775|0.329721678|0.417509165|0.41159406|0.405373414,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0340194764|0.13156953|0.0886149428|0.00179807049,-0.303589232|-0.320707325|-0.228982188|-0.267613548|-0.290148895|-0.297816949,1.12793263|1.31829577|0.643924|1.05399264|0.964842286|0.845474776,0.586155295|-0.340577334|0.335241854,-0.166408643|0.312796146|-0.0684105605,0.007205961272120476,0.0013906899839639664,0.0018114997074007988,0.0021962979808449745
8,0.45,-0.6685114318424557,0.1935071051120758,0.40292888879776,0.39747124910354614,0.1855265349149704,0.35,2,0,0,0,0,0,0,,,,nan,0,0.986319363117218,4.571787357330322,166.30006408691406,0.986343502998352,1.0,0.20983469881817218,0,0,0,0,0.23999080727642652,0.0,filtered,0.025371836187284655,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.20983469881817218,0.342659871|0.396849217|0.209834699|0.291536901|0.281263054|0.272182443,0.492659871|0.546849217|0.359834699|0.441536901|0.431263054|0.422182443,0.462659871|0.516849217|0.329834699|0.411536901|0.401263054|0.392182443,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0395102853|0.231664175|0.211057167|0.113970143,-0.300652468|-0.319635968|-0.215422682|-0.257113428|-0.281022408|-0.289714396,1.06998702|1.2677609|0.663426399|1.14069835|1.05508697|0.91298552,0.577834725|-0.324937552|0.331821501,-0.166408643|0.312796146|-0.0684105605,0.00509981531649828,0.0008299835026264191,0.0012527666985988617,0.0019238153472542763
9,0.5,-0.720847253662646,0.19827896356582642,0.4129118025302887,0.40050220489501953,0.18933260440826416,0.35,2,0,0,0,0,0,0,,,,nan,0,0.947941780090332,4.339964389801025,104.83777618408203,0.9479407668113708,1.0,0.2152128922371802,0,0,0,0,0.23999080727642652,0.0,filtered,1.2716687822759355e-06,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2152128922371802,0.327699251|0.384777144|0.215212892|0.291376184|0.27691041|0.265250574,0.477699251|0.534777144|0.365212892|0.441376184|0.42691041|0.415250574,0.447699251|0.504777144|0.335212892|0.411376184|0.39691041|0.385250574,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0393286448|0.229120455|0.221762288|0.135157015,-0.297474914|-0.318253684|-0.206173529|-0.246681212|-0.271492778|-0.281031715,1.01332209|1.22085489|0.694006684|1.14794398|1.05791115|0.915127595,0.569514155|-0.30929777|0.328401148,-0.166408643|0.312796146|-0.0684105605,0.006743680685758591,0.0015392182394862175,0.001505318097770214,0.002002658322453499
10,0.55,-0.7623325784169765,0.2050880789756775,0.42383265495300293,0.40107446908950806,0.19507576525211334,0.35,2,0,0,0,0,0,0,,,,nan,0,0.8772839903831482,3.742882490158081,115.96500396728516,0.8772839903831482,1.0,0.21927650532459741,0,0,0,0,0.23999080727642652,0.0,passthrough,1.3442386140878252e-09,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.21927650532459741,0.312973463|0.372723899|0.219276505|0.291245836|0.273280664|0.259523713,0.462973463|0.522723899|0.369276505|0.441245836|0.423280664|0.409523713,0.432973463|0.492723899|0.339276505|0.411245836|0.393280664|0.379523713,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0446711526|0.177625025|0.163664581|0.0885865919,-0.294046799|-0.316545079|-0.199113858|-0.237967628|-0.263403382|-0.273877905,0.957847051|1.17435052|0.722663316|1.10464074|0.993383855|0.852803539,0.561193585|-0.293657988|0.324980795,-0.166408643|0.312796146|-0.0684105605,0.0059148892760276794,0.0011711539700627327,0.0013862363994121552,0.001836220733821392
11,0.6000000000000001,-0.7983788553177191,0.21198143064975739,0.4352142810821533,0.4048541784286499,0.20079997181892395,0.35,2,0,0,0,0,0,0,,,,nan,0,0.8107361793518066,5.20116662979126,130.2986297607422,0.8107361197471619,1.0,0.22100235910241117,0,0,0,0,0.23999080727642652,0.0,filtered,2.971718888235336e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.22100235910241117,0.298365303|0.360063826|0.221002359|0.288767524|0.267520133|0.251677187,0.448365303|0.510063826|0.371002359|0.438767524|0.417520133|0.401677187,0.418365303|0.480063826|0.341002359|0.408767524|0.387520133|0.371677187,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0549014169|0.221689176|0.215238615|0.12705793,-0.290382203|-0.314857588|-0.191016161|-0.229045887|-0.25505181|-0.266434518,0.903079009|1.12539772|0.747894692|1.14771338|1.03026734|0.867332161,0.552873015|-0.278018206|0.321560442,-0.166408643|0.312796146|-0.0684105605,0.006766260601580143,0.0015387814491987228,0.00162400770932436,0.002004430629312992
12,0.65,-0.7943936300277668,0.21941745281219482,0.44510239362716675,0.4062495827674866,0.20695893466472626,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7516870498657227,2.752943515777588,118.61936950683594,0.7516869306564331,1.0,0.22601611663078114,0,0,0,0,0.23999080727642652,0.0,filtered,2.913816765454294e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.22601611663078114,0.283917486|0.347396963|0.226016117|0.289511967|0.264626467|0.246507154,0.433917486|0.497396963|0.376016117|0.439511967|0.414626467|0.396507154,0.403917486|0.467396963|0.346016117|0.409511967|0.384626467|0.366507154,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0477225938|0.176107761|0.167402607|0.0902700075,-0.286451881|-0.313156444|-0.182465432|-0.218293491|-0.244483498|-0.256208749,0.849218061|1.07643141|0.769321628|1.11586214|0.981424977|0.820089877,0.544552445|-0.262378424|0.31814009,-0.166408643|0.312796146|-0.0684105605,0.005387443117797375,0.0009191762655973434,0.0015477407723665237,0.0013624532148241997
13,0.7000000000000001,-0.8151277892750275,0.22756393253803253,0.454739511013031,0.40739673376083374,0.21371565759181976,0.35,2,0,0,0,0,0,0,,,,nan,0,0.7919188141822815,2.279688835144043,43.08744430541992,0.7919186353683472,1.0,0.2286294067613851,0,0,0,0,0.23999080727642652,0.0,filtered,3.10059999967959e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2286294067613851,0.269639656|0.333628237|0.228629407|0.288339641|0.26002384|0.239817394,0.419639656|0.483628237|0.378629407|0.438339641|0.41002384|0.389817394,0.389639656|0.453628237|0.348629407|0.408339641|0.38002384|0.359817394,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0481610847|0.164774441|0.15227025|0.0773959045,-0.282233513|-0.311350661|-0.174033778|-0.207414775|-0.233626577|-0.245519484,0.796325113|1.02316229|0.788644933|1.11071823|0.958739033|0.791145996,0.536231875|-0.246738642|0.314719737,-0.166408643|0.312796146|-0.0684105605,0.0051278481259942055,0.0011083781719207764,0.0010941792279481888,0.0018517784774303436
14,0.75,-0.8442346862926036,0.23538848757743835,0.46456849575042725,0.4096122980117798,0.22004520893096924,0.35,2,0,0,0,0,0,0,,,,nan,0,0.8129967451095581,1.6634269952774048,45.4671630859375,0.8129966855049133,1.0,0.23102196822323018,0,0,0,0,0.23999080727642652,0.0,filtered,1.2147125531166322e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.23102196822323018,0.255532759|0.319143906|0.231021968|0.287067787|0.255302095|0.233015154,0.405532759|0.469143906|0.381021968|0.437067787|0.405302095|0.383015154,0.375532759|0.439143906|0.351021968|0.407067787|0.375302095|0.353015154,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.04712612|0.187024467|0.181428839|0.106973451,-0.277705204|-0.309514725|-0.165466809|-0.195682336|-0.221655225|-0.233489486,0.744425833|0.967060897|0.805747184|1.13961328|0.980981994|0.805544579,0.527911305|-0.231098861|0.311299384,-0.166408643|0.312796146|-0.0684105605,0.005467561073601246,0.0015105484053492546,0.0009202258661389351,0.0013804249465465546
15,0.8,-0.8229992844458596,0.24281558394432068,0.47196561098098755,0.4083493947982788,0.22588573396205902,0.35,5,0,0,0,0,0,0,,,,nan,0,0.729006826877594,3.9147799015045166,67.46942138671875,0.729006826877594,1.0,0.22846389981162518,0,0,0,0,0.23999080727642652,0.0,filtered,1.0351793380877207e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.22846389981162518,0.241677446|0.304634032|0.234350379|0.287585645|0.252549452|0.2284639,0.391677446|0.454634032|0.384350379|0.437585645|0.402549452|0.3784639,0.361677446|0.424634032|0.354350379|0.407585645|0.372549452|0.3484639,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0296015875|0.174997939|0.182778387|0.120197433,-0.272821724|-0.3074533|-0.157836454|-0.18374039|-0.209119536|-0.220680815,0.693888061|0.911082828|0.809166651|1.14160013|0.983856658|0.813372217,0.519590735|-0.215459079|0.307879031,-0.166408643|0.312796146|-0.0684105605,0.0062210289761424065,0.001504802145063877,0.001277351751923561,0.0019633732736110687
16,0.8500000000000001,-0.8088770368621659,0.25090041756629944,0.47754088044166565,0.4042489528656006,0.2323000431060791,0.35,5,0,0,0,0,0,0,,,,nan,0,0.635336697101593,3.913034677505493,45.4749755859375,0.635336697101593,1.0,0.2251888948187587,0,0,0,0,0.23999080727642652,0.0,passthrough,1.3336053531668439e-09,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2251888948187587,0.228156399|0.290249726|0.235908066|0.288053356|0.25032342|0.225188895,0.378156399|0.440249726|0.385908066|0.438053356|0.40032342|0.375188895,0.348156399|0.410249726|0.355908066|0.408053356|0.37032342|0.345188895,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0205113194|0.155716088|0.175869658|0.122426959,-0.267536354|-0.304886697|-0.15153175|-0.172814077|-0.197445172|-0.208709665,0.645089243|0.856112207|0.812611835|1.13511543|0.979718166|0.814472874,0.511270165|-0.199819297|0.304458678,-0.166408643|0.312796146|-0.0684105605,0.004033383913338184,0.0008147070184350014,0.0008373772725462914,0.0013675903901457787
17,0.9,-0.8220504543119389,0.26056861877441406,0.48277968168258667,0.3917510509490967,0.24021302163600922,0.35,0,0,0,0,0,0,0,,,,nan,0,0.5736200213432312,3.21087384223938,62.13371276855469,0.5736199617385864,1.0,0.2149727195110792,0,0,0,0,0.23999080727642652,0.0,filtered,7.181232545221208e-08,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.2149727195110792,0.21497272|0.276249222|0.235869665|0.288160539|0.248224564|0.2226544,0.36497272|0.426249222|0.385869665|0.438160539|0.398224564|0.3726544,0.33497272|0.396249222|0.355869665|0.408160539|0.368224564|0.3426544,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0253236045|0.136427701|0.160030268|0.112392811,-0.26182183|-0.301879438|-0.145669304|-0.162761825|-0.186568711|-0.197518121,0.598069048|0.803117448|0.823132961|1.12630803|0.966359815|0.805492291,0.502949595|-0.184179515|0.301038325,-0.166408643|0.312796146|-0.0684105605,0.004681224934756756,0.0012444332242012024,0.0008166991174221039,0.0013161422684788704
18,0.9500000000000001,-0.8520367839385472,0.2710973918437958,0.48847341537475586,0.3782349228858948,0.2489125281572342,0.35,0,0,0,0,0,0,0,,,,nan,0,0.5586175918579102,3.520838737487793,37.19633102416992,0.5586171746253967,1.0,0.20206768977053813,0,0,0,0,0.23999080727642652,0.0,filtered,5.032691539617672e-07,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,0.0,valid,0.20206768977053813,0.20206769|0.262304056|0.235283851|0.287889905|0.24598606|0.220223544,0.35206769|0.412304056|0.385283851|0.437889905|0.39598606|0.370223544,0.32206769|0.382304056|0.355283851|0.407889905|0.36598606|0.340223544,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0340488178|0.135878058|0.162045595|0.118644789,-0.255665657|-0.298706735|-0.139267212|-0.15256405|-0.175464533|-0.185983749,0.552605102|0.750509487|0.835917011|1.13487363|0.970525301|0.813555216,0.494629025|-0.168539733|0.297617972,-0.166408643|0.312796146|-0.0684105605,0.005369269289076328,0.0015485892072319984,0.0009121401235461235,0.001318170689046383
19,1.0,-0.8552084834199968,0.28111904859542847,0.49329304695129395,0.3650212287902832,0.2570665180683136,0.35,0,0,0,0,0,0,0,,,,nan,0,0.5550658106803894,2.569058418273926,59.04154968261719,0.5661128759384155,1.0,0.18944113679985375,0,0,0,0,0.23999080727642652,0.0,filtered,0.03281471241753232,0,0,12,,workspace_x_lower,0,0,1,solved,osqp,9.459220799284962e-07,valid,0.18944113679985375,0.189441137|0.248288737|0.235265596|0.288257227|0.244567128|0.21880938,0.339441137|0.398288737|0.385265596|0.438257227|0.394567128|0.36880938,0.309441137|0.368288737|0.355265596|0.408257227|0.364567128|0.33880938,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0311593125|0.125664524|0.159785368|0.121588209,-0.249038456|-0.295440372|-0.132450398|-0.14173494|-0.163621363|-0.173525316,0.508726091|0.697714576|0.839771299|1.13695849|0.974432517|0.823300414,0.486308455|-0.152899951|0.294197619,-0.166408643|0.312796146|-0.0684105605,0.004164855927228928,0.0009336154907941818,0.0008802032098174095,0.001342983916401863
20,1.05,-0.844626998483077,0.29109007120132446,0.49660372734069824,0.3521585464477539,0.2651686370372772,0.35,0,0,0,0,0,0,0,,,,nan,0,0.5704942941665649,2.672370195388794,28.034381866455078,0.5887462496757507,1.0,0.1771878949872906,0,0,0,0,0.23999080727642652,0.0,filtered,0.06317272637681848,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,8.432750664422173e-09,valid,0.1771878949872906,0.177187895|0.234584278|0.234752955|0.288766217|0.243595793|0.218244562,0.327187895|0.384584278|0.384752955|0.438766217|0.393595793|0.368244562,0.297187895|0.354584278|0.354752955|0.408766217|0.363595793|0.338244562,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0219562442|0.102794496|0.141826358|0.112095422,-0.241884709|-0.291796772|-0.125615387|-0.131209869|-0.152049548|-0.161334422,0.466866871|0.64654034|0.835352676|1.1266495|0.964159981|0.82373925,0.477987885|-0.137260169|0.290777266,-0.166408643|0.312796146|-0.0684105605,0.003957820124924183,0.000841173343360424,0.0007706340402364731,0.0013456037268042564
21,1.1,-0.8444957498052276,0.3019046485424042,0.49906495213508606,0.33963310718536377,0.2741427421569824,0.35,0,0,0,0,0,0,0,,,,nan,0,0.5757063627243042,1.254599690437317,43.66590881347656,0.606332540512085,1.0,0.16536292639562133,0,0,0,0,0.23999080727642652,0.0,filtered,0.11102605824749091,0,1,12,workspace_x_lower,workspace_x_lower,0,0,1,solved,osqp,1.3128188411370978e-08,valid,0.16536292639562133,0.165362926|0.221352784|0.233036464|0.288630924|0.242330394|0.217779205,0.315362926|0.371352784|0.383036464|0.438630924|0.392330394|0.367779205,0.285362926|0.341352784|0.353036464|0.408630924|0.362330394|0.337779205,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.016457589|0.0803522366|0.1171373|0.0926633727,-0.234159456|-0.287631947|-0.11860875|-0.121364817|-0.141259243|-0.150155263,0.427292249|0.597779187|0.829994694|1.11351112|0.945199632|0.81362493,0.469667315|-0.121620387|0.287356913,-0.166408643|0.312796146|-0.0684105605,0.004121983423829079,0.0008487729355692863,0.0008808467537164688,0.0013643540441989899
