step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,collision_capsule_overlap,collision_pybullet_contact,unavoidable_collision,avoidable_collision,collision_avoidability_reason,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,risk_speed_scale,risk_speed_h_min_m,recovery_active,recovery_triggered,recovery_success,recovery_initially_unsafe,recovery_initial_h_min_m,recovery_command_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,predictive_h_by_link_m,predictive_distance_by_link_m,predictive_robust_distance_by_link_m,predictive_time_by_link_s,safety_jacobian_command_by_link_mps,safety_drift_by_link_mps,safety_constraint_residual_by_link_mps,filter_obstacle_position_m,filter_obstacle_velocity_mps,safety_filter_solve_time_s,safety_filter_predictive_risk_time_s,safety_filter_jacobian_workspace_time_s,safety_filter_projection_time_s
0,0.05,-0.6237791114836398,0.3799128532409668,0.3380996286869049,0.233719140291214,0.35541418194770813,0.35,3,0,0,0,0,0,0,,,,nan,0,0.4799182415008545,9.59836483001709,191.96728515625,0.5362304449081421,1.0,0.06458522148830878,0,0,0,0,0.06458522148830878,0.0,filtered,0.07069901266408267,0,0,12,joint_5_acceleration_upper,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.06458522148830878,0.45980598|0.0841810052|0.143538722|0.0645852215|0.113903428|0.109136271,0.60980598|0.234181005|0.293538722|0.214585221|0.263903428|0.259136271,0.57980598|0.204181005|0.263538722|0.184585221|0.233903428|0.229136271,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0281658323|0.155096789|0.228119111|0.186002347,-0.105496402|-0.100236935|-0.125390482|-0.120587581|-0.112361781|-0.115788658,1.73372752|0.236487086|0.47693024|0.292850094|0.571371043|0.506758773,0.458294779|0.477375418|0.589612186,-0.0165676363|-0.114263542|-0.0526893474,0.007857243530452251,0.0022609401494264603,0.0011206641793251038,0.0022094352170825005
1,0.1,-0.6826091400467806,0.4207334518432617,0.3395453691482544,0.23353974521160126,0.3941926956176758,0.35,1,0,0,0,0,0,0,,,,nan,0,0.7639480233192444,7.259644985198975,149.95391845703125,0.7639480233192444,1.0,0.06563659311036593,0,0,0,0,0.06458522148830878,0.0,passthrough,4.757461661466093e-12,0,0,12,,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.06563659311036593,0.454458202|0.0767128616|0.142318778|0.0656365931|0.117648641|0.111464782,0.604458202|0.226712862|0.292318778|0.215636593|0.267648641|0.261464782,0.574458202|0.196712862|0.262318778|0.185636593|0.237648641|0.231464782,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0548915605|0.28377937|0.390189769|0.316703634,-0.105174937|-0.100479592|-0.125638928|-0.120204146|-0.111712586|-0.115080532,1.71265787|0.206371854|0.498527746|0.426121596|0.749071746|0.647482229,0.457466513|0.471662313|0.586977899,-0.0165676363|-0.114263542|-0.0526893474,0.005273646675050259,0.0012641772627830505,0.0010900525376200676,0.0016605854034423828
2,0.15000000000000002,-0.6906075202604655,0.46998298168182373,0.3389366865158081,0.22382698953151703,0.44082656502723694,0.35,1,0,0,0,0,0,0,,,,nan,0,0.8762530088424683,4.2716169357299805,136.07034301757812,0.8762530088424683,1.0,0.06816125265772918,0,0,0,0,0.06458522148830878,0.0,passthrough,5.079665248658289e-12,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.06816125265772918,0.449051575|0.0681612527|0.145228998|0.0731136812|0.128681734|0.120664628,0.599051575|0.218161253|0.295228998|0.223113681|0.278681734|0.270664628,0.569051575|0.188161253|0.265228998|0.193113681|0.248681734|0.240664628,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0429652376|0.287463569|0.42302877|0.338937556,-0.104853456|-0.101451092|-0.125975767|-0.119681485|-0.111086788|-0.114292867,1.69135284|0.171193919|0.497905463|0.460236808|0.826668918|0.7073032,0.456638247|0.465949208|0.584343612,-0.0165676363|-0.114263542|-0.0526893474,0.005655350163578987,0.0014854548498988152,0.0011728433892130852,0.0016039339825510979
3,0.2,-0.680362846026269,0.49882784485816956,0.3363622725009918,0.21417178213596344,0.46689483523368835,0.35,1,0,0,0,0,0,0,,,,nan,0,0.8773373365402222,3.9941165447235107,84.31703186035156,0.9554766416549683,1.0,0.05825901512900375,0,0,0,0,0.06458522148830878,0.0,filtered,0.11481605763426302,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,4.2421895835031975e-07,valid,0.05825901512900375,0.443699431|0.0582590151|0.147109965|0.0812065933|0.141155088|0.131273113,0.593699431|0.208259015|0.297109965|0.231206593|0.291155088|0.281273113,0.563699431|0.178259015|0.267109965|0.201206593|0.261155088|0.251273113,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0215859717|0.228928149|0.355475247|0.275659563,-0.104522078|-0.102737609|-0.126271744|-0.119072533|-0.11008371|-0.113075963,1.67027565|0.130298452|0.483754088|0.434681989|0.810011888|0.687676054,0.455809981|0.460236102|0.581709325,-0.0165676363|-0.114263542|-0.0526893474,0.005530358292162418,0.0011195698752999306,0.0013293316587805748,0.001735791563987732
4,0.25,-0.6792985716005473,0.5108519792556763,0.33331063389778137,0.20557458698749542,0.4763420820236206,0.35,1,0,0,0,0,0,0,,,,nan,0,0.8544929623603821,3.4411189556121826,49.962242126464844,0.9896720051765442,1.0,0.04844970508339971,0,0,0,0,0.06458522148830878,0.0,filtered,0.21945379112339913,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,8.783019326830122e-07,valid,0.04844970508339971,0.43842479|0.0484497051|0.146288077|0.0867321404|0.150635944|0.138981899,0.58842479|0.198449705|0.296288077|0.23673214|0.300635944|0.288981899,0.55842479|0.168449705|0.266288077|0.20673214|0.270635944|0.258981899,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0104972688|0.174503783|0.27223478|0.200753543,-0.104178176|-0.103780454|-0.126435732|-0.118395953|-0.108860444|-0.111620831,1.64952098|0.0900183662|0.469213845|0.403036392|0.765918111|0.645060311,0.454981714|0.454522997|0.579075038,-0.0165676363|-0.114263542|-0.0526893474,0.005214366130530834,0.0010827872902154922,0.0010564904659986496,0.0016538240015506744
5,0.30000000000000004,-0.6871914019864841,0.49780288338661194,0.33122751116752625,0.19897772371768951,0.46143558621406555,0.35,1,0,0,0,0,0,0,,,,nan,0,0.4862675368785858,8.637939453125,177.33009338378906,0.0,1.0,0.0397644139313775,1,1,0,0,0.06458522148830878,0.0,filtered,0.4862675613708307,0,0,12,joint_4_acceleration_lower|joint_5_acceleration_lower,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.0397644139313775,0.433196952|0.0397644139|0.143649615|0.0896239931|0.156361766|0.143053416,0.583196952|0.189764414|0.293649615|0.239623993|0.306361766|0.293053416,0.553196952|0.159764414|0.263649615|0.209623993|0.276361766|0.263053416,0.15|0.15|0.15|0.15|0.15|0.15,0|0|-0.000229953723|0.0603252064|0.100195002|0.0660295343,-0.10382421|-0.104368549|-0.126481784|-0.117737596|-0.107695749|-0.11021724,1.6289636|0.0546891064|0.447886723|0.301083582|0.617946316|0.528025958,0.454153448|0.448809892|0.576440752,-0.0165676363|-0.114263542|-0.0526893474,0.006373155862092972,0.0012979637831449509,0.0010807933285832405,0.001658833585679531
6,0.35000000000000003,-0.7045476785904135,0.48922425508499146,0.3308316171169281,0.19363383948802948,0.45146721601486206,0.35,1,0,0,0,0,0,0,,,,nan,0,0.21806195378303528,5.958522319793701,104.51636505126953,0.0,1.0,0.0332053082992729,1,1,0,0,0.06458522148830878,0.0,filtered,0.21806196270704664,0,0,12,joint_2_acceleration_lower|joint_4_acceleration_lower,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.0332053082992729,0.428015024|0.0332053083|0.138542058|0.0870840688|0.155257575|0.141238951,0.578015024|0.183205308|0.288542058|0.237084069|0.305257575|0.291238951,0.548015024|0.153205308|0.258542058|0.207084069|0.275257575|0.261238951,0.15|0.15|0.15|0.15|0.15|0.15,0|0|3.43508378e-09|0.0049620264|0.00860048032|-0.00378307022,-0.103460027|-0.104087041|-0.126482902|-0.117309594|-0.10679764|-0.109215858,1.60860007|0.0287341926|0.427685333|0.235988707|0.522833141|0.451956875,0.453325182|0.443096787|0.573806465,-0.0165676363|-0.114263542|-0.0526893474,0.006328645162284374,0.001112133264541626,0.0011890949681401253,0.0019351029768586159
7,0.4,-0.7286594693095192,0.508190393447876,0.3308275043964386,0.18837489187717438,0.4690398871898651,0.35,1,0,0,0,0,0,0,,,,nan,0,0.015209856443107128,4.061316967010498,75.8255844116211,0.0,1.0,0.02796500755030834,1,1,0,0,0.06458522148830878,0.0,filtered,0.015209856653255267,0,0,12,joint_4_acceleration_lower,predictive_link_1,0,0,1,solved,osqp,0.0,valid,0.02796500755030834,0.422851505|0.0279650076|0.132358846|0.0815435246|0.150077706|0.135722013,0.572851505|0.177965008|0.282358846|0.231543525|0.300077706|0.285722013,0.542851505|0.147965008|0.252358846|0.201543525|0.270077706|0.255722013,0.15|0.15|0.15|0.15|0.15|0.15,0|0|3.8990414e-10|2.73412071e-09|3.4398112e-09|-0.000787126597,-0.103088061|-0.103349441|-0.126476949|-0.11698411|-0.106166565|-0.10857866,1.58831796|0.00851058885|0.402958437|0.209189991|0.494144264|0.433522265,0.452496916|0.437383682|0.571172178,-0.0165676363|-0.114263542|-0.0526893474,0.005877546966075897,0.0011079460382461548,0.0011088065803050995,0.0016388492658734322
8,0.45,-0.8576873155441674,0.568530797958374,0.33423203229904175,0.18165655434131622,0.526929497718811,0.35,1,0,0,0,0,0,0,,,,nan,0,0.33331355452537537,6.6730146408081055,159.4676055908203,0.7000000476837158,1.0,0.02281704516453159,1,1,0,0,0.06458522148830878,0.7000000476837158,recovery_relaxed,0.4122969051003315,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved,recovery_maximin,0.011291570415028443,valid,0.02281704516453159,0.417706781|0.0228170452|0.126035303|0.0757033225|0.144761899|0.130270194,0.567706781|0.172817045|0.276035303|0.225703322|0.294761899|0.280270194,0.537706781|0.142817045|0.246035303|0.195703322|0.264761899|0.250270194,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.035471342|0.193077837|0.226917442|0.204447434,-0.10270812|-0.102559751|-0.126471517|-0.116636628|-0.105582419|-0.108026143,1.568119|-0.0112915704|0.413141038|0.379254499|0.700382621|0.617502065,0.45166865|0.431670576|0.568537891,-0.0165676363|-0.114263542|-0.0526893474,0.010375420562922955,0.0016944920644164085,0.0018147137016057968,0.003424210473895073
9,0.5,-1.0060579602224655,0.5997342467308044,0.3435681462287903,0.17483235895633698,0.5550843477249146,0.35,1,0,0,0,0,0,0,,,,nan,0,0.495895117521286,4.685638427734375,117.96102142333984,0.699999988079071,1.0,0.016029556704019954,1,1,0,0,0.06458522148830878,0.699999988079071,recovery_relaxed,0.20979042352524685,0,0,12,,predictive_link_1,0,1,1,zero_sensitivity; recovery=solved,recovery_maximin,0.03890030083102172,valid,0.016029556704019954,0.412489908|0.0160295567|0.124199288|0.0789170954|0.14942279|0.134375843,0.562489908|0.166029557|0.274199288|0.228917095|0.29942279|0.284375843,0.532489908|0.136029557|0.244199288|0.198917095|0.26942279|0.254375843,0.15|0.15|0.15|0.15|0.15|0.15,0|0|0.0722454244|0.310777202|0.327173605|0.295583657,-0.102328897|-0.103018528|-0.126359212|-0.116043152|-0.105042994|-0.107405572,1.54763073|-0.0389003008|0.442683366|0.510402431|0.819821769|0.725681457,0.450840384|0.425957471|0.565903604,-0.0165676363|-0.114263542|-0.0526893474,0.009826346300542355,0.001740194857120514,0.0017216112464666367,0.0030977437272667885
