step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,30000,0,100,-1.2792355281557914,0.4251303970813751,-174.3753682883902,98.15776880085468,0.4251303970813751,0.14375726878643036,0,0,0.0,0.20000000298023224,100
200,30000,0,200,-0.9624625800717379,0.03984313830733299,-305.9953519497488,124.37492184340954,0.03984313830733299,0.47993502020835876,0,0,0.0,0.20000000298023224,200
300,30000,3,7,-3.950200164665187,3.8766770362854004,-8.793992081972426,7.954196989536285,0.8766770362854004,0.11676152050495148,0,0,0.0,0.20000000298023224,300
400,30000,3,107,-0.4135847137115073,0.13252542912960052,-140.32159786255247,111.00056912750006,0.13252542912960052,0.5819984078407288,0,0,0.0,0.20000000298023224,400
500,30000,3,207,-0.3332847646988973,0.15157006680965424,-190.60665478748638,133.6687279753387,0.15157006680965424,0.5061032772064209,0,0,0.0,0.20000000298023224,500
600,30000,4,67,-0.5514081370889017,0.030146894976496696,-125.61306386835442,100.27192336507142,0.030146894976496696,0.5391125082969666,0,0,0.0,0.20000000298023224,600
700,30000,4,167,-0.3952004468075143,0.2374049425125122,-176.18994628316543,120.88429700396955,0.2374049425125122,0.4177815318107605,0,0,0.0,0.20000000298023224,700
800,30000,6,2,-0.8210392492301825,0.09958440065383911,-1.6478546051753293,0.18815533816814423,0.09958440065383911,0.49644628167152405,0,0,0.0,0.20000000298023224,800
900,30000,8,23,-0.4839288155442103,0.11982906609773636,-10.175621730740422,3.160384587943554,0.11982906609773636,0.38969165086746216,0,0,0.0,0.20000000298023224,900
1000,30000,8,123,-0.646523092332468,0.05495985224843025,-91.33813581346708,30.50885834544897,0.05495985224843025,0.4230162501335144,0,0,0.0,0.19993998110294342,1000
1100,30000,8,223,-0.30682005986002603,0.05898153409361839,-132.7608386317509,34.7638863325119,0.05898153409361839,0.5055531859397888,0,0,0.0,0.19403178989887238,1100
1200,30000,10,19,-0.5849294711324182,0.1931772530078888,-15.911218775855271,4.321853846311569,0.1931772530078888,0.25183454155921936,0,0,0.0,0.188327357172966,1200
1300,30000,11,68,-1.3291407196118792,0.05566316470503807,-144.7443133216291,73.37363887578249,0.05566316470503807,0.42092588543891907,0,0,0.0,0.1828189194202423,1300
1400,30000,11,168,-1.7039090576727358,0.20017099380493164,-317.68693159726575,93.98333561606705,0.20017099380493164,0.2391580194234848,0,0,0.0,0.17745712399482727,1400
1500,30000,12,28,-1.3757654725674096,0.8250405788421631,-25.33434783456883,13.092979356646538,0.8250405788421631,0.12153572589159012,0,0,0.0,0.1722363531589508,1500
1600,30000,14,3,-0.5084054026373219,0.25910884141921997,-1.380526270065835,0.679173469543457,0.25910884141921997,0.30600982904434204,0,0,0.0,0.16718439757823944,1600
1700,30000,15,15,-0.39104654918206283,0.21657580137252808,-5.735608400888751,1.8456027582287788,0.21657580137252808,0.38586661219596863,0,0,0.0,0.16228505969047546,1700
1800,30000,15,115,-0.31605869944591525,0.10696994513273239,-194.4939945254619,169.18102733790874,0.10696994513273239,0.3230942189693451,0,0,0.0,0.15754877030849457,1800
1900,30000,15,215,-0.5636560389417349,0.10512880235910416,-227.64085988127815,174.32889805175364,0.10512880235910416,0.4694932699203491,0,0,0.0,0.15297430753707886,1900
2000,30000,16,75,-0.7613681291824722,0.055812716484069824,-67.31352468226636,22.8695723451674,0.055812716484069824,0.4204860329627991,0,0,0.0,0.14858102798461914,2000
2100,30000,16,175,-1.3042155195494387,0.06082900986075401,-179.3775701583581,42.42952863872051,0.06082900986075401,0.40659573674201965,0,0,0.0,0.1443542242050171,2100
2200,30000,17,35,-3.9757998973826774,3.84979784488678,-64.91308900925782,60.74586249887943,0.8497978448867798,0.021171510219573975,0,0,0.0,0.14029313623905182,2200
2300,30000,17,135,-0.45744729475167134,0.0811939686536789,-199.56054969890755,156.29800025001168,0.0811939686536789,0.6229965090751648,0,0,0.0,0.13640372455120087,2300
2400,30000,17,235,-0.3132976035467954,0.08947459608316422,-259.80048377406143,171.71625608578324,0.08947459608316422,0.34839510917663574,0,0,0.0,0.13267169892787933,2400
2500,30000,20,20,-4.171226058825315,3.8785310983657837,-18.653737448106817,13.093335926532745,0.8785310983657837,0.11062612384557724,0,0,0.0,0.12910877168178558,2500
2600,30000,21,3,-0.5062400316325046,0.09084393084049225,-1.4300260583012774,0.2867901772260666,0.09084393084049225,0.39759549498558044,0,0,0.0,0.12568587064743042,2600
2700,30000,23,7,-0.3395784493089195,0.13526147603988647,-2.3861212385775072,0.9481877014040947,0.13526147603988647,0.35694420337677,0,0,0.0,0.12238553911447525,2700
2800,30000,23,107,-0.7046123786041528,0.18303322792053223,-216.5523770506823,180.21669382601976,0.18303322792053223,0.2508079409599304,0,0,0.0,0.11921104043722153,2800
2900,30000,24,1,-0.8265345164564204,0.20822787284851074,-0.8265345164564204,0.20822787284851074,0.20822787284851074,0.4157031774520874,0,0,0.0,0.11613848060369492,2900
3000,30000,26,19,-0.5303568510994026,0.21278713643550873,-9.953494298545701,3.113723948597908,0.21278713643550873,0.417353093624115,0,0,0.0,0.11318917572498322,3000
