step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,30000,2,18,-1.2526249083248149,0.7204163670539856,-16.227171857848106,7.567737579345703,0.7204163670539856,0.15106527507305145,0,0,0.0,0.20000000298023224,100
200,30000,3,94,-0.412459371408263,0.09242415428161621,-109.86573282477403,90.99655098933727,0.09242415428161621,0.8947502374649048,0,0,0.0,0.20000000298023224,200
300,30000,3,194,-0.5560712849753453,0.04870818927884102,-231.67015546959863,179.3574473792687,0.04870818927884102,0.4433968663215637,0,0,0.0,0.20000000298023224,300
400,30000,5,24,-1.713000945060703,0.9083653688430786,-28.335517125335876,9.696370169520378,0.9083653688430786,0.12003939598798752,0,0,0.0,0.20000000298023224,400
500,30000,8,16,-0.5386989396891093,0.09826339036226273,-8.199204586894007,0.9712505489587784,0.09826339036226273,0.5353033542633057,0,0,0.0,0.20000000298023224,500
600,30000,8,116,-0.6212926081057324,0.34385642409324646,-198.2422900845547,153.84529519826174,0.34385642409324646,0.17025510966777802,0,0,0.0,0.20000000298023224,600
700,30000,8,216,-0.8742517927225961,0.13722388446331024,-279.1241303659565,170.20403204858303,0.13722388446331024,0.294308602809906,0,0,0.0,0.20000000298023224,700
800,30000,10,32,-0.5674241499026519,0.118845134973526,-23.364699885136353,4.409729801118374,0.118845134973526,0.3085310757160187,0,0,0.0,0.20000000298023224,800
900,30000,10,132,-0.9022844567875336,0.08904524892568588,-109.92566145161729,28.85773928463459,0.08904524892568588,0.34908831119537354,0,0,0.0,0.20000000298023224,900
1000,30000,10,232,-0.820241270871403,0.05175435543060303,-180.18092069643714,34.58407793752849,0.05175435543060303,0.4330337643623352,0,0,0.0,0.19993998110294342,1000
1100,30000,13,27,-1.399027627152409,0.7069801688194275,-31.742356668439392,9.862989097833633,0.7069801688194275,0.1471448391675949,0,0,0.0,0.1940554976463318,1100
1200,30000,14,90,-0.7543973495819637,0.35591745376586914,-163.22062227650693,123.78998451679945,0.35591745376586914,0.16593365371227264,0,0,0.0,0.18834713101387024,1200
1300,30000,14,190,-0.42164938527626766,0.02158215641975403,-211.52592782826267,136.3028717637062,0.02158215641975403,0.6384705305099487,0,0,0.0,0.18280571699142456,1300
1400,30000,15,50,-0.40641538672765487,0.12624363601207733,-21.27117174595889,4.914316114038229,0.12624363601207733,0.3081621825695038,0,0,0.0,0.177419513463974,1400
1500,30000,15,150,-0.6813942660420438,0.119416743516922,-89.10976079967635,26.362801637500525,0.119416743516922,0.3078727722167969,0,0,0.0,0.1721893548965454,1500
1600,30000,16,10,-0.7462007191370938,0.3405969440937042,-7.689444832613583,2.844175770878792,0.3405969440937042,0.27113085985183716,0,0,0.0,0.16712307929992676,1600
1700,30000,16,110,-0.6423295007402047,0.19257323443889618,-107.72535675585524,63.2690259590745,0.19257323443889618,0.3859688341617584,0,0,0.0,0.1622265875339508,1700
1800,30000,16,210,-0.38876692604594154,0.11214423179626465,-162.66411071844044,81.603849850595,0.11214423179626465,0.4518299102783203,0,0,0.0,0.15748876333236694,1800
1900,30000,17,70,-0.525117097376296,0.14795991778373718,-183.63203926026068,167.70672677457333,0.14795991778373718,0.27888959646224976,0,0,0.0,0.15291720628738403,1900
2000,30000,17,170,-0.5578574238700935,0.15690560638904572,-224.11578971240976,175.48502380773425,0.15690560638904572,0.35297051072120667,0,0,0.0,0.1484789103269577,2000
2100,30000,18,30,-1.3810040253209948,0.5357009172439575,-32.431122361760174,8.965687431395054,0.5357009172439575,0.18198634684085846,0,0,0.0,0.14418652653694153,2100
2200,30000,21,32,-1.04137573110648,0.10367920994758606,-26.3852416264883,4.51017402112484,0.10367920994758606,0.3544151782989502,0,0,0.0,0.14004549384117126,2200
