step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,lambda,alpha,replay_size
100,30000,1,51,-1.1058328980910583,0.21050392091274261,-210.08177241509725,92.49103909730911,0.21050392091274261,0.23264412581920624,0,0,0.0,0.20000000298023224,100
200,30000,1,151,-0.8098709841139907,0.13738355040550232,-414.63013006598504,160.27361223474145,0.13738355040550232,0.2888311445713043,0,0,0.0,0.20000000298023224,200
300,30000,2,11,-1.381152075272513,0.35944807529449463,-12.761549537062209,3.175141215324402,0.35944807529449463,0.2630411386489868,0,0,0.0,0.20000000298023224,300
400,30000,4,66,-0.803352062094971,0.047449804842472076,-234.54165942063798,100.91395485773683,0.047449804842472076,0.44795364141464233,0,0,0.0,0.20000000298023224,400
500,30000,4,166,-1.6521323820950704,0.4584149718284607,-485.21619690565046,200.07880903966725,0.4584149718284607,0.21891796588897705,0,0,0.0,0.20000000298023224,500
600,30000,5,26,-8.570113430590338,3.8706993460655212,-50.24788626264784,14.523619517683983,0.8706993460655212,0.11452851444482803,0,0,0.0,0.20000000298023224,600
700,30000,5,126,-1.5972420537827363,0.2060236930847168,-318.4327575938297,96.31639098748565,0.2060236930847168,0.2354251593351364,0,0,0.0,0.20000000298023224,700
800,30000,5,226,-2.077834680245526,0.12530894577503204,-510.14670135285917,104.93084550276399,0.12530894577503204,0.36219337582588196,0,0,0.0,0.20000000298023224,800
900,30000,7,17,-1.5195782439701726,0.4776773154735565,-20.381678185969,5.502941593527794,0.4776773154735565,0.23357035219669342,0,0,0.0,0.20000000298023224,900
1000,30000,7,117,-0.7132755731711043,0.20657670497894287,-276.7088061294876,119.34302426874638,0.20657670497894287,0.26641926169395447,0,0,0.0,0.19993998110294342,1000
1100,30000,7,217,-0.9441463965861047,0.42731648683547974,-346.5138700619181,142.19356518611312,0.42731648683547974,0.14611493051052094,0,0,0.0,0.19404977560043335,1100
1200,30000,8,77,-8.14583821992767,3.800000011920929,-191.39355936571258,85.96963765472174,0.800000011920929,0.11939660459756851,0,0,0.0,0.18836352229118347,1200
1300,30000,8,177,-0.772421882240443,0.11760018020868301,-299.18747581910645,111.00485602021217,0.11760018020868301,0.3867572844028473,0,0,0.0,0.18290090560913086,1300
1400,30000,9,37,-26.133819824330775,11.85132908821106,-112.61568649322363,50.185398541390896,0.8513290882110596,0.012300902977585793,0,1,0.0,0.17759418487548828,1400
1500,30000,10,100,-0.9455455823398691,0.06906946748495102,-103.71352462670696,21.17568911612034,0.06906946748495102,0.38677892088890076,0,0,0.0,0.1724659949541092,1500
1600,30000,10,200,-1.2077890525176918,0.016243401914834976,-214.29413390549905,24.43971840105951,0.016243401914834976,0.8335990309715271,0,0,0.0,0.16745895147323608,1600
1700,30000,11,60,-1.079290784913919,0.27702975273132324,-270.0245194705797,116.95035175979137,0.27702975273132324,0.19750875234603882,0,0,0.0,0.1626242697238922,1700
1800,30000,11,160,-1.0831544857185942,0.09214097261428833,-375.0274329218478,140.04641809873283,0.09214097261428833,0.3441774845123291,0,0,0.0,0.15798470377922058,1800
1900,30000,12,20,-1.693823634549757,0.6095006465911865,-22.23845972301862,7.394725143909454,0.6095006465911865,0.17945431172847748,0,0,0.0,0.15348640084266663,1900
2000,30000,13,87,-8.31544432495577,3.825525403022766,-245.35255215794368,104.04989033937454,0.8255254030227661,0.010839411988854408,0,0,0.0,0.14916472136974335,2000
2100,30000,14,99,-1.1790247030579224,0.418193519115448,-396.25714501706034,186.95002189278603,0.418193519115448,0.14580397307872772,0,0,0.0,0.14503119885921478,2100
2200,30000,14,199,-0.2871551888814167,0.11224906891584396,-451.20980986888185,201.93409926258028,0.11224906891584396,0.5320462584495544,0,0,0.0,0.14102508127689362,2200
2300,30000,15,59,-0.9025786720032375,0.2967888414859772,-50.24068920894444,15.339602380990982,0.2967888414859772,0.1887868046760559,0,0,0.0,0.13714666664600372,2300
2400,30000,16,75,-0.6332093972011696,0.04589269310235977,-84.9074468964344,24.306547716259956,0.04589269310235977,0.45384272933006287,0,0,0.0,0.13337959349155426,2400
2500,30000,16,175,-0.7491712477707188,0.06644241511821747,-193.09090528022625,44.447961054742336,0.06644241511821747,0.39274847507476807,0,0,0.0,0.12972645461559296,2500
2600,30000,17,35,-7.743782647557585,3.8371222019195557,-94.45806061735324,45.73998749256134,0.8371222019195557,0.035410016775131226,0,0,0.0,0.12618732452392578,2600
2700,30000,20,16,-1.7588107280142893,0.7336122989654541,-18.94709909183357,6.990698665380478,0.7336122989654541,0.15663765370845795,0,0,0.0,0.1227656900882721,2700
2800,30000,21,85,-8.154226812266387,3.800000011920929,-276.8862457029994,119.01395562291145,0.800000011920929,0.05307283625006676,0,0,0.0,0.11945236474275589,2800
2900,30000,21,185,-0.8477415732281705,0.06477254629135132,-585.5532804698968,241.7959768101573,0.06477254629135132,0.39670342206954956,0,0,0.0,0.11626835912466049,2900
3000,30000,22,45,-7.647210507426226,3.800000011920929,-194.31235126096044,90.05030682682991,0.800000011920929,0.04982176050543785,0,0,0.0,0.11316774785518646,3000
3100,30000,22,145,-1.3761239944509365,0.037346962839365005,-291.8309068902387,114.250762777403,0.037346962839365005,0.5292431116104126,0,0,0.0,0.11018460243940353,3100
3200,30000,23,5,-0.37169050314497354,0.16573716700077057,-1.9994324366491245,0.7261780425906181,0.16573716700077057,0.3727474510669708,0,0,0.0,0.10729950666427612,3200
3300,30000,23,105,-1.3849049129227309,0.020230598747730255,-92.02708807615385,11.023250080645084,0.020230598747730255,0.6657532453536987,0,0,0.0,0.10449772328138351,3300
3400,30000,23,205,-0.9642499492427967,0.08097122609615326,-199.28694089309138,21.23436195217073,0.08097122609615326,0.4011722505092621,0,0,0.0,0.10177412629127502,3400
3500,30000,24,65,-2.8264018972327585,0.04635036364197731,-63.259995500324465,7.921831212937832,0.04635036364197731,0.4520815908908844,0,0,0.0,0.0991215854883194,3500
3600,30000,24,165,-2.3539464762460556,0.05491173639893532,-377.3553701861356,16.041426757350564,0.05491173639893532,0.5740863680839539,0,0,0.0,0.09653833508491516,3600
3700,30000,25,25,-2.0337614059102274,0.25701284408569336,-34.28658404774043,5.065867841243744,0.25701284408569336,0.27279436588287354,0,0,0.0,0.09403450042009354,3700
3800,30000,25,125,-4.33838928889536,0.2930592894554138,-275.0307414265381,22.565201183781028,0.2930592894554138,0.28348344564437866,0,0,0.0,0.09159544855356216,3800
3900,30000,25,225,-3.665609561751736,0.31716352701187134,-745.04682526699,42.67305590957403,0.31716352701187134,0.2836562693119049,0,0,0.0,0.08924584835767746,3900
4000,30000,26,85,-0.7328326571462105,0.024851884692907333,-65.2802166016832,18.75543254800141,0.024851884692907333,0.5904578566551208,0,0,0.0,0.08698627352714539,4000
4100,30000,26,185,-2.0775381388674647,0.4087328612804413,-223.47118251598252,27.73604300431907,0.4087328612804413,0.3392648696899414,0,0,0.0,0.08476778119802475,4100
4200,30000,27,45,-1.047658022948009,0.3772764801979065,-34.81898836554615,14.276442468166351,0.3772764801979065,0.18970413506031036,0,0,0.0,0.08260282129049301,4200
4300,30000,27,145,-2.2073412412247198,0.2337965965270996,-181.04211827581844,30.278645804151893,0.2337965965270996,0.2691073417663574,0,0,0.0,0.08050272613763809,4300
4400,30000,28,5,-0.76551569302937,0.28545427322387695,-3.7011745797661804,1.2605767250061035,0.28545427322387695,0.3788890838623047,0,0,0.0,0.07846686989068985,4400
4500,30000,28,105,-1.7547836569302717,0.2864014506340027,-154.9096010103679,19.67045772820711,0.2864014506340027,0.19329284131526947,0,0,0.0,0.07645745575428009,4500
4600,30000,28,205,-0.9230573164478739,0.2931235432624817,-235.00769449213914,30.187280140817165,0.2931235432624817,0.35225725173950195,0,0,0.0,0.07449789345264435,4600
4700,30000,29,65,-2.0200395896569274,0.026679515838623047,-86.73138145659085,7.791086150333285,0.026679515838623047,0.570158064365387,0,0,0.0,0.07259508967399597,4700
4800,30000,29,165,-4.348809790039151,0.026637425646185875,-347.3427223849741,28.923902483657002,0.026637425646185875,0.5705889463424683,0,0,0.0,0.07074583321809769,4800
4900,30000,30,25,-2.589462771638587,0.44443488121032715,-46.5474976674827,8.462306037545204,0.44443488121032715,0.18650679290294647,0,0,0.0,0.06895233690738678,4900
5000,30000,30,125,-0.8564507508296881,0.06285598874092102,-188.8670893820767,20.956444760784507,0.06285598874092102,0.4127553701400757,0,0,0.0,0.06719960272312164,5000
5100,30000,30,225,-0.8778421628658589,0.016238665208220482,-258.8115351926767,25.10411032475531,0.016238665208220482,0.8340346217155457,0,0,0.0,0.06549549847841263,5100
