episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,9001,configs/experiments/reaching_recovery/manifests/v1_final.json,24.848688494245252,0.0,18,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04731103405356407,0.9,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2909066246615516,2.653120994567871,46.628963470458984,0,0,0,0.0,0,nan
1,9002,configs/experiments/reaching_recovery/manifests/v1_final.json,23.50092939364873,0.0,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.046728260815143585,0.7000000000000001,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18858515763921396,2.0943479537963867,41.50883483886719,0,0,0,0.0,0,nan
2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,22.933324343823184,0.0,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0467493049800396,0.4,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28162495605647564,2.6134181022644043,51.04875946044922,0,0,0,0.0,0,nan
3,9004,configs/experiments/reaching_recovery/manifests/v1_final.json,23.265125517895648,0.0,25,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03403298556804657,1.25,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20433798879384996,2.039750576019287,37.15415573120117,0,0,0,0.0,0,nan
4,9005,configs/experiments/reaching_recovery/manifests/v1_final.json,24.832097921658153,0.0,12,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04682672396302223,0.6000000000000001,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.396212849766016,3.5099141597747803,59.36991882324219,0,0,0,0.0,0,nan
5,9006,configs/experiments/reaching_recovery/manifests/v1_final.json,23.33641102794093,0.0,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05466429516673088,0.45,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2429690601097213,2.4518978595733643,46.58018493652344,0,0,0,0.0,0,nan
6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,25.51408738199532,0.0,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05238252878189087,0.65,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3304621370939108,2.9746956825256348,49.90968704223633,0,0,0,0.0,0,nan
7,9008,configs/experiments/reaching_recovery/manifests/v1_final.json,24.310206236271746,0.0,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05306185781955719,0.45,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37466855347156525,3.458561897277832,55.953365325927734,0,0,0,0.0,0,nan
8,9009,configs/experiments/reaching_recovery/manifests/v1_final.json,25.71613714284806,0.0,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03036114014685154,0.7000000000000001,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28269373971436706,2.68365216255188,37.2685432434082,0,0,0,0.0,0,nan
9,9010,configs/experiments/reaching_recovery/manifests/v1_final.json,23.20791998429521,0.0,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.047475285828113556,0.5,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28432599157094957,2.743036985397339,50.5952033996582,0,0,0,0.0,0,nan
10,9011,configs/experiments/reaching_recovery/manifests/v1_final.json,24.222939165309853,0.0,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04999357461929321,0.7000000000000001,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27180542637194904,2.526266574859619,41.46839141845703,0,0,0,0.0,0,nan
11,9012,configs/experiments/reaching_recovery/manifests/v1_final.json,24.489403578454397,0.0,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.048305682837963104,0.65,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.33639945777562946,2.9103171825408936,49.74241638183594,0,0,0,0.0,0,nan
12,9013,configs/experiments/reaching_recovery/manifests/v1_final.json,24.967520264781506,0.0,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.030838798731565475,0.55,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32381700995293533,2.9741897583007812,42.38588333129883,0,0,0,0.0,0,nan
13,9014,configs/experiments/reaching_recovery/manifests/v1_final.json,21.65561174530122,0.0,6,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05323189124464989,0.30000000000000004,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3705778395136197,3.4302101135253906,64.33431243896484,0,0,0,0.0,0,nan
14,9015,configs/experiments/reaching_recovery/manifests/v1_final.json,21.272083422352885,0.0,4,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05315057933330536,0.2,1.5,0.0,0.0,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3307945355772972,2.878460168838501,60.95540237426758,0,0,0,0.0,0,nan
