episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
4454,550240,736110023,random,,-58.81740541584227,13.278289418667555,240,0,0,0,0,0,0,,0.0,0.4183281660079956,0.05532620591111481,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4455,550252,1981602256,random,,25.022630613422635,0.5291407480835915,12,1,0,0,0,0,0,,0.0,0.4083733856678009,0.044095062340299286,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4456,550492,9060,focused,1714913035,-135.8458123885492,65.2728585973382,240,0,0,0,0,0,0,,0.0,0.17149850726127625,0.27197024415557586,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4457,550502,1543517874,random,,21.928597154313234,0.6687526069581509,10,1,0,0,0,0,0,,0.0,0.5180602073669434,0.06687526069581509,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4458,550519,1502236952,random,,18.71078525437698,4.032770775258541,17,1,0,0,0,0,0,,0.0,0.2976444363594055,0.23722181030932596,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4459,550532,1059227650,random,,23.340162790187147,1.1158884465694427,13,1,0,0,0,0,0,,0.0,0.2863006591796875,0.08583757281303406,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4460,550556,1007083482,random,,23.438452221201487,1.5782887749373913,24,1,0,0,0,0,0,,0.0,0.4782346189022064,0.06576203228905797,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4461,550796,9022,focused,963896805,-82.5715729906453,27.136786809191108,240,0,0,0,0,0,0,,0.0,0.28815141320228577,0.11306994503829629,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4462,550823,9006,focused,706831076,3.037852706703198,10.894447177648544,27,1,0,0,0,0,0,,0.0,0.17028465867042542,0.40349804361661273,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4463,550848,1396673577,random,,21.06229928409129,2.2408387884497643,25,1,0,0,0,0,0,,0.0,0.21533989906311035,0.08963355153799057,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4464,551088,9143,focused,1086085524,-191.5222109945659,85.81797274947166,240,0,0,0,0,0,0,,0.0,0.14773254096508026,0.35757488645613195,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4465,551328,9143,focused,707771325,-168.48141631199823,71.21312487125397,240,0,0,0,0,0,0,,0.0,0.1738021820783615,0.29672135363022484,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4466,551354,9027,focused,193942115,10.089224375331957,8.018339805305004,26,1,0,0,0,0,0,,0.0,0.21137087047100067,0.30839768481942326,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4467,551594,9021,focused,1656426838,-47.29257132709973,10.83106736280024,240,0,0,0,0,0,0,,0.0,0.18229345977306366,0.045129447345001,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4468,551602,892501251,random,,23.95410752422646,0.4080698750913143,8,1,0,0,0,0,0,,0.0,0.42263251543045044,0.05100873438641429,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4469,551631,9062,focused,59158740,7.095448408033297,9.18834250420332,29,1,0,0,0,0,0,,0.0,0.2106526643037796,0.31683939669666616,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4470,551871,9033,focused,1346706798,-117.02420749736244,45.25267747789621,240,0,0,0,0,0,0,,0.0,0.21111604571342468,0.18855282282456756,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4471,551894,1884295806,random,,18.708496972044852,4.32838961482048,23,1,0,0,0,0,0,,0.0,0.3984468877315521,0.18819085281828177,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4472,551902,922377205,random,,24.151015725145207,0.5185806266963482,8,1,0,0,0,0,0,,0.0,0.380196213722229,0.06482257833704352,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4473,551923,806645158,random,,23.808210413985762,2.0817265063524246,21,1,0,0,0,0,0,,0.0,0.41867491602897644,0.09912983363582975,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4474,551929,446930731,random,,24.551850880350944,0.4929014518857002,6,1,0,0,0,0,0,,0.0,0.34896013140678406,0.08215024198095004,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4475,551949,817826223,random,,23.677268861446667,1.8207272738218307,20,1,0,0,0,0,0,,0.0,0.4893776774406433,0.09103636369109154,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4476,552189,1274428858,random,,-30.27594333270253,15.838448792696,240,0,0,0,0,0,0,,0.0,0.3636453449726105,0.06599353663623334,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4477,552429,9142,focused,1556553891,-61.04397592333383,10.890077874064445,240,0,0,0,0,0,0,,0.0,0.44690853357315063,0.04537532447526852,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4478,552669,9120,focused,1532637027,-47.27696611348876,8.376079265028238,240,0,0,0,0,0,0,,0.0,0.5265322923660278,0.03490033027095099,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4479,552675,896663995,random,,24.305923329342537,0.5281567797064781,6,1,0,0,0,0,0,,0.0,0.30926328897476196,0.08802612995107968,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4480,552687,1477550020,random,,24.135266607186374,0.6874660477042198,12,1,0,0,0,0,0,,0.0,0.45309096574783325,0.05728883730868498,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4481,552927,131088633,random,,-105.71192265062506,46.40908066928387,240,0,0,0,0,0,0,,0.0,0.2155105322599411,0.19337116945534943,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4482,553167,9060,focused,1494776418,-200.19155989570498,98.54493773728609,240,0,0,0,0,0,0,,0.0,0.13862097263336182,0.41060390723869206,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4483,553179,1255677915,random,,25.009213235346245,0.39651939645409584,12,1,0,0,0,0,0,,0.0,0.5649299025535583,0.03304328303784132,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4484,553419,9136,focused,2023866047,-92.89084854429127,43.55885177850723,240,0,0,0,0,0,0,,0.0,0.191749706864357,0.18149521574378014,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4485,553659,9112,focused,805519614,-134.90616895094215,60.09659127891064,240,0,0,0,0,0,0,,0.0,0.20889970660209656,0.25040246366212765,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4486,553674,845078688,random,,25.860590108003528,0.7807635422796011,15,1,0,0,0,0,0,,0.0,0.32726433873176575,0.052050902818640075,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
4487,553704,1204326425,random,,24.75228944024102,1.1221427470445633,30,1,0,0,0,0,0,,0.0,0.3358140289783478,0.03740475823481878,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.004364592954516411
