step,total_steps,episode,reset_seed,reset_source,reset_jitter_seed,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha,loss_actor,loss_actor_anchor,loss_reward_q,loss_cost_q,replay_size
440500,560000,6,1625655488,random,,173,-0.66897596780513,0.5489392876625061,-67.1617593819148,37.67025226727128,0.5489392876625061,0.16181230545043945,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,500
441000,560000,20,9024,focused,209400731,209,-0.2529216597962821,0.11573522537946701,-34.600124296856315,24.036464028060436,0.11573522537946701,0.33547741174697876,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,1000
441500,560000,23,622667436,random,,216,-0.3534386848693714,0.23373059928417206,-60.19439928270199,49.83345985412598,0.23373059928417206,0.2191770374774933,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,1500
442000,560000,31,9198,focused,1783629316,136,-0.10355705594452219,0.04063628241419792,-9.218141762489271,8.124408710747957,0.04063628241419792,0.4761732816696167,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,2000
442500,560000,50,392365970,random,,11,0.4686379937036165,0.03692483901977539,0.6535028528858939,0.6359745487570763,0.03692483901977539,0.49488943815231323,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,2500
443000,560000,68,490290659,random,,15,0.03548160704135339,0.13079991936683655,-0.8255365095976542,2.567779302597046,0.13079991936683655,0.36053666472435,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,3000
443500,560000,73,9024,focused,152517424,214,-0.157786076416158,0.12342675030231476,-44.741573924805955,35.60875232517719,0.12342675030231476,0.30335330963134766,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,3500
444000,560000,77,1014280929,random,,212,-0.3792458000580196,0.13777992129325867,-38.03310687384057,33.91132169961929,0.13777992129325867,0.2985059320926666,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,4000
444500,560000,85,495072473,random,,115,-0.584560919166238,0.3293173909187317,-45.136716988501185,39.945529878139496,0.3293173909187317,0.17568019032478333,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,4500
445000,560000,101,1583610324,random,,106,-0.21717012289394633,0.25828805565834045,-38.86479346259493,35.90267142653465,0.25828805565834045,0.2064119279384613,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.20000000298023224,nan,nan,nan,nan,5000
