episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
1,420240,2098830997,random,,-7.240920386988336,8.462008960545063,240,0,0,0,0,0,0,,0.0,0.4719763994216919,0.035258370668937764,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
2,420253,1419069412,random,,26.683560337389153,1.174582127481699,13,1,0,0,0,0,0,,0.0,0.517312228679657,0.09035247134474608,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
3,420275,9025,focused,542399092,26.74331830847069,1.8664880767464638,22,1,0,0,0,0,0,,0.0,0.40178215503692627,0.08484036712483926,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
4,420296,9115,focused,1317592925,25.10682820998878,2.4376997649669647,21,1,0,0,0,0,0,,0.0,0.2128526121377945,0.11608094118890308,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
5,420317,272859327,random,,23.07215423239582,4.014601208269596,21,1,0,0,0,0,0,,0.0,0.25628089904785156,0.191171486108076,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
6,420327,1451797765,random,,23.88683990215403,1.2940586432814598,10,1,0,0,0,0,0,,0.0,0.26836952567100525,0.129405864328146,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
7,420345,9051,focused,500394334,25.70012165510854,0.5764866899698973,18,1,0,0,0,0,0,,0.0,0.5125629901885986,0.032027038331660956,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
8,420354,1362353811,random,,24.6523369856908,2.067279577255249,9,1,0,0,0,0,0,,0.0,0.36591851711273193,0.22969773080613878,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
9,420594,9176,focused,1149936919,-212.99409415805852,29.720929311588407,240,0,0,0,0,0,0,,0.0,0.19987955689430237,0.1238372054649517,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
10,420604,9090,focused,1226160575,25.055055411727462,0.7559631131589413,10,1,0,0,0,0,0,,0.0,0.5063915252685547,0.07559631131589413,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
11,420844,70578967,random,,-90.37011221833993,62.05527623742819,240,0,0,0,0,0,0,,0.0,0.1995905637741089,0.25856365098928413,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
12,420853,9114,focused,125792136,23.317987096934452,2.073070213198662,9,1,0,0,0,0,0,,0.0,0.3029475212097168,0.2303411347998513,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
13,420866,890837132,random,,25.80801116380414,0.3293219730257988,13,1,0,0,0,0,0,,0.0,0.5641962289810181,0.025332459463522985,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
14,420874,1142667653,random,,26.63463077241463,1.0027347523719072,8,1,0,0,0,0,0,,0.0,0.5583152770996094,0.1253418440464884,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
15,420882,1273240508,random,,25.344938117434317,0.5014907494187355,8,1,0,0,0,0,0,,0.0,0.3291224539279938,0.06268634367734194,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
16,420896,1949699893,random,,26.716414691308145,0.8401863221079111,14,1,0,0,0,0,0,,0.0,0.6218472719192505,0.060013308721993654,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.20000000298023224
