episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,9007,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,16.405096650158026,4.4266339391469955,18,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04577530547976494,0.9,0.2610340416431427,0.24592410773038864,0.3768217861652374,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.29024434710542363,2.7458715438842773,44.96322250366211,0,0,0,0.0,0,nan
1,9015,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,-198.16478993749902,96.51576992869377,480,0,0,0,0,0,0,,any,0,0,,,nan,0,0.07977128028869629,24.0,0.23367393016815186,0.20107452068477868,0.3199590742588043,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.025375992089766916,0.7438417673110962,28.215234756469727,0,0,0,0.0,0,nan
2,9023,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,9.957573592455809,7.031438007950783,25,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03272637724876404,1.25,0.25970855355262756,0.2812575203180313,0.392083078622818,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22995209455490112,2.2078871726989746,35.3978157043457,0,0,0,0.0,0,nan
3,9024,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,10.144003258249795,6.61554629355669,30,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05392821878194809,1.5,0.2932712435722351,0.22051820978522302,0.3614884316921234,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22777032914261022,2.168609380722046,32.81162643432617,0,0,0,0.0,0,nan
4,9029,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,24.094627775297177,0.8894565589725971,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.045037541538476944,0.45,0.2991284132003784,0.0988285065525108,0.17316319048404694,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.388856945766343,3.503056764602661,55.98945617675781,0,0,0,0.0,0,nan
5,9031,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,17.002801071758267,3.224972054362297,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05113869160413742,0.65,0.26549944281578064,0.24807477341248438,0.39605820178985596,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3204616950108455,2.887331962585449,49.8310432434082,0,0,0,0.0,0,nan
6,9051,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,23.138690024765648,0.3556211367249489,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.049955036491155624,0.5,0.4862722158432007,0.035562113672494886,0.038561929017305374,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32791575640439985,2.8033254146575928,42.08267593383789,0,0,0,0.0,0,nan
7,9055,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,16.59739404612729,3.853181630373001,18,1,0,0,0,0,0,,any,0,0,,,nan,0,0.041479356586933136,0.9,0.39036136865615845,0.2140656461318334,0.2976645529270172,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21990859073897204,2.2673346996307373,37.85258102416992,0,0,0,0.0,0,nan
8,9059,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,24.150507615039235,0.6076126266270876,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04305671155452728,0.8500000000000001,0.35878854990005493,0.03574191921335809,0.08329035341739655,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22985132827478297,2.3008065223693848,37.59517288208008,0,0,0,0.0,0,nan
9,9072,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,23.79329094755489,0.3889629505574703,12,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04282722249627113,0.6000000000000001,0.4996981620788574,0.032413579213122524,0.036061111837625504,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3080840694407622,2.6955604553222656,40.528709411621094,0,0,0,0.0,0,nan
10,9096,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,18.51164427071369,3.4109907411038876,21,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04327211156487465,1.05,0.31333354115486145,0.16242813052875654,0.2516602575778961,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.1574630370097501,1.8243509531021118,33.45649337768555,0,0,0,0.0,0,nan
11,9107,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,14.106231317578471,5.569340765476227,12,1,0,0,0,0,0,,any,0,0,,,nan,0,0.045360077172517776,0.6000000000000001,0.1762790083885193,0.46411173045635223,0.5108909010887146,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.31802268512547016,3.049999713897705,50.74364471435547,0,0,0,0.0,0,nan
12,9114,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,17.631802565422223,2.7518212348222733,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.049684710800647736,0.5,0.2826395332813263,0.2751821234822273,0.38336530327796936,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2903310045599937,2.7804298400878906,53.40970230102539,0,0,0,0.0,0,nan
13,9118,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,22.516498952436958,0.23818383738398552,7,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04120606556534767,0.35000000000000003,0.5016088485717773,0.0340262624834265,0.03572741523385048,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3703587204217911,3.260106325149536,58.169185638427734,0,0,0,0.0,0,nan
14,9122,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,15.46184604263269,5.382714673876762,15,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05004982650279999,0.75,0.21405935287475586,0.3588476449251175,0.4890107214450836,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2964469641447067,2.7779183387756348,52.152557373046875,0,0,0,0.0,0,nan
15,9125,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,20.62814889492007,0.9929087683558464,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05170667544007301,0.5,0.285675972700119,0.09929087683558464,0.14064577221870422,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28239733800292016,2.8042261600494385,47.08372116088867,0,0,0,0.0,0,nan
16,9140,configs/experiments/reaching_incremental/manifests/s1_r3_candidate_failure_v2.json,13.977209490072816,5.248822316527367,21,1,0,0,0,0,0,,any,0,0,,,nan,0,0.052486028522253036,1.05,0.23176605999469757,0.2499439198346365,0.38102132081985474,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.14101322633879526,1.7540698051452637,31.995948791503906,0,0,0,0.0,0,nan
