episode,step,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,320131,14.24258563769314,4.223298540338874,131,1,0,0,0,0,0,,0.0,0.4450129568576813,0.03223892015525858,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.20000000298023224
2,320147,21.229181075065274,1.0530558377504349,16,1,0,0,0,0,0,,0.0,0.2805147171020508,0.06581598985940218,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.20000000298023224
3,320387,-176.25310657523517,44.5201165471226,240,0,0,0,0,0,0,,0.0,0.19480197131633759,0.18550048561301083,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.19201260805130005
4,320405,18.15742340526524,1.9456689469516277,18,1,0,0,0,0,0,,0.0,0.43593159317970276,0.10809271927509043,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1909952610731125
5,320645,-133.06799766704086,16.406304178759456,240,0,0,0,0,0,0,,0.0,0.3637418746948242,0.06835960074483106,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1784275621175766
6,320885,-46.72329954718442,14.168140694499016,240,0,0,0,0,0,0,,0.0,0.37343108654022217,0.05903391956041257,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1675182282924652
7,321125,-139.01851246482863,30.443665198981762,240,0,0,0,0,0,0,,0.0,0.14161503314971924,0.12684860499575734,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.15694880485534668
8,321319,-279.2990555089975,59.853911608457565,194,1,0,0,0,0,0,,0.05154639175257732,0.07744631916284561,0.15388614231163694,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.14860320091247559
9,321559,-526.803815701647,203.78284562379122,240,0,0,0,0,0,0,,0.1625,0.030549297109246254,0.36159519009913005,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.13893568515777588
10,321799,-682.6156053394926,8.655219966545701,240,0,0,0,0,0,0,,0.0,0.41216710209846497,0.03606341652727375,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.1300506889820099
11,322039,-255.56309623772756,20.183045633137226,240,0,0,0,0,0,0,,0.0,0.2872230112552643,0.08409602347140512,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.12149817496538162
12,322279,-139.9597548226929,7.806456629186869,240,0,0,0,0,0,0,,0.0,0.41826292872428894,0.03252690262161195,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.11342379450798035
13,322519,-205.2423901662443,8.756385317072272,240,0,0,0,0,0,0,,0.0,0.45009109377861023,0.03648493882113447,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.10586985945701599
14,322759,-200.34676970652527,9.020337834954262,240,0,0,0,0,0,0,,0.0,0.4393712878227234,0.03758474097897609,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0987343043088913
15,322999,-243.90766970904832,8.941260809078813,240,0,0,0,0,0,0,,0.0,0.5448898077011108,0.03725525337116172,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.09203009307384491
16,323239,-234.7498112297787,11.90217654965818,240,0,0,0,0,0,0,,0.0,0.329479843378067,0.049592402290242414,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.08594338595867157
17,323242,20.00263153848949,0.16367587074637413,3,1,0,0,0,0,0,,0.0,0.4187236726284027,0.05455862358212471,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.08587116003036499
18,323482,-75.06491307992931,11.782728251069784,240,0,0,0,0,0,0,,0.0,0.40707889199256897,0.0490947010461241,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.08031383901834488
19,323722,-126.80475381819427,11.043113827705383,240,0,0,0,0,0,0,,0.0,0.2715241611003876,0.04601297428210576,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.07525455951690674
20,323962,-71.14418131429397,7.655853528529406,240,0,0,0,0,0,0,,0.0,0.428679496049881,0.031899389702205856,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.07058091461658478
21,324202,-120.11902425626761,21.23309113830328,240,0,0,0,0,0,0,,0.0,0.269498348236084,0.08847121307626367,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0663023442029953
22,324442,-78.32861965505128,10.84454252757132,240,0,0,0,0,0,0,,0.0,0.3379373252391815,0.045185593864880504,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.06238849088549614
23,324682,-63.11139420539093,13.387951001524925,240,0,0,0,0,0,0,,0.0,0.4024629294872284,0.05578312917302052,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.05873539671301842
24,324922,-37.80659943824981,8.811557359993458,240,0,0,0,0,0,0,,0.0,0.3702618181705475,0.03671482233330607,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.05538546293973923
25,325162,-103.98472463613791,29.32606647349894,240,0,0,0,0,0,0,,0.0,0.23424860835075378,0.12219194363957891,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.052246108651161194
26,325402,-90.47380990468349,22.991114566102624,240,0,0,0,0,0,0,,0.0,0.2632542550563812,0.09579631069209427,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.04928503930568695
27,325642,-28.34718035278798,9.539748707786202,240,0,0,0,0,0,0,,0.0,0.47199493646621704,0.03974895294910918,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.04644160345196724
28,325882,-115.91208660691173,23.94713324122131,240,0,0,0,0,0,0,,0.0,0.1880827248096466,0.09977972183842213,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.04376640170812607
29,326122,-133.28707270308934,25.192786671221256,240,0,0,0,0,0,0,,0.0,0.2755647599697113,0.10496994446342191,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.04125817492604256
30,326362,-89.04226894074075,25.457324534654617,240,0,0,0,0,0,0,,0.0,0.21752123534679413,0.1060721855610609,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.03893975913524628
31,326602,-135.11365039470164,17.597614344209433,240,0,0,0,0,0,0,,0.0,0.2999838590621948,0.07332339310087263,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.03676517307758331
32,326842,-114.3419217256341,22.62650678679347,240,0,0,0,0,0,0,,0.0,0.29697152972221375,0.09427711161163946,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.034750405699014664
33,327082,-167.05900368740433,64.93888285011053,240,0,0,0,0,0,0,,0.0,0.1583440750837326,0.2705786785421272,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.03279029205441475
34,327322,-64.0168093138256,19.431484557688236,240,0,0,0,0,0,0,,0.0,0.31117838621139526,0.08096451899036765,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.03099869377911091
35,327562,-39.08748894268122,8.327551499009132,240,0,0,0,0,0,0,,0.0,0.48268476128578186,0.034698131245871386,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.029354482889175415
36,327802,-97.0692871845451,12.36454363539815,240,0,0,0,0,0,0,,0.0,0.4364020526409149,0.05151893181415896,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.027801331132650375
37,328042,-43.23947907127894,7.925034878775477,240,0,0,0,0,0,0,,0.0,0.4429844915866852,0.03302097866156449,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.026355724781751633
38,328282,-185.03797699423393,18.83962820842862,240,0,0,0,0,0,0,,0.0,0.2752610445022583,0.07849845086845259,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.02495609223842621
39,328522,-145.14048317916243,17.495715744793415,240,0,0,0,0,0,0,,0.0,0.3351992070674896,0.0728988156033059,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.02364218607544899
40,328762,-128.8363247199907,37.649899646639824,240,0,0,0,0,0,0,,0.0,0.1848154217004776,0.15687458186099926,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.02239963784813881
41,329002,-107.35959248294071,14.687148220837116,240,0,0,0,0,0,0,,0.0,0.3886905610561371,0.06119645092015465,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.02128423936665058
42,329242,-143.5182816304987,9.24017202667892,240,0,0,0,0,0,0,,0.0,0.2390219271183014,0.03850071677782883,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.020247194916009903
43,329482,-135.853443694107,36.73310657590628,240,0,0,0,0,0,0,,0.0,0.21249495446681976,0.15305461073294283,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01926061511039734
44,329722,-442.22731677324197,19.56015956774354,240,0,0,0,0,0,0,,0.0,0.3065127730369568,0.08150066486559808,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.018421849235892296
45,329961,-34.54620384804893,14.457829017192125,239,1,0,0,0,0,0,,0.0,0.14174780249595642,0.060493008440134416,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01765126734972
46,330201,-175.64903817793575,6.962774971500039,240,0,0,0,0,0,0,,0.0,0.4355268180370331,0.029011562381250165,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.016924994066357613
47,330441,-24.114280436553308,7.953159073367715,240,0,0,0,0,0,0,,0.0,0.422572523355484,0.03313816280569881,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01627253368496895
48,330563,-18.781859578641825,12.060124633833766,122,1,0,0,0,0,0,,0.0,0.2846498489379883,0.0988534806051948,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015981148928403854
49,330803,-242.94706432146126,67.71886668726802,240,0,0,0,0,0,0,,0.0375,0.021799271926283836,0.1696619445302834,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015522097237408161
50,331043,-93.42113792822435,27.497175328433514,240,0,0,0,0,0,0,,0.0,0.2525376081466675,0.11457156386847298,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.015098195523023605
51,331160,4.097705756379298,5.027677267789841,117,1,0,0,0,0,0,,0.0,0.42686334252357483,0.042971600579400346,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014949310570955276
52,331400,-58.992082958749194,12.657987844198942,240,0,0,0,0,0,0,,0.0,0.19382846355438232,0.05274161601749559,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014788339845836163
53,331640,-20.254359612063805,7.261688457801938,240,0,0,0,0,0,0,,0.0,0.32496216893196106,0.030257035240841407,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014583337120711803
54,331880,-87.6935157566218,19.346911538392305,240,0,0,0,0,0,0,,0.0,0.33570075035095215,0.08061213140996794,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014397203922271729
55,332020,-19.639430915537513,5.41861323826015,140,1,0,0,0,0,0,,0.0,0.48623400926589966,0.038704380273286786,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014364679343998432
56,332260,-88.75017779711453,13.806081991642714,240,0,0,0,0,0,0,,0.0,0.34673404693603516,0.05752534163184464,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014402313157916069
57,332500,-40.70893713282943,8.28768908791244,240,0,0,0,0,0,0,,0.0,0.3702189028263092,0.03453203786630184,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014436856843531132
58,332740,-135.67468092679906,47.55399736016989,240,0,0,0,0,0,0,,0.0,0.2263266146183014,0.19814165566737454,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014464412815868855
59,332754,22.137932189612393,0.8428731001913548,14,1,0,0,0,0,0,,0.0,0.3117275536060333,0.06020522144223962,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014468420296907425
60,332994,-162.00547909092936,41.24522789567709,240,0,0,0,0,0,0,,0.0,0.1934644728899002,0.17185511623198788,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014681534841656685
61,333234,-52.24634034670062,16.501041572541,240,0,0,0,0,0,0,,0.0,0.33798277378082275,0.06875433988558749,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014782600104808807
62,333474,-118.11073534881808,16.307801868766546,240,0,0,0,0,0,0,,0.0,0.290292888879776,0.06794917445319394,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014746983535587788
63,333714,-197.31610336460832,17.10154515504837,240,0,0,0,0,0,0,,0.0,0.23248738050460815,0.07125643814603487,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014588950201869011
64,333954,-67.56318425631349,9.678564393892884,240,0,0,0,0,0,0,,0.0,0.41390782594680786,0.04032735164122035,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014460260979831219
65,334194,-171.3198833225532,21.2362812012434,240,0,0,0,0,0,0,,0.0,0.2092122584581375,0.08848450500518083,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014316976070404053
66,334331,6.87516195415871,5.283177088946104,137,1,0,0,0,0,0,,0.0,0.40556958317756653,0.03856333641566499,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014300206676125526
67,334571,-105.85797296715585,29.482009574770927,240,0,0,0,0,0,0,,0.0,0.2672711908817291,0.12284170656154553,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014337929897010326
68,334811,-41.05563859931049,7.404374970123172,240,0,0,0,0,0,0,,0.0,0.5547924041748047,0.030851562375513217,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014396545477211475
69,335051,-58.52915996171443,11.959546778351068,240,0,0,0,0,0,0,,0.0,0.2655981183052063,0.049831444909796116,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014388523064553738
70,335080,19.322811134035366,1.8590078745037317,29,1,0,0,0,0,0,,0.0,0.27450111508369446,0.06410371981047351,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014396456070244312
71,335118,17.987791656998706,2.5277304016053677,38,1,0,0,0,0,0,,0.0,0.24431192874908447,0.0665192210948781,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014436588622629642
72,335233,11.993044497279646,4.144582213833928,115,1,0,0,0,0,0,,0.0,0.3154170513153076,0.03603984533768633,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014507916755974293
73,335473,-108.008469004955,20.896128365769982,240,0,0,0,0,0,0,,0.0,0.26724493503570557,0.0870672015240416,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014327268116176128
74,335713,-95.92360912224635,15.010847501456738,240,0,0,0,0,0,0,,0.0,0.32905635237693787,0.06254519792273641,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01414903812110424
75,335953,-95.8008159694827,21.737090650945902,240,0,0,0,0,0,0,,0.0,0.290630042552948,0.09057121104560792,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014088003896176815
76,336193,-63.78921282221023,8.311522927135229,240,0,0,0,0,0,0,,0.0,0.26736971735954285,0.03463134552973012,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014099442400038242
77,336433,-72.34227684689745,16.4206395894289,240,0,0,0,0,0,0,,0.0,0.30844128131866455,0.06841933162262043,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01399165391921997
78,336673,-47.747866681611804,7.233424123376608,240,0,0,0,0,0,0,,0.0,0.2738938629627228,0.030139267180735865,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.014026959426701069
79,336913,-30.00862097401816,11.045886807143688,240,0,0,0,0,0,0,,0.0,0.43596139550209045,0.0460245283630987,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013888027518987656
80,337153,-42.745358652484676,9.183905260637403,240,0,0,0,0,0,0,,0.0,0.41729292273521423,0.03826627191932251,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013691705651581287
81,337393,-411.82928581250036,14.748860256746411,240,0,0,0,0,0,0,,0.0,0.4769621789455414,0.061453584403110044,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01321270689368248
82,337633,-144.53438586019453,10.501430505886674,240,0,0,0,0,0,0,,0.0,0.3470788300037384,0.04375596044119447,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.013042377308011055
83,337873,-39.50472527806352,10.312332903966308,240,0,0,0,0,0,0,,0.0,0.3751916289329529,0.04296805376652628,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.012740359641611576
84,338113,-63.02856474511122,12.319361217319965,240,0,0,0,0,0,0,,0.0,0.31303471326828003,0.05133067173883319,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.012401222251355648
85,338353,-34.002966316200634,7.330795982852578,240,0,0,0,0,0,0,,0.0,0.3076668679714203,0.030544983261885744,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0123157212510705
86,338593,-153.70080772201223,21.27673701941967,240,0,0,0,0,0,0,,0.0,0.27010491490364075,0.08865307091424862,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.012484310194849968
