episodes,mean_reward,success_rate,collision_rate,physical_contact_rate,capsule_overlap_rate,safety_violation_rate,mean_final_position_error,mean_min_distance,step,checkpoint,validation_csv,selected,selection_metric,validation_seed,validation_seed_manifest
40.0,6.41918648237281,0.875,0.0,0.0,0.0,0.002362204724409449,0.06271572369150817,0.3630950486287475,240000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_240000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_240000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,6.41918648237281,0.875,0.0,0.0,0.0,0.002362204724409449,0.06271572369150817,0.3630950486287475,260000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_260000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_260000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-43.97681208013986,0.5,0.025,0.025,0.0,0.004744971264367816,0.1829718802124262,0.3446634650230408,280000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_280000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_280000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-30.49860622005506,0.525,0.0,0.0,0.0,0.0036458333333333334,0.1400246293283999,0.3509020902216434,300000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_300000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_300000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-0.5202232089930163,0.85,0.0,0.0,0.0,0.000625,0.08493462931364774,0.36139401141554117,320000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_320000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_320000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-17.57591338878236,0.625,0.0,0.0,0.0,0.0023958333333333336,0.09981698682531714,0.35425159498117864,340000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_340000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_340000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,-9.776396938951885,0.8,0.0,0.0,0.0,0.0,0.13499394683167337,0.3608561310917139,360000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_360000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_360000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,1.9450769980270741,0.825,0.0,0.0,0.0,0.0,0.06722393389791251,0.3611110854893923,380000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_380000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_380000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,2.312587449632031,0.875,0.0,0.0,0.0,0.00041666666666666664,0.08212459506466985,0.35884955395013096,400000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_400000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_400000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,3.570625057260416,0.825,0.025,0.025,0.0,0.0027976190476190475,0.08630905458703637,0.3618020810186863,420000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_420000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_420000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,13.339100113098459,0.925,0.0,0.0,0.0,0.0,0.06480059549212455,0.36914586611092093,440000,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/actor_step_440000.pt,outputs/reaching_incremental/s1_static_mixed_stateful_finetune/train/seed_4301/link_fixed_static_mixed_stateful_finetune_seed4301_steps540000/checkpoint_selection/step_440000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
