episode,step,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,480137,-36.350757119672586,25.856553472578526,137,1,0,0,0,0,0,,0.0,0.17680275440216064,0.1887339669531279,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
2,480377,-38.47780289409071,10.506978079676628,240,0,0,0,0,0,0,,0.0,0.4723089039325714,0.04377907533198595,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
3,480463,1.453488074382097,9.971404135227203,86,1,0,0,0,0,0,,0.0,0.2513694167137146,0.11594655971194423,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
4,480489,18.824960627427526,2.1983233895152807,26,1,0,0,0,0,0,,0.0,0.17487415671348572,0.08455089959674157,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
5,480496,23.112322097706723,0.2842404991388321,7,1,0,0,0,0,0,,0.0,0.4309845268726349,0.040605785591261725,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
6,480512,24.89919970948744,0.5659483168274164,16,1,0,0,0,0,0,,0.0,0.42338594794273376,0.035371769801713526,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
7,480519,21.07763133481302,0.29375652968883514,7,1,0,0,0,0,0,,0.0,0.42343994975090027,0.04196521852697645,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
8,480538,15.333082414185986,4.762280818074942,19,1,0,0,0,0,0,,0.0,0.3259701430797577,0.2506463588460496,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
9,480558,13.457521253736994,5.607554316520691,20,1,0,0,0,0,0,,0.0,0.25827884674072266,0.28037771582603455,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
10,480593,22.665716041764625,0.9982018191367388,35,1,0,0,0,0,0,,0.0,0.43528828024864197,0.028520051975335393,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
11,480615,12.020229627911965,5.653815448284149,22,1,0,0,0,0,0,,0.0,0.2158564329147339,0.25699161128564313,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
12,480629,17.70905871499073,3.164417512714863,14,1,0,0,0,0,0,,0.0,0.3063531219959259,0.2260298223367759,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
13,480640,22.88364126589643,1.1683095693588257,11,1,0,0,0,0,0,,0.0,0.3987028896808624,0.10620996085080234,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
14,480880,-104.6420721258687,49.63761179149151,240,0,0,0,0,0,0,,0.0,0.22307953238487244,0.20682338246454796,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
15,480898,23.07342194526838,0.7642526980489492,18,1,0,0,0,0,0,,0.0,0.33209967613220215,0.042458483224941626,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
16,480911,22.61691140816693,0.3899937365204096,13,1,0,0,0,0,0,,0.0,0.4408130943775177,0.02999951819387766,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
17,480919,21.011804691712282,0.642764039337635,8,1,0,0,0,0,0,,0.0,0.5204880237579346,0.08034550491720438,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
18,480939,21.13193625679544,0.9064685832709074,20,1,0,0,0,0,0,,0.0,0.35728514194488525,0.04532342916354537,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
19,480960,12.207336020463696,5.645100489258766,21,1,0,0,0,0,0,,0.0,0.21177563071250916,0.2688143090123222,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
20,480973,19.262932871825114,2.5958784222602844,13,1,0,0,0,0,0,,0.0,0.43632498383522034,0.19968295555848342,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
21,480991,24.160233749885887,0.834972457960248,18,1,0,0,0,0,0,,0.0,0.3723202049732208,0.046387358775569335,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
22,480992,20.05650282283598,0.05113539844751358,1,1,0,0,0,0,0,,0.0,0.6320697665214539,0.05113539844751358,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
23,481009,14.625674045942107,4.629241928458214,17,1,0,0,0,0,0,,0.0,0.25925740599632263,0.2723083487328361,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
24,481034,7.608356353266691,8.466343984007835,25,1,0,0,0,0,0,,0.0,0.22132036089897156,0.3386537593603134,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
25,481053,23.49115297603856,1.0285225249826908,19,1,0,0,0,0,0,,0.0,0.45559272170066833,0.0541327644727732,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
26,481293,-154.32072144971903,59.71532469987869,240,0,0,0,0,0,0,,0.0,0.16926996409893036,0.24881385291616123,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
27,481303,23.762178885911588,0.3504246398806572,10,1,0,0,0,0,0,,0.0,0.4296356737613678,0.03504246398806572,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
28,481305,20.427597294168233,0.051767246797680855,2,1,0,0,0,0,0,,0.0,0.5758636593818665,0.025883623398840427,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
29,481320,18.331889364293616,3.424749031662941,15,1,0,0,0,0,0,,0.0,0.3373170793056488,0.22831660211086274,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
30,481338,14.64483758590057,5.671897813677788,18,1,0,0,0,0,0,,0.0,0.25796473026275635,0.31510543409321046,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
31,481356,22.991432019635365,0.6318724006414413,18,1,0,0,0,0,0,,0.0,0.3941120207309723,0.03510402225785785,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
32,481372,18.528427742779204,2.6717214435338974,16,1,0,0,0,0,0,,0.0,0.4022410213947296,0.1669825902208686,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
33,481377,21.65819389237111,0.1320472862571478,5,1,0,0,0,0,0,,0.0,0.5364742875099182,0.02640945725142956,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
34,481386,21.16832490563291,1.6404358334839344,9,1,0,0,0,0,0,,0.0,0.3769330382347107,0.1822706481648816,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
35,481401,24.73628626977024,0.3781223241239786,15,1,0,0,0,0,0,,0.0,0.5019009709358215,0.025208154941598573,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
36,481410,19.963881005456276,1.0442218855023384,9,1,0,0,0,0,0,,0.0,0.30359411239624023,0.11602465394470426,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010328046046197414
