episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,9001,configs/experiments/reaching_recovery/manifests/v1_final.json,24.418707623230453,2.1418345514684916,29,1,0,0,0,0,0,,any,0,0,,,nan,0,0.053075049072504044,1.4500000000000002,0.2058296650648117,0.07385636384374109,0.25947174429893494,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2384668010576018,2.264528512954712,40.678733825683594,0,0,0,0.0,0,nan
1,9002,configs/experiments/reaching_recovery/manifests/v1_final.json,23.339213682540937,0.417400062084198,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054502155631780624,0.7000000000000001,0.6401450037956238,0.029814290148871287,0.04217899218201637,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21475239151290484,2.055624485015869,38.85438919067383,0,0,0,0.0,0,nan
2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,22.832592065253266,0.29606651328504086,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05072594806551933,0.45,0.6220138072967529,0.03289627925389343,0.044804442673921585,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2913064302669631,2.6321065425872803,42.82219696044922,0,0,0,0.0,0,nan
3,9004,configs/experiments/reaching_recovery/manifests/v1_final.json,-29.850428533079132,12.400573721155524,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.386908620595932,12.0,0.30284053087234497,0.051669057171481354,0.25081494450569153,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43585013076663015,3.836193323135376,71.31066131591797,0,0,0,0.0,0,nan
4,9005,configs/experiments/reaching_recovery/manifests/v1_final.json,23.172913368734406,7.348447024822235,119,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05406378209590912,5.95,0.2620638310909271,0.061751655670775084,0.2662593424320221,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.18062243923670104,1.6516196727752686,29.159772872924805,0,0,0,0.0,0,nan
5,9006,configs/experiments/reaching_recovery/manifests/v1_final.json,23.337822934304054,7.079607620835304,13,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04994771629571915,0.65,0.13743016123771667,0.5445852016027157,0.7262083292007446,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21192857680412439,2.166172981262207,39.927310943603516,0,0,0,0.0,0,nan
6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,25.026719891227238,4.04503457993269,16,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05482345446944237,0.8,0.26999151706695557,0.2528146612457931,0.38299867510795593,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2627046979032457,2.498265504837036,43.575626373291016,0,0,0,0.0,0,nan
7,9008,configs/experiments/reaching_recovery/manifests/v1_final.json,24.135526839205852,0.6341802179813385,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.053118519484996796,0.8500000000000001,0.405630499124527,0.03730471870478462,0.08053689450025558,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2846178228364271,2.5208914279937744,37.59589385986328,0,0,0,0.0,0,nan
8,9009,configs/experiments/reaching_recovery/manifests/v1_final.json,24.829491647318473,4.915141113102436,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054807163774967194,0.9500000000000001,0.2528286278247833,0.25869163753170715,0.3533947169780731,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22714468640716454,2.1475412845611572,38.95383834838867,0,0,0,0.0,0,nan
9,9010,configs/experiments/reaching_recovery/manifests/v1_final.json,23.30499163526293,0.27199220657348633,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.042728159576654434,0.45,0.5083340406417847,0.030221356285942927,0.04461172595620155,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2748667067951626,2.7358264923095703,51.790321350097656,0,0,0,0.0,0,nan
