episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
0,9001,configs/experiments/reaching_recovery/manifests/v1_final.json,23.32778897411183,1.6053469106554985,20,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05394132807850838,1.0,0.21001453697681427,0.08026734553277493,0.25109079480171204,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3589700922369957,3.3555402755737305,58.59856414794922,0,0,0,0.0,0,nan
1,9002,configs/experiments/reaching_recovery/manifests/v1_final.json,22.828655230769247,0.43594249710440636,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05122087150812149,0.9500000000000001,0.6502358913421631,0.022944341952863493,0.03117329627275467,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2469844886739003,2.6016030311584473,55.77107238769531,0,0,0,0.0,0,nan
2,9003,configs/experiments/reaching_recovery/manifests/v1_final.json,22.7187732624371,0.23027030006051064,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.0475749634206295,0.4,0.624550998210907,0.02878378750756383,0.04161239415407181,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3913444019854069,3.3823401927948,63.14727783203125,0,0,0,0.0,0,nan
3,9004,configs/experiments/reaching_recovery/manifests/v1_final.json,21.993245549798498,1.0793262664228678,28,1,0,0,0,0,0,,any,0,0,,,nan,0,0.053421784192323685,1.4000000000000001,0.30604663491249084,0.03854736665795956,0.12101887166500092,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22382534548108066,2.3709347248077393,46.26893615722656,0,0,0,0.0,0,nan
4,9005,configs/experiments/reaching_recovery/manifests/v1_final.json,24.261948381292232,0.7681044675409794,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.03919507563114166,0.55,0.2853931486606598,0.06982767886736176,0.14094240963459015,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.43543717942454596,3.9691224098205566,72.47624206542969,0,0,0,0.0,0,nan
5,9006,configs/experiments/reaching_recovery/manifests/v1_final.json,18.289014961220023,5.158230245113373,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.050792913883924484,0.45,0.14233621954917908,0.5731366939014859,0.7667270302772522,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.35202701058652663,3.549431800842285,84.50138854980469,0,0,0,0.0,0,nan
6,9007,configs/experiments/reaching_recovery/manifests/v1_final.json,17.540560494926144,7.059876888990402,28,1,0,0,0,0,0,,any,0,0,,,nan,0,0.052495844662189484,1.4000000000000001,0.25151196122169495,0.2521384603210858,0.3440565764904022,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23236091062426567,2.2954750061035156,45.308921813964844,0,0,0,0.0,0,nan
7,9008,configs/experiments/reaching_recovery/manifests/v1_final.json,24.082236332815633,0.35133059695363045,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04766297712922096,0.5,0.4094444811344147,0.035133059695363046,0.059752367436885834,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40665454864501954,3.8513429164886475,65.89510345458984,0,0,0,0.0,0,nan
8,9009,configs/experiments/reaching_recovery/manifests/v1_final.json,19.691177089116675,5.3831376656889915,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.052445899695158005,0.9500000000000001,0.24417530000209808,0.2833230350362627,0.34868761897087097,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24907012519083524,2.485644578933716,55.135948181152344,0,0,0,0.0,0,nan
9,9010,configs/experiments/reaching_recovery/manifests/v1_final.json,22.72494509769379,0.2954986486583948,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05473976209759712,0.55,0.5123491287231445,0.02686351351439953,0.03841372951865196,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3329951681874015,3.0461862087249756,68.75164794921875,0,0,0,0.0,0,nan
