episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
1,240013,4301,default,,23.90013901254846,1.7792704291641712,13,1,0,0,0,0,0,,0.0,0.2391050159931183,0.13686695608955163,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
2,240023,,default,,22.549622423270062,1.3178018853068352,10,1,0,0,0,0,0,,0.0,0.4010286331176758,0.13178018853068352,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
3,240046,,default,,21.947472785510662,1.669963389635086,23,1,0,0,0,0,0,,0.0,0.42032986879348755,0.07260710389717766,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
4,240057,,default,,23.07764758695932,1.7470423765480518,11,1,0,0,0,0,0,,0.0,0.17986245453357697,0.15882203423164107,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
5,240072,,default,,23.39480331014098,0.8516650982201099,15,1,0,0,0,0,0,,0.0,0.49113014340400696,0.056777673214673995,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
6,240088,,default,,23.61284229620808,1.4381306134164333,16,1,0,0,0,0,0,,0.0,0.47425830364227295,0.08988316333852708,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
7,240105,,default,,21.394867463805582,4.092298895120621,17,1,0,0,0,0,0,,0.0,0.3289719223976135,0.24072346441886006,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
8,240135,,default,,-13.07816004673019,35.649099349975586,30,1,0,0,0,0,0,,0.2,0.09564102441072464,0.5883033116658528,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
9,240148,,default,,19.441756380004794,3.008613273501396,13,1,0,0,0,0,0,,0.0,0.301675021648407,0.23143179026933816,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
10,240161,,default,,17.003633108210458,5.958462774753571,13,1,0,0,0,0,0,,0.0,0.14966359734535217,0.4583432903656593,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
11,240292,,default,,8.653456125478314,9.46533334441483,131,1,0,0,0,0,0,,0.0,0.3658798038959503,0.07225445301080023,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
12,240305,,default,,24.148044243080925,0.6467882804572582,13,1,0,0,0,0,0,,0.0,0.3739965856075287,0.04975294465055832,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
13,240336,,default,,13.868062540822969,10.46323013305664,31,1,0,0,0,0,0,,0.0,0.17332462966442108,0.3375235526792465,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
14,240351,,default,,17.945956375762652,5.386895626783371,15,1,0,0,0,0,0,,0.0,0.2025042176246643,0.3591263751188914,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
15,240363,,default,,23.385046388926813,0.917157057672739,12,1,0,0,0,0,0,,0.0,0.3103577196598053,0.07642975480606158,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
16,240379,,default,,23.720653929444364,0.5267190542072058,16,1,0,0,0,0,0,,0.0,0.4129270017147064,0.03291994088795036,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
17,240442,,default,,21.45087519779714,2.0481764171272516,63,1,0,0,0,0,0,,0.0,0.5161026120185852,0.03251073677979764,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
18,240474,,default,,20.251711411480812,3.5276151821017265,32,1,0,0,0,0,0,,0.0,0.3454059064388275,0.11023797444067895,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
19,240503,,default,,18.25843172682057,5.730816192924976,29,1,0,0,0,0,0,,0.0,0.3450688421726227,0.1976143514801716,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
20,240527,,default,,14.692980288361948,10.409291416406631,24,1,0,0,0,0,0,,0.0,0.16398456692695618,0.43372047568360966,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.005444246809929609
