step,total_steps,episode,reset_seed,reset_source,reset_jitter_seed,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,residual_control_enabled,residual_control_mode,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha,loss_actor,loss_actor_anchor,loss_reward_q,loss_cost_q,replay_size
220500,420000,5,,default,,154,-0.28222347073588505,0.06103827804327011,-28.486222267206365,16.46857687085867,0.06103827804327011,0.40604978799819946,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,500
221000,420000,10,,default,,40,-0.09100977893650498,0.08814789354801178,-0.7149144846038845,4.1593067497015,0.08814789354801178,0.41187581419944763,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,1000
221500,420000,16,,default,,185,-0.046043929000727124,0.025944510474801064,-8.388162943519033,6.361094791442156,0.025944510474801064,0.5779140591621399,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,1500
222000,420000,24,,default,,42,-0.08592151167062348,0.11271805316209793,-3.786413810845921,6.271203100681305,0.11271805316209793,0.3158241808414459,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,2000
222500,420000,28,,default,,83,-0.16266134522771042,0.10858389735221863,-11.622451580384814,9.457703083753586,0.10858389735221863,0.3210080862045288,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,2500
223000,420000,31,,default,,38,-0.4405200328664716,0.35635605454444885,-14.27494753440815,14.97248025238514,0.35635605454444885,0.16577938199043274,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,3000
223500,420000,35,,default,,10,0.17858838034500812,0.06807921826839447,2.3213551111165884,0.7280465625226498,0.06807921826839447,0.44067811965942383,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,3500
224000,420000,39,,default,,1,-0.07134797573919123,0.0764167532324791,-0.07134797573919123,0.0764167532324791,0.0764167532324791,0.4173876643180847,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,4000
224500,420000,53,,default,,10,0.12387551152054654,0.030016424134373665,2.894465733104467,0.37775387428700924,0.030016424134373665,0.5401462316513062,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,4500
225000,420000,57,,default,,1,0.04162667432580569,0.025916585698723793,0.04162667432580569,0.025916585698723793,0.025916585698723793,0.5782188177108765,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,5000
225500,420000,61,,default,,4,0.12663736440856715,0.08645883202552795,0.31705673279788155,0.28996406495571136,0.08645883202552795,0.40027540922164917,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,5500
226000,420000,64,,default,,233,-0.770937511672085,0.34976378083229065,-675.8870205917597,606.811037376523,0.34976378083229065,0.1976781189441681,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,6000
226500,420000,77,,default,,101,-0.23152056936945659,0.12998759746551514,-14.74627108049346,10.38594189286232,0.12998759746551514,0.2992704510688782,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,6500
227000,420000,83,,default,,204,-0.21212138086926757,0.036182843148708344,-43.8377238874311,13.041201207786798,0.036182843148708344,0.6075003743171692,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,7000
227500,420000,88,,default,,184,-0.15927111167090544,0.03058990277349949,-15.162347072873272,5.414160925894976,0.03058990277349949,0.6244674921035767,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,7500
228000,420000,92,,default,,156,-0.2930564140219529,0.19012689590454102,-27.22825241622655,21.91403004527092,0.19012689590454102,0.30079570412635803,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,8000
228500,420000,99,,default,,81,-3.8505225120818247,3.8621612787246704,-66.62445272660466,67.80822770297527,0.8621612787246704,0.041835155338048935,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,8500
229000,420000,105,,default,,165,-0.039778972193488346,0.035549748688936234,-40.8225840503777,13.655361730605364,0.035549748688936234,0.5026386976242065,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,9000
229500,420000,108,,default,,129,-0.311330894798195,0.1719074696302414,-125.23400010008922,119.11480964720249,0.1719074696302414,0.25902536511421204,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,9500
230000,420000,111,,default,,137,-0.07718346306358725,0.04848657548427582,-5.866842686742685,6.8042102344334126,0.04848657548427582,0.4890051782131195,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,nan,nan,10000
230500,420000,117,,default,,65,-0.07681563152586748,0.06817745417356491,-0.3082951168311857,2.5729586966335773,0.06817745417356491,0.5407553911209106,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,5.793674468994141,236.92266845703125,10500
231000,420000,123,,default,,159,-0.054227154113660345,0.044039711356163025,-10.763815913918641,9.203222326934338,0.044039711356163025,0.46124958992004395,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,0.8463427424430847,91.25123596191406,11000
231500,420000,133,,default,,234,-0.3732385511307371,0.11271827667951584,-269.83534829597056,249.63913778215647,0.11271827667951584,0.31582391262054443,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,10.211677551269531,303.15570068359375,11500
232000,420000,141,,default,,104,-0.28916367365231027,0.35297974944114685,-221.90376647356257,218.22211667895317,0.35297974944114685,0.19799764454364777,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,1.972432255744934,73.4300308227539,12000
232500,420000,149,,default,,12,0.24522337354307383,0.05314505845308304,2.434815385222306,0.7741690315306187,0.05314505845308304,0.42858463525772095,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,4.282456398010254,67.59808349609375,12500
233000,420000,158,,default,,114,-0.16187242939110724,0.03933996707201004,-6.794350109530691,5.735121361911297,0.03933996707201004,0.4823840856552124,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,3.8129210472106934,76.18268585205078,13000
233500,420000,160,,default,,225,-0.587368890712732,0.022692304104566574,-54.30991504280945,15.26793121919036,0.022692304104566574,0.6199341416358948,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,5.245512962341309,56.30691909790039,13500
234000,420000,170,,default,,113,-3.9701007972488993,3.853903830051422,-401.65162792537365,402.669631972909,0.8539038300514221,0.01738055609166622,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,6.821130752563477,46.094566345214844,14000
234500,420000,176,,default,,197,-0.14992914798866658,0.03347659856081009,-39.12102924938057,14.613479923456907,0.03347659856081009,0.531575083732605,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,5.723788261413574,54.310691833496094,14500
235000,420000,185,,default,,12,-0.1802247438236475,0.061707451939582825,-5.463263918738315,0.9852775931358337,0.061707451939582825,0.40432050824165344,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,False,disabled,0.0,0.0,0.0,0.0054090735502541065,nan,nan,6.531744480133057,72.20782470703125,15000
