episode,step,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,220057,20.747271064343344,3.345411255955696,57,1,0,0,0,0,0,,0.0,0.3036852777004242,0.05869142554308239,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0054090735502541065
2,220297,-77.52462235613329,59.87587748467922,240,0,0,0,0,0,0,,0.0,0.17720328271389008,0.2494828228528301,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0053901830688118935
3,220333,22.96103616757498,1.0532782692462206,36,1,0,0,0,0,0,,0.0,0.5527910590171814,0.029257729701283906,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0054601579904556274
4,220573,-27.133804756869345,9.449662836268544,240,0,0,0,0,0,0,,0.0,0.38481754064559937,0.039373595151118934,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.00585821270942688
5,220715,4.610844487011887,8.987244140356779,142,1,0,0,0,0,0,,0.0,0.39443519711494446,0.06329045169265338,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0060954708606004715
6,220955,-132.76903616085545,70.74128006026149,240,0,0,0,0,0,0,,0.025,0.08179143816232681,0.21975533358442287,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.006510993931442499
7,221195,-182.4222680267831,20.555969757959247,240,0,0,0,0,0,0,,0.0,0.21060554683208466,0.08564987399149686,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007077174726873636
8,221435,-170.344708026196,140.3717691078782,240,0,0,0,0,0,0,,0.09583333333333334,0.07250063866376877,0.29738237128282585,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.00765638891607523
9,221675,-77.13583513207695,36.57179296389222,240,0,0,0,0,0,0,,0.0,0.18412597477436066,0.15238247068288427,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.008216245099902153
10,221727,19.133134036014685,2.0858110208064318,52,1,0,0,0,0,0,,0.0,0.4730205833911896,0.040111750400123686,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.008343336172401905
11,221967,-51.71588005666746,15.286081533879042,240,0,0,0,0,0,0,,0.0,0.3840952217578888,0.06369200639116267,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.00886884517967701
12,222014,3.031300401096054,18.34002411365509,47,1,0,0,0,0,0,,0.0,0.1319984644651413,0.3902132790139381,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.008975712582468987
13,222028,22.67142659272278,1.3517092131078243,14,1,0,0,0,0,0,,0.0,0.2382858842611313,0.09655065807913031,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.009007839486002922
14,222268,-163.65927135827678,144.67624862492085,240,0,0,0,0,0,0,,0.1,0.009021839126944542,0.30281770260383684,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.009566212072968483
15,222294,24.41092053959818,1.1922562271356583,26,1,0,0,0,0,0,,0.0,0.39322975277900696,0.04585600873598686,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.009630763903260231
16,222326,23.67320809039514,1.807686747983098,32,1,0,0,0,0,0,,0.0,0.4356076717376709,0.05649021087447181,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.009712804108858109
17,222344,25.057680544317872,0.7826518192887306,18,1,0,0,0,0,0,,0.0,0.36305221915245056,0.0434806566271517,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.009758694097399712
18,222474,17.182142970530204,4.155166532844305,130,1,0,0,0,0,0,,0.0,0.362806499004364,0.03196281948341773,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0101012596860528
19,222677,-7.300714194781872,13.783348742872477,203,1,0,0,0,0,0,,0.0,0.3692835867404938,0.06789826966932254,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010663705877959728
20,222682,20.803288055289848,1.0128882005810738,5,1,0,0,0,0,0,,0.0,0.3927381932735443,0.20257764011621476,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010678853839635849
21,222691,22.84711630939292,0.6914642006158829,9,1,0,0,0,0,0,,0.0,0.32691144943237305,0.07682935562398699,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.010706651955842972
22,222931,-28.740686968569637,10.610961955040693,240,0,0,0,0,0,0,,0.0,0.3915143311023712,0.04421234147933622,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011432770639657974
23,223024,7.290287689052796,10.831534449011087,93,1,0,0,0,0,0,,0.0,0.30193042755126953,0.11646811235495792,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011734424158930779
24,223056,22.29006699908559,1.4171793684363365,32,1,0,0,0,0,0,,0.0,0.2839900553226471,0.044286855263635516,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0118341576308012
