episode,step,reset_seed,reset_source,reset_jitter_seed,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,residual_control_enabled,residual_control_base_qdot_norm,residual_qdot_norm,lambda,alpha
2973,440010,,default,,21.938974772317255,1.6220201179385185,10,1,0,0,0,0,0,,0.0,0.18824200332164764,0.16220201179385185,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2974,440023,,default,,22.698713855870853,2.6465411484241486,13,1,0,0,0,0,0,,0.0,0.1682312786579132,0.20358008834031913,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2975,440049,,default,,22.287410898998417,2.6153357550501823,26,1,0,0,0,0,0,,0.0,0.4459890127182007,0.10058983673269932,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2976,440085,,default,,20.595966410578864,2.924678262323141,36,1,0,0,0,0,0,,0.0,0.31822460889816284,0.08124106284230947,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2977,440173,,default,,-9.112557038289768,32.594535045325756,88,1,0,0,0,0,0,,0.0,0.15695485472679138,0.37039244369688357,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2978,440188,,default,,20.134112707931564,4.140569433569908,15,1,0,0,0,0,0,,0.0,0.3677416145801544,0.2760379622379939,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2979,440200,,default,,20.766437179698144,1.934655822813511,12,1,0,0,0,0,0,,0.0,0.32744720578193665,0.16122131856779257,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2980,440224,,default,,17.260613938047854,6.712489925324917,24,1,0,0,0,0,0,,0.0,0.2583693861961365,0.27968708022187155,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2981,440240,,default,,24.534921069789224,1.0602320935577154,16,1,0,0,0,0,0,,0.0,0.4621518552303314,0.06626450584735721,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2982,440480,,default,,-66.6804800910266,60.39283722639084,240,0,0,0,0,0,0,,0.0,0.17132873833179474,0.2516368217766285,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2983,440490,,default,,23.390031299428593,0.3667004965245724,10,1,0,0,0,0,0,,0.0,0.49259716272354126,0.03667004965245724,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2984,440730,,default,,-39.622164642103414,30.493937123566866,240,0,0,0,0,0,0,,0.0,0.27857300639152527,0.12705807134819527,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2985,440748,,default,,24.374659057002376,0.741397075355053,18,1,0,0,0,0,0,,0.0,0.39175811409950256,0.041188726408614054,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2986,440841,,default,,13.463031574975641,5.503457240760326,93,1,0,0,0,0,0,,0.0,0.4059785306453705,0.059176959578068025,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2987,440859,,default,,23.082494166549775,1.895043358206749,18,1,0,0,0,0,0,,0.0,0.17287999391555786,0.1052801865670416,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2988,440863,,default,,21.067716380738037,0.15217115357518196,4,1,0,0,0,0,0,,0.0,0.4715522229671478,0.03804278839379549,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
2989,440881,,default,,24.03576384457859,2.030023567378521,18,1,0,0,0,0,0,,0.0,0.14866751432418823,0.1127790870765845,nan,nan,nan,nan,nan,nan,nan,nan,False,0.0,0.0,0.0,0.00885181874036789
