step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
520500,620000,16,92,-0.02704246235466435,0.031218141317367554,-4.798805478500949,3.3249918054789305,0.031218141317367554,0.5309455990791321,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,500
521000,620000,26,6,0.06200456979648089,0.1019868403673172,-1.7584734963133717,0.9976971745491028,0.1019868403673172,0.32977405190467834,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,1000
521500,620000,42,8,0.10999170659397117,0.06346804648637772,-2.3781990073311037,1.132624477148056,0.06346804648637772,0.3998863399028778,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,1500
522000,620000,54,101,-0.4426460016655267,0.15163733065128326,-50.000066158757384,18.528919845819473,0.15163733065128326,0.28810548782348633,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,2000
522500,620000,64,206,-0.9322736442775579,0.03985636308789253,-159.97872738623138,24.687077961862087,0.03985636308789253,0.47987130284309387,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,2500
523000,620000,74,69,-0.5493169579374515,0.05197767913341522,-25.927139449718688,6.126787707209587,0.05197767913341522,0.4323081076145172,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,3000
523500,620000,92,64,-0.2557637668573355,0.10005085170269012,-15.528287680722698,8.390226796269417,0.10005085170269012,0.33247295022010803,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,3500
524000,620000,107,91,-0.41695534897780023,0.07648710906505585,-24.72115453171631,8.74189130216837,0.07648710906505585,0.37136906385421753,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,4000
524500,620000,114,11,0.25780459079085377,0.03159988299012184,0.6977209390114176,0.48121514171361923,0.03159988299012184,0.5281646251678467,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,4500
525000,620000,124,79,-0.8546245738782753,0.05842460319399834,-61.92911251086743,6.382123818621039,0.05842460319399834,0.4600575268268585,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,5000
525500,620000,130,15,-0.4002514392524898,0.24352508783340454,-2.8548101161217763,3.522599421441555,0.24352508783340454,0.3718310594558716,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,5500
526000,620000,146,15,0.11338591267936457,0.05641164630651474,3.1058457257233925,0.8624028414487839,0.05641164630651474,0.4670414328575134,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,6000
526500,620000,162,47,-0.1209341153384989,0.03768143430352211,0.5424502174332879,1.9036679491400719,0.03768143430352211,0.4908298850059509,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,6500
527000,620000,186,156,-0.15277752241522452,0.02724466472864151,-18.554263980712797,5.182727271690965,0.02724466472864151,0.5645177364349365,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,7000
527500,620000,192,125,-0.10304594339878698,0.06687723100185394,-23.42402196903118,10.962652914226055,0.06687723100185394,0.39435750246047974,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,7500
528000,620000,204,72,-0.3121007309721412,0.053959932178258896,-11.474638462429905,5.117563523352146,0.053959932178258896,0.4260523319244385,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,8000
528500,620000,208,64,-0.4396766719046537,0.18646731972694397,-39.54837630280833,19.731196492910385,0.18646731972694397,0.24838115274906158,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,8500
529000,620000,214,37,-0.19728972483939886,0.08580200374126434,-6.891201773215834,3.3528754338622093,0.08580200374126434,0.3544582724571228,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,9000
529500,620000,225,135,-0.12299868819068266,0.03301593288779259,-7.699236470205126,4.767782028764486,0.03301593288779259,0.5183774828910828,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,9500
530000,620000,238,36,-0.6588006713004968,0.284074068069458,-16.921085084283575,9.975371614098549,0.284074068069458,0.22313769161701202,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,10000
530500,620000,256,15,0.22859726712922568,0.08781629800796509,0.5890656384310022,2.1451207399368286,0.08781629800796509,0.35109496116638184,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,10500
531000,620000,275,149,-0.7141720925193983,0.32675135135650635,-143.00285840396404,66.29561322927475,0.32675135135650635,0.17666368186473846,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,11000
531500,620000,284,44,-0.4823054397013382,0.21778567135334015,-26.520109008093662,8.668746896088123,0.21778567135334015,0.30465373396873474,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,11500
532000,620000,289,15,-0.36760917839451424,0.20833079516887665,-7.66283334954424,3.4244609996676445,0.20833079516887665,0.34940993785858154,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,12000
532500,620000,294,216,-1.5007490355576898,0.488692045211792,-110.73910587476219,41.57792358845472,0.488692045211792,0.20438846945762634,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,12500
533000,620000,308,7,0.002925844245381129,0.047053925693035126,-0.49346859944799193,0.4024154171347618,0.047053925693035126,0.4494237005710602,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,13000
533500,620000,326,7,-0.13614237890262104,0.266830176115036,-2.4947715199830958,2.0697250366210938,0.266830176115036,0.2022719383239746,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,13500
534000,620000,340,89,-0.2911277491441095,0.0716811940073967,-18.860601685604575,7.974858794361353,0.0716811940073967,0.38112470507621765,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,14000
534500,620000,347,30,-0.10310679566226674,0.04488838091492653,-1.3380924275648265,1.7795268781483173,0.04488838091492653,0.45823076367378235,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,14500
535000,620000,360,103,-0.7760483207401603,0.09899917244911194,-88.89613814098283,22.37352391332388,0.09899917244911194,0.3378243148326874,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,15000
535500,620000,367,35,-0.06530864591580826,0.031227929517626762,-0.8377372766062348,1.338951924815774,0.031227929517626762,0.5308734774589539,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,15500
536000,620000,375,215,-0.625042278507906,0.19145503640174866,-143.21459538419893,58.68724162876606,0.19145503640174866,0.2517796754837036,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,16000
536500,620000,385,97,-0.5493986362636678,0.12580926716327667,-59.34438370637105,9.426847755908966,0.12580926716327667,0.32666000723838806,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,16500
537000,620000,396,9,-0.20838939287588068,0.1799229383468628,-3.1985636781959927,1.6084626764059067,0.1799229383468628,0.2571888864040375,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,17000
537500,620000,404,94,-0.5117398029704521,0.04350600019097328,-51.815356076089124,5.682498486712575,0.04350600019097328,0.5012375712394714,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,17500
538000,620000,412,201,-0.44250030044338023,0.08990790694952011,-63.15251602030822,19.322399605065584,0.08990790694952011,0.4132271409034729,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,18000
538500,620000,418,176,-1.7212946572083072,0.026439353823661804,-128.71604379544567,19.884609581902623,0.026439353823661804,0.5726376175880432,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,18500
539000,620000,431,9,0.24386487034441867,0.03440999612212181,1.3306771290378356,0.46041230857372284,0.03440999612212181,0.5094641447067261,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,19000
539500,620000,446,57,-0.5000519421865578,0.3125685751438141,-39.40218877179659,21.95928893983364,0.3125685751438141,0.18224984407424927,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,19500
540000,620000,470,12,20.421094111770337,0.05678028613328934,20.533164635903276,1.8767577856779099,0.05678028613328934,0.41767868399620056,1,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01144375465810299,20000
540500,620000,486,49,-0.4636211470395194,0.24701684713363647,-18.650258051275014,11.001367166638374,0.24701684713363647,0.2886420488357544,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011589818634092808,20500
541000,620000,491,205,-0.41309580073886937,0.1967088282108307,-94.78750272285255,46.97859367728233,0.1967088282108307,0.2414221167564392,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.011947967112064362,21000
541500,620000,495,196,-0.3140412993579804,0.13674411177635193,-51.328154662710574,24.715479373931885,0.13674411177635193,0.29658791422843933,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.012302580289542675,21500
542000,620000,507,31,-0.2870509043343328,0.02051212452352047,-2.348919783820688,0.7715659812092781,0.02051212452352047,0.6848505139350891,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.012662166729569435,22000
542500,620000,512,14,-0.1393095133861027,0.12219123542308807,-1.2265544361602605,1.9788865372538567,0.12219123542308807,0.4689140021800995,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.013005116023123264,22500
543000,620000,515,221,-0.039777564982464965,0.02415991760790348,-18.274880750783637,7.682046074420214,0.02415991760790348,0.5991385579109192,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.013339405879378319,23000
543500,620000,519,201,-0.21214241909003292,0.034843310713768005,-27.394014447805763,8.131648059934378,0.034843310713768005,0.5196224451065063,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.013661186210811138,23500
544000,620000,524,160,-0.6802806561224708,0.14354221522808075,-96.45059106807885,29.86009730398655,0.14354221522808075,0.324273020029068,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.013982490636408329,24000
544500,620000,528,155,-0.11215798664888924,0.02820206619799137,-17.75864511459585,4.2436856515705585,0.02820206619799137,0.6562905311584473,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.014285300858318806,24500
545000,620000,531,159,-0.14599293532786872,0.0395401231944561,-16.257768983621744,5.746816150844097,0.0395401231944561,0.5855364799499512,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.014570429921150208,25000
545500,620000,538,30,-0.12423949388259935,0.026984043419361115,-3.051981982635105,1.0160646419972181,0.026984043419361115,0.5670859217643738,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.014827350154519081,25500
546000,620000,543,108,-0.3565757942954204,0.13826383650302887,-56.52931552837819,25.34762269258499,0.13826383650302887,0.29756173491477966,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.015063799917697906,26000
546500,620000,548,12,0.044995630819594234,0.052756231278181076,2.921490456283503,1.0368195287883282,0.052756231278181076,0.4298120439052582,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.015305968001484871,26500
547000,620000,553,216,-0.1621753723532322,0.041404757648706436,-41.95280089480179,9.189647849649191,0.041404757648706436,0.47263771295547485,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01556699350476265,27000
547500,620000,556,218,-0.25215891659261225,0.04120493307709694,-49.078198511575195,9.026702351868153,0.04120493307709694,0.4735470712184906,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01580304652452469,27500
548000,620000,562,177,-0.9903746301864553,0.43392810225486755,-122.39721471002738,57.54968199133873,0.43392810225486755,0.15428249537944794,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01602661795914173,28000
548500,620000,567,10,0.23374661913819783,0.03683004528284073,2.27321222273481,0.6015774831175804,0.03683004528284073,0.4954078793525696,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01625077612698078,28500
549000,620000,570,240,-0.30179052830983094,0.1063341498374939,-40.98870629818639,16.493585534393787,0.1063341498374939,0.34521719813346863,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.016486039385199547,29000
549500,620000,573,236,-0.21736016378975165,0.08913072198629379,-50.65446975824751,23.02165573090315,0.08913072198629379,0.34894999861717224,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.016682051122188568,29500
550000,620000,577,113,-0.6372604528245256,0.1977323591709137,-60.49426562561131,27.89795619994402,0.1977323591709137,0.240748330950737,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01680743135511875,30000
550500,620000,581,113,-0.19481720249938866,0.017098508775234222,-7.092317642205413,2.9269533529877663,0.017098508775234222,0.773207426071167,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01685618981719017,30500
551000,620000,586,87,-0.21369929403742965,0.08112883567810059,-11.159966033493298,6.034879509359598,0.08112883567810059,0.40138736367225647,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.016804121434688568,31000
551500,620000,590,61,-0.07865542949396528,0.038872938603162766,-5.472947066142839,1.6830377373844385,0.038872938603162766,0.6502940058708191,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.01662878505885601,31500
