episode,step,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,620013,23.066221751591016,0.9748081974685192,13,1,0,0,0,0,0,,0.0,0.30563652515411377,0.07498524595911686,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
2,620035,18.592160722563857,2.540575794875622,22,1,0,0,0,0,0,,0.0,0.32042038440704346,0.1154807179488919,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
3,620275,-12.203349043415994,6.111490270122886,240,0,0,0,0,0,0,,0.0,0.5525496006011963,0.02546454279217869,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
4,620286,25.084348183803765,0.4008417893201113,11,1,0,0,0,0,0,,0.0,0.3863077461719513,0.03644016266546466,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
5,620295,23.10153327456608,0.396861482411623,9,1,0,0,0,0,0,,0.0,0.3983665406703949,0.04409572026795811,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
6,620535,-71.4265871902724,31.081575721502304,240,0,0,0,0,0,0,,0.0,0.26087895035743713,0.1295065655062596,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
7,620547,22.02744210202906,0.6073249764740467,12,1,0,0,0,0,0,,0.0,0.3801550567150116,0.05061041470617056,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
8,620571,16.488246055345627,4.235694706439972,24,1,0,0,0,0,0,,0.0,0.27499648928642273,0.17648727943499884,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
9,620603,8.82245215588462,7.543877765536308,32,1,0,0,0,0,0,,0.0,0.23595410585403442,0.23574618017300963,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
10,620622,22.805255996297102,0.8343486040830612,19,1,0,0,0,0,0,,0.0,0.4720376431941986,0.04391308442542428,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
11,620643,20.60739804958253,2.1419231984764338,21,1,0,0,0,0,0,,0.0,0.4451541602611542,0.10199634278459209,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
12,620666,8.30585325552496,6.905394896864891,23,1,0,0,0,0,0,,0.0,0.18043053150177002,0.3002345607332561,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
13,620677,22.28335289643805,1.0449523031711578,11,1,0,0,0,0,0,,0.0,0.24254129827022552,0.09499566392465071,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
14,620685,15.556131041812337,3.36726213991642,8,1,0,0,0,0,0,,0.0,0.20498323440551758,0.4209077674895525,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
15,620754,17.240932442445104,3.956217732280493,69,1,0,0,0,0,0,,0.0,0.35367074608802795,0.05733648887363033,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
16,620817,17.728673785525125,3.6034380570054054,63,1,0,0,0,0,0,,0.0,0.41997230052948,0.057197429476276276,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
17,620834,24.488313179781542,0.715284800156951,17,1,0,0,0,0,0,,0.0,0.3637189567089081,0.042075576479820645,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
18,620850,23.883488739338542,0.717514880001545,16,1,0,0,0,0,0,,0.0,0.3603791892528534,0.04484468000009656,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
19,620861,21.224840834097684,0.649011641740799,11,1,0,0,0,0,0,,0.0,0.42067691683769226,0.05900105834007263,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
20,620866,19.91855112801284,1.0356188714504242,5,1,0,0,0,0,0,,0.0,0.39857378602027893,0.20712377429008483,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
21,620874,22.059452965265947,0.620282880961895,8,1,0,0,0,0,0,,0.0,0.32720881700515747,0.07753536012023687,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
22,620892,20.250218945118064,1.026868712157011,18,1,0,0,0,0,0,,0.0,0.39775022864341736,0.05704826178650061,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
23,620905,23.537199731295704,0.8952171355485916,13,1,0,0,0,0,0,,0.0,0.40495091676712036,0.0688628565806609,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
24,620924,22.638466666229835,1.0525577254593372,19,1,0,0,0,0,0,,0.0,0.28091537952423096,0.055397775024175644,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
25,620936,21.520350935608736,1.2693203315138817,12,1,0,0,0,0,0,,0.0,0.28756874799728394,0.10577669429282348,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
26,620945,23.08649704094738,0.4366222582757473,9,1,0,0,0,0,0,,0.0,0.3971664607524872,0.048513584252860814,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
27,620970,12.729228652154251,5.796501807868481,25,1,0,0,0,0,0,,0.0,0.20992229878902435,0.23186007231473924,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
28,620987,22.168218018799394,1.1948362663388252,17,1,0,0,0,0,0,,0.0,0.2752982974052429,0.07028448625522501,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
29,620990,19.927378252147342,0.28649841248989105,3,1,0,0,0,0,0,,0.0,0.36648425459861755,0.09549947082996368,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
30,621230,-48.75078039107357,19.47582034766674,240,0,0,0,0,0,0,,0.0,0.3481021821498871,0.08114925144861142,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
31,621245,19.173654864153058,1.620640605688095,15,1,0,0,0,0,0,,0.0,0.27059537172317505,0.108042707045873,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
32,621286,-0.1757510612469808,11.362372428178787,41,1,0,0,0,0,0,,0.0,0.20620551705360413,0.27713103483362894,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
33,621308,11.099038451252285,6.725788496434689,22,1,0,0,0,0,0,,0.0,0.2549978196620941,0.3057176589288495,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
34,621318,22.08557275430378,0.6216808073222637,10,1,0,0,0,0,0,,0.0,0.38272926211357117,0.06216808073222637,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
35,621558,-30.249002302705374,9.831932205706835,240,0,0,0,0,0,0,,0.0,0.42629462480545044,0.04096638419044515,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
36,621574,21.41078956470235,0.9823356457054615,16,1,0,0,0,0,0,,0.0,0.43467891216278076,0.061395977856591344,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
37,621589,17.634205848277553,2.788254104554653,15,1,0,0,0,0,0,,0.0,0.29439783096313477,0.1858836069703102,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
38,621608,22.156331357613354,1.7060447372496128,19,1,0,0,0,0,0,,0.0,0.5428824424743652,0.08979182827629541,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
39,621628,21.021624753587446,2.0907779410481453,20,1,0,0,0,0,0,,0.0,0.20185355842113495,0.10453889705240726,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
40,621638,21.57477137405304,1.3289346620440483,10,1,0,0,0,0,0,,0.0,0.4170713424682617,0.13289346620440484,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
41,621657,23.05065106125096,0.5655668526887894,19,1,0,0,0,0,0,,0.0,0.43344947695732117,0.029766676457304703,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.011215024627745152
