episode,step,reset_seed,reset_source,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
3009,660020,1566388856,random,26.084362485018076,0.5901348851621151,20,1,0,0,0,0,0,,0.0,0.47268399596214294,0.029506744258105753,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3010,660045,9047,focused,25.814480843458323,1.0159535948187113,25,1,0,0,0,0,0,,0.0,0.34128499031066895,0.04063814379274845,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3011,660063,9084,focused,23.271200159284938,1.6516447514295578,18,1,0,0,0,0,0,,0.0,0.43674421310424805,0.09175804174608654,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3012,660076,1841495343,random,24.90027480953799,1.3651741668581963,13,1,0,0,0,0,0,,0.0,0.2698841989040375,0.10501339745063049,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3013,660100,1521263845,random,13.607876203314321,7.011467806994915,24,1,0,0,0,0,0,,0.0,0.2683388590812683,0.2921444919581215,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3014,660157,9058,focused,22.961550936075483,2.456927265971899,57,1,0,0,0,0,0,,0.0,0.40125855803489685,0.043103987122314016,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3015,660174,1059941199,random,23.72190570789968,1.2018392756581306,17,1,0,0,0,0,0,,0.0,0.30613407492637634,0.07069642797989004,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3016,660191,418418393,random,26.514229411426356,0.5759588070213795,17,1,0,0,0,0,0,,0.0,0.4774817228317261,0.033879929824787026,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3017,660219,2030346325,random,1.1442884708764964,12.290935307741165,28,1,0,0,0,0,0,,0.0,0.13868004083633423,0.4389619752764702,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
3018,660229,1243264,random,25.489991805957786,0.6729454696178436,10,1,0,0,0,0,0,,0.0,0.4018341600894928,0.06729454696178436,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.007738584186881781
