reset_seed,static_candidate_path_status,ik_status,goal_x_m,goal_y_m,goal_z_m,obstacle_x_m,obstacle_y_m,obstacle_z_m,obstacle_goal_distance_m,obstacle_goal_y_opposite_side,actor_count,success_count,timeout_count,collision_count,failure_mode_counts,mean_final_goal_error_m,mean_best_goal_error_m,mean_tail_qdot_norm_radps,mean_tail_goal_progress_m,mean_min_distance_m
9001,candidate_path_found,reachable,0.4543037414550781,-0.3700195848941803,0.4104900360107422,0.6971578001976013,0.42724892497062683,0.5072214007377625,0.8390304688101135,1,3,3,0,0,"{""success"": 3}",0.04841786374648412,0.04841786374648412,1.3867380682546029,0.5051282669107119,0.20544971525669098
9002,candidate_path_found,reachable,0.5647520422935486,0.36733007431030273,0.6305513381958008,0.5887582302093506,-0.563705563545227,0.29332199692726135,0.9905186947391327,1,3,3,0,0,"{""success"": 3}",0.050499942153692245,0.050499942153692245,1.3390281346473065,0.2259019948542118,0.6383451024691263
9003,candidate_path_found,reachable,0.510016679763794,0.4373528063297272,0.2925204932689667,0.6988133788108826,-0.49598777294158936,0.2489803582429886,0.9532389909375686,1,3,3,0,0,"{""success"": 3}",0.04188970600565275,0.04188970600565275,1.210135696552418,0.18011672422289848,0.6222327748934428
9004,candidate_path_found,reachable,0.26167941093444824,-0.42003360390663147,0.5635185837745667,0.5240224599838257,0.5641673803329468,0.38707947731018066,1.0337341104232893,1,3,3,0,0,"{""success"": 3}",0.04469892072180907,0.04469892072180907,1.393231777114633,0.5782125722616911,0.3028659721215566
9005,candidate_path_found,reachable,0.5594142079353333,-0.03803456202149391,0.5897340774536133,0.5812970399856567,0.45397278666496277,0.2165585458278656,0.6179078142443083,1,3,3,0,0,"{""success"": 3}",0.04022285218040148,0.04022285218040148,1.4302187953934524,0.3188367101053397,0.28356372316678363
9006,not_found,reachable,0.5862905979156494,0.3789258897304535,0.3534838855266571,0.4327596426010132,0.5309967398643494,0.32073941826820374,0.21856234313419723,0,3,1,2,0,"{""nonconvergent_timeout"": 2, ""success"": 1}",0.15265816574295363,0.08000295733412106,0.7275503028088656,0.11536927397052447,0.17082849641640982
9007,candidate_path_found,reachable,0.6955180168151855,-0.2602905035018921,0.22127969563007355,0.25754275918006897,-0.5338269472122192,0.33936792612075806,0.5297068458295218,0,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.10842768475413322,0.05541487162311872,1.1734793366933312,0.26587919269998866,0.23403038084506989
9008,candidate_path_found,reachable,0.46883243322372437,-0.13904930651187897,0.5446380376815796,0.5129725933074951,0.5978840589523315,0.2961401641368866,0.7789546405426074,1,3,3,0,0,"{""success"": 3}",0.04829745491345724,0.04829745491345724,1.3696394741535187,0.27148767312367755,0.4072991907596588
9009,candidate_path_found,reachable,0.6325720548629761,-0.33444416522979736,0.4043465852737427,0.2323497235774994,-0.510794460773468,0.3183285892009735,0.4457313505311207,0,3,3,0,0,"{""success"": 3}",0.05277902881304423,0.05277902881304423,1.4337071514687025,0.434294859568278,0.2609283775091171
9010,candidate_path_found,reachable,0.39078229665756226,0.16764187812805176,0.1828269511461258,0.6591886878013611,-0.5502150058746338,0.3605918884277344,0.7867406622538442,1,3,3,0,0,"{""success"": 3}",0.04906493922074636,0.04906493922074636,1.3024479905764261,0.1922166496515274,0.5093591610590616
9011,candidate_path_found,reachable,0.5608811378479004,0.42477425932884216,0.5830913782119751,0.4579482674598694,-0.4526648223400116,0.2576884925365448,0.9414783884147834,1,3,3,0,0,"{""success"": 3}",0.051300276070833206,0.051300276070833206,1.5285160825366066,0.30116407200694084,0.46581347783406574
9012,candidate_path_found,reachable,0.5216274857521057,-0.18959097564220428,0.2431846708059311,0.3147638142108917,0.6136689782142639,0.29999080300331116,0.831412093205429,1,3,3,0,0,"{""success"": 3}",0.04764282455046972,0.04764282455046972,1.256934295807566,0.3334263488650322,0.3754754662513733
9013,candidate_path_found,reachable,0.6966773867607117,-0.146866574883461,0.37480291724205017,0.36676642298698425,0.5703997611999512,0.41030630469322205,0.7902991404633691,1,3,3,0,0,"{""success"": 3}",0.04771128917733828,0.04771128917733828,1.4235888390274318,0.32196803266803425,0.3238913615544637
9014,candidate_path_found,reachable,0.3783205449581146,0.17246606945991516,0.3539166748523712,0.5300361514091492,-0.580690324306488,0.1804313063621521,0.7876289429624876,1,3,3,0,0,"{""success"": 3}",0.048996021350224815,0.048996021350224815,1.2038543257448409,0.0978774627049764,0.637822429339091
9015,candidate_path_found,reachable,0.54691481590271,0.20365647971630096,0.3100093603134155,0.40587714314460754,0.5663957595825195,0.2172057032585144,0.4001048975676855,0,3,2,1,0,"{""near_goal_timeout"": 1, ""success"": 2}",0.06271547575791676,0.05557654177149137,0.5703054472864433,0.039970112343629204,0.26763763030370075
9016,candidate_path_found,reachable,0.2591612637042999,0.16397514939308167,0.6739024519920349,0.6173083186149597,0.5330652594566345,0.4440748393535614,0.563309465408673,0,3,3,0,0,"{""success"": 3}",0.052909523248672485,0.052909523248672485,1.1897580707384872,0.3261936803658803,0.22376378377278647
9017,candidate_path_found,reachable,0.28337109088897705,0.2104504257440567,0.19474224746227264,0.473103404045105,-0.6020686030387878,0.28995370864868164,0.8397920844655795,1,3,3,0,0,"{""success"": 3}",0.04673865934213003,0.04673865934213003,1.3778524684832192,0.30449240903059643,0.5858480930328369
9018,candidate_path_found,reachable,0.4575916826725006,-0.37730544805526733,0.7763434648513794,0.5873687267303467,0.5625784397125244,0.3257732391357422,1.0503510517685652,1,3,3,0,0,"{""success"": 3}",0.048161392410596214,0.048161392410596214,1.638067851231728,0.41721264521280926,0.29733550548553467
9019,candidate_path_found,reachable,0.3202974796295166,0.03634938970208168,0.48585379123687744,0.6244223117828369,0.5185324549674988,0.2500264048576355,0.6169335281272229,0,3,3,0,0,"{""success"": 3}",0.0438772514462471,0.0438772514462471,1.375297600044793,0.22050563742717108,0.2495225965976715
9020,candidate_path_found,reachable,0.4629130959510803,0.1524135023355484,0.20317210257053375,0.3142184913158417,-0.4506590962409973,0.2306969314813614,0.621742921799732,1,3,3,0,0,"{""success"": 3}",0.049230766793092094,0.049230766793092094,1.1157128300931718,0.0803058718641599,0.3861236373583476
9021,not_checked_due_to_ik,not_reachable,0.772355318069458,-0.38114866614341736,0.7591578364372253,0.4974748492240906,0.43383774161338806,0.5553798675537109,0.8839047333187449,1,3,0,3,0,"{""nonconvergent_timeout"": 3}",0.24959329267342886,0.153883362809817,0.4534902782075935,-0.01593787968158722,0.21047446628411612
9022,not_found,reachable,0.426762193441391,-0.3766654431819916,0.7318882346153259,0.6578161120414734,-0.4318270683288574,0.5103235244750977,0.3248378656635033,0,3,1,2,0,"{""low_motion_stall"": 1, ""nonconvergent_timeout"": 1, ""success"": 1}",0.28471467768152553,0.07182501877347629,1.0280000592798295,0.24022418384750685,0.25287075837453205
9023,candidate_path_found,reachable,0.406000018119812,-0.39101743698120117,0.7544770240783691,0.6099634766578674,-0.6041398048400879,0.5562979578971863,0.3553831430625675,0,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.15720542271931967,0.04806089277068774,1.217581270550504,0.3798350890477498,0.2745838463306427
9024,candidate_path_found,reachable,0.2947014570236206,-0.3038714826107025,0.3902565538883209,0.7061002254486084,-0.4976407587528229,0.5952106714248657,0.4988002298850932,0,3,2,1,0,"{""near_goal_regression"": 1, ""success"": 2}",0.1200326569378376,0.056899312883615494,1.3591829418473773,0.3201532227297624,0.2734137425820033
9025,candidate_path_found,reachable,0.4385749399662018,-0.15697911381721497,0.7415120601654053,0.2511029541492462,-0.4835616946220398,0.30672502517700195,0.5751883981316902,0,3,3,0,0,"{""success"": 3}",0.046782425294319786,0.046782425294319786,1.5707591906426444,0.5031043775379658,0.37809300422668457
9026,candidate_path_found,reachable,0.7767952084541321,0.24368591606616974,0.3330538272857666,0.5992190837860107,-0.49545902013778687,0.32861950993537903,0.7601895684225503,1,3,3,0,0,"{""success"": 3}",0.04538994903365771,0.04538994903365771,1.5346522117272403,0.24606840933362642,0.4612295428911845
9027,not_found,reachable,0.6487277150154114,0.44578102231025696,0.2878356873989105,0.4671536386013031,0.5631759762763977,0.4029713273048401,0.2449631319584574,0,3,1,2,0,"{""near_goal_regression"": 1, ""nonconvergent_timeout"": 1, ""success"": 1}",0.19627645860115686,0.07110468794902165,1.0283323125706778,0.04539455225070318,0.18625924984614053
9028,candidate_path_found,reachable,0.4338364005088806,0.011011946946382523,0.35872265696525574,0.6142196655273438,0.47773322463035583,0.3062407672405243,0.5031115404070557,0,3,3,0,0,"{""success"": 3}",0.04494418948888779,0.04494418948888779,1.3879990162120925,0.16214359054962793,0.1892828643321991
9029,candidate_path_found,reachable,0.2811163365840912,0.34624767303466797,0.7542107701301575,0.5904654264450073,0.6074085831642151,0.29847872257232666,0.6095847599380446,0,3,1,2,0,"{""low_motion_stall"": 1, ""nonconvergent_timeout"": 1, ""success"": 1}",0.09454181666175525,0.07554575925072034,0.9929872709705873,0.16773104791839918,0.2608503649632136
9030,candidate_path_found,reachable,0.6425586342811584,-0.19358918070793152,0.7321867942810059,0.46131715178489685,0.44087809324264526,0.5675142407417297,0.680083999650679,1,3,3,0,0,"{""success"": 3}",0.05017877742648125,0.05017877742648125,1.532615278121354,0.4685843673845132,0.2536945343017578
9031,candidate_path_found,reachable,0.4482828974723816,0.3775303065776825,0.5327492356300354,0.6191287636756897,0.59727543592453,0.33105817437171936,0.3437375685925634,0,3,2,1,0,"{""near_goal_timeout"": 1, ""success"": 2}",0.0632815845310688,0.05426562080780665,0.9650710810198744,0.15061811730265617,0.23470008373260498
9032,candidate_path_found,reachable,0.3073599338531494,0.4296360909938812,0.3339064121246338,0.5064792037010193,-0.5691198110580444,0.48868072032928467,1.0301052965539652,1,3,3,0,0,"{""success"": 3}",0.04706961661577225,0.04706961661577225,1.4303339839983389,0.28552469859520596,0.5549095273017883
9033,not_found,reachable,0.48766839504241943,0.3526395857334137,0.49874740839004517,0.27848172187805176,0.4723191559314728,0.5485883951187134,0.24610239273614432,0,3,0,3,0,"{""near_goal_regression"": 1, ""nonconvergent_timeout"": 2}",0.22970391809940338,0.0850063016017278,0.5088149337304962,-0.030109435319900513,0.17942672471205393
9034,candidate_path_found,reachable,0.6907145977020264,-0.01991754025220871,0.7215651273727417,0.36195823550224304,0.6032282710075378,0.3389355540275574,0.8017461182791723,1,3,3,0,0,"{""success"": 3}",0.053380802273750305,0.053380802273750305,1.527712487170744,0.4439547409613927,0.36157474915186566
9035,candidate_path_found,reachable,0.48136118054389954,0.24405716359615326,0.23359155654907227,0.6194106340408325,-0.5089532732963562,0.3095458745956421,0.7693188078487158,1,3,3,0,0,"{""success"": 3}",0.049985638509194054,0.049985638509194054,1.05106520652771,0.0851948248843352,0.5656448205312093
9036,candidate_path_found,reachable,0.5143460035324097,0.05308446288108826,0.44574710726737976,0.22979430854320526,-0.6072130799293518,0.5242010951042175,0.7232686502056044,1,3,3,0,0,"{""success"": 3}",0.053800725688536964,0.053800725688536964,0.9944141830007235,0.10087519014875095,0.48730995257695514
9037,candidate_path_found,reachable,0.3250633180141449,0.31287387013435364,0.2945410907268524,0.3613186180591583,-0.44369077682495117,0.46481892466545105,0.7763369452375898,1,3,3,0,0,"{""success"": 3}",0.04411803310116132,0.04411803310116132,1.444719049334526,0.22186573718984923,0.36213967204093933
