episode,step,reset_seed,reset_source,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
1,520038,1307833009,random,-2.1671965777165347,14.22744545340538,38,1,0,0,0,0,0,,0.0,0.1430768221616745,0.3744064593001416,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
2,520052,490507544,random,26.0621436254526,0.4463195316493511,14,1,0,0,0,0,0,,0.0,0.4478779733181,0.03187996654638222,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
3,520269,866553972,random,4.491895384763298,9.130551297217607,217,1,0,0,0,0,0,,0.0,0.41223350167274475,0.042076273259067314,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
4,520292,9023,focused,11.645077782249524,7.210875414311886,23,1,0,0,0,0,0,,0.0,0.24450764060020447,0.3135163223613863,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
5,520306,1383175058,random,25.03526864870536,0.8692539259791374,14,1,0,0,0,0,0,,0.0,0.42008331418037415,0.06208956614136696,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
6,520323,1744276173,random,25.7622468293944,0.8478689529001713,17,1,0,0,0,0,0,,0.0,0.45611584186553955,0.04987464428824537,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
7,520335,1503309502,random,22.97363084025497,2.015931084752083,12,1,0,0,0,0,0,,0.0,0.36457040905952454,0.16799425706267357,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
8,520352,1963963306,random,24.6862320356496,0.8662219010293484,17,1,0,0,0,0,0,,0.0,0.49230432510375977,0.05095422947231461,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
9,520366,1509784005,random,19.20926749403035,3.957631342113018,14,1,0,0,0,0,0,,0.0,0.28243109583854675,0.2826879530080727,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
10,520378,1238800003,random,26.177447786259464,0.4121619910001755,12,1,0,0,0,0,0,,0.0,0.4969852864742279,0.034346832583347954,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
11,520618,1656004671,random,-135.27373584099595,35.648145381361246,240,0,0,0,0,0,0,,0.0,0.15425078570842743,0.1485339390890052,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
12,520636,1458681535,random,24.236517631595497,0.6371609773486853,18,1,0,0,0,0,0,,0.0,0.5491247177124023,0.03539783207492696,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
13,520648,9066,focused,26.112928000370886,0.27114690095186234,12,1,0,0,0,0,0,,0.0,0.6355899572372437,0.02259557507932186,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
14,520664,9176,focused,20.21929147743278,3.4597924947738647,16,1,0,0,0,0,0,,0.0,0.24943222105503082,0.21623703092336655,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
15,520904,9084,focused,-28.245482371010716,13.463172417134047,240,0,0,0,0,0,0,,0.0,0.4242561459541321,0.056096551738058525,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
16,520919,728770420,random,18.81114081654288,3.915821075439453,15,1,0,0,0,0,0,,0.0,0.32656151056289673,0.2610547383626302,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
17,520931,427393947,random,25.323845381347677,0.8393818959593773,12,1,0,0,0,0,0,,0.0,0.3359566628932953,0.06994849132994811,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
18,520949,1566406106,random,24.951745449166577,1.2052165903151035,18,1,0,0,0,0,0,,0.0,0.5105637311935425,0.06695647723972797,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
19,520964,1222848477,random,26.123688819399778,0.7908240668475628,15,1,0,0,0,0,0,,0.0,0.34378114342689514,0.05272160445650419,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
20,520986,1775262453,random,19.177245363725113,2.9580529779195786,22,1,0,0,0,0,0,,0.0,0.38146814703941345,0.134456953541799,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
21,520998,2026401721,random,20.19131442026135,2.898092396557331,12,1,0,0,0,0,0,,0.0,0.29736384749412537,0.24150769971311092,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
22,521238,9100,focused,-96.11255596090261,46.10069867223501,240,0,0,0,0,0,0,,0.0,0.2380886822938919,0.19208624446764588,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
23,521251,209400731,random,16.141633525931358,5.04972966760397,13,1,0,0,0,0,0,,0.0,0.20164084434509277,0.38844074366184383,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
24,521267,85607695,random,25.626068796694675,0.6081875544041395,16,1,0,0,0,0,0,,0.0,0.48502299189567566,0.03801172215025872,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
25,521281,957635017,random,26.92041516990676,0.8749781344085932,14,1,0,0,0,0,0,,0.0,0.3108406066894531,0.06249843817204237,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
26,521310,622667436,random,5.4022156134654225,10.981263473629951,29,1,0,0,0,0,0,,0.0,0.1575145274400711,0.3786642577113776,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
27,521467,1214851528,random,-58.84469415990022,37.27739231660962,157,1,0,0,0,0,0,,0.0,0.1886415332555771,0.2374356198510167,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
28,521707,1402353658,random,-18.254222057559065,7.44425512291491,240,0,0,0,0,0,0,,0.0,0.2793635427951813,0.031017729678812125,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
29,521727,886489155,random,23.347078096672135,1.6660385392606258,20,1,0,0,0,0,0,,0.0,0.219818115234375,0.08330192696303129,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
30,521736,1818665040,random,26.111659529693192,0.23943319730460644,9,1,0,0,0,0,0,,0.0,0.5604919791221619,0.026603688589400716,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
31,521754,9059,focused,25.705560056474926,0.6383290234953165,18,1,0,0,0,0,0,,0.0,0.358729749917984,0.03546272352751759,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
32,521768,1426389096,random,24.68729693264396,0.4945996664464474,14,1,0,0,0,0,0,,0.0,0.482176810503006,0.03532854760331767,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
33,521782,9042,focused,22.834498636355654,1.2016626000404358,14,1,0,0,0,0,0,,0.0,0.3654343783855438,0.08583304286003113,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
34,521809,9034,focused,24.460541155959884,1.1965690292418003,27,1,0,0,0,0,0,,0.0,0.3611752986907959,0.04431737145340001,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
35,521827,673910673,random,16.542834365534535,5.97642732411623,18,1,0,0,0,0,0,,0.0,0.23949488997459412,0.3320237402286794,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
36,521855,308789738,random,25.87868901023976,1.106340866535902,28,1,0,0,0,0,0,,0.0,0.4218888580799103,0.03951217380485365,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
37,521876,522251990,random,22.592319340294306,2.4051645323634148,21,1,0,0,0,0,0,,0.0,0.25831806659698486,0.11453164439825785,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
38,521882,748332243,random,22.325401642509476,0.5472436845302582,6,1,0,0,0,0,0,,0.0,0.3842727839946747,0.09120728075504303,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
39,521901,1484295867,random,25.176675507614704,0.9806919321417809,19,1,0,0,0,0,0,,0.0,0.28173479437828064,0.05161536484956741,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
40,521906,1150575317,random,24.291550155977546,0.12452023290097713,5,1,0,0,0,0,0,,0.0,0.597743034362793,0.024904046580195426,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
41,521919,270627731,random,24.494761552790415,0.48085801489651203,13,1,0,0,0,0,0,,0.0,0.46518683433532715,0.03698907806896246,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
42,522159,9161,focused,-17.32514606366543,7.347924016416073,240,0,0,0,0,0,0,,0.0,0.590268611907959,0.030616350068400303,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
43,522170,279305570,random,24.582377376212786,0.7589144371449947,11,1,0,0,0,0,0,,0.0,0.3602294623851776,0.06899222155863588,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
44,522180,1897772080,random,17.112946041897946,3.843293458223343,10,1,0,0,0,0,0,,0.0,0.19695933163166046,0.3843293458223343,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
45,522420,9100,focused,-89.68431329181445,42.94587014615536,240,0,0,0,0,0,0,,0.0,0.23136331140995026,0.17894112560898065,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
46,522455,823788513,random,11.752318209070793,7.538089454174042,35,1,0,0,0,0,0,,0.0,0.23819126188755035,0.21537398440497263,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
47,522461,287636971,random,21.448869858691417,1.3722118437290192,6,1,0,0,0,0,0,,0.0,0.2213987112045288,0.22870197395483652,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
48,522484,487321257,random,20.229979555065874,3.762140966951847,23,1,0,0,0,0,0,,0.0,0.3563382923603058,0.16357134638921075,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
49,522496,9066,focused,25.254611246555722,0.2732611857354641,12,1,0,0,0,0,0,,0.0,0.6354075074195862,0.02277176547795534,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
50,522510,624860541,random,27.93516498489798,0.3863786719739437,14,1,0,0,0,0,0,,0.0,0.4529484212398529,0.027598476569567407,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
51,522541,1656092881,random,12.439579373885625,6.910648573189974,31,1,0,0,0,0,0,,0.0,0.24783314764499664,0.22292414752225723,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
52,522551,607875616,random,21.906841621608965,1.402176946401596,10,1,0,0,0,0,0,,0.0,0.3387661278247833,0.1402176946401596,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
53,522565,253590064,random,25.144480775638186,0.6671538203954697,14,1,0,0,0,0,0,,0.0,0.4474605321884155,0.04765384431396212,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
54,522579,2095007584,random,26.139359535305406,0.9177798889577389,14,1,0,0,0,0,0,,0.0,0.38697120547294617,0.06555570635412421,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
55,522605,2070094852,random,14.558989294621707,6.581299744546413,26,1,0,0,0,0,0,,0.0,0.2918320894241333,0.25312691325178516,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
