episodes,mean_reward,success_rate,collision_rate,physical_contact_rate,capsule_overlap_rate,safety_violation_rate,mean_final_position_error,mean_min_distance,step,checkpoint,validation_csv,selected,selection_metric,validation_seed,validation_seed_manifest
40.0,3.32717179757399,0.675,0.0,0.0,0.0,0.0,0.15186028834432364,1.5,20000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_20000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_20000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,20.686703485441456,0.9,0.0,0.0,0.0,0.0,0.057794807106256486,1.5,40000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_40000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_40000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,21.964074855090082,0.95,0.0,0.0,0.0,0.0,0.056729970313608644,1.5,60000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_60000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_60000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,19.824451230509204,0.925,0.0,0.0,0.0,0.0,0.08273447239771485,1.5,80000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_80000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_80000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,22.240803355612986,0.95,0.0,0.0,0.0,0.0,0.055356696248054504,1.5,100000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_100000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_100000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,21.899665067233904,0.95,0.0,0.0,0.0,0.0,0.05999061344191432,1.5,120000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_120000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_120000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,22.36809361645637,0.95,0.0,0.0,0.0,0.0,0.051509737968444824,1.5,140000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_140000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_140000_v1_validation_episodes_40.csv,1,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,21.911231000574706,0.95,0.0,0.0,0.0,0.0,0.0555674284696579,1.5,160000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_160000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_160000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,22.531772442195372,0.95,0.0,0.0,0.0,0.0,0.05168021135032177,1.5,180000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_180000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_180000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
40.0,22.33884071356926,0.95,0.0,0.0,0.0,0.0,0.055659571383148435,1.5,200000,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/actor_step_200000.pt,/home/jixuefeng/rl/outputs/reaching_recovery_v1/train/seed_4301/link_fixed_no_obstacle_seed4301_steps200000/checkpoint_selection/step_200000_v1_validation_episodes_40.csv,0,success_rate,,configs/experiments/reaching_recovery/manifests/v1_validation.json
