step,total_steps,episode,episode_length,latest_reward,latest_cost,episode_reward,episode_cost,risk_global,d_min,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_max_constraint_violation,predictive_h_min_m,predictive_max_link_speed_bound_mps,predictive_link_velocity_norms_mps,safety_filter_solve_time_s,lambda,alpha,replay_size
500,200000,3,213,-0.2794278056868532,0.0,-60.978672439813884,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.20000000298023224,500
1000,200000,5,233,-0.22207253419362766,0.0,-27.542658843960826,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.19993998110294342,1000
1500,200000,8,13,-0.807664178281749,0.0,-8.53290259758391,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.17218264937400818,1500
2000,200000,10,33,-0.2650481146826025,0.0,-8.888853023713418,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.1493479609489441,2000
2500,200000,12,53,-0.5107154683089564,0.0,-24.685287314996827,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.1307860165834427,2500
3000,200000,14,73,-0.30603037298199637,0.0,-19.438718091858416,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.11580336838960648,3000
3500,200000,16,93,-0.7056092246911138,0.0,-39.155313466649304,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.1032271459698677,3500
4000,200000,18,113,-0.20778773143688575,0.0,-15.416499509808915,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.09040434658527374,4000
4500,200000,20,133,-0.2700635041204831,0.0,-15.731249236450203,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.0780462846159935,4500
5000,200000,22,153,0.0024329667732086334,0.0,-12.232002976459924,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.06776031106710434,5000
5500,200000,24,173,-0.15421132997374293,0.0,-32.98284711977982,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.059010084718465805,5500
6000,200000,27,102,-0.0470466596781826,0.0,-8.805623017985939,0.0,0.0,1.5,0,0,0,0,0,0,not_enabled,nan,False,nan,nan,nan,,nan,0.0,0.051400717347860336,6000
